dates,satname,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0104,nzd0231-0105
1999-09-29 21:52:52+00:00,L7,378.79,364.23,352.79,363.21,370.43,361.77,370.33,361.55,368.40,371.01,378.58,370.80,377.34,375.05,369.82,375.81,366.02,371.15,371.29,369.14,367.28,372.18,365.29,369.75,361.10,361.65,354.52,355.25,357.47,350.09,357.70,369.25,373.20,369.56,365.66,358.01,355.99,350.93,361.80,358.19,351.55,363.43,363.70,363.79,358.79,364.72,357.04,367.22,365.34,360.26,361.39,369.63,358.02,359.08,358.86,358.14,363.43,356.02,366.36,353.25,366.50,365.61,360.74,362.25,374.08,376.20,367.33,360.78,356.44,353.82,351.39,357.83,344.44,350.93,348.44,345.87,348.14,342.68,351.59,344.53,344.30,338.41,343.83,345.23,344.08,344.26,355.04,354.57,353.92,365.65,367.09,363.99,356.56,359.77,345.25,353.27,340.79,338.65,340.04,343.47,330.87,319.45,319.35,321.54,332.60,315.63
1999-10-15 21:52:49+00:00,L7,375.14,350.06,350.11,350.54,353.62,360.77,367.81,366.21,365.28,371.54,362.68,366.56,357.65,361.18,368.59,373.75,367.05,367.96,361.90,361.53,362.81,355.92,361.44,367.05,364.28,360.77,363.95,353.07,359.30,347.91,354.44,354.03,356.49,357.99,354.83,356.41,352.64,353.68,345.76,353.66,348.59,354.21,355.22,360.13,359.64,352.65,360.54,357.58,359.77,357.86,362.46,355.75,362.06,355.80,358.73,359.60,358.16,359.22,358.32,358.67,363.15,362.00,358.37,366.09,359.85,370.36,364.32,362.53,351.25,352.43,354.96,352.32,353.31,353.41,350.45,346.14,343.91,339.34,340.15,336.66,342.38,335.33,345.40,341.33,340.80,351.12,346.24,354.51,354.68,366.69,353.95,362.46,361.20,355.10,350.08,351.79,347.27,338.81,343.62,336.77,330.22,318.49,314.34,323.76,338.72,336.91
1999-12-02 21:52:40+00:00,L7,359.82,358.93,360.07,352.04,357.39,348.92,362.09,360.41,358.88,358.47,357.97,352.03,348.82,351.97,351.85,359.67,352.50,356.74,349.09,353.13,346.91,353.38,359.46,364.83,369.57,363.21,363.23,353.48,355.53,354.44,362.72,356.81,355.65,350.23,352.89,349.67,352.38,351.04,351.36,352.72,352.01,359.25,357.05,352.52,351.99,350.81,348.14,358.97,353.33,355.22,357.77,356.04,352.34,,,,,,,,,,,,,,,362.32,359.07,365.78,353.18,361.29,354.95,353.27,350.45,342.95,344.28,338.22,345.63,335.50,344.05,340.69,340.12,339.14,340.87,341.30,351.17,346.98,348.61,351.59,344.81,347.62,346.26,347.75,343.71,346.91,340.05,340.41,334.66,328.55,322.18,,,,,
2000-02-04 21:52:37+00:00,L7,370.08,350.18,349.17,350.39,353.36,357.06,362.48,359.50,357.89,359.09,359.82,359.72,356.99,364.45,368.10,373.32,362.40,361.86,353.47,356.88,350.50,351.66,350.75,363.86,365.54,360.95,360.54,353.97,359.81,358.72,368.12,361.87,356.55,354.96,357.11,349.73,346.53,345.28,347.98,346.19,342.60,341.76,338.67,349.91,342.30,346.41,346.14,354.78,353.31,357.53,360.66,354.23,351.01,340.01,348.30,349.65,352.38,349.77,362.85,364.28,374.46,374.18,370.26,361.27,368.71,364.27,360.93,359.09,353.14,351.53,349.23,355.83,342.35,347.74,348.67,344.18,341.62,339.48,340.09,335.19,340.30,337.39,343.54,339.86,340.59,341.31,347.06,347.88,350.69,351.16,349.05,350.25,353.28,360.74,352.58,346.84,339.38,335.94,338.50,342.64,339.03,336.07,332.51,330.45,322.87,283.69
2000-04-24 21:52:10+00:00,L7,352.07,350.41,351.02,351.48,346.62,352.82,350.99,356.02,353.84,346.82,350.15,355.11,347.51,349.72,348.32,347.06,345.92,345.96,348.40,346.39,343.85,346.12,351.43,348.89,348.89,351.42,354.47,351.62,352.63,353.79,350.99,353.82,352.55,352.99,349.18,345.25,330.55,330.90,335.27,341.31,340.62,338.34,345.22,338.26,342.03,344.05,345.61,342.01,350.16,346.03,346.53,344.24,347.71,348.37,349.03,343.13,341.71,345.10,346.75,356.61,350.88,350.91,347.36,346.34,349.98,348.11,346.49,346.17,347.84,349.60,342.46,347.99,351.42,341.20,338.65,335.84,335.77,336.79,331.18,328.32,324.22,330.21,329.47,328.36,322.34,325.19,328.28,337.11,340.34,344.48,343.62,342.65,341.66,335.22,335.39,333.60,338.29,336.21,339.86,338.37,331.21,324.38,321.50,317.75,310.16,304.07
2000-05-26 21:51:48+00:00,L7,381.49,370.11,366.20,369.28,374.59,374.30,373.43,378.28,379.14,376.97,372.71,371.69,376.51,368.93,370.87,372.99,370.36,373.05,374.30,378.89,374.36,376.72,372.27,371.64,372.83,377.26,374.97,377.08,377.42,371.56,379.52,374.58,380.60,376.85,378.83,369.19,367.59,362.09,363.13,363.68,360.70,365.70,365.67,366.66,364.99,371.54,374.00,375.83,372.01,373.13,368.43,375.28,372.45,367.05,367.48,368.06,376.54,378.24,380.06,377.42,377.46,375.75,375.68,374.26,377.95,375.92,374.72,376.52,372.51,373.11,367.11,366.21,364.47,360.27,356.59,352.92,354.49,354.65,355.13,353.15,352.60,352.71,355.32,348.67,352.74,349.19,359.35,359.88,361.38,366.35,366.75,365.14,360.78,363.35,359.83,358.40,356.26,361.33,357.40,356.10,346.06,345.74,342.60,342.91,337.99,348.00
2000-07-13 21:51:19+00:00,L7,382.79,375.59,366.55,373.90,375.90,378.32,382.52,388.80,389.37,383.73,384.16,376.37,379.17,367.42,373.67,362.86,374.64,369.00,374.21,379.10,375.55,375.35,389.00,382.27,393.95,390.49,382.66,390.01,370.02,370.70,367.96,373.35,386.99,386.78,370.74,368.28,361.46,374.40,375.63,362.04,363.22,368.47,367.10,364.86,380.31,375.81,375.34,363.69,362.75,371.98,364.37,368.21,372.68,373.77,373.54,379.38,382.27,377.91,374.93,372.58,376.30,385.57,385.13,379.99,381.83,378.58,384.39,377.54,383.09,380.24,378.21,375.52,369.86,367.96,358.19,363.19,356.45,360.02,362.29,358.58,358.89,355.95,355.76,366.06,373.75,374.34,376.87,376.75,376.25,375.82,374.62,366.76,365.32,369.33,364.17,364.25,367.84,377.30,368.28,372.21,359.94,346.84,341.91,347.89,342.96,382.02
2000-08-14 21:50:56+00:00,L7,382.39,371.40,379.68,369.16,380.81,386.78,387.45,387.17,389.67,384.00,386.88,378.04,377.60,377.32,376.08,379.02,364.50,369.20,364.49,378.20,372.56,378.64,371.12,375.52,378.90,389.81,380.57,379.78,377.34,373.17,386.47,376.66,385.85,384.26,381.80,375.98,374.26,355.32,363.76,367.32,368.59,361.02,366.29,373.90,372.22,373.66,372.21,370.25,366.14,364.91,373.89,379.49,374.36,368.02,369.82,365.44,376.78,373.10,373.86,374.80,378.26,373.30,381.40,370.07,381.79,383.72,375.61,380.11,373.90,378.71,373.12,370.02,367.01,362.74,357.09,354.74,351.47,359.25,358.43,358.03,357.43,354.62,360.14,354.30,364.90,361.42,361.75,362.05,365.85,367.36,371.73,368.78,359.91,364.77,364.16,364.86,354.82,361.14,355.07,349.07,342.58,347.76,343.27,348.59,347.53,347.71
2000-09-15 21:50:25+00:00,L7,368.35,361.02,365.27,364.68,374.39,365.28,371.73,371.77,367.80,373.97,368.13,367.66,366.36,365.56,367.13,369.77,362.40,366.83,360.00,360.35,365.22,366.02,368.77,371.52,371.10,364.04,366.56,358.73,365.68,361.96,363.02,368.77,367.74,370.26,364.46,359.30,354.34,351.97,346.45,350.97,351.58,355.55,341.57,353.14,354.55,349.21,348.92,358.30,357.97,358.12,360.58,373.14,368.38,363.18,359.11,359.88,356.09,352.76,360.40,350.02,365.61,361.91,360.96,360.87,362.38,372.03,373.17,375.90,363.02,362.93,352.35,353.80,344.18,355.38,345.86,346.07,340.06,337.88,339.71,334.72,344.49,347.04,348.96,345.90,348.23,345.23,352.46,351.71,353.12,355.36,352.73,346.03,341.53,345.73,343.70,353.40,344.12,338.43,335.64,343.33,336.39,336.86,333.76,325.98,329.95,317.39
2000-10-17 21:50:01+00:00,L7,350.67,341.29,360.59,343.23,351.54,358.65,368.18,367.14,367.87,359.66,359.13,356.90,351.66,359.62,356.37,359.51,358.99,360.48,352.84,357.04,348.74,354.29,361.15,368.41,368.08,365.31,368.83,365.18,369.17,369.01,357.25,343.45,351.44,344.94,354.08,352.09,351.24,344.73,347.17,351.75,348.79,354.12,342.51,345.93,347.72,343.55,341.51,337.29,336.92,357.11,358.79,373.99,369.73,366.95,361.22,357.99,351.06,350.40,361.13,359.84,363.52,358.03,352.28,355.08,361.86,359.11,370.20,366.04,361.83,363.99,357.46,359.46,352.02,353.40,348.52,346.15,343.82,337.80,336.80,335.16,335.03,344.38,347.80,345.53,341.80,336.63,346.80,337.07,350.93,350.82,351.52,342.55,352.83,346.56,342.72,339.29,329.21,330.96,331.07,337.69,325.80,320.25,325.65,340.91,342.62,347.66
