dates,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0104,nzd0231-0105,satname
1999-09-29 21:52:52+00:00,399.68,376.76,364.54,375.74,384.89,372.21,382.08,372.61,384.07,389.81,387.53,384.23,388.40,389.51,382.35,389.24,380.48,383.68,384.26,382.57,384.37,385.61,378.72,383.18,378.19,376.11,371.61,376.14,373.14,367.18,371.13,386.34,394.09,386.65,382.75,375.10,371.66,366.60,378.89,375.28,368.64,379.10,380.79,382.59,375.88,383.52,375.84,384.31,384.14,377.35,378.48,390.52,373.69,377.88,375.95,375.23,380.52,373.11,382.03,366.68,380.96,380.07,376.41,375.68,387.51,389.63,383.00,376.45,372.11,370.91,368.48,374.92,360.11,369.73,364.11,362.96,365.23,359.77,368.68,361.62,361.39,354.08,360.92,364.03,362.88,363.06,373.84,371.66,372.72,382.74,385.89,378.45,369.99,375.44,362.34,368.94,356.46,355.74,358.84,364.36,351.76,338.25,333.81,337.21,353.49,342.49,L7
1999-10-15 21:52:49+00:00,386.03,356.59,356.24,357.07,361.16,366.21,373.94,371.97,373.45,381.34,367.35,373.56,363.41,368.72,375.12,380.75,374.59,374.49,368.66,368.53,371.72,362.92,368.44,374.05,373.19,368.31,372.86,363.96,367.47,356.82,361.44,362.94,367.38,366.90,363.74,365.32,360.81,361.85,354.67,362.57,357.50,362.38,364.13,369.93,368.55,362.45,370.34,366.49,369.57,366.77,371.37,366.64,370.23,365.60,367.64,368.51,367.07,368.13,366.49,365.67,370.69,369.54,366.54,373.09,366.85,377.36,372.49,370.70,359.42,361.34,363.87,361.23,361.48,363.21,358.62,355.05,352.82,348.25,349.06,345.57,351.29,343.50,354.31,351.13,350.60,360.92,356.04,363.42,364.48,375.60,363.75,370.00,368.20,363.27,358.99,359.96,355.44,347.72,353.42,347.66,341.11,328.29,321.88,331.93,349.61,350.91,L7
1999-12-02 21:52:40+00:00,348.04,351.86,353.44,344.97,349.24,343.03,355.46,354.17,350.05,347.87,352.92,344.46,342.58,343.82,344.78,352.10,344.35,349.67,341.78,345.56,337.27,345.81,351.89,357.26,359.93,355.06,353.59,341.70,346.70,344.80,355.15,347.17,343.87,340.59,343.25,340.03,343.55,342.21,341.72,343.08,342.37,350.42,347.41,341.92,342.35,340.21,337.54,349.33,342.73,345.58,348.13,344.26,343.51,,,,,,,,,,,,,,,353.49,350.24,356.14,343.54,351.65,346.12,342.67,341.62,333.31,334.64,328.58,335.99,325.86,334.41,331.86,330.48,328.54,330.27,330.70,340.57,337.34,338.01,341.95,334.21,339.47,338.69,338.92,334.07,338.08,331.22,330.77,324.06,316.77,310.40,,,,,,L7
2000-02-04 21:52:37+00:00,371.19,350.85,349.80,351.06,354.13,357.62,363.11,360.09,358.72,360.09,360.30,360.43,357.58,365.22,368.77,374.03,363.17,362.53,354.16,357.59,351.41,352.37,351.46,364.57,366.45,361.72,361.45,355.08,360.64,359.63,368.83,362.78,357.66,355.87,358.02,350.64,347.36,346.11,348.89,347.10,343.51,342.59,339.58,350.91,343.21,347.41,347.14,355.69,354.31,358.44,361.57,355.34,351.84,341.01,349.21,350.56,353.29,350.68,363.68,364.99,375.23,374.95,371.09,361.98,369.42,364.98,361.76,359.92,353.97,352.44,350.14,356.74,343.18,348.74,349.50,345.09,342.53,340.39,341.00,336.10,341.21,338.22,344.45,340.86,341.59,342.31,348.06,348.79,351.69,352.07,350.05,351.02,353.99,361.57,353.49,347.67,340.21,336.85,339.50,343.75,340.14,337.07,333.28,331.28,323.98,285.12,L7
2000-04-24 21:52:10+00:00,360.96,355.74,356.02,356.81,352.77,357.26,355.99,360.73,360.51,354.82,353.96,360.82,352.22,355.87,353.65,352.77,352.07,351.29,353.92,352.10,351.12,351.83,357.14,354.60,356.16,357.57,361.74,360.51,359.30,361.06,356.70,361.09,361.44,360.26,356.45,352.52,337.22,337.57,342.54,348.58,347.89,345.01,352.49,346.26,349.30,352.05,353.61,349.28,358.16,353.30,353.80,353.13,354.38,356.37,356.30,350.40,348.98,352.37,353.42,362.32,357.03,357.06,354.03,352.05,355.69,353.82,353.16,352.84,354.51,356.87,349.73,355.26,358.09,349.20,345.32,343.11,343.04,344.06,338.45,335.59,331.49,336.88,336.74,336.36,330.34,333.19,336.28,344.38,348.34,351.75,351.62,348.80,347.37,341.89,342.66,340.27,344.96,343.48,347.86,347.26,340.10,332.38,327.65,324.42,319.05,315.50,L7
2000-05-26 21:51:48+00:00,379.05,368.64,364.82,367.81,372.90,373.08,372.06,376.99,377.31,374.77,371.66,370.12,375.22,367.24,369.40,371.42,368.67,371.58,372.78,377.32,372.36,375.15,370.70,370.07,370.83,375.57,372.97,374.64,375.59,369.56,377.95,372.58,378.16,374.85,376.83,367.19,365.76,360.26,361.13,361.68,358.70,363.87,363.67,364.46,362.99,369.34,371.80,373.83,369.81,371.13,366.43,372.84,370.62,364.85,365.48,366.06,374.54,376.24,378.23,375.85,375.77,374.06,373.85,372.69,376.38,374.35,372.89,374.69,370.68,371.11,365.11,364.21,362.64,358.07,354.76,350.92,352.49,352.65,353.13,351.15,350.60,350.88,353.32,346.47,350.54,346.99,357.15,357.88,359.18,364.35,364.55,363.45,359.21,361.52,357.83,356.57,354.43,359.33,355.20,353.66,343.62,343.54,340.91,341.08,335.55,344.86,L7
2000-07-13 21:51:19+00:00,369.46,367.59,359.05,365.90,366.67,371.65,375.02,381.74,379.37,371.73,378.45,367.80,372.11,358.19,365.67,354.29,365.41,361.00,365.93,370.53,364.64,366.78,380.43,373.70,383.04,381.26,371.75,376.68,360.02,359.79,359.39,362.44,373.66,375.87,359.83,357.37,351.46,364.40,364.72,351.13,352.31,358.47,356.19,352.86,369.40,363.81,363.34,352.78,350.75,361.07,353.46,354.88,362.68,361.77,362.63,368.47,371.36,367.00,364.93,364.01,367.07,376.34,375.13,371.42,373.26,370.01,374.39,367.54,373.09,369.33,367.30,364.61,359.86,355.96,348.19,352.28,345.54,349.11,351.38,347.67,347.98,345.95,344.85,354.06,361.75,362.34,364.87,365.84,364.25,364.91,362.62,357.53,356.75,359.33,353.26,354.25,357.84,366.39,356.28,358.88,346.61,334.84,332.68,337.89,329.63,364.88,L7
2000-08-14 21:50:56+00:00,379.72,369.80,378.18,367.56,378.96,385.45,385.95,385.76,387.67,381.60,385.74,376.33,376.19,375.47,374.48,377.31,362.65,367.60,362.83,376.49,370.38,376.93,369.41,373.81,376.72,387.96,378.39,377.11,375.34,370.99,384.76,374.48,383.18,382.08,379.62,373.80,372.26,353.32,361.58,365.14,366.41,359.02,364.11,371.50,370.04,371.26,369.81,368.07,363.74,362.73,371.71,376.82,372.36,365.62,367.64,363.26,374.60,370.92,371.86,373.09,376.41,371.45,379.40,368.36,380.08,382.01,373.61,378.11,371.90,376.53,370.94,367.84,365.01,360.34,355.09,352.56,349.29,357.07,356.25,355.85,355.25,352.62,357.96,351.90,362.50,359.02,359.35,359.87,363.45,365.18,369.33,366.93,358.20,362.77,361.98,362.86,352.82,358.96,352.67,346.40,339.91,345.36,341.42,346.59,344.86,344.28,L7
2000-09-15 21:50:25+00:00,379.02,367.42,371.27,371.08,381.77,370.61,377.73,377.42,375.80,383.57,372.70,374.52,372.01,372.94,373.53,376.63,369.78,373.23,366.62,367.21,373.95,372.88,375.63,378.38,379.83,371.42,375.29,369.40,373.68,370.69,369.88,377.50,378.41,378.99,373.19,368.03,362.34,359.97,355.18,359.70,360.31,363.55,350.30,362.74,363.28,358.81,358.52,367.03,367.57,366.85,369.31,383.81,376.38,372.78,367.84,368.61,364.82,361.49,368.40,356.88,372.99,369.29,368.96,367.73,369.24,378.89,381.17,383.90,371.02,371.66,361.08,362.53,352.18,364.98,353.86,354.80,348.79,346.61,348.44,343.45,353.22,355.04,357.69,355.50,357.83,354.83,362.06,360.44,362.72,364.09,362.33,353.41,348.39,353.73,352.43,361.40,352.12,347.16,345.24,354.00,347.06,346.46,341.14,333.98,340.62,331.10,L7
2000-10-17 21:50:01+00:00,370.45,353.16,371.71,355.10,365.23,368.54,379.31,377.61,382.70,377.46,367.61,369.61,362.13,373.31,368.24,372.22,372.68,372.35,365.12,369.75,364.92,367.00,373.86,381.12,384.26,379.00,385.01,384.96,384.00,385.19,369.96,359.63,371.22,361.12,370.26,368.27,366.07,359.56,363.35,367.93,364.97,368.95,358.69,363.73,363.90,361.35,359.31,353.47,354.72,373.29,374.97,393.77,384.56,384.75,377.40,374.17,367.24,366.58,375.96,372.55,377.21,371.72,367.11,367.79,374.57,371.82,385.03,380.87,376.66,380.17,373.64,375.64,366.85,371.20,363.35,362.33,360.00,353.98,352.98,351.34,351.21,359.21,363.98,363.33,359.60,354.43,364.60,353.25,368.73,367.00,369.32,356.24,365.54,361.39,358.90,354.12,344.04,347.14,348.87,357.47,345.58,338.05,339.34,355.74,362.40,,L7
2000-11-02 21:50:13+00:00,330.92,348.08,355.03,350.73,348.17,341.41,343.92,354.73,365.33,361.62,358.53,355.30,353.15,354.88,354.06,356.66,359.59,358.36,348.96,349.41,343.45,347.05,346.25,358.44,359.21,363.73,354.78,360.74,356.26,353.02,352.36,357.40,352.80,347.05,355.80,351.29,350.14,335.96,344.81,345.52,346.08,343.30,344.32,341.06,335.48,346.75,337.89,332.49,337.83,336.07,346.43,356.07,357.65,356.47,353.18,341.52,344.40,342.20,340.48,342.40,341.39,341.44,349.83,342.78,344.90,349.07,351.41,358.51,352.67,347.28,342.80,342.32,338.80,337.21,330.67,341.26,331.99,333.25,329.96,329.95,327.59,329.77,336.44,341.53,337.34,338.31,342.08,335.28,346.46,341.17,344.60,335.30,330.54,332.23,332.97,334.61,327.87,324.49,327.44,322.21,314.88,316.71,317.28,322.06,,320.20,L7
2000-12-04 21:50:10+00:00,382.38,392.34,379.71,370.60,352.16,357.33,359.39,367.80,364.09,366.91,361.45,366.42,367.67,367.77,369.98,374.83,377.38,369.41,368.62,361.05,362.49,355.61,361.02,360.95,372.84,368.32,371.82,365.26,363.24,367.33,359.78,365.43,360.93,361.65,354.82,359.10,348.53,356.24,358.63,356.88,355.00,355.15,350.71,348.97,346.99,348.35,346.51,340.27,353.31,349.33,356.16,352.82,364.58,367.95,366.52,367.32,362.08,362.62,349.18,349.55,342.86,353.05,352.05,356.05,354.80,362.99,359.72,364.15,369.41,369.32,361.64,358.32,354.60,349.94,345.76,340.14,336.21,336.31,337.75,334.89,333.94,337.16,343.67,346.61,341.44,344.49,339.19,346.92,350.09,349.44,349.77,354.81,352.75,345.92,345.58,350.44,351.10,338.39,339.03,330.86,333.41,330.52,339.83,347.78,366.22,,L7
2001-01-05 21:50:16+00:00,387.79,365.68,372.81,368.83,367.18,363.82,366.42,357.78,358.10,355.78,358.92,362.15,365.15,367.98,369.27,376.77,371.56,373.45,369.95,370.09,360.16,369.83,363.16,362.16,368.65,381.43,378.84,369.11,366.89,359.54,366.19,360.79,359.04,356.53,354.25,351.88,356.16,359.28,362.08,361.93,366.68,366.13,358.65,349.56,341.20,338.03,336.25,341.02,337.28,350.67,350.81,349.93,360.79,359.62,364.41,368.80,359.07,356.07,357.80,345.12,347.53,342.77,345.96,345.27,348.88,358.03,363.86,370.11,377.54,364.90,358.67,355.32,351.50,345.43,339.78,337.59,332.54,331.47,331.77,335.66,332.86,336.47,337.15,334.28,335.57,332.82,341.89,341.85,342.15,342.89,347.64,345.39,344.49,347.85,345.01,344.72,337.22,336.14,324.42,328.37,324.33,332.20,341.05,360.98,368.07,337.25,L7
2001-03-10 21:50:10+00:00,373.23,363.68,366.88,367.13,370.25,374.10,370.49,375.96,372.33,376.89,364.47,368.61,363.85,364.60,364.38,360.25,366.92,364.15,373.25,368.17,374.32,364.26,366.85,363.07,370.16,370.88,376.65,378.38,370.25,372.06,366.22,373.68,371.82,374.47,365.27,363.22,352.19,349.14,354.73,361.47,364.27,370.03,373.12,368.45,368.74,363.96,362.76,355.76,361.45,355.14,357.72,361.25,352.44,360.36,366.00,382.65,385.85,389.14,379.96,379.36,371.91,370.23,366.31,368.10,366.06,369.76,371.45,373.93,378.93,379.49,370.79,372.28,370.50,365.16,359.51,347.56,347.45,343.06,342.56,339.52,335.32,333.62,332.71,340.08,343.30,345.39,344.95,355.82,350.80,357.49,357.56,356.49,346.22,353.40,356.61,355.10,350.78,349.14,356.79,353.66,351.85,345.05,344.61,345.63,341.29,302.66,L7
2001-06-30 21:49:12+00:00,381.40,389.85,386.70,384.25,384.10,385.42,388.70,388.15,381.98,381.28,388.29,385.44,378.71,381.36,368.00,374.22,379.22,379.11,374.20,378.30,371.51,392.29,402.39,390.09,382.68,392.00,408.75,408.76,390.55,388.22,398.38,384.94,378.92,385.17,374.52,390.66,400.80,394.47,398.77,374.11,367.69,379.00,397.73,382.17,377.18,388.37,375.18,397.35,397.65,388.21,379.62,371.79,378.38,382.55,391.22,377.70,382.89,369.23,380.45,384.28,389.78,390.07,382.79,384.64,384.94,382.35,371.27,379.13,377.41,378.29,379.94,366.24,359.15,355.13,349.00,343.06,351.03,346.32,349.38,350.07,351.58,347.77,352.44,356.11,357.50,359.43,368.37,370.73,371.22,374.82,376.09,379.16,374.53,372.62,361.19,367.91,363.96,357.06,352.02,357.33,350.55,343.76,347.84,339.06,344.06,336.57,L7
