dates,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0104,nzd0231-0105,satname
1999-09-29 21:52:52+00:00,397.59,379.90,365.32,374.96,382.18,374.30,382.08,373.30,378.84,382.07,390.33,381.86,388.40,386.80,383.25,388.34,377.77,383.68,383.82,381.67,379.81,384.71,377.82,382.28,373.63,375.08,367.95,368.68,370.90,363.52,372.16,382.68,385.73,384.02,379.09,371.44,370.45,364.36,376.26,372.65,364.98,379.10,379.37,379.46,372.22,379.18,371.50,381.68,379.80,373.69,374.82,383.06,372.48,373.54,373.32,371.57,376.86,369.45,378.89,365.78,378.25,378.14,373.27,374.78,385.83,384.75,379.08,373.31,370.90,366.35,363.92,369.58,356.97,362.68,360.97,357.62,359.89,354.43,364.12,357.06,356.83,350.94,355.58,358.66,356.61,357.69,368.47,367.10,366.45,376.71,378.15,376.52,369.99,373.20,358.68,366.70,355.25,352.08,353.47,356.90,346.54,333.91,332.78,331.43,348.27,339.13,L7
1999-10-15 21:52:49+00:00,391.26,369.06,360.98,365.81,370.97,370.80,378.01,372.81,374.78,379.69,379.57,377.09,375.90,377.06,379.42,384.31,375.48,379.09,376.12,374.87,374.57,373.58,372.89,377.93,372.22,371.42,369.45,364.38,368.60,359.22,367.07,371.86,374.38,374.77,370.46,367.43,365.31,362.52,364.78,366.92,360.28,370.74,371.38,373.88,369.43,369.69,369.79,373.40,373.56,369.27,372.14,372.90,371.04,368.44,369.79,369.09,371.01,367.84,371.87,365.49,373.76,373.33,369.08,373.70,375.90,379.78,374.76,371.19,364.85,362.65,362.71,364.01,358.40,361.11,358.98,354.94,354.97,349.94,355.40,350.12,352.87,346.40,353.55,353.50,351.97,357.90,360.86,364.07,363.83,374.58,368.93,372.75,369.10,367.65,357.88,362.75,355.03,348.94,352.05,350.33,342.47,329.97,327.06,330.18,347.58,344.14,L7
1999-12-02 21:52:40+00:00,377.25,362.74,358.32,359.02,364.23,361.15,370.49,366.47,367.52,370.53,370.16,366.66,364.80,366.49,367.71,373.74,365.61,369.28,364.76,365.26,363.00,364.49,366.06,371.21,368.98,366.16,364.85,358.22,361.72,355.10,362.90,364.32,365.78,363.88,362.08,358.98,358.29,356.17,357.59,359.47,355.00,363.97,363.66,363.82,361.09,360.68,359.86,365.87,364.10,362.07,364.83,364.76,362.09,368.44,369.79,369.09,371.01,367.84,371.87,365.49,373.76,373.33,369.08,373.70,375.90,379.78,374.76,365.87,360.20,361.34,357.17,360.90,354.90,356.29,353.78,348.73,349.19,343.83,349.79,342.89,347.57,342.14,346.87,346.19,345.91,349.85,355.10,356.02,356.40,364.84,358.81,362.02,358.96,358.49,350.63,354.94,347.32,343.58,343.73,340.55,332.76,329.97,327.06,330.18,347.58,344.14,L7
2000-02-04 21:52:37+00:00,375.71,359.81,356.20,357.01,361.67,360.30,368.65,364.88,365.25,367.82,367.73,365.07,362.99,366.13,367.98,373.80,364.96,367.59,362.10,363.34,360.04,361.45,362.40,369.54,368.29,365.04,363.95,357.34,361.42,356.18,364.40,363.88,363.64,361.84,361.01,356.85,355.54,353.62,355.38,356.34,352.08,358.62,357.62,360.55,356.57,357.30,356.62,363.29,361.59,361.11,363.96,362.31,359.51,359.22,362.89,362.84,365.04,362.05,369.09,365.31,374.20,373.84,369.70,369.78,373.71,374.76,370.36,364.35,358.63,359.06,355.36,359.78,351.93,354.31,352.67,347.75,347.46,342.90,347.53,341.13,345.92,341.12,346.19,344.78,344.75,347.89,353.27,354.15,355.14,361.56,356.52,359.25,357.72,359.23,351.30,353.10,345.53,341.84,342.60,341.25,334.54,332.26,329.11,330.44,339.62,324.41,L7
2000-04-24 21:52:10+00:00,360.12,352.73,353.06,350.97,352.12,352.58,358.19,358.31,356.57,354.48,355.65,355.31,350.79,355.05,355.71,359.66,353.27,354.50,349.96,351.78,346.73,350.03,353.52,358.84,360.98,358.14,359.03,352.64,355.61,355.27,360.20,357.12,354.56,352.32,352.68,347.83,342.74,342.02,344.46,346.33,344.69,346.01,346.54,346.45,345.06,346.68,346.22,351.51,351.86,352.54,354.60,351.12,349.94,347.65,352.12,349.60,350.25,350.64,357.80,363.44,365.48,365.55,361.81,356.81,362.15,358.24,356.52,355.50,352.94,355.28,347.93,354.70,349.22,347.07,345.57,340.66,340.22,337.83,338.61,332.65,335.83,335.74,337.38,335.40,334.24,335.55,341.79,343.63,346.19,348.76,345.51,346.48,346.68,347.52,343.51,342.07,338.83,337.14,337.29,336.14,330.36,333.68,330.22,326.47,320.26,299.50,L7
2000-05-26 21:51:48+00:00,364.92,356.62,355.98,355.20,357.39,357.64,361.65,362.96,361.91,359.78,359.57,359.08,356.90,358.18,359.11,362.62,357.20,358.77,355.68,358.19,353.27,356.33,357.84,361.67,363.57,362.53,362.62,358.36,360.67,358.95,364.61,361.09,360.70,358.03,358.82,352.78,348.53,346.65,348.71,350.25,348.30,350.47,350.86,351.05,349.65,352.47,352.74,357.17,356.47,357.30,357.67,356.77,355.15,353.55,356.68,355.23,358.49,359.32,364.73,367.61,369.01,368.46,365.94,362.13,366.96,363.80,362.13,360.39,357.41,359.37,352.36,357.24,352.66,350.02,347.95,343.38,343.45,341.69,342.37,337.40,339.66,339.62,341.52,338.33,338.50,338.57,345.78,347.33,349.62,352.84,350.50,350.78,349.81,351.09,347.20,345.76,342.76,342.79,341.92,340.74,333.83,337.14,333.82,331.56,325.56,314.75,L7
2000-07-13 21:51:19+00:00,370.31,360.49,357.37,360.45,361.80,364.76,366.54,369.84,369.34,365.89,365.90,364.96,364.28,361.82,364.31,363.19,362.52,361.60,361.73,364.45,360.20,361.60,365.00,365.80,369.44,369.10,367.23,367.24,364.04,362.76,365.65,364.97,368.31,366.90,363.04,357.18,350.53,352.24,354.50,352.30,350.86,352.49,353.08,353.84,356.48,358.45,359.27,358.08,358.56,361.24,359.07,359.56,359.96,356.30,358.59,359.12,362.30,361.82,365.28,366.86,368.96,370.74,368.74,364.60,368.80,366.13,365.82,363.96,363.14,362.75,358.38,360.57,356.16,353.48,349.66,348.22,346.27,346.92,346.30,342.94,343.13,343.20,345.21,344.81,346.49,346.58,351.96,354.54,356.30,358.69,357.75,355.33,354.33,356.23,352.06,349.84,349.44,351.76,350.08,351.40,342.98,337.26,333.70,334.06,327.41,327.82,L7
2000-08-14 21:50:56+00:00,372.54,365.09,364.43,364.61,368.13,371.62,372.25,376.22,376.81,371.62,372.13,369.04,368.94,364.50,365.70,364.05,362.51,362.87,363.92,369.21,365.14,367.77,369.52,368.15,372.21,375.71,371.63,373.09,367.82,365.77,369.58,368.07,375.06,373.57,368.60,363.14,356.81,354.14,357.79,356.93,356.75,356.59,359.28,359.13,363.35,364.61,365.13,361.29,361.11,362.48,361.77,365.27,365.14,362.65,363.31,362.47,367.79,367.05,367.46,368.92,369.38,369.95,370.96,366.23,371.54,370.61,368.96,368.65,367.68,368.98,363.79,363.59,361.75,356.70,351.19,350.33,348.20,351.33,350.32,348.09,346.85,346.94,348.83,347.81,352.00,351.00,355.03,357.51,359.52,362.24,362.92,359.40,355.38,356.63,354.35,353.74,352.65,357.46,353.62,352.40,343.16,339.53,335.78,338.15,332.87,342.76,L7
2000-09-15 21:50:25+00:00,373.62,365.87,365.88,365.82,370.59,371.63,373.35,376.53,376.07,373.22,372.53,369.89,369.55,365.92,367.36,366.47,363.69,364.94,364.41,368.72,366.44,368.70,370.65,370.10,373.27,374.75,371.99,371.59,368.76,366.38,369.74,369.58,374.88,374.38,369.15,363.74,357.79,355.08,357.00,357.22,357.09,357.98,357.34,359.53,362.96,363.01,363.37,362.17,361.96,362.98,362.90,368.22,367.27,364.23,363.95,363.32,366.82,365.57,367.33,366.42,369.83,369.62,370.24,366.44,370.91,371.76,371.00,371.38,368.22,369.05,362.78,362.83,359.52,357.63,351.41,350.68,347.77,349.84,349.48,346.69,347.66,348.24,350.05,348.80,352.52,351.22,355.89,357.63,359.52,361.99,362.01,358.00,353.98,355.82,353.59,355.05,352.42,355.03,351.39,351.96,343.40,340.47,336.75,336.73,333.89,340.09,L7
2000-10-17 21:50:01+00:00,372.76,364.25,366.97,363.91,369.27,371.45,374.34,376.82,376.36,372.70,372.15,369.47,368.31,366.72,367.64,367.29,364.76,366.18,364.46,368.75,365.47,368.28,371.05,371.80,374.38,375.29,373.58,372.64,370.95,368.94,369.94,367.34,372.95,371.76,368.75,363.92,358.98,355.47,357.64,358.59,357.82,359.81,357.34,359.74,362.54,362.05,362.01,360.30,360.07,364.12,364.34,371.30,369.96,366.96,365.78,364.55,366.31,365.16,368.28,367.30,370.63,369.67,369.22,366.52,371.26,371.00,372.72,372.47,369.44,370.19,363.87,364.12,360.25,358.78,352.90,351.78,348.97,349.69,349.35,346.75,347.53,349.57,351.53,350.38,352.71,350.90,356.49,356.18,360.07,361.88,362.01,357.41,355.91,356.40,353.90,354.54,350.83,353.13,350.12,351.70,342.94,339.38,337.02,338.99,337.81,340.09,L7
