dates,satname,sar1199-0000,sar1199-0001,sar1199-0002,sar1199-0003,sar1199-0004,sar1199-0005,sar1199-0006,sar1199-0007
1984-04-13 09:27:07+00:00,L5,172.24,162.83,175.49,173.04,185.83,191.17,175.33,181.56
1984-07-18 09:28:46+00:00,L5,172.05,168.61,168.25,180.98,186.54,189.35,177.04,178.82
1984-08-19 09:29:51+00:00,L5,178.38,169.44,170.80,179.48,188.09,193.28,176.17,172.00
1984-09-20 09:30:04+00:00,L5,179.14,172.33,181.21,184.90,190.02,190.55,180.66,180.56
1984-10-22 09:30:00+00:00,L5,180.90,172.44,181.58,184.62,192.01,188.58,177.43,176.23
1984-11-07 09:29:53+00:00,L5,177.95,175.19,173.81,180.48,193.97,197.35,179.83,188.50
1984-12-09 09:29:58+00:00,L5,181.27,173.46,186.11,188.18,188.28,194.75,184.42,184.12
1985-01-10 09:30:15+00:00,L5,,,,,,,,
1985-03-31 09:30:19+00:00,L5,171.01,161.36,170.91,176.78,182.01,186.40,179.90,178.98
1985-06-03 09:30:04+00:00,L5,166.42,158.91,170.23,170.08,180.68,180.18,174.57,176.87
1985-06-19 09:30:02+00:00,L5,156.27,158.30,161.05,167.31,170.86,171.14,164.67,165.83
1985-07-05 09:29:57+00:00,L5,292.90,283.33,284.71,276.60,,291.63,250.22,
1985-10-09 09:28:59+00:00,L5,172.15,162.67,172.59,177.49,184.93,188.58,180.03,176.15
1985-11-10 09:28:33+00:00,L5,177.66,172.17,180.61,189.63,191.35,196.24,178.30,186.82
1986-01-13 09:27:22+00:00,L5,174.96,182.15,186.98,180.85,192.50,186.38,182.25,182.48
1986-02-14 09:26:39+00:00,L5,163.31,163.06,168.06,166.93,181.15,181.96,168.61,177.39
1986-04-19 09:25:17+00:00,L5,175.59,170.99,177.52,180.39,191.06,197.69,179.15,177.23
1986-05-21 09:24:27+00:00,L5,170.35,164.75,173.67,173.95,185.61,189.31,173.17,176.62
1986-07-08 09:22:57+00:00,L5,178.11,170.88,176.21,175.80,189.61,187.82,174.25,177.73
1986-10-12 09:19:38+00:00,L5,175.32,168.86,177.58,180.72,191.05,194.09,183.01,183.73
1986-12-31 09:19:14+00:00,L5,176.47,170.51,,,,,,
1987-01-16 09:19:41+00:00,L5,177.02,181.40,190.91,189.17,201.26,200.39,193.04,187.49
1987-02-01 09:20:12+00:00,L5,182.12,172.68,170.08,182.03,190.56,204.24,178.70,188.20
1987-02-17 09:20:59+00:00,L5,180.60,170.19,165.95,180.31,182.49,,,373.19
1987-03-21 09:22:02+00:00,L5,184.06,177.38,182.02,189.20,197.06,190.04,186.36,184.83
1987-04-06 09:22:36+00:00,L5,180.40,173.28,183.23,181.68,191.31,188.96,182.88,185.34
1987-05-08 09:23:35+00:00,L5,179.58,171.67,179.67,174.79,179.30,190.51,178.23,177.99
1987-06-25 09:24:44+00:00,L5,180.78,168.32,180.15,179.85,190.17,191.45,184.26,183.04
1987-07-11 09:25:03+00:00,L5,170.34,166.48,172.60,179.25,188.99,189.73,178.05,180.99
1987-07-27 09:25:25+00:00,L5,181.38,173.82,172.65,177.15,185.42,179.23,176.72,177.68
1987-08-12 09:25:55+00:00,L5,172.40,170.58,170.02,175.56,185.39,178.86,175.41,177.21
1987-08-28 09:26:22+00:00,L5,169.59,168.56,171.60,176.82,183.27,190.67,178.38,178.24
1987-09-13 09:26:45+00:00,L5,174.71,170.29,178.17,182.01,191.03,187.27,183.36,182.03
1987-09-29 09:27:07+00:00,L5,176.56,169.79,165.69,170.69,182.74,179.32,170.15,173.64
1987-10-31 09:27:40+00:00,L5,181.37,175.70,170.65,184.55,186.54,197.82,180.37,189.52
1987-11-16 09:28:03+00:00,L5,181.32,179.08,174.57,189.30,193.39,199.80,186.33,187.98
1987-12-02 09:28:18+00:00,L5,179.09,162.79,177.56,180.21,188.00,,,
1988-01-19 09:29:05+00:00,L5,,,,156.99,187.13,,,
1988-02-20 09:29:38+00:00,L5,178.90,176.78,173.45,179.93,186.44,185.33,176.83,175.90
1988-03-07 09:29:48+00:00,L5,179.69,179.46,179.11,193.15,201.88,189.12,194.16,187.50
1988-04-24 09:30:07+00:00,L5,,,,,187.28,180.45,176.66,175.73
1988-07-13 09:30:39+00:00,L5,169.60,167.12,176.03,177.52,187.76,190.80,179.73,180.52
1988-08-14 09:30:40+00:00,L5,166.52,164.88,164.73,170.46,178.66,189.72,174.61,175.44
1988-09-15 09:30:41+00:00,L5,181.81,176.38,176.21,181.18,190.02,176.62,181.34,177.28
1988-10-17 09:30:31+00:00,L5,181.46,174.50,185.57,185.77,199.55,189.27,179.26,175.34
1988-11-02 09:30:34+00:00,L5,181.27,178.82,180.26,185.70,194.76,198.47,179.02,185.19
1988-11-18 09:30:32+00:00,L5,166.24,161.28,170.46,178.87,186.40,195.25,176.91,180.95
1988-12-04 09:30:29+00:00,L5,162.89,163.90,164.51,177.57,188.75,199.49,180.94,181.54
1989-02-06 09:29:59+00:00,L5,170.85,161.21,173.85,175.37,178.32,188.87,177.74,180.77
1989-03-26 09:28:53+00:00,L5,182.66,178.60,188.30,184.21,190.21,189.49,183.14,181.28
1989-05-29 09:28:17+00:00,L5,181.37,174.16,172.19,173.90,184.41,173.93,176.74,172.96
1989-06-14 09:28:10+00:00,L5,166.54,168.96,167.88,176.94,185.02,194.97,177.70,178.82
1989-06-30 09:27:39+00:00,L5,169.31,164.77,172.09,174.46,185.34,176.97,166.02,169.18
1989-07-16 09:27:19+00:00,L5,172.96,171.51,168.53,169.21,183.43,190.48,177.39,182.29
1989-08-01 09:26:59+00:00,L5,165.58,168.14,164.89,176.50,181.16,186.65,175.07,177.84
1989-09-18 09:25:44+00:00,L5,166.55,159.69,169.22,169.20,178.83,181.81,175.13,174.74
1989-12-23 09:23:10+00:00,L5,168.73,169.61,,,,,,
1990-02-25 09:21:09+00:00,L5,172.41,170.58,176.22,175.20,189.85,190.72,181.03,182.45
1990-04-14 09:20:11+00:00,L5,176.06,168.35,165.49,174.38,180.34,188.68,175.74,179.73
1990-05-16 09:20:13+00:00,L5,177.10,168.92,181.52,179.19,191.29,196.10,180.89,179.99
1990-06-01 09:20:08+00:00,L5,181.27,178.29,177.61,182.07,185.09,175.61,176.58,174.17
1990-07-03 09:20:06+00:00,L5,181.43,176.29,185.25,180.89,191.98,192.60,188.00,183.53
1990-08-04 09:19:56+00:00,L5,174.87,163.88,175.93,177.55,189.16,195.14,169.47,171.62
1990-08-20 09:19:54+00:00,L5,178.72,170.10,179.02,179.14,189.00,191.92,178.85,171.84
1990-09-05 09:19:46+00:00,L5,181.45,174.74,182.51,189.77,194.36,187.46,183.55,180.47
1990-09-21 09:19:43+00:00,L5,170.77,162.24,167.66,169.31,180.36,179.46,175.70,174.25
1990-11-24 09:19:19+00:00,L5,167.25,,,,,,,
1990-12-10 09:19:16+00:00,L5,157.52,163.49,,,,,,
1991-01-11 09:20:03+00:00,L5,156.59,165.61,,,,,,
1991-02-12 09:20:42+00:00,L5,181.53,182.17,201.10,200.33,207.77,203.30,202.53,205.33
1991-04-17 09:21:56+00:00,L5,163.88,162.21,170.69,173.60,190.39,191.14,174.21,162.32
1991-05-19 09:22:26+00:00,L5,172.25,160.24,173.62,173.27,185.38,197.71,170.66,172.10
1991-06-04 09:22:42+00:00,L5,163.16,154.60,160.87,170.27,174.70,178.70,159.71,173.05
1991-07-06 09:23:10+00:00,L5,172.10,173.08,169.89,174.11,183.62,173.91,179.23,172.60
1991-07-22 09:23:22+00:00,L5,181.25,172.88,174.71,181.24,182.57,173.59,172.17,170.49
1991-08-07 09:23:28+00:00,L5,169.71,174.88,175.04,178.97,188.89,190.38,186.55,182.80
1991-08-23 09:23:34+00:00,L5,174.43,166.08,173.90,170.32,172.62,,,
1991-09-08 09:23:48+00:00,L5,159.69,149.20,155.09,159.23,168.64,176.19,157.20,163.58
1991-09-24 09:23:55+00:00,L5,172.01,162.25,169.10,165.99,174.79,178.93,168.36,171.72
1991-11-11 09:24:09+00:00,L5,173.65,170.22,172.20,180.46,190.27,194.74,179.76,182.94
1992-01-14 09:24:13+00:00,L5,176.11,175.03,173.52,180.13,183.89,190.60,175.31,175.34
1992-02-15 09:24:02+00:00,L5,176.74,163.34,174.66,177.98,186.59,189.02,176.40,185.28
1992-04-19 09:23:54+00:00,L5,140.10,145.14,168.54,172.53,182.31,177.60,176.59,169.02
