,dates,usa_HI_0007-0000,usa_HI_0007-0001,usa_HI_0007-0002,usa_HI_0007-0003,usa_HI_0007-0004,usa_HI_0007-0005,usa_HI_0007-0006,usa_HI_0007-0007,usa_HI_0007-0008,usa_HI_0007-0009,usa_HI_0007-0010,usa_HI_0007-0011,usa_HI_0007-0012,usa_HI_0007-0013,usa_HI_0007-0014,usa_HI_0007-0015,usa_HI_0007-0016,usa_HI_0007-0017,usa_HI_0007-0018,usa_HI_0007-0019,usa_HI_0007-0020,usa_HI_0007-0021,usa_HI_0007-0022,usa_HI_0007-0023,usa_HI_0007-0024,usa_HI_0007-0025,usa_HI_0007-0026,usa_HI_0007-0027,usa_HI_0007-0028,usa_HI_0007-0029,usa_HI_0007-0030,usa_HI_0007-0031
0,1990-08-19 20:14:00+00:00,,,,212.08803237261253,,,213.0028830981474,184.85524544867312,175.1811363708288,172.06241176421665,181.27473382581564,189.35039247622873,191.1400343144192,198.7346875147277,181.33222145293607,189.81485821958995,178.9648220330742,172.93049358331524,169.04333437102576,174.96318608615798,185.95266266087538,184.14934791074177,175.75936117161663,207.5495680858009,191.31912618935905,,,,214.93412589911418,,178.76057859214862,
1,1991-10-25 20:18:11+00:00,,,,200.84720165144245,,,,194.90460098420738,189.92565580999357,182.92152869663207,204.14031532213127,214.46593159806574,218.57071365112083,211.64874461660173,187.12440216323893,189.79840938002113,186.96677374666893,185.29409531109948,184.41191968838072,197.02313418711182,204.26038343650177,195.28423203894843,195.16572621993492,211.59806472510948,203.89009823816878,193.0063229285976,,,195.6676992927005,186.06688583678527,187.95280491578146,192.40940141295445
2,1991-11-10 20:18:16+00:00,152.7260625780531,155.2002300108494,159.78708047339782,151.9003301525246,157.57682198063532,173.31704441600925,190.50734006170234,178.59621234104478,173.095882576286,,160.82829106849468,185.40932367715737,192.56111351662628,179.52444476377286,,,,,168.91375637001067,181.02252474679605,174.16878782136203,178.7774031177001,168.2534742479325,178.53737957286074,172.19544316059554,164.01978733815147,152.35089544763414,154.29974847903435,167.14698594705993,166.86315865872615,,165.606843328163
3,1991-11-26 20:18:23+00:00,150.618251917705,154.5817114404522,155.34844325111013,150.9297062905188,149.57606822828944,167.39917816574933,191.02118848448245,176.57004875961982,163.71534291252945,,168.0485056622601,190.59802530568345,199.59837897214155,185.56045336054106,158.5725439978232,,158.7727141959707,160.91919795921447,174.1429574269686,179.6836858553255,175.7028536362541,173.90935813300044,166.68222861851012,185.2173037864626,175.60070050770364,172.02818615872226,165.57791852219464,162.2738080470027,175.45366399185417,169.79900496558923,,176.28875407459165
4,1999-09-05 20:46:59+00:00,181.0579734256121,184.47354577757008,181.2708765872119,173.16371530132122,182.68056153345597,183.97129487498796,187.63071639142922,166.75633097542394,175.82355415963988,194.96252355221702,195.73739259527784,188.02549098119863,190.67351805753415,192.04237960167515,193.59342913744004,203.27331299385958,,208.9137133291209,208.3948537916061,210.9551450046543,203.14119603397407,200.78455461187525,197.15187924432146,208.23233558261248,202.60520988613746,,,204.21985078135165,207.38932376431316,203.24890724353583,195.57977191590376,206.98535776731302
5,1999-11-08 20:46:58+00:00,174.24624212823164,178.8587075008682,,,,182.8585087894804,194.90347775775717,170.7423464573289,167.25580803916165,163.800714126941,181.7756686535538,197.4736470259072,202.10999931851256,187.92337050154555,173.35974819451673,169.38292256492042,168.71428274033326,177.19121956564015,191.8209573977523,193.78767267958744,189.65310938663026,189.6768076104105,188.5469334634087,196.4964412965946,189.12875944087472,163.11858485242595,165.08485680117798,185.40713577666875,201.95106398075094,188.68157901709264,179.3281770107472,188.113954602788
6,2000-01-11 20:46:54+00:00,,,,178.19762189064923,178.83165312269713,,,,,,,218.64574321508135,229.47591302310852,,190.50530009783128,186.06063996747451,187.79537502191076,198.78970451429305,,,,,,224.13624698670614,,198.03874134594088,191.98460955784216,195.7575248375326,212.21982182441738,207.45066413824097,193.31292970220588,206.6722553284619
7,2000-02-12 20:46:47+00:00,164.82668094768735,163.73624014557083,160.41558556112068,141.2608056447594,155.76119479823535,148.049773066913,179.0169097756651,166.92737614868452,161.86534940916584,150.54884648433995,161.19422055977404,185.53177470747147,,169.92258636698918,,143.58461656010275,139.4202470776865,161.82345808096062,176.14821945710742,182.32132476405084,185.62050391695317,181.72276061550468,182.07938936482174,194.80673824404454,187.5750348823555,179.713034308747,172.41193368337085,170.81243098863789,177.49594609804473,172.75260415802043,155.26176226189187,173.75456220115976
8,2000-02-28 20:46:42+00:00,162.7005029885759,160.00295379529004,157.91212962809598,138.90865509548144,151.5437876932002,168.7011745509887,161.4526997202693,163.66085065167363,187.82723690101918,171.2170718848275,178.88471292678318,206.53069235125156,223.8112202912947,,179.85903598112415,168.56971907456258,168.71481397708865,175.49079362844796,194.74535025633162,204.67980222351972,197.46774618496752,202.42777332916435,201.20397314634008,221.02115186203838,212.0594389399984,195.53052207837376,189.38364917067287,190.64825464018017,199.59685449065975,197.84634342587836,173.87414572250233,192.99280163050727
9,2000-03-15 20:46:37+00:00,151.6352449710274,159.98723241461664,153.24693011783089,133.0374669976618,135.08700880094327,,,,160.1735580195362,,157.06796526059617,186.2847298681667,194.64880556242088,176.73521835480784,151.2864133228224,150.02359873779255,147.89776799807322,160.5333466206433,169.36912856338824,188.9390131285604,190.91030430984264,198.94732276286186,194.89093472479675,,,168.29134187714303,176.83894111049267,181.71960075891383,190.03132098382895,180.6310305891277,165.99549927615033,180.28139289645654
