dates,nzd0020-0000,nzd0020-0001,nzd0020-0002
1999-08-17 22:10:26+00:00,162.36095233172136,166.16200821334462,173.17061603608022
1999-10-04 22:10:38+00:00,186.1698407739955,156.54959720260092,162.89210576482972
2000-03-28 22:10:07+00:00,165.7031959984631,164.02974290364205,162.24376816210187
2000-04-29 22:09:53+00:00,160.95512082847276,159.2074659747074,164.8115213799425
2000-05-15 22:09:42+00:00,141.46629641863552,145.68186106063368,144.79457725296302
2000-08-19 22:08:38+00:00,130.78759945017373,142.37002332780324,153.29054578905487
2000-09-04 22:08:22+00:00,139.9738815078295,142.32855830801591,150.93629858936123
2000-09-20 22:08:03+00:00,115.7936503654413,132.03986134337967,142.21086481792685
2000-10-06 22:07:59+00:00,124.89842777243814,142.06572882700584,154.35277711415847
2000-11-07 22:07:53+00:00,,133.4408176568743,
2001-01-26 22:08:07+00:00,148.24997583990194,148.8869710371816,144.28309522675528
2001-03-15 22:07:52+00:00,,,154.36708498815054
2001-04-16 22:07:42+00:00,141.93276636056746,145.12891725309225,154.59838592804962
2001-06-03 22:07:16+00:00,160.899707677686,159.78540630297164,166.58386376150455
2001-09-07 22:06:11+00:00,135.22069596688797,141.49693511227855,145.85122680612582
2001-11-26 22:06:09+00:00,111.1133090056776,122.88027520839692,135.57985113019353
2002-02-14 22:06:29+00:00,126.80620084044376,150.62438295643784,158.4821158788707
2002-04-03 22:06:21+00:00,152.31930162085757,154.91472523997288,
2002-07-24 22:05:50+00:00,156.60392745268712,163.83339853906065,168.27754666067833
2002-11-13 22:05:30+00:00,82.2368064694835,134.61104458655427,149.3822504755392
2003-01-16 22:06:02+00:00,161.59436241791474,157.41136582973124,161.34543230154787
2003-04-06 22:06:21+00:00,154.7150069268677,161.7041952766075,165.78213506880368
2003-05-24 22:06:17+00:00,156.3959698575773,154.8182883135026,157.98538284703284
2003-10-31 22:06:00+00:00,,146.9849612775218,156.83056463575153
2004-01-19 22:06:35+00:00,148.52016048783926,157.59893852595565,161.15119535359344
2004-04-08 22:06:49+00:00,,,
2004-04-16 21:57:19+00:00,,,
2004-05-18 21:58:14+00:00,,,
2004-06-03 21:58:42+00:00,,,
2004-06-11 22:06:38+00:00,136.43506286394756,153.36824718215138,159.91759315338535
2004-07-13 22:06:34+00:00,151.3652975258346,154.23416577388303,156.14727818366745
2004-07-29 22:06:27+00:00,133.50811193010938,141.34636539836237,150.48045938992513
2004-08-30 22:06:20+00:00,172.92170514400428,168.302998634048,169.10017853965678
2004-10-17 22:06:14+00:00,164.0902686227542,162.57706780248083,
2004-11-02 22:06:28+00:00,170.09684140161846,167.20360661245354,
2004-11-10 22:02:36+00:00,,,
2004-12-04 22:06:44+00:00,247.27721269865415,167.04862235129497,166.49499100355942
2005-01-13 22:03:41+00:00,,,
2005-01-21 22:06:59+00:00,156.88460202267265,154.0012084932767,156.36722115402992
2005-02-06 22:07:07+00:00,241.08372134211854,148.84941968199092,156.84007944560196
2005-02-14 22:04:09+00:00,,,
2005-02-22 22:07:14+00:00,154.63950952870098,155.67730500446245,154.01568347114934
2005-03-18 22:04:34+00:00,,,
2005-04-03 22:04:40+00:00,,,
2005-04-19 22:04:43+00:00,,,
2005-06-06 22:05:05+00:00,,,
2005-06-14 22:07:02+00:00,133.55404462017165,139.6251440100693,143.44772112957193
2005-06-30 22:06:59+00:00,,,
2005-08-01 22:06:59+00:00,129.90482515221336,136.34350716633696,139.24386943491552
2005-08-09 22:05:35+00:00,,,
2005-09-02 22:06:46+00:00,152.17535073490552,155.52876116371476,158.69413447816729
2005-09-18 22:06:39+00:00,152.61253506118675,176.50127051088052,
2005-09-26 22:05:42+00:00,,,
2005-11-21 22:07:07+00:00,,156.02270314741943,158.02718501325947
2005-12-23 22:07:15+00:00,157.67411152777055,155.78804072757868,145.75496951647116
2006-01-08 22:07:25+00:00,156.4491212001958,159.67411503102255,165.54903919152846
2006-02-09 22:07:38+00:00,150.31310341898163,153.86143927960674,154.13664090036593
2006-02-17 22:08:11+00:00,,,
2006-03-13 22:07:41+00:00,253.0020733014422,174.4675446223349,171.56184785243468
2006-04-06 22:09:08+00:00,,,
2006-04-30 22:07:38+00:00,152.26161214078274,166.34012352975185,
2006-06-17 22:07:34+00:00,144.32334814197182,166.24617693816128,163.76308007006807
2006-06-25 22:10:20+00:00,,,
2006-07-03 22:07:28+00:00,124.56656395775614,135.3601728328142,143.22036737809222
2006-07-19 22:07:20+00:00,146.1666775424316,155.56527055211913,163.04491158655333
2006-11-24 22:07:37+00:00,183.72185648127626,173.10719773890688,
2006-12-02 22:12:34+00:00,,,
2006-12-10 22:07:44+00:00,173.379380111884,175.6072057678821,178.02499859374828
2007-01-03 22:12:49+00:00,259.9125246404056,108.29836159884734,
2007-02-12 22:08:00+00:00,127.94736755889694,139.67197192079223,149.59328776751056
2007-02-28 22:08:05+00:00,150.99189592051937,150.7074131596627,156.70052263570955
2007-05-03 22:08:02+00:00,176.16686467109093,170.8401708866532,171.80365656836076
2007-07-22 22:07:45+00:00,133.99446631877055,137.57499810711496,154.9449445135747
2007-08-07 22:07:40+00:00,160.37246579207613,160.7751673092208,169.16329430433535
2007-09-24 22:07:22+00:00,237.0737347920262,144.35824421618972,
2007-10-02 22:10:31+00:00,,,
2007-10-10 22:07:19+00:00,,150.10415854017495,171.8973922074644
2007-11-27 22:07:48+00:00,138.0941564883392,144.90686472384013,148.45789772362642
2007-12-29 22:07:56+00:00,155.1158650608118,162.6800912788858,167.179262532846
