,dates,jap0023-0000,jap0023-0001,jap0023-0002,jap0023-0003,jap0023-0004,jap0023-0005,jap0023-0006,jap0023-0007,jap0023-0008,jap0023-0009,jap0023-0010,jap0023-0011,jap0023-0012,jap0023-0013,jap0023-0014,jap0023-0015,jap0023-0016,jap0023-0017,jap0023-0018,jap0023-0019,jap0023-0020,jap0023-0021,jap0023-0022,jap0023-0023,jap0023-0024,jap0023-0025,jap0023-0026,jap0023-0027,jap0023-0028,jap0023-0029,jap0023-0030,jap0023-0031,jap0023-0032,jap0023-0033,jap0023-0034,jap0023-0035,jap0023-0036,jap0023-0037,jap0023-0038,jap0023-0039,jap0023-0040,jap0023-0041,jap0023-0042,jap0023-0043,jap0023-0044,jap0023-0045,jap0023-0046,jap0023-0047,jap0023-0048,jap0023-0049,jap0023-0050,jap0023-0051,jap0023-0052,jap0023-0053,jap0023-0054,jap0023-0055,jap0023-0056,jap0023-0057,jap0023-0058,jap0023-0059,jap0023-0060,jap0023-0061,jap0023-0062,jap0023-0063,jap0023-0064,jap0023-0065,jap0023-0066,jap0023-0067,jap0023-0068,jap0023-0069,jap0023-0070,jap0023-0071,jap0023-0072,jap0023-0073,jap0023-0074,jap0023-0075,jap0023-0076,jap0023-0077,jap0023-0078,jap0023-0079,jap0023-0080,jap0023-0081,jap0023-0082,jap0023-0083,jap0023-0084,jap0023-0085,jap0023-0086,jap0023-0087,jap0023-0088,jap0023-0089,jap0023-0090,jap0023-0091,jap0023-0092,jap0023-0093,jap0023-0094,jap0023-0095,jap0023-0096,jap0023-0097,jap0023-0098,jap0023-0099,jap0023-0100
0,1984-06-15 00:29:22+00:00,143.47750105980293,,,135.49456350189408,130.592487573272,126.52307150524507,118.11716039814286,112.80442487902852,112.37119214299551,111.85310741057778,114.83943217191216,114.86307236520675,118.7213958013399,123.24406843420142,120.14441249798725,112.10503733904031,108.96178356381282,107.36519463728473,111.84627416668326,113.07057243395334,118.25436799765558,127.67597928739262,124.03500002023213,116.29556877872338,115.68335653364834,113.65634190210511,108.2890482643808,108.6093540136327,103.8337338909819,103.874484202281,105.35680326061504,105.17775990790965,105.49528648844098,108.79954710301159,100.62067161129133,98.3705693889749,102.32633911509637,103.20787420728526,102.91133430083838,109.19432130661629,112.15169203873688,113.01347740366379,115.99785815742786,119.11107081698451,117.97504956101662,121.55494642134768,122.38709388251345,125.9687928321333,126.20890958666327,129.40870601558623,135.70669203875346,138.67869667360014,139.1840860462162,133.73644498391687,134.0634317501181,136.9627823936542,140.49853998604348,128.1022337372172,129.37109126991606,126.75278115239487,127.16787998403127,124.48104675063146,111.35032315581249,104.8969786136409,100.78615950614932,101.54384379061311,99.53223697136923,102.60291521462067,102.34137880168569,101.2733198800393,111.94191071320554,113.00053450576478,115.81039410835483,113.99149544833524,111.39378650445646,105.8720325865277,113.06692866662871,125.62407122108587,125.10968888667759,123.2588739692749,121.4308369832251,119.82551420224732,115.7673797322948,116.46323215797082,115.38371531095883,117.81863120991568,120.65388002984201,126.30508288355642,129.99749070956906,139.82101834977618,144.61380212240726,132.51205262115442,122.34166709850533,109.52485652755865,109.02611586797522,101.76045591057974,98.44842362029057,95.02556004057622,91.19240073621282,101.53145521702805,107.08691785704482
1,1984-07-10 00:23:29+00:00,129.4611380139557,125.29713949442512,128.60592901558533,124.69145610690123,121.3744959326545,117.82821728283587,117.36187311062531,117.89818767972001,116.40662816253617,113.91809853666724,113.61126312293611,114.16995907785153,117.72494447080078,122.83299142761085,116.21518647825616,114.15592101462447,111.48810124425836,110.35506653173246,107.83744666047855,111.53031650262864,113.92299200747796,122.98465944097582,117.58865659326158,115.11982343324333,114.58553788899579,110.99778051991106,103.7872427082851,104.97442883531798,102.40845843529067,100.58106596463489,103.28175779005038,103.58959623163659,109.11770856566382,111.62359328611771,109.10060552421761,106.96066903658603,106.78935245557831,111.41009689790167,112.25120149711944,115.07727185383278,119.39003622570797,117.47868247365273,122.98259373489829,115.65332848305562,116.48747455056832,119.24602942227813,121.45701998910721,122.17666024222653,123.8016947053111,126.0036455108746,131.52403141965354,134.74743262935726,138.48139400209539,142.24237860456043,140.74675216600798,144.10676761601442,139.5391371974263,134.078441891674,136.2470773763979,135.95312873338042,133.5361099629338,125.92625285349021,120.01387231052328,113.00058721349814,105.338591273562,101.21034095086216,99.84609693220361,99.36311880351059,104.88549306968842,101.98728560541369,115.088441412794,109.29207581864789,113.39249668881467,110.83795213403602,108.3984276429011,110.72117993807531,121.70090387245074,134.33130079961313,129.21090395184711,129.39011180412007,130.74995706054523,129.95735456230966,125.12923264282121,122.36910760797545,119.25814228615579,117.79482757507269,119.64068099838653,126.43531074504496,127.85927930187488,136.56603698386897,143.12518554161085,139.02521870952648,135.5694658133107,123.13347791194656,119.51827921353282,114.97484286223158,112.56942749747489,108.87679550388793,105.58266219648556,108.94684599556712,107.30892335946359
2,1984-08-18 00:30:55+00:00,131.91465281777943,122.53005279181178,129.02870114123942,125.70331227641215,119.38013948383454,116.09823760791363,112.42723999059025,114.88180096876124,114.94604790395033,114.64717984156164,114.18567026902953,117.10063801629099,121.43438628423073,122.4402045550349,120.19569144795477,115.73306124318913,113.41633903508706,113.12873675473696,114.42643707194422,112.39085138879167,116.19472327511687,124.28325298276636,118.57047227261131,112.85611490281167,111.90201940433599,109.10815677018559,106.27398044084515,102.66615977674394,102.19588170392558,102.18201914707936,102.43381771142234,105.63232329107379,108.97947869158406,113.62274474961963,108.29763897415489,108.46006376299441,107.00584327042999,112.0906566593947,113.4220496063349,116.79018993608955,117.49631520535885,117.81975795029972,122.73389704584454,115.3896485188228,115.0324773247703,118.49712107360534,120.68351050487874,119.51552686692423,124.86987433819844,127.44877082499549,133.17342571695758,137.2934645517938,141.1294304029095,146.09846084191838,144.69843155902467,147.62839748849206,146.75578998920923,144.75493793446637,143.50333608303853,141.14538869532194,141.64027098043871,132.53596001808478,120.36510259784792,116.07950536559652,100.29404341717073,98.02758003650943,102.84212617159143,103.3908064841315,106.8420620466392,101.7172924375559,110.23929497070691,111.58531034353759,114.83688274998008,115.54382534675312,113.30472985737039,118.44698244839412,123.41262001058139,133.78479881402404,128.73977493520604,128.52350635917554,128.20626495572333,124.37932826094422,123.01857197844802,115.37123896654872,112.41328818224177,111.09101370930998,123.42013311368136,126.07952620687489,129.34188905149784,135.7853387547603,142.62762133805302,144.76514622369672,135.4391586526563,121.96154496992497,116.37539603229459,114.06360166595184,108.6458914366911,106.8519716875615,100.21361111556976,101.93898203419877,103.85441653167405
3,1985-05-17 00:31:11+00:00,133.35647163774726,128.11062770252602,137.5748527133623,132.09861473340138,130.5091920726475,125.23708997998209,124.26278019815408,121.10894295987522,117.61696742881614,115.64592357515575,111.21426074955782,115.15075517220548,114.36135608490679,117.18602866116368,116.6211601722002,112.52858278648655,112.94962322543329,110.42657960155103,108.3807752934003,113.35875465748117,115.31282000170292,126.88166883348812,121.0163941055657,116.1465890385085,104.11393514901151,98.07643832124631,108.15651491328995,105.66755421096727,103.77801883889066,103.48931594273621,102.46895682069895,104.74266139271948,104.91239497075553,100.42580144814386,98.8657266151779,94.07888133699963,95.79940729715834,109.21945236875727,107.47732812218095,103.66594464617933,93.81585504907827,102.08921090291815,113.62576444355096,115.12510280475377,102.77600089066658,107.90849235449302,118.15153472188983,117.95595090975897,118.68375743144665,122.36800478449894,124.21884952690777,131.84696917878534,137.10374884524282,135.32092649109558,137.4349482959866,144.72785197248334,141.59995138779792,133.30989605287897,133.9531445173653,132.1721987109932,120.72015734806948,107.73290139314685,112.01235868029316,108.06587295374757,98.83342650818372,101.86589402831336,104.56493580930521,105.72499918537632,105.21278994638809,102.73495315991526,114.70825267679436,111.42772355298924,112.45607393400675,113.01228303425587,114.65573871613262,113.70061404877256,122.53434160975252,132.01192335550408,134.00393925256333,130.21005936714505,128.23841422275424,123.03420078798538,118.10859932796399,111.96942695415609,112.84659976681142,109.26475999772941,120.11403480481134,123.28259612437644,126.67334193930148,138.6568858637311,143.6782374006624,134.48476509977675,128.7760654890604,117.82586920132135,114.8230170063427,113.63416328539587,99.47158477298412,92.10940858170972,90.16485046434586,101.25421895363151,100.92776472456045
4,1985-06-18 00:31:09+00:00,,,,,,,112.68674944821288,115.0577887537529,111.04477810270569,111.63115586575837,112.32624861916337,115.80922063700336,116.75064457787218,120.63129385853328,117.05727377129321,113.68764793229208,111.58864860658932,109.44699312151855,109.58368709806476,115.11610893294703,119.50687510274076,129.0942856810334,124.11113448307529,119.78327834771943,117.71641559134702,110.78785760117259,103.36216474509672,99.51121277284798,99.51532998354769,96.9346116770394,98.48347369197195,97.10145566678813,101.75926992476462,107.23703472758626,103.63520042412232,103.6855488352777,102.65637715535115,107.78515645335177,103.385471706895,111.90607364571702,111.69467916265425,112.43881249140362,117.51072944636354,119.72277751200019,119.70636224619797,125.02863682902034,123.84274666661383,122.43570010400418,118.82537089667042,123.30670381320537,129.0055010295126,134.79628137200922,136.28007896646125,135.93460675441318,138.61246949435488,143.60981896465714,140.46902755200784,132.1892900479915,131.17139204510335,133.35255659347808,128.62413728945597,123.97779068060018,115.19084417271655,109.81004650398248,100.48137899119776,106.83638865531151,108.6165775892501,108.01128377585496,110.4959606101948,104.04873006580135,111.42956669138478,109.65740451207691,112.51267219023208,112.54926056312651,114.76198153458972,113.19716485236833,120.16066174037348,133.82291590252404,131.37739637826445,129.74750257197283,133.58057026036965,128.80046070742563,123.75480597062828,118.1726568068425,118.29990598008465,117.10463497219638,125.9347059266709,120.7964580788126,123.64458747134073,131.27440572523352,138.59321589894856,131.88670817881533,124.24248701846693,114.83830534336822,109.15352098216265,110.09770504658795,106.46329102636682,98.6110655120811,96.53022019331814,107.14266426646898,109.67061547928499
5,1985-11-25 00:29:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-02-06 00:21:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-02-13 00:27:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-03-10 00:21:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-04-11 00:20:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
