dates,satname,sar0913-0000,sar0913-0001,sar0913-0002,sar0913-0003,sar0913-0004,sar0913-0005,sar0913-0006,sar0913-0007
1984-04-29 09:27:29+00:00,L5,190.45,211.75,186.14,183.00,207.73,206.68,187.07,159.73
1984-05-06 09:33:51+00:00,L5,199.22,217.42,203.03,180.54,213.00,214.74,198.41,163.26
1984-05-31 09:28:23+00:00,L5,,,,,110.68,111.92,85.92,129.04
1984-06-07 09:34:42+00:00,L5,183.94,195.80,181.76,174.81,210.03,204.30,180.98,168.23
1984-07-02 09:28:52+00:00,L5,171.56,200.71,176.25,164.98,,,169.67,133.51
1984-07-18 09:29:10+00:00,L5,213.67,229.25,217.93,192.17,222.73,227.71,207.49,170.26
1984-08-19 09:30:15+00:00,L5,196.35,210.13,201.82,187.62,214.28,217.19,199.68,155.61
1984-08-26 09:36:33+00:00,L5,191.74,198.38,200.69,168.78,205.04,204.93,184.56,138.95
1984-09-11 09:36:38+00:00,L5,187.95,198.95,191.14,178.90,207.77,213.60,193.29,152.54
1984-09-20 09:30:28+00:00,L5,,,143.19,,,-56.34,-78.76,
1984-09-27 09:36:39+00:00,L5,199.09,213.44,202.01,190.82,215.72,206.92,195.08,148.62
1984-11-07 09:30:17+00:00,L5,,,,,205.64,212.38,199.65,169.89
1984-12-09 09:30:22+00:00,L5,200.04,211.12,206.36,190.26,222.52,220.26,200.42,161.35
1985-02-11 09:30:47+00:00,L5,205.55,237.35,246.60,257.00,276.11,297.30,203.20,180.76
1985-03-31 09:30:43+00:00,L5,202.49,222.77,203.05,190.85,219.50,219.33,197.87,163.41
1985-06-03 09:30:28+00:00,L5,197.94,211.67,186.94,181.52,206.48,212.63,190.72,162.48
1985-06-19 09:30:26+00:00,L5,,,,164.19,204.76,199.82,173.26,142.06
1985-06-26 09:36:35+00:00,L5,205.84,219.99,200.28,184.16,220.05,221.27,207.33,170.43
1985-07-05 09:30:21+00:00,L5,185.76,189.94,164.35,155.69,,,103.70,149.99
1985-07-12 09:36:29+00:00,L5,189.59,203.32,187.82,170.83,205.68,204.55,178.90,152.79
1985-07-28 09:36:22+00:00,L5,198.68,213.43,194.71,180.46,207.81,214.23,190.31,159.29
1985-08-13 09:36:12+00:00,L5,190.33,198.94,176.30,162.07,194.83,203.73,182.55,144.43
1985-08-22 09:29:56+00:00,L5,198.83,216.57,195.05,187.22,210.03,217.03,197.09,154.75
1985-08-29 09:36:02+00:00,L5,201.33,218.91,189.83,184.15,211.10,214.51,187.53,152.89
