dates,nzd0575-0000,nzd0575-0001,nzd0575-0002,nzd0575-0003,nzd0575-0004,nzd0575-0005,nzd0575-0006,nzd0575-0007,nzd0575-0008,nzd0575-0009,nzd0575-0010,nzd0575-0011,nzd0575-0012,nzd0575-0013,nzd0575-0014,nzd0575-0015,nzd0575-0016,nzd0575-0017,nzd0575-0018,nzd0575-0019,nzd0575-0020,nzd0575-0021,nzd0575-0022,nzd0575-0023,nzd0575-0024,nzd0575-0025,nzd0575-0026,nzd0575-0027,nzd0575-0028,nzd0575-0029,nzd0575-0030,nzd0575-0031,nzd0575-0032,nzd0575-0033,nzd0575-0034,nzd0575-0035,nzd0575-0036,nzd0575-0037,nzd0575-0038,nzd0575-0039,nzd0575-0040,nzd0575-0041,nzd0575-0042,nzd0575-0043,nzd0575-0044,nzd0575-0045,nzd0575-0046,nzd0575-0047,nzd0575-0048,nzd0575-0049,nzd0575-0050,nzd0575-0051,nzd0575-0052,nzd0575-0053,nzd0575-0054,nzd0575-0055,nzd0575-0056,nzd0575-0057,nzd0575-0058,nzd0575-0059,nzd0575-0060,nzd0575-0061,nzd0575-0062,nzd0575-0063,nzd0575-0064,nzd0575-0065,nzd0575-0066,nzd0575-0067,nzd0575-0068,nzd0575-0069,satname
1999-07-02 21:59:57+00:00,,,,,,,,,,,,,,,,,,,269.60,237.56,241.37,233.26,224.95,228.48,,,,,,,,,,,,,,,,,,,,245.13,235.22,241.15,252.85,257.51,256.59,255.40,243.45,,,,,,,,236.96,243.49,245.33,249.44,246.15,243.17,249.44,252.27,246.72,242.33,245.56,245.07,L7
1999-07-25 22:06:15+00:00,314.51,311.65,314.50,306.95,305.73,290.03,286.81,280.24,272.90,279.78,280.31,270.42,262.48,267.18,266.68,269.77,269.85,269.13,266.67,267.66,264.73,261.01,259.02,256.83,259.53,254.90,256.80,252.01,255.67,254.16,258.97,263.13,270.01,277.12,277.58,275.97,278.78,277.84,276.75,272.69,275.39,275.18,274.49,274.19,270.06,271.85,268.81,269.26,267.82,268.52,268.71,271.76,269.75,270.47,269.51,267.78,266.04,262.40,262.16,260.76,257.06,260.27,256.54,260.73,,,,,251.70,255.86,L7
1999-08-26 22:06:20+00:00,346.55,341.06,343.24,338.63,341.75,308.74,311.54,289.62,291.00,303.24,305.50,283.29,282.06,278.80,288.57,286.76,287.24,285.83,282.71,288.74,279.42,284.91,271.14,278.48,272.37,261.90,271.42,263.34,262.08,272.98,267.97,271.30,275.39,280.95,284.24,281.83,283.74,284.35,284.43,283.92,279.31,283.19,276.85,288.58,275.10,282.04,273.74,284.82,272.28,285.53,278.76,281.67,275.80,276.51,275.72,274.61,265.43,261.94,272.79,260.69,267.65,266.48,266.71,267.16,277.04,279.06,275.57,265.84,263.24,259.70,L7
1999-09-20 22:00:08+00:00,377.25,367.18,340.17,327.30,320.15,316.65,308.26,303.44,301.85,291.42,289.16,290.34,286.24,285.94,284.01,281.85,280.74,277.44,279.44,273.62,276.45,272.45,271.77,273.06,269.52,269.33,262.25,266.90,266.15,263.44,272.80,278.76,285.74,290.14,287.46,291.55,289.72,292.49,286.35,287.57,286.07,284.74,287.88,283.89,289.32,281.67,282.75,281.37,275.95,280.93,281.89,279.08,278.49,277.10,277.07,274.95,273.20,274.60,270.79,269.77,264.65,271.19,274.99,266.22,265.90,256.20,247.01,269.11,276.88,277.94,L7
1999-09-27 22:06:24+00:00,344.18,341.98,343.71,337.94,343.29,324.86,321.49,287.64,288.59,303.63,306.05,283.57,281.33,278.73,285.83,284.45,285.89,283.67,283.24,280.80,275.13,278.45,271.43,277.19,271.27,266.24,270.09,268.45,260.49,280.30,266.35,276.73,279.29,285.11,285.63,283.89,282.02,285.33,283.22,281.49,280.99,279.86,277.81,280.77,278.42,278.19,276.15,278.58,275.06,281.15,278.12,279.08,277.95,277.59,273.64,275.15,267.24,263.14,273.32,262.12,269.16,267.43,270.34,268.50,276.81,283.01,270.54,265.61,261.92,261.98,L7
1999-10-22 22:00:04+00:00,309.90,305.99,306.24,303.55,304.94,284.21,281.76,264.23,263.49,275.08,272.93,261.59,252.58,261.54,260.51,261.84,260.02,258.74,257.74,257.14,253.23,257.49,245.53,253.96,247.88,250.41,252.73,246.51,247.75,247.06,250.27,251.04,256.78,262.47,262.71,263.41,264.65,263.10,264.72,260.37,263.01,261.43,262.67,264.47,260.38,264.64,257.28,263.64,257.55,263.70,261.67,261.79,260.08,258.60,255.85,256.84,246.63,252.73,251.34,253.45,249.57,249.90,251.16,250.81,261.73,263.76,255.89,246.01,244.41,245.34,L7
1999-11-07 22:00:08+00:00,328.66,329.86,325.01,326.77,325.82,301.15,291.07,275.94,275.66,286.63,288.65,273.09,266.28,267.43,272.77,272.93,272.34,272.59,269.06,269.18,265.70,264.67,260.98,263.21,261.79,252.11,258.65,252.11,246.52,260.91,251.30,261.30,260.96,270.30,270.92,269.31,273.47,270.74,275.50,272.14,273.77,272.64,273.24,273.01,268.63,268.76,267.60,265.30,266.24,262.09,262.98,256.95,266.06,255.88,262.63,259.65,252.29,251.52,257.68,253.68,250.33,248.08,255.82,253.65,263.39,265.04,257.23,,,,L7
1999-12-09 22:00:09+00:00,322.86,322.41,318.74,319.05,318.64,295.96,288.13,274.94,275.11,289.61,286.22,270.60,269.86,264.55,272.62,269.73,271.55,269.40,270.28,268.98,269.08,260.67,266.20,256.07,262.97,249.83,257.23,250.41,247.25,263.82,249.91,263.97,264.70,273.38,271.51,273.40,273.88,272.94,273.27,271.45,272.20,270.97,270.39,268.47,271.03,265.73,270.09,261.87,266.57,261.81,268.70,262.87,265.21,272.34,269.65,276.64,254.42,244.55,259.75,248.75,253.64,249.69,256.47,253.35,263.68,260.73,259.85,255.17,242.62,251.72,L7
1999-12-16 22:06:21+00:00,,,,336.31,332.11,330.03,314.31,,313.00,304.84,295.20,302.46,299.30,295.24,299.00,294.61,294.51,287.22,292.72,281.63,286.18,283.91,282.45,279.77,279.92,283.02,278.82,286.98,283.56,276.25,288.16,294.65,296.78,296.49,298.88,294.41,298.49,292.83,292.50,289.46,291.09,288.57,292.98,288.99,295.97,289.14,290.20,286.66,282.12,281.64,288.66,285.81,289.42,288.35,284.50,287.36,287.92,287.63,278.31,283.78,281.57,282.70,277.73,279.83,283.27,270.39,274.64,274.61,280.43,287.11,L7
1999-12-25 22:00:04+00:00,315.19,312.28,310.49,308.11,304.95,288.00,283.74,265.62,268.21,274.04,272.42,260.37,256.65,262.25,260.44,262.25,259.85,257.82,258.87,253.23,255.66,250.56,250.77,251.98,250.47,248.41,250.52,248.76,243.77,252.47,249.47,255.44,258.63,263.36,261.97,263.92,261.22,262.48,262.76,260.94,262.88,259.69,265.87,263.36,266.38,262.15,263.41,262.75,260.28,263.25,259.35,260.68,259.74,257.95,256.72,252.75,249.80,248.47,249.72,251.91,250.34,253.45,252.75,259.54,260.28,261.04,252.88,244.86,245.18,241.19,L7
2000-01-17 22:06:11+00:00,295.03,306.31,306.08,299.01,301.20,295.05,288.28,278.72,278.22,271.09,272.63,267.66,263.31,265.55,265.07,265.35,259.23,261.77,253.99,258.32,254.15,253.34,249.66,251.19,252.17,250.39,246.48,248.27,244.14,244.29,246.72,252.72,256.35,261.67,261.66,262.73,262.58,265.15,259.03,260.80,255.96,258.21,256.49,258.82,258.46,260.39,257.47,259.75,254.69,258.91,257.15,256.74,257.04,253.56,252.31,250.53,251.54,247.20,248.27,245.53,245.45,252.99,254.51,253.39,247.37,245.85,243.11,242.61,236.91,250.54,L7
2000-01-26 22:00:02+00:00,,,361.58,339.71,335.27,333.70,319.74,,316.24,306.08,299.95,302.53,295.75,297.95,296.44,296.65,291.91,294.27,291.96,292.34,285.64,286.21,281.11,282.56,280.41,280.12,280.51,279.83,280.77,278.25,286.29,288.96,293.56,297.73,299.22,296.92,299.21,299.10,298.05,293.64,295.44,293.39,292.98,295.17,294.02,292.01,288.43,287.71,289.18,282.73,286.00,284.90,288.31,288.18,285.14,282.44,282.08,279.74,275.07,277.55,283.02,283.33,280.41,276.68,280.76,274.91,281.83,276.50,278.63,286.16,L7
2000-02-11 21:59:57+00:00,,,366.50,354.75,340.71,346.41,328.80,,324.27,308.93,309.52,307.43,301.57,300.07,298.94,297.70,296.57,294.27,296.63,289.16,289.47,285.92,281.51,282.76,280.18,285.68,283.52,288.46,286.74,280.52,285.37,292.11,294.70,299.07,294.00,293.54,295.78,296.53,299.23,295.42,294.66,293.16,293.89,292.70,294.88,293.30,287.92,287.73,287.40,289.21,286.40,288.33,291.37,290.51,288.09,285.62,283.05,278.22,277.74,279.20,284.69,287.51,281.17,285.72,270.54,271.62,271.70,283.36,287.10,283.05,L7
2000-02-18 22:06:05+00:00,333.48,335.46,335.37,335.79,339.60,309.40,307.25,276.79,281.29,292.71,297.91,274.22,274.46,273.02,273.06,273.07,275.77,272.61,275.59,271.66,273.38,268.62,268.02,265.92,265.87,254.68,264.49,254.24,252.74,263.30,256.37,260.83,263.58,267.97,267.32,271.97,274.49,272.97,274.58,273.49,275.71,277.24,279.10,277.22,275.39,273.33,271.93,274.72,267.51,269.38,267.05,269.36,265.05,267.98,264.96,268.01,256.36,258.64,265.83,259.67,259.54,258.55,266.83,266.75,265.86,260.29,261.59,255.84,252.14,249.51,L7
2000-02-27 21:59:52+00:00,,375.89,360.92,351.00,338.97,341.97,320.36,322.35,317.11,302.90,301.38,298.31,296.96,296.42,296.65,298.61,295.51,294.31,289.74,289.36,284.88,286.30,285.25,282.10,281.71,282.29,282.52,285.44,284.92,281.83,289.54,293.88,299.60,301.58,299.89,298.35,299.43,300.20,296.66,294.78,292.80,293.81,292.82,295.51,294.46,296.60,288.51,286.73,288.39,284.94,286.51,283.56,288.59,283.65,286.73,286.09,281.94,281.42,278.62,283.13,287.02,281.99,284.34,283.93,278.54,267.57,267.68,280.90,286.74,290.38,L7
