dates,satname,sar2412-0000,sar2412-0001,sar2412-0002,sar2412-0003,sar2412-0004,sar2412-0005
1984-04-13 09:26:43+00:00,L5,159.92,186.37,223.81,241.00,316.40,339.21
1984-05-06 09:33:03+00:00,L5,163.24,184.24,232.49,233.04,233.40,236.58
1984-07-18 09:28:22+00:00,L5,305.14,190.65,230.65,248.86,298.94,254.19
1984-08-19 09:29:27+00:00,L5,298.36,186.91,231.42,238.39,244.37,237.30
1984-08-26 09:35:45+00:00,L5,158.85,183.75,222.86,232.41,232.41,228.27
1984-09-04 09:29:37+00:00,L5,299.15,194.55,232.97,245.66,257.78,243.61
1984-09-11 09:35:50+00:00,L5,160.70,181.07,216.41,236.37,245.12,238.23
1984-09-20 09:29:40+00:00,L5,202.60,189.51,236.50,247.70,254.18,239.08
1984-10-13 09:35:49+00:00,L5,164.39,182.18,231.02,225.76,229.68,227.19
1984-10-22 09:29:36+00:00,L5,316.05,196.28,249.72,250.43,251.31,239.33
1984-12-09 09:29:34+00:00,L5,315.31,190.78,238.22,259.82,394.51,401.97
1985-01-17 09:36:05+00:00,L5,160.75,177.96,222.62,233.34,240.14,239.09
1985-03-15 09:29:58+00:00,L5,164.30,181.13,218.78,225.73,231.84,242.19
1985-04-23 09:35:59+00:00,L5,234.54,186.74,218.66,244.52,243.14,236.95
1985-05-02 09:29:43+00:00,L5,218.86,188.30,219.71,243.50,237.19,246.73
1985-05-25 09:35:51+00:00,L5,151.39,179.83,220.82,240.34,232.45,235.57
1985-06-03 09:29:40+00:00,L5,164.46,192.42,233.77,244.45,250.90,247.48
1985-06-10 09:35:50+00:00,L5,154.93,167.56,208.83,223.32,229.60,242.01
1985-06-26 09:35:47+00:00,L5,159.57,182.83,219.83,233.18,229.29,236.13
1985-07-05 09:29:33+00:00,L5,162.12,180.59,214.27,227.11,223.01,238.23
1985-08-13 09:35:25+00:00,L5,162.88,183.65,220.36,238.20,232.83,239.06
1985-08-22 09:29:08+00:00,L5,301.30,189.71,221.27,246.33,253.42,241.73
1985-10-09 09:28:35+00:00,L5,,,,,253.46,243.24
1985-12-03 09:33:55+00:00,L5,311.62,204.13,226.76,232.34,240.95,244.79
1986-01-13 09:26:58+00:00,L5,163.46,174.92,215.13,225.40,251.72,245.61
1986-02-21 09:32:17+00:00,L5,218.86,185.29,234.52,235.37,238.20,238.78
1986-03-25 09:31:37+00:00,L5,154.64,167.55,195.35,214.38,230.63,235.96
1986-05-12 09:30:29+00:00,L5,159.28,181.28,225.53,243.64,231.32,238.11
1986-05-21 09:24:03+00:00,L5,202.60,184.53,217.27,230.89,236.81,238.11
1986-06-06 09:23:35+00:00,L5,167.78,185.87,220.52,241.72,238.33,239.38
1986-06-22 09:23:04+00:00,L5,299.58,190.52,222.05,240.86,254.26,238.99
1986-07-08 09:22:57+00:00,L5,,,,,,
1986-07-24 09:21:59+00:00,L5,160.59,178.34,217.80,239.02,230.66,236.66
1986-07-31 09:27:55+00:00,L5,160.62,188.03,220.45,240.33,247.13,239.44
1986-08-16 09:27:20+00:00,L5,299.97,187.10,230.42,248.46,267.33,239.80
1986-09-10 09:20:15+00:00,L5,167.31,186.41,219.39,231.13,231.47,240.78
1986-09-17 09:26:13+00:00,L5,169.75,183.37,231.67,255.87,242.83,248.35
1986-10-12 09:19:14+00:00,L5,309.71,193.62,225.71,246.92,245.02,237.92
1987-01-16 09:19:18+00:00,L5,250.56,178.86,220.44,240.07,238.23,242.62
1987-02-08 09:26:15+00:00,L5,162.84,183.79,221.80,230.05,231.87,243.06
1987-03-21 09:21:38+00:00,L5,302.91,188.98,230.24,248.63,258.12,240.04
1987-04-29 09:29:06+00:00,L5,235.25,187.78,228.70,239.86,240.97,240.28
1987-05-15 09:29:33+00:00,L5,158.90,184.62,216.65,225.59,231.20,238.42
1987-06-09 09:23:59+00:00,L5,161.92,180.18,222.54,242.15,241.65,241.28
