dates,sar2412-0000,sar2412-0001,sar2412-0002,sar2412-0003,sar2412-0004,sar2412-0005,satname
1984-04-13 09:26:43+00:00,159.92,186.37,223.81,241.0,,,L5
1984-05-06 09:33:03+00:00,163.24,184.24,232.49,233.04,,236.58,L5
1984-07-18 09:28:22+00:00,,190.65,230.65,248.86,,254.19,L5
1984-08-19 09:29:27+00:00,,186.91,231.42,238.39,244.37,237.3,L5
1984-08-26 09:35:45+00:00,158.85,183.75,222.86,232.41,232.41,228.27,L5
1984-09-04 09:29:37+00:00,,194.55,232.97,245.66,257.78,243.61,L5
1984-09-11 09:35:50+00:00,160.7,181.07,216.41,236.37,245.12,238.23,L5
1984-09-20 09:29:40+00:00,202.6,189.51,236.5,247.7,254.18,239.08,L5
1984-10-13 09:35:49+00:00,164.39,182.18,231.02,225.76,229.68,227.19,L5
1984-10-22 09:29:36+00:00,,196.28,249.72,250.43,251.31,239.33,L5
1984-12-09 09:29:34+00:00,,190.78,238.22,259.82,,,L5
1985-01-17 09:36:05+00:00,160.75,177.96,222.62,233.34,240.14,239.09,L5
1985-03-15 09:29:58+00:00,164.3,181.13,218.78,225.73,231.84,242.19,L5
1985-04-23 09:35:59+00:00,,186.74,218.66,244.52,243.14,236.95,L5
1985-05-02 09:29:43+00:00,,188.3,219.71,243.5,237.19,246.73,L5
1985-05-25 09:35:51+00:00,151.39,179.83,220.82,240.34,232.45,235.57,L5
1985-06-03 09:29:40+00:00,164.46,192.42,233.77,244.45,250.9,247.48,L5
1985-06-10 09:35:50+00:00,154.93,167.56,208.83,223.32,229.6,242.01,L5
1985-06-26 09:35:47+00:00,159.57,182.83,219.83,233.18,229.29,236.13,L5
1985-07-05 09:29:33+00:00,162.12,180.59,214.27,227.11,223.01,238.23,L5
1985-08-13 09:35:25+00:00,162.88,183.65,220.36,238.2,232.83,239.06,L5
1985-08-22 09:29:08+00:00,,189.71,221.27,246.33,253.42,241.73,L5
1985-10-09 09:28:35+00:00,,,,,253.46,243.24,L5
1985-12-03 09:33:55+00:00,,204.13,226.76,232.34,240.95,244.79,L5
1986-01-13 09:26:58+00:00,163.46,174.92,215.13,225.4,251.72,245.61,L5
1986-02-21 09:32:17+00:00,,185.29,234.52,235.37,238.2,238.78,L5
1986-03-25 09:31:37+00:00,154.64,167.55,195.35,214.38,230.63,235.96,L5
1986-05-12 09:30:29+00:00,159.28,181.28,225.53,243.64,231.32,238.11,L5
1986-05-21 09:24:03+00:00,202.6,184.53,217.27,230.89,236.81,238.11,L5
1986-06-06 09:23:35+00:00,167.78,185.87,220.52,241.72,238.33,239.38,L5
1986-06-22 09:23:04+00:00,,190.52,222.05,240.86,254.26,238.99,L5
1986-07-24 09:21:59+00:00,160.59,178.34,217.8,239.02,230.66,236.66,L5
1986-07-31 09:27:55+00:00,160.62,188.03,220.45,240.33,247.13,239.44,L5
1986-08-16 09:27:20+00:00,,187.1,230.42,248.46,267.33,239.8,L5
1986-09-10 09:20:15+00:00,167.31,186.41,219.39,231.13,231.47,240.78,L5
1986-09-17 09:26:13+00:00,169.75,183.37,231.67,255.87,242.83,248.35,L5
1986-10-12 09:19:14+00:00,,193.62,225.71,246.92,245.02,237.92,L5
1987-01-16 09:19:18+00:00,,178.86,220.44,240.07,238.23,242.62,L5
1987-02-08 09:26:15+00:00,162.84,183.79,221.8,230.05,231.87,243.06,L5
1987-03-21 09:21:38+00:00,,188.98,230.24,248.63,258.12,240.04,L5
1987-04-29 09:29:06+00:00,,187.78,228.7,239.86,240.97,240.28,L5
1987-05-15 09:29:33+00:00,158.9,184.62,216.65,225.59,231.2,238.42,L5
1987-06-09 09:23:59+00:00,161.92,180.18,222.54,242.15,241.65,241.28,L5
1987-06-16 09:30:19+00:00,156.43,176.91,212.39,222.88,232.76,239.17,L5
1987-06-25 09:24:20+00:00,,195.74,229.9,247.95,269.64,245.07,L5
1987-07-02 09:30:39+00:00,158.37,182.36,219.93,228.56,230.77,236.84,L5
1987-07-11 09:24:39+00:00,,193.69,226.19,236.79,252.51,239.63,L5
1987-07-18 09:30:57+00:00,158.78,182.53,220.47,232.06,239.78,233.2,L5
1987-07-27 09:25:01+00:00,160.96,175.27,216.53,223.49,238.23,238.63,L5
1987-08-03 09:31:25+00:00,,193.13,234.22,250.76,249.67,245.54,L5
1987-08-19 09:31:54+00:00,163.54,182.52,219.44,231.27,234.9,236.91,L5
1987-09-04 09:32:19+00:00,,180.42,222.04,233.46,231.69,237.07,L5
1987-09-13 09:26:21+00:00,234.24,183.19,231.01,246.74,243.72,240.08,L5
1987-10-06 09:33:02+00:00,291.28,186.74,227.79,249.58,243.3,241.52,L5
1987-10-31 09:27:40+00:00,318.08,195.42,233.88,250.98,,,L5
1987-11-16 09:27:39+00:00,307.22,190.04,234.34,249.46,262.73,239.97,L5
1987-12-02 09:27:54+00:00,,186.3,230.95,227.91,240.32,242.23,L5
1988-01-10 09:34:42+00:00,303.63,185.03,220.18,231.79,233.97,247.97,L5
1988-01-19 09:28:41+00:00,,,,225.51,230.57,238.58,L5
1988-02-11 09:35:17+00:00,,175.75,214.5,224.88,241.57,252.19,L5
1988-02-20 09:29:14+00:00,,188.57,221.36,230.28,236.58,240.68,L5
1988-04-15 09:35:50+00:00,290.9,183.2,222.07,235.21,238.55,237.21,L5
1988-05-17 09:36:08+00:00,,182.73,214.91,234.55,217.42,223.92,L5
1988-06-02 09:36:14+00:00,,185.14,221.2,225.48,232.55,244.26,L5
1988-06-11 09:30:29+00:00,307.75,196.12,233.38,242.04,262.29,244.72,L5
1988-06-18 09:36:19+00:00,,182.55,216.68,231.87,238.23,233.82,L5
1988-07-04 09:36:24+00:00,291.74,185.76,223.84,225.47,230.79,231.67,L5
1988-07-13 09:30:15+00:00,293.15,190.53,228.8,234.98,254.66,242.6,L5
1988-07-29 09:30:18+00:00,,184.7,229.41,242.26,257.15,252.34,L5
1988-08-05 09:36:28+00:00,,176.75,219.41,225.52,231.18,239.24,L5
1988-08-14 09:30:40+00:00,287.07,170.58,220.58,248.66,245.59,247.26,L5
1988-08-21 09:36:29+00:00,,171.05,218.67,228.91,229.65,239.46,L5
1988-08-30 09:30:21+00:00,,175.97,217.02,230.09,232.0,239.05,L5
1988-09-15 09:30:17+00:00,,180.7,217.33,227.98,242.83,241.3,L5
1988-09-22 09:36:26+00:00,290.59,189.96,230.03,233.39,245.37,243.02,L5
1988-10-01 09:30:34+00:00,,178.56,220.56,226.81,232.39,233.02,L5
1988-10-08 09:36:21+00:00,,164.54,,220.9,225.97,237.79,L5
1988-10-24 09:36:17+00:00,306.85,193.31,221.27,229.66,226.95,230.16,L5
1988-12-04 09:30:05+00:00,,178.48,219.58,228.64,239.2,251.36,L5
1988-12-11 09:36:09+00:00,291.57,189.93,231.66,243.07,252.31,252.02,L5
1989-01-12 09:35:56+00:00,,184.87,,,,,L5
1989-01-28 09:35:43+00:00,291.66,192.01,235.62,247.33,246.51,245.15,L5
1989-02-22 09:29:28+00:00,,,217.16,231.27,230.3,231.38,L5
1989-03-26 09:28:29+00:00,,194.63,221.08,232.46,232.36,236.09,L5
1989-04-02 09:34:48+00:00,,186.51,229.55,235.85,238.37,240.97,L5
1989-05-20 09:34:09+00:00,,185.24,223.7,232.24,230.84,240.38,L5
1989-06-14 09:27:46+00:00,305.97,183.69,218.73,241.98,234.39,238.06,L5
1989-06-21 09:33:31+00:00,155.25,175.94,217.39,231.38,235.05,229.35,L5
1989-06-30 09:27:39+00:00,163.45,180.18,221.95,242.15,244.07,244.92,L5
1989-07-23 09:32:57+00:00,160.94,183.45,219.94,243.85,237.03,243.31,L5
1989-08-24 09:32:15+00:00,,185.6,230.37,244.91,246.91,240.96,L5
1989-09-02 09:25:53+00:00,170.14,176.33,207.07,228.02,227.99,231.82,L5
1989-09-09 09:31:51+00:00,,195.99,215.51,227.51,223.01,235.8,L5
1989-09-25 09:31:28+00:00,289.85,191.21,233.02,245.78,245.2,249.51,L5
1989-10-04 09:25:12+00:00,292.38,185.14,221.45,229.16,231.35,239.96,L5
1989-10-11 09:31:06+00:00,266.87,184.26,233.98,244.16,258.48,253.7,L5
1989-10-20 09:24:27+00:00,291.94,190.79,240.93,249.39,264.04,262.62,L5
