dates,nzd0096-0000,nzd0096-0001,nzd0096-0002,nzd0096-0003,nzd0096-0004,nzd0096-0005,nzd0096-0006,nzd0096-0007,nzd0096-0008,nzd0096-0009,nzd0096-0010,nzd0096-0011,nzd0096-0012,nzd0096-0013,nzd0096-0014,nzd0096-0015,nzd0096-0016,nzd0096-0017,nzd0096-0018,nzd0096-0019,nzd0096-0020,nzd0096-0021,nzd0096-0022,nzd0096-0023,nzd0096-0024,nzd0096-0025,nzd0096-0026,nzd0096-0027,nzd0096-0028,nzd0096-0029,nzd0096-0030,nzd0096-0031,nzd0096-0032,nzd0096-0033,nzd0096-0034,nzd0096-0035,nzd0096-0036,nzd0096-0037,nzd0096-0038,nzd0096-0039,nzd0096-0040,nzd0096-0041,nzd0096-0042,nzd0096-0043,nzd0096-0044,nzd0096-0045,nzd0096-0046,nzd0096-0047,nzd0096-0048,nzd0096-0049,nzd0096-0050,nzd0096-0051,nzd0096-0052,nzd0096-0053,nzd0096-0054,nzd0096-0055,nzd0096-0056,nzd0096-0057,nzd0096-0058,nzd0096-0059,nzd0096-0060,nzd0096-0061,nzd0096-0062,nzd0096-0063,nzd0096-0064,nzd0096-0065,nzd0096-0066,nzd0096-0067,nzd0096-0068,nzd0096-0069,nzd0096-0070,nzd0096-0071,nzd0096-0072,nzd0096-0073,nzd0096-0074,nzd0096-0075,nzd0096-0076,nzd0096-0077,nzd0096-0078,nzd0096-0079,nzd0096-0080,nzd0096-0081,nzd0096-0082,nzd0096-0083,nzd0096-0084,nzd0096-0085,nzd0096-0086,nzd0096-0087,nzd0096-0088,nzd0096-0089,nzd0096-0090,nzd0096-0091,nzd0096-0092,nzd0096-0093,nzd0096-0094,nzd0096-0095,nzd0096-0096,nzd0096-0097,nzd0096-0098,nzd0096-0099,nzd0096-0100,nzd0096-0101,nzd0096-0102,nzd0096-0103,nzd0096-0104,nzd0096-0105,nzd0096-0106,nzd0096-0107,nzd0096-0108,nzd0096-0109,nzd0096-0110,nzd0096-0111,nzd0096-0112,nzd0096-0113,nzd0096-0114,nzd0096-0115,nzd0096-0116,nzd0096-0117,nzd0096-0118,nzd0096-0119,nzd0096-0120,nzd0096-0121,nzd0096-0122,nzd0096-0123,nzd0096-0124,nzd0096-0125,nzd0096-0126,nzd0096-0127,nzd0096-0128,nzd0096-0129,nzd0096-0130,nzd0096-0131,nzd0096-0132,nzd0096-0133,nzd0096-0134,nzd0096-0135,nzd0096-0136,nzd0096-0137,nzd0096-0138,nzd0096-0139,nzd0096-0140,nzd0096-0141,nzd0096-0142,nzd0096-0143,nzd0096-0144,nzd0096-0145,nzd0096-0146,nzd0096-0147,nzd0096-0148,nzd0096-0149,nzd0096-0150,nzd0096-0151,nzd0096-0152,nzd0096-0153,nzd0096-0154,nzd0096-0155,nzd0096-0156,nzd0096-0157,nzd0096-0158,nzd0096-0159,satname
1999-08-26 22:04:44+00:00,392.04,379.49,370.18,374.44,376.73,358.45,,,,,,,,,,,,,,,,,,304.41,327.41,,,,,334.70,331.71,,,,,,,,,312.39,323.09,309.06,323.68,,,,,,,,322.07,,358.67,332.45,,345.22,,,,,,,,,,,,,,338.23,341.91,350.84,337.83,,,319.21,327.63,309.41,312.41,328.48,324.67,324.17,324.11,331.88,331.45,327.59,321.24,,319.54,313.23,306.36,309.45,303.04,293.39,289.84,,,,283.68,286.05,282.20,281.22,279.88,278.76,267.93,257.13,241.33,,,,215.68,241.82,232.67,233.41,244.43,234.84,240.50,246.51,249.03,246.12,244.62,246.65,245.10,257.20,261.79,262.13,252.00,247.82,,,,,,,,,,,,,,,,,,252.96,246.14,255.04,262.28,263.90,253.27,,,269.87,,,,,,335.81,L7
1999-10-04 22:11:02+00:00,396.16,386.31,381.08,380.99,377.77,374.59,375.43,371.39,370.35,375.66,,,357.65,347.87,350.40,352.28,348.98,347.85,355.83,354.32,353.80,348.66,340.81,336.40,329.14,328.38,330.84,337.51,338.81,343.22,343.59,,,347.24,354.39,,,353.86,357.24,345.60,336.15,336.30,344.53,,,,,,,,360.05,356.92,369.25,364.87,365.35,364.74,369.55,369.79,355.65,362.38,357.30,346.80,355.20,361.31,369.13,363.85,363.96,359.72,353.97,341.65,342.00,345.23,344.09,341.84,336.45,326.12,320.05,315.61,317.84,325.13,327.45,329.71,325.47,331.02,336.06,,,,,,,311.92,306.15,305.70,304.31,308.00,303.79,301.85,298.46,299.84,298.96,294.27,286.29,281.11,272.64,258.59,244.58,232.52,,,233.72,244.92,245.40,241.88,249.55,244.47,,,,247.78,247.65,253.15,252.49,251.68,254.42,245.94,248.54,247.47,241.66,247.15,244.66,248.37,239.08,234.28,234.59,228.83,229.70,233.00,218.57,240.85,241.49,239.65,237.27,220.09,243.15,249.06,253.60,256.50,265.91,257.18,261.64,268.17,262.99,271.80,278.15,282.77,296.78,300.54,302.12,346.33,L7
2000-03-28 22:10:31+00:00,392.22,384.84,385.75,389.24,389.83,385.36,375.77,366.73,368.07,374.86,,,358.18,362.07,364.18,357.99,364.57,352.88,352.97,353.16,355.38,354.54,346.44,336.28,331.13,333.47,343.92,347.18,342.52,339.65,347.57,,,349.77,354.50,,,369.36,371.30,358.06,353.71,354.41,369.06,,,,,,,,366.34,364.33,371.34,377.09,371.12,368.68,371.50,372.56,371.11,375.08,373.20,372.01,364.27,364.52,361.50,358.68,356.86,355.39,355.16,351.96,349.78,348.51,343.52,345.71,338.56,324.85,328.75,332.41,328.88,339.32,340.28,342.73,341.45,333.97,333.10,330.51,326.22,325.35,322.79,321.71,320.27,317.31,312.63,309.29,311.99,305.69,304.66,306.18,302.89,294.67,293.55,289.54,285.97,280.36,276.41,264.26,248.78,242.79,,244.23,251.15,247.02,252.43,248.20,248.91,245.68,248.08,247.77,250.11,254.18,256.18,256.96,259.77,253.15,256.13,256.23,262.35,257.32,249.74,249.00,,250.19,248.37,246.07,243.96,249.60,246.50,247.11,237.16,251.57,249.57,245.14,,,260.04,263.12,258.62,258.23,265.44,264.50,273.48,280.72,284.62,292.29,298.31,295.61,312.58,320.92,319.73,344.80,L7
2000-04-29 22:10:17+00:00,374.52,360.71,356.03,353.44,355.95,357.24,317.01,321.31,317.26,313.44,294.49,282.27,,343.99,347.49,343.52,340.67,277.42,265.76,267.73,275.51,272.05,277.13,,327.67,233.55,245.85,,,336.90,340.41,224.63,256.72,254.32,255.08,250.62,258.17,,242.76,281.52,340.53,,289.61,280.48,284.88,292.24,280.20,,291.35,279.90,,354.61,336.34,,356.15,359.38,,351.41,,358.12,355.03,362.84,357.68,360.03,356.82,356.91,355.09,,354.94,346.36,342.82,,305.49,335.08,343.51,333.03,331.95,316.72,314.76,319.93,317.11,321.69,323.46,322.49,320.63,314.87,317.65,321.86,324.34,311.63,305.97,300.68,299.37,293.97,296.42,294.24,302.96,300.82,297.81,294.87,283.91,280.13,274.51,272.41,274.02,263.63,250.95,235.48,,229.32,243.64,248.00,246.37,240.93,249.21,245.02,236.27,236.66,241.70,242.92,241.55,251.32,258.04,251.93,246.23,249.52,247.13,251.12,246.21,248.53,,,235.75,233.42,240.41,230.64,,,,,,,,,,251.59,251.85,256.03,255.62,251.84,,,,,,,,,,333.39,L7
2000-05-24 22:03:46+00:00,368.14,338.07,341.90,348.75,,331.89,309.71,302.51,310.02,289.47,284.66,276.05,,,348.67,351.75,,272.87,258.37,253.67,263.74,267.02,270.34,,323.72,218.04,226.02,,,,,215.48,240.64,236.71,233.75,239.91,246.18,,237.19,265.61,302.78,,280.30,264.89,272.13,270.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-31 22:09:54+00:00,365.51,349.23,344.68,344.93,,306.30,297.13,,,,281.48,274.90,,,331.47,333.22,,296.06,274.75,279.40,284.27,280.47,288.85,,299.12,234.60,234.30,,,,,222.67,241.65,248.54,238.11,249.86,,,226.85,277.05,299.23,,293.50,278.89,297.17,302.70,289.89,291.29,303.35,295.29,,,320.97,,,352.02,,,,328.89,,,,346.27,342.71,354.62,343.73,,351.94,341.18,342.67,,,293.16,326.92,331.61,328.92,311.17,,,325.19,331.20,328.70,328.72,322.59,320.91,321.53,317.17,308.96,313.02,306.49,301.94,302.04,297.33,297.29,291.96,295.80,298.00,292.45,296.53,284.31,283.51,275.51,274.63,268.39,254.98,226.82,,,199.85,228.10,240.38,220.44,216.58,226.83,215.15,,,,227.16,231.85,238.27,,241.29,244.99,242.62,,,242.35,224.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-07-11 22:03:17+00:00,374.39,354.00,355.50,360.52,,332.44,305.49,307.65,313.01,303.31,291.51,282.15,,361.93,354.26,328.54,,274.13,265.74,264.21,273.98,,,,354.32,230.71,237.39,,,356.81,355.44,220.71,247.39,243.58,244.12,,,,214.50,268.29,356.70,344.90,290.02,272.84,279.74,288.76,273.10,285.08,285.93,268.82,396.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-23 22:08:18+00:00,381.03,373.15,369.33,366.98,361.61,355.34,352.67,356.59,364.49,,,,348.92,338.50,341.80,332.69,330.43,,,,,,,339.79,341.94,,,321.01,320.11,,321.02,,,,,,,356.53,,,337.81,348.44,,,,,,,,,364.60,354.30,354.26,374.17,374.25,370.97,370.61,371.95,363.31,368.72,371.74,368.35,368.44,367.47,366.14,364.28,360.16,359.54,349.07,346.52,345.30,343.57,328.50,308.00,295.53,326.64,321.12,311.26,315.58,319.91,320.88,328.01,330.67,328.03,325.57,324.48,316.84,317.32,309.75,301.43,307.61,308.17,307.07,304.91,305.42,307.38,305.25,300.34,294.76,292.13,284.54,277.93,273.23,271.46,269.02,260.57,237.34,,,202.40,226.89,240.84,227.34,225.32,237.25,226.85,238.05,241.15,252.42,250.71,254.53,258.58,259.97,258.17,250.80,250.14,250.62,255.93,250.42,247.59,250.81,245.13,241.16,240.35,239.70,240.09,237.04,235.06,209.69,227.13,244.48,233.02,213.99,209.17,244.38,254.01,256.33,258.54,267.77,266.45,268.38,266.73,267.04,269.47,265.95,271.07,279.16,305.20,310.50,336.73,L7
2001-06-03 22:07:40+00:00,380.19,359.50,353.60,358.42,,337.58,324.08,321.15,324.91,319.11,295.55,289.61,,,341.41,336.95,314.94,292.61,274.36,278.00,279.83,276.43,284.40,,308.92,244.31,255.81,,,,,244.22,261.70,269.47,254.63,259.19,269.47,,251.82,282.22,336.27,,304.26,287.05,294.47,307.81,290.37,297.06,306.83,285.28,,,344.52,,,355.59,358.00,361.99,,368.38,,370.12,,367.14,364.35,367.82,367.02,,358.80,358.32,358.31,,,328.78,325.93,340.73,332.69,324.86,330.30,328.67,329.93,329.92,331.95,331.58,331.51,328.18,325.00,325.53,326.03,317.33,316.15,314.34,311.06,307.95,,,,299.95,292.25,290.91,288.63,289.56,284.11,279.37,270.61,261.97,252.09,219.09,,,,264.63,259.11,264.90,268.40,267.40,253.84,246.63,255.46,249.54,248.52,250.27,254.77,256.09,252.84,258.52,,,256.70,256.98,,,237.17,,,,,,,,,,,,,,,,267.28,263.08,,,,,,,,,,320.28,L7
2002-01-22 22:00:40+00:00,393.11,391.70,407.60,405.79,400.24,390.70,,,,,,,384.15,381.19,377.89,377.41,373.20,,,,,,,360.70,361.81,,,371.51,361.96,375.13,374.78,,,,,,,382.01,,,369.38,382.04,,,,,,,,,390.82,386.81,391.91,386.38,379.79,382.92,387.51,389.15,384.53,389.99,394.04,395.52,393.56,387.85,387.37,397.76,389.87,379.75,369.84,366.50,367.94,376.61,363.68,351.74,353.37,348.70,346.96,347.20,350.99,354.70,357.51,355.74,352.60,355.06,351.75,351.02,347.39,349.00,347.30,344.91,340.67,338.13,341.33,343.75,336.45,316.20,325.03,326.53,319.41,317.85,318.18,306.38,305.06,303.04,301.74,291.30,267.56,237.49,191.28,,234.65,259.67,270.79,270.31,274.49,,,,,275.92,274.80,276.23,273.12,268.28,272.61,269.76,270.68,263.98,263.10,259.51,245.64,251.93,260.78,273.20,271.26,266.73,268.39,264.63,244.55,261.51,261.55,263.16,,266.24,259.89,279.92,294.78,302.61,299.81,302.83,314.95,317.54,314.24,308.64,295.20,293.04,312.12,314.55,323.05,352.24,L7
