dates,satname,nzd0096-0000,nzd0096-0001,nzd0096-0002,nzd0096-0003,nzd0096-0004,nzd0096-0005,nzd0096-0006,nzd0096-0007,nzd0096-0008,nzd0096-0009,nzd0096-0010,nzd0096-0011,nzd0096-0012,nzd0096-0013,nzd0096-0014,nzd0096-0015,nzd0096-0016,nzd0096-0017,nzd0096-0018,nzd0096-0019,nzd0096-0020,nzd0096-0021,nzd0096-0022,nzd0096-0023,nzd0096-0024,nzd0096-0025,nzd0096-0026,nzd0096-0027,nzd0096-0028,nzd0096-0029,nzd0096-0030,nzd0096-0031,nzd0096-0032,nzd0096-0033,nzd0096-0034,nzd0096-0035,nzd0096-0036,nzd0096-0037,nzd0096-0038,nzd0096-0039,nzd0096-0040,nzd0096-0041,nzd0096-0042,nzd0096-0043,nzd0096-0044,nzd0096-0045,nzd0096-0046,nzd0096-0047,nzd0096-0048,nzd0096-0049,nzd0096-0050,nzd0096-0051,nzd0096-0052,nzd0096-0053,nzd0096-0054,nzd0096-0055,nzd0096-0056,nzd0096-0057,nzd0096-0058,nzd0096-0059,nzd0096-0060,nzd0096-0061,nzd0096-0062,nzd0096-0063,nzd0096-0064,nzd0096-0065,nzd0096-0066,nzd0096-0067,nzd0096-0068,nzd0096-0069,nzd0096-0070,nzd0096-0071,nzd0096-0072,nzd0096-0073,nzd0096-0074,nzd0096-0075,nzd0096-0076,nzd0096-0077,nzd0096-0078,nzd0096-0079,nzd0096-0080,nzd0096-0081,nzd0096-0082,nzd0096-0083,nzd0096-0084,nzd0096-0085,nzd0096-0086,nzd0096-0087,nzd0096-0088,nzd0096-0089,nzd0096-0090,nzd0096-0091,nzd0096-0092,nzd0096-0093,nzd0096-0094,nzd0096-0095,nzd0096-0096,nzd0096-0097,nzd0096-0098,nzd0096-0099,nzd0096-0100,nzd0096-0101,nzd0096-0102,nzd0096-0103,nzd0096-0104,nzd0096-0105,nzd0096-0106,nzd0096-0107,nzd0096-0108,nzd0096-0109,nzd0096-0110,nzd0096-0111,nzd0096-0112,nzd0096-0113,nzd0096-0114,nzd0096-0115,nzd0096-0116,nzd0096-0117,nzd0096-0118,nzd0096-0119,nzd0096-0120,nzd0096-0121,nzd0096-0122,nzd0096-0123,nzd0096-0124,nzd0096-0125,nzd0096-0126,nzd0096-0127,nzd0096-0128,nzd0096-0129,nzd0096-0130,nzd0096-0131,nzd0096-0132,nzd0096-0133,nzd0096-0134,nzd0096-0135,nzd0096-0136,nzd0096-0137,nzd0096-0138,nzd0096-0139,nzd0096-0140,nzd0096-0141,nzd0096-0142,nzd0096-0143,nzd0096-0144,nzd0096-0145,nzd0096-0146,nzd0096-0147,nzd0096-0148,nzd0096-0149,nzd0096-0150,nzd0096-0151,nzd0096-0152,nzd0096-0153,nzd0096-0154,nzd0096-0155,nzd0096-0156,nzd0096-0157,nzd0096-0158,nzd0096-0159
1999-08-26 22:04:44+00:00,L7,377.92,362.35,356.06,357.30,358.27,341.31,,,,,,,,,,,,,,,,,281.55,277.74,297.41,241.25,251.25,272.24,253.21,308.03,305.04,243.33,255.16,263.84,265.30,257.41,264.19,257.54,283.10,285.72,296.42,279.06,299.68,291.17,293.85,299.51,295.31,300.99,298.58,288.16,292.07,262.65,328.67,298.16,282.84,323.40,,,,,,,,,,,,,,311.56,315.24,324.17,307.83,267.43,220.86,284.92,297.63,287.59,288.41,301.81,300.67,300.17,300.11,305.21,307.45,303.59,297.24,298.78,295.54,289.23,284.54,287.63,283.04,271.57,269.84,,,,265.22,266.05,262.20,259.40,258.06,254.76,247.93,233.13,214.66,,,,195.68,220.00,214.21,213.41,224.43,214.84,220.50,222.51,227.21,222.12,220.62,219.98,215.10,227.20,235.12,232.13,225.33,217.82,,,,,,,,,,,,,,90.86,,,,232.96,227.68,236.58,238.28,242.08,234.81,,,245.87,,,,,,305.81
1999-10-04 22:11:02+00:00,L7,403.10,394.74,388.02,389.42,386.85,383.02,384.51,380.47,378.78,382.22,379.84,371.20,367.48,356.95,360.23,361.36,359.71,359.65,364.91,363.40,360.36,355.60,349.89,349.51,343.89,341.49,340.67,348.24,353.56,356.33,356.70,359.29,363.51,361.99,364.22,367.46,368.32,364.59,366.32,358.71,349.26,351.05,356.33,372.96,392.03,403.42,396.11,396.47,383.11,378.51,374.80,373.78,384.00,381.73,382.21,375.47,377.42,378.87,366.38,372.21,368.03,357.53,365.93,371.14,378.96,374.58,374.69,371.52,367.08,354.76,355.11,358.34,358.84,353.64,351.20,342.98,334.80,326.34,329.64,338.24,339.25,341.51,337.27,344.13,347.86,,,151.07,,,,322.65,315.98,316.43,314.14,317.83,313.62,311.68,307.54,309.67,308.79,305.00,297.02,292.91,282.47,270.39,257.69,243.25,,,243.55,255.65,254.48,251.71,259.38,254.30,,,,259.58,259.45,266.26,267.24,266.43,267.53,260.69,261.65,262.22,256.41,261.90,261.52,259.10,249.81,243.36,245.32,241.94,242.81,244.80,233.32,252.65,253.29,251.45,250.38,233.20,253.88,258.89,262.68,265.58,277.71,267.91,270.72,277.25,277.74,283.60,287.98,293.50,307.51,312.34,313.92,361.08
2000-03-28 22:10:31+00:00,L7,397.98,391.84,391.51,396.24,397.37,392.36,383.31,374.27,375.07,380.30,,,366.35,369.61,372.35,365.53,373.48,362.68,360.51,360.70,360.82,360.30,353.98,347.17,343.38,344.36,352.09,356.09,354.77,350.54,358.46,,,362.02,362.67,,,378.27,378.84,368.95,364.60,366.66,378.86,,,,,,,,378.59,378.33,383.59,391.09,385.12,377.59,378.03,380.10,380.02,383.25,382.11,380.92,373.18,372.69,369.67,367.59,365.77,365.19,366.05,362.85,360.67,359.40,355.77,355.51,350.81,338.85,341.00,341.32,338.68,350.21,350.08,352.53,351.25,344.86,342.90,340.31,336.02,335.15,332.59,331.51,329.18,326.22,320.80,318.20,320.16,313.86,312.83,314.35,310.43,302.84,301.72,298.45,294.88,290.16,284.58,274.06,259.67,251.70,,254.03,259.32,255.93,259.97,256.37,257.08,253.85,256.25,257.57,259.02,263.98,265.98,267.85,272.02,265.40,267.02,268.48,273.24,269.57,261.99,261.25,,259.10,257.28,253.61,252.87,260.49,257.39,256.91,249.41,261.37,259.37,254.94,,,268.95,271.29,266.16,265.77,275.24,273.41,281.02,288.26,296.87,302.09,306.48,304.52,321.49,330.72,329.53,357.05
2000-04-29 22:10:17+00:00,L7,377.81,364.71,359.32,357.44,360.26,361.24,321.32,325.62,321.26,316.55,296.82,284.82,,348.30,352.16,347.83,345.76,283.02,270.07,272.04,278.62,275.34,281.44,,334.67,239.77,250.52,265.75,244.79,343.12,346.63,232.63,262.94,261.32,259.75,255.71,262.48,258.01,247.07,287.74,346.75,280.26,295.21,286.08,290.48,298.46,286.42,284.68,297.57,286.12,281.50,362.61,343.34,308.50,364.15,364.47,,355.72,,362.79,360.12,367.93,362.77,364.70,361.49,362.00,360.18,,361.16,352.58,349.04,,312.49,340.68,350.51,341.03,338.95,321.81,320.36,326.15,322.71,327.29,329.06,328.71,326.23,320.47,323.25,327.46,329.94,317.23,311.06,305.77,304.04,299.06,301.09,298.91,307.63,305.49,302.12,299.54,288.58,285.22,279.60,278.01,278.69,269.23,257.17,240.57,,234.92,248.31,253.09,250.68,245.60,253.88,249.69,240.94,242.26,246.79,248.52,247.15,257.54,265.04,258.93,252.45,256.52,253.35,258.12,253.21,255.53,,,240.84,237.73,245.50,236.86,,,,,,,,,,256.26,256.16,260.34,261.22,256.93,,,,,,,,,,340.39
2000-05-24 22:03:46+00:00,L7,372.14,342.93,345.90,353.61,,336.75,314.94,307.74,314.88,293.25,287.49,279.14,275.52,,354.34,356.98,,279.67,263.60,258.90,267.52,271.02,275.57,,332.22,225.60,231.69,227.05,238.08,270.08,189.87,225.19,248.20,245.21,239.42,246.09,251.41,,242.42,273.17,310.34,241.51,287.10,271.69,278.93,278.37,,115.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31 22:09:54+00:00,L7,357.51,339.52,336.68,335.22,,296.59,286.67,,,,275.81,268.72,253.96,,320.14,322.76,,282.46,264.29,268.94,276.71,272.47,278.39,247.48,282.12,219.49,222.97,,,254.50,181.96,203.24,226.54,231.54,226.78,237.50,,,216.39,261.94,284.12,241.21,279.90,265.29,283.57,287.59,274.78,276.18,288.24,280.18,263.18,247.99,303.97,283.06,279.72,339.66,,,,317.56,,,,334.94,331.38,342.26,331.37,,336.83,326.07,327.56,,,279.56,309.92,312.18,311.92,298.81,,,311.59,317.60,315.10,313.61,308.99,307.31,307.93,303.57,295.36,299.42,294.13,289.58,290.71,284.97,285.96,280.63,284.47,286.67,281.99,285.20,272.98,271.15,263.15,261.03,257.06,241.38,211.71,,,186.25,216.77,228.02,209.98,205.25,215.50,203.82,,,,213.56,218.25,223.16,,224.29,229.88,225.62,,,225.35,207.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-11 22:03:17+00:00,L7,378.15,358.57,359.26,365.09,,337.01,310.41,312.57,317.58,306.87,294.18,285.06,,366.85,359.59,333.46,,280.53,270.66,269.13,277.54,,,,362.32,237.82,242.72,,245.40,363.92,362.55,229.85,254.50,251.58,249.45,,,,219.42,275.40,363.81,352.90,296.42,279.24,286.14,295.87,280.21,292.19,293.04,275.93,404.21,410.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31 22:02:10+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-23 22:08:18+00:00,L7,374.56,365.29,362.86,359.12,353.15,347.48,344.21,348.13,356.63,356.71,356.95,351.41,339.75,330.04,332.63,324.23,320.43,326.05,335.33,334.55,336.00,332.16,327.68,327.57,328.19,328.65,318.38,311.01,306.36,296.78,308.80,324.67,333.10,336.03,342.07,348.27,350.39,346.53,343.20,340.09,325.59,334.69,351.79,344.85,347.04,350.63,346.62,346.22,343.72,347.97,350.85,338.59,340.51,358.46,358.54,360.97,363.28,363.49,353.31,359.55,361.74,358.35,358.44,358.30,356.97,354.28,350.16,348.54,336.85,334.30,333.08,331.35,314.75,297.00,281.78,310.93,307.37,301.26,304.58,307.69,309.88,317.01,319.67,315.81,314.57,313.48,305.84,306.32,298.75,290.43,297.61,298.17,297.90,294.91,296.25,298.21,296.08,291.17,286.30,282.96,275.37,267.93,263.23,260.46,259.85,249.57,225.12,,,191.40,217.72,230.84,218.88,216.15,228.08,217.68,228.88,230.15,242.42,239.71,243.53,246.36,246.22,244.42,238.58,236.39,238.40,242.18,236.67,233.84,235.10,235.13,231.16,231.89,229.70,227.87,224.82,224.06,195.94,216.13,233.48,222.02,201.77,196.95,234.38,244.84,247.87,250.08,256.77,256.45,259.92,258.27,253.29,258.47,256.78,261.07,269.16,294.20,299.50,322.98
2001-06-03 22:07:40+00:00,L7,374.19,352.21,347.60,351.13,,330.29,316.23,313.30,317.62,313.44,291.30,284.97,,,332.91,329.10,305.67,282.41,266.51,270.15,274.16,270.43,276.55,260.91,296.17,232.98,247.31,244.76,240.44,289.95,209.69,229.65,250.37,256.72,246.13,249.92,261.62,,243.97,270.89,324.94,264.84,294.06,276.85,284.27,296.48,279.04,285.73,295.50,273.95,281.02,247.19,331.77,289.63,276.32,346.32,351.20,354.14,,359.88,,360.85,,358.64,355.85,358.55,357.75,,347.47,346.99,346.98,,,318.58,313.18,326.16,319.94,315.59,320.10,317.34,319.73,319.72,321.75,320.25,321.31,317.98,314.80,315.33,315.83,307.13,306.88,305.07,302.56,298.68,,,,291.45,284.40,282.41,280.13,280.29,274.84,269.17,262.11,251.77,240.76,209.82,,,,255.36,251.26,256.40,259.90,258.90,245.34,236.43,246.19,239.34,238.32,238.94,242.02,243.34,241.51,245.77,,,243.95,244.23,,,227.90,,,,,,,,,,,,,,,,257.08,253.81,,,,,,,,,,307.53
