dates,nzd0598-0000,nzd0598-0001,nzd0598-0002,nzd0598-0003,nzd0598-0004,nzd0598-0005,nzd0598-0006,nzd0598-0007,nzd0598-0008,nzd0598-0009,nzd0598-0010,nzd0598-0011,nzd0598-0012,nzd0598-0013,nzd0598-0014,nzd0598-0015,nzd0598-0016,nzd0598-0017,nzd0598-0018,nzd0598-0019,nzd0598-0020,nzd0598-0021,nzd0598-0022,nzd0598-0023,nzd0598-0024,nzd0598-0025,nzd0598-0026,nzd0598-0027,nzd0598-0028,nzd0598-0029,nzd0598-0030,nzd0598-0031,nzd0598-0032,nzd0598-0033,nzd0598-0034,nzd0598-0035,nzd0598-0036,nzd0598-0037,nzd0598-0038,nzd0598-0039,nzd0598-0040,nzd0598-0041,nzd0598-0042,nzd0598-0043,nzd0598-0044,nzd0598-0045,nzd0598-0046,nzd0598-0047,nzd0598-0048,nzd0598-0049,nzd0598-0050,nzd0598-0051,nzd0598-0052,nzd0598-0053,nzd0598-0054,nzd0598-0055,nzd0598-0056,nzd0598-0057,nzd0598-0058,nzd0598-0059,nzd0598-0060,nzd0598-0061,nzd0598-0062,nzd0598-0063,nzd0598-0064,nzd0598-0065,nzd0598-0066,nzd0598-0067,nzd0598-0068,nzd0598-0069,nzd0598-0070,nzd0598-0071,nzd0598-0072,nzd0598-0073,nzd0598-0074,nzd0598-0075,nzd0598-0076,nzd0598-0077,nzd0598-0078,nzd0598-0079,nzd0598-0080,nzd0598-0081,nzd0598-0082,nzd0598-0083,nzd0598-0084,nzd0598-0085,nzd0598-0086,nzd0598-0087,nzd0598-0088,nzd0598-0089,nzd0598-0090,nzd0598-0091,nzd0598-0092,nzd0598-0093,nzd0598-0094,nzd0598-0095,nzd0598-0096,nzd0598-0097,nzd0598-0098,nzd0598-0099,nzd0598-0100,nzd0598-0101,nzd0598-0102,nzd0598-0103,nzd0598-0104,nzd0598-0105,nzd0598-0106,nzd0598-0107,nzd0598-0108,nzd0598-0109,nzd0598-0110,nzd0598-0111,nzd0598-0112,nzd0598-0113,nzd0598-0114,nzd0598-0115,nzd0598-0116,nzd0598-0117,nzd0598-0118,nzd0598-0119,nzd0598-0120,nzd0598-0121,nzd0598-0122,nzd0598-0123,nzd0598-0124,nzd0598-0125,nzd0598-0126,nzd0598-0127,nzd0598-0128,nzd0598-0129,nzd0598-0130,nzd0598-0131,nzd0598-0132,nzd0598-0133,nzd0598-0134,nzd0598-0135,nzd0598-0136,nzd0598-0137,nzd0598-0138,nzd0598-0139,nzd0598-0140,nzd0598-0141,nzd0598-0142,nzd0598-0143,nzd0598-0144,nzd0598-0145,nzd0598-0146,nzd0598-0147,nzd0598-0148,nzd0598-0149,nzd0598-0150,nzd0598-0151,nzd0598-0152,nzd0598-0153,nzd0598-0154,nzd0598-0155,nzd0598-0156,nzd0598-0157,nzd0598-0158,nzd0598-0159,nzd0598-0160,nzd0598-0161,nzd0598-0162,nzd0598-0163,nzd0598-0164,nzd0598-0165,nzd0598-0166,nzd0598-0167,satname
1999-11-05 22:14:04+00:00,209.71,222.55,207.19,194.35,190.00,193.48,204.18,203.81,210.73,194.85,211.28,197.56,192.92,205.66,196.14,188.37,185.08,200.48,196.26,214.87,217.76,207.20,205.68,220.46,214.48,217.50,228.77,224.90,226.64,221.02,217.28,207.58,199.15,191.39,198.64,206.17,205.79,204.27,198.29,205.91,208.02,,,,,,,,,,,,,167.80,157.66,188.81,183.06,188.34,201.36,186.36,194.55,205.29,203.46,199.44,198.96,199.27,204.94,201.11,184.73,177.55,184.54,184.35,185.34,182.02,165.95,179.37,202.94,180.34,188.86,182.21,200.90,216.95,206.86,200.60,205.88,199.74,197.35,194.63,194.40,186.80,180.65,180.08,177.66,187.25,193.15,188.90,189.85,165.43,186.11,198.19,184.98,188.66,185.75,192.53,195.84,203.68,207.59,207.27,201.45,196.62,197.06,194.20,201.65,203.91,196.28,189.20,204.73,206.77,215.36,216.07,223.63,210.41,199.69,198.28,193.20,191.62,187.16,197.27,199.76,213.44,224.55,216.79,196.51,190.73,194.00,188.99,184.86,198.69,209.32,223.96,237.75,231.44,237.55,222.53,241.17,229.54,229.69,222.28,228.75,223.96,212.98,170.60,193.57,191.78,204.63,207.27,206.98,226.62,227.34,219.25,211.81,217.21,229.78,240.25,245.06,251.07,253.14,249.10,L7
1999-11-21 22:13:59+00:00,206.92,218.69,204.97,200.18,192.72,192.89,206.52,202.88,204.26,195.91,210.13,195.87,194.00,205.88,195.59,187.80,180.88,202.69,195.28,213.97,217.45,208.72,209.94,218.69,215.00,217.87,230.33,226.07,227.69,220.33,215.94,212.26,202.88,195.57,198.96,204.28,204.51,204.74,199.92,204.72,209.86,204.62,206.20,207.95,217.64,228.21,223.95,214.57,203.10,195.77,201.90,206.23,199.92,167.80,157.66,186.43,186.55,188.53,196.86,186.86,195.59,206.92,202.28,200.87,197.66,199.74,203.31,199.95,179.06,176.76,182.06,184.76,185.03,179.88,165.95,181.97,208.61,179.38,186.25,178.15,197.52,217.91,206.86,200.60,205.00,197.67,197.46,192.60,194.56,188.74,180.62,175.75,175.66,180.13,190.59,188.52,190.97,163.28,186.14,199.59,184.78,188.66,186.97,193.56,196.22,202.87,205.44,207.44,199.81,197.32,194.79,194.39,197.38,198.68,192.35,185.33,195.30,202.50,211.43,212.49,217.26,208.64,196.44,194.35,188.10,187.41,185.27,192.34,204.72,211.28,218.09,212.99,192.07,186.03,190.87,183.91,181.54,194.69,206.69,220.70,235.07,233.81,238.17,224.36,231.59,225.92,226.89,229.02,233.58,229.42,214.93,172.56,198.23,198.75,210.13,207.54,215.84,219.28,231.72,221.25,220.55,218.25,229.72,241.66,248.45,255.70,257.56,249.62,L7
1999-12-07 22:14:05+00:00,205.37,216.17,204.61,202.01,195.55,194.90,205.03,203.94,209.43,203.44,211.60,200.31,196.15,207.14,197.65,191.57,185.55,200.50,195.83,212.72,218.63,212.38,214.62,217.90,215.63,217.35,227.64,223.73,223.51,217.38,213.39,210.33,203.29,197.96,198.69,204.08,201.97,201.26,198.41,205.91,212.34,203.67,197.26,199.19,214.47,223.37,223.19,216.44,202.31,198.07,204.76,207.08,197.06,167.31,166.31,184.52,187.42,188.70,195.08,185.99,195.96,206.87,204.39,202.07,198.53,198.47,201.22,197.31,178.74,177.05,183.39,185.37,185.20,181.06,172.87,182.07,205.68,182.89,189.64,183.84,198.77,216.52,209.41,196.47,205.14,197.95,196.67,191.88,192.76,189.43,183.47,178.23,177.22,181.93,189.43,191.42,192.20,168.03,186.69,197.85,185.90,189.26,187.21,192.70,196.67,202.32,204.63,207.61,199.83,196.68,193.41,192.88,193.58,194.85,188.98,183.20,191.70,199.06,207.91,210.44,212.68,203.86,193.94,191.93,185.65,185.46,183.47,189.74,199.33,208.19,213.76,207.64,189.95,184.84,187.65,182.70,180.85,193.47,203.76,216.67,230.37,228.77,233.62,221.43,227.82,222.18,224.98,224.33,227.36,223.35,214.93,172.56,198.23,198.75,210.13,207.91,213.05,219.24,230.97,220.21,218.02,217.65,227.67,236.41,246.04,252.45,254.46,245.12,L7
1999-12-30 22:20:09+00:00,208.45,218.72,207.77,202.16,196.85,198.79,207.11,208.45,214.27,210.17,216.90,204.28,199.75,206.60,199.19,195.47,190.14,198.67,195.80,213.59,220.96,217.32,218.99,220.67,219.79,218.81,226.47,222.44,224.60,218.47,214.72,211.22,205.37,201.67,203.16,206.71,202.28,201.05,198.66,207.88,215.97,209.49,202.26,203.22,217.36,224.69,222.83,215.23,201.87,202.06,209.54,207.85,198.20,169.94,173.35,187.37,191.85,193.30,194.19,186.81,196.15,208.30,207.92,205.78,202.04,200.49,203.00,198.97,183.69,182.09,187.62,187.76,186.43,182.99,178.36,184.53,204.39,187.12,193.96,189.47,202.66,219.69,215.22,203.84,208.20,200.77,198.37,193.93,194.36,191.74,187.86,180.44,178.88,186.92,194.62,196.78,195.82,175.03,190.34,199.13,188.96,190.47,188.45,194.00,197.83,202.23,204.58,207.47,201.84,198.34,195.19,193.96,193.95,194.58,189.62,185.02,191.78,199.16,207.54,209.72,209.49,201.29,193.20,190.80,185.02,185.06,184.15,189.42,196.78,205.69,211.03,205.00,189.84,185.45,186.31,184.35,181.61,191.79,203.09,215.56,228.30,226.92,230.54,221.37,226.15,222.02,223.68,222.53,223.67,219.21,211.00,173.80,192.46,194.83,206.56,207.82,212.71,219.89,231.64,219.61,217.72,218.56,227.83,236.61,245.31,250.27,252.05,246.73,L7
2000-04-20 22:19:39+00:00,208.45,213.49,207.77,173.80,196.85,198.79,198.59,208.45,190.56,210.17,216.90,201.38,199.75,206.60,199.19,189.05,190.14,198.67,182.85,213.59,220.96,217.32,218.99,220.67,219.79,218.81,226.47,222.44,224.60,218.47,214.72,211.22,205.37,201.67,203.16,206.71,202.28,201.05,198.66,207.88,215.97,209.49,202.26,203.22,217.36,224.69,222.83,215.23,201.87,202.06,209.54,207.85,198.20,169.94,173.35,187.37,191.85,193.30,194.19,186.81,196.15,208.30,207.92,205.78,202.04,200.49,203.00,198.97,183.69,182.09,187.62,187.76,186.43,182.99,178.36,184.53,204.39,187.12,193.96,189.47,202.66,219.69,215.22,203.84,208.20,200.77,198.37,193.93,194.36,191.74,187.86,180.44,178.88,186.92,194.62,196.78,195.82,175.03,190.34,199.13,188.96,190.47,188.45,194.00,197.83,202.23,204.58,207.47,201.84,196.46,195.19,191.60,190.75,194.58,189.62,185.02,191.78,199.16,207.54,209.72,209.49,201.29,193.20,190.80,185.02,185.06,184.15,189.42,193.19,202.11,207.35,199.74,186.04,182.04,183.13,182.71,179.42,190.89,201.39,213.02,225.19,223.75,226.77,220.01,223.73,222.02,223.68,222.53,223.67,219.21,211.00,173.80,192.46,194.83,206.56,207.82,212.71,219.89,231.64,219.59,218.01,218.84,227.83,236.61,245.31,250.27,252.05,246.73,L7
2000-08-10 22:18:26+00:00,,192.55,,60.35,,,164.53,,95.71,,,189.78,,,,163.38,,,131.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.35,,,,,,,160.42,,,,188.93,,171.02,177.93,152.07,154.80,153.51,160.72,166.69,180.02,,,,,,,147.09,134.97,156.66,178.79,187.81,192.61,178.72,170.86,160.56,170.38,176.12,156.57,172.74,194.61,202.86,205.86,208.08,209.87,206.50,204.60,198.01,,,177.25,185.55,,114.92,139.93,154.92,165.66,180.06,182.59,191.30,201.32,208.20,205.59,207.39,203.04,212.39,218.37,222.79,222.04,,L7
2000-10-06 22:11:35+00:00,,192.55,,60.35,,,164.53,,95.71,,,189.78,,,,163.38,,,131.08,183.40,182.99,189.60,182.92,182.37,185.57,197.88,203.00,194.97,194.65,,179.28,180.22,172.45,166.93,166.62,182.08,197.00,192.57,188.16,189.62,187.29,,183.16,182.35,186.29,,192.79,197.08,180.72,177.02,175.56,,,,,,,168.75,175.02,175.31,181.46,187.19,181.51,177.95,171.76,170.44,179.56,170.51,162.21,156.41,159.96,161.21,159.46,159.32,158.82,152.92,141.36,,,,,,,,,,,,,,,,,,,,,,134.35,,,,,,,160.42,189.00,186.89,181.47,177.81,165.24,171.07,172.28,159.83,161.62,159.62,169.03,178.50,188.12,188.72,175.32,168.17,163.54,153.49,,147.09,134.97,156.66,178.79,187.81,192.61,178.72,170.86,160.56,170.38,176.12,156.57,172.74,194.61,202.86,205.86,208.08,209.87,206.50,204.60,200.75,199.31,200.73,182.80,185.07,,132.50,149.00,161.72,172.22,183.60,188.53,195.26,208.84,206.61,204.17,205.28,204.69,217.63,224.14,227.55,224.97,,L7
2001-02-11 22:11:36+00:00,199.04,207.76,193.88,96.04,182.42,181.87,191.15,180.23,108.65,190.43,201.41,212.18,191.38,189.49,198.08,191.85,184.24,155.43,169.67,179.96,181.94,192.06,193.95,193.01,198.00,204.64,198.94,191.57,192.87,191.26,185.08,188.51,179.93,177.28,175.62,178.90,190.08,193.09,196.41,193.88,181.38,187.27,192.44,199.94,186.55,,185.88,190.88,187.14,185.31,185.74,185.49,176.57,,,164.85,165.61,168.78,178.76,182.67,181.92,181.31,178.82,177.69,178.48,180.06,185.11,172.25,166.67,153.81,155.27,160.75,161.67,165.95,162.95,146.32,153.91,169.63,171.94,169.50,183.26,189.35,,184.42,191.76,,172.47,162.39,176.31,164.51,189.25,174.00,163.57,176.27,186.17,178.32,176.65,166.14,171.93,184.31,179.97,178.45,180.73,186.08,187.85,193.81,191.69,195.53,189.08,179.69,178.62,179.11,172.03,173.36,169.41,169.57,180.86,189.04,194.63,192.75,176.58,172.09,172.14,162.16,176.67,172.65,157.25,187.59,172.17,193.29,195.67,190.53,167.82,175.94,166.94,180.40,170.26,176.74,195.72,202.60,211.41,202.66,207.76,222.25,213.22,208.39,209.47,209.33,200.92,192.51,203.66,164.88,164.60,172.04,182.88,190.27,200.56,207.87,221.09,207.95,204.60,202.64,211.82,224.79,234.39,237.77,232.12,260.27,L7
2001-03-22 22:17:33+00:00,194.08,207.89,173.88,93.57,133.95,181.87,192.98,178.06,111.90,146.38,200.30,210.05,160.98,189.49,190.72,188.84,184.24,167.25,157.48,179.96,181.94,192.06,193.95,193.01,198.00,204.64,198.94,191.57,192.87,191.26,185.08,188.51,179.93,177.28,175.62,178.90,190.08,193.09,196.41,193.88,181.38,187.27,192.44,199.94,186.55,,185.88,190.88,187.14,185.31,185.74,185.49,176.57,,,164.85,165.61,168.78,178.76,187.16,187.56,187.80,182.71,180.18,183.55,185.34,189.40,181.75,171.87,161.70,163.39,167.18,167.72,169.26,165.03,151.98,161.10,177.09,176.33,177.68,190.87,201.38,180.12,181.56,193.22,190.39,178.84,171.25,180.20,170.38,184.06,177.38,172.25,183.78,190.21,185.89,184.01,166.69,178.73,186.35,180.28,182.22,182.58,188.50,193.39,198.78,196.33,199.10,192.30,186.53,182.40,184.03,177.11,179.06,174.58,173.86,183.00,191.44,197.88,198.06,187.13,181.94,178.98,171.53,180.69,177.07,168.07,184.70,182.06,197.17,201.63,193.54,174.49,175.48,174.23,178.41,173.44,182.92,200.14,208.58,218.14,215.92,217.08,222.06,214.62,210.37,211.79,210.04,204.34,195.47,195.25,161.16,167.85,178.29,186.49,192.60,203.63,210.86,221.09,207.95,204.60,202.64,211.82,224.79,234.39,237.77,232.12,260.27,L7
2001-04-23 22:17:26+00:00,194.08,207.89,161.14,93.57,107.72,181.87,179.87,167.09,108.07,122.58,200.30,200.64,146.63,189.49,178.22,179.69,184.24,167.25,157.48,176.52,180.89,194.52,204.99,203.66,210.44,211.40,194.89,188.17,191.08,191.26,190.89,196.81,187.40,187.62,184.62,175.72,183.17,193.62,204.66,198.15,175.48,187.27,201.72,217.53,186.81,,178.97,184.68,193.56,193.61,195.92,185.49,176.57,,,164.85,165.61,168.81,182.50,193.09,190.61,188.11,183.31,181.30,189.44,192.78,194.33,187.38,176.70,164.34,165.11,168.74,170.18,171.14,167.48,154.26,172.93,175.17,174.19,175.80,189.81,200.69,178.75,181.61,191.57,181.91,178.91,172.43,180.04,171.87,180.25,175.22,170.56,182.37,188.25,185.91,183.06,163.78,176.56,185.78,180.32,182.54,181.90,189.31,193.36,198.71,201.16,205.70,197.87,195.20,190.99,190.06,183.66,184.84,179.43,179.70,186.53,192.62,200.61,203.63,195.68,190.57,186.91,182.83,180.67,179.67,172.21,185.01,185.80,197.74,202.27,194.42,176.73,175.48,174.23,178.41,173.44,182.92,200.14,208.58,218.14,217.46,218.67,221.53,216.84,214.85,217.62,215.73,211.37,202.65,195.36,165.31,175.00,184.49,190.38,197.84,209.34,215.54,225.03,215.82,212.17,207.31,221.42,231.62,240.86,244.28,238.93,249.85,L7
