dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0049,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066,nzd0412-0067,nzd0412-0068,nzd0412-0069
1999-07-18 22:00:25+00:00,L7,,272.39,239.20,,,,,,293.57,,322.75,304.42,611.91,566.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.39,,375.03,,,,,,,,,307.67,,,,,295.56,289.93,263.99,307.48,,,,,,,,,
1999-08-03 22:00:32+00:00,L7,,,297.42,306.46,311.14,301.72,302.02,294.73,297.19,300.81,293.09,306.08,301.30,320.35,,,,,,,,,,,290.67,294.79,293.37,304.91,314.31,294.33,293.08,297.93,286.37,294.68,295.12,298.36,299.99,297.55,,309.15,305.51,310.02,,,,,,,,,,,,,,,285.72,292.83,280.34,291.81,308.30,317.68,329.17,334.05,342.89,342.68,325.91,313.45,317.61,406.07
1999-09-04 22:00:33+00:00,L7,327.36,327.06,326.85,321.90,316.69,315.63,312.38,318.27,319.95,325.13,327.11,330.55,336.16,341.04,,336.18,334.97,331.45,332.75,329.27,333.32,330.96,331.64,333.90,334.90,333.17,334.60,336.26,334.61,332.14,329.10,320.78,320.76,317.26,324.05,322.44,324.55,324.19,324.02,332.30,333.96,337.97,344.71,351.11,350.41,353.16,345.11,346.64,338.50,319.89,312.74,316.70,301.66,300.82,314.58,314.71,293.99,297.71,311.86,318.29,327.66,332.83,333.10,338.37,347.25,343.16,340.52,324.55,319.14,416.46
1999-10-22 22:00:28+00:00,L7,347.53,354.85,347.74,341.50,337.84,337.71,336.70,336.14,332.79,336.86,341.80,349.63,357.58,363.32,361.63,354.39,351.34,353.60,350.16,353.16,352.61,347.58,349.77,343.80,345.88,349.84,348.33,354.95,351.14,346.71,343.73,338.60,337.19,341.40,340.54,342.41,343.61,343.86,345.08,344.29,349.50,352.88,364.14,365.94,,,,,,,,,,316.23,330.19,337.99,327.31,327.11,329.76,331.73,343.67,349.47,350.25,354.73,365.74,355.19,348.07,329.00,325.21,421.71
1999-12-09 22:00:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.08,311.66,307.62,306.77,308.03,316.24,319.61,315.43,317.01,314.37,319.23,322.92,330.71,334.36,340.28,333.28,329.10,327.87,331.86,309.78,300.65,301.83,296.08,290.99,305.61,319.93,298.68,,,,,,,,,,,,,
1999-12-25 22:00:28+00:00,L7,324.12,315.55,314.18,312.96,316.19,317.21,309.24,309.54,305.39,313.19,317.27,325.99,332.63,337.31,334.68,331.93,332.32,329.90,329.36,327.94,324.62,324.02,322.02,323.70,324.20,325.84,326.93,327.89,319.71,318.12,318.08,314.44,315.98,313.22,314.39,323.13,322.65,323.04,322.08,322.12,324.53,332.64,336.15,339.73,339.54,338.74,338.71,338.17,333.64,317.71,308.70,308.99,302.51,299.95,309.54,319.23,301.35,301.24,309.61,313.16,321.84,320.99,321.00,331.83,342.03,335.40,328.54,309.63,305.80,401.93
2000-02-11 22:00:21+00:00,L7,331.08,331.74,329.27,324.84,323.28,322.85,322.03,326.56,320.96,323.26,325.27,328.99,338.36,344.35,342.73,339.63,334.47,336.39,333.49,332.18,334.19,332.71,330.35,325.74,327.34,332.65,331.76,333.75,332.51,328.35,322.33,321.41,323.60,320.11,317.44,323.81,328.11,331.84,329.97,330.93,335.37,337.41,339.39,348.42,344.34,340.09,344.79,345.21,337.12,319.54,312.07,311.27,301.63,301.19,313.71,338.41,317.79,312.17,310.32,311.77,330.01,329.57,331.27,336.69,345.41,340.44,336.70,318.05,315.03,408.03
2000-02-27 22:00:16+00:00,L7,318.83,321.82,321.28,322.71,321.21,320.84,319.98,318.46,315.68,313.82,320.83,321.88,325.40,335.94,332.26,326.10,328.57,327.23,328.29,330.25,327.55,334.33,333.12,333.30,326.07,327.31,327.19,323.34,324.31,316.89,317.93,318.53,318.59,317.74,320.08,325.97,326.08,327.28,324.81,323.88,329.20,334.42,337.02,334.58,331.88,330.18,332.63,332.15,332.02,312.78,304.38,306.86,298.20,304.40,318.69,327.78,307.77,306.38,306.23,308.71,316.65,319.90,320.65,326.50,343.79,,,,,
2000-03-30 22:00:09+00:00,L7,340.47,337.34,340.46,340.28,330.14,324.45,326.22,324.47,326.47,332.52,334.54,336.84,340.82,345.38,346.39,344.61,339.30,333.20,330.65,332.75,338.62,340.01,342.40,340.00,340.08,335.13,337.98,339.56,333.44,330.70,326.64,328.96,329.31,330.21,327.36,331.08,335.67,344.67,338.67,341.66,341.90,342.15,347.36,353.20,352.01,352.92,354.33,351.54,345.92,330.84,320.10,318.98,318.94,315.45,325.67,337.58,321.99,320.67,320.27,323.11,324.49,326.79,334.27,341.95,354.25,346.12,341.82,330.58,326.93,421.20
2000-04-15 21:59:55+00:00,L7,340.10,334.91,330.47,332.15,335.54,332.61,329.66,319.88,320.13,322.22,325.85,330.03,334.03,338.43,338.73,339.28,339.84,335.15,339.60,343.31,340.02,335.19,337.18,338.64,339.23,339.57,335.66,335.54,335.31,331.01,330.09,326.86,322.13,322.67,333.25,334.84,339.19,330.11,334.82,337.08,336.74,341.06,340.13,342.99,344.35,349.23,352.91,350.74,347.88,329.95,319.64,319.85,309.40,308.48,326.60,337.46,313.81,313.79,318.20,321.07,327.47,332.26,332.18,335.85,351.55,349.86,342.91,324.71,321.82,420.93
2000-05-01 21:59:54+00:00,L7,346.57,346.89,339.87,338.76,336.16,334.24,332.55,331.54,332.73,333.50,339.62,345.02,347.27,351.01,350.90,347.57,343.49,345.02,341.45,341.90,345.97,345.79,345.67,345.46,343.24,343.90,344.01,339.89,339.26,337.16,332.41,335.08,331.32,337.92,338.16,347.29,346.15,345.19,343.40,344.26,351.00,356.38,357.13,362.06,360.37,357.10,358.90,360.04,354.63,340.11,326.31,,,311.23,334.29,342.21,323.85,321.94,323.36,328.88,339.32,339.43,339.28,342.47,355.26,352.02,346.97,330.81,323.96,423.77
2000-05-17 21:59:43+00:00,L7,,,,,334.00,333.38,329.81,329.09,323.80,328.21,326.73,333.82,337.68,347.12,343.87,342.92,342.86,343.92,336.28,335.89,332.12,339.13,340.16,341.29,342.19,341.97,338.08,343.87,342.22,335.88,333.01,329.26,332.37,331.91,336.40,336.13,337.89,337.48,339.61,339.00,344.34,347.20,,,,,,,,,,,,,,,,,,,329.84,335.49,328.65,338.78,353.08,349.20,341.22,326.62,321.01,422.25
2000-06-18 21:59:27+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.65,403.08
2000-07-04 21:59:14+00:00,L7,323.15,308.56,320.00,328.38,331.01,317.98,316.56,311.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.95,333.86,331.05,,334.15,338.79,360.99,350.83,359.96,339.57,330.78,310.83,,,306.22,325.96,,,,304.94,301.64,,,327.52,329.23,339.98,339.79,,324.39,322.97,415.55
2000-08-05 21:58:44+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.14,301.50,296.49,300.89,297.16,305.21,302.32,292.48,308.62,299.79,308.37,,,309.55,298.62,,288.32,,,,,,270.19,299.03,,,266.84,275.58,271.59,287.09,292.43,289.18,311.36,314.33,,,300.15,306.83,378.41
2000-09-06 21:58:22+00:00,L7,342.95,335.18,327.32,320.98,315.91,313.75,307.79,303.78,305.28,313.14,319.08,317.82,319.22,340.34,343.27,340.59,337.10,326.07,324.46,317.89,320.68,319.39,320.79,320.36,324.57,331.11,331.38,324.06,329.88,330.96,327.75,324.29,319.58,319.29,319.85,324.00,326.65,324.79,324.24,327.75,325.20,330.76,328.35,340.56,339.18,346.99,349.38,344.33,339.79,329.27,316.08,318.47,317.80,307.00,313.37,323.16,301.50,297.04,295.79,303.50,322.23,325.77,324.11,331.85,341.83,344.44,339.07,335.26,325.35,406.26
2000-10-08 21:58:00+00:00,L7,356.47,343.59,333.69,327.74,328.73,322.25,317.94,317.73,322.19,325.20,327.12,329.96,340.27,344.31,344.90,333.72,335.08,329.85,331.36,332.82,335.09,336.00,340.00,339.27,338.15,338.96,341.75,341.98,338.84,339.23,334.02,330.84,328.97,326.05,326.08,331.90,330.23,337.09,333.13,331.28,329.81,343.68,344.25,347.16,344.55,349.12,342.26,352.90,349.96,331.65,318.07,321.07,308.33,304.89,317.75,323.73,308.51,309.76,315.65,315.41,324.74,334.03,337.82,343.81,350.14,351.02,340.76,321.60,321.72,402.61
