dates,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0049,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066,nzd0412-0067,nzd0412-0068,nzd0412-0069,satname
1999-07-18 22:00:25+00:00,,,,,,,,,298.30,,327.48,309.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.29,,,,,,,,,314.12,,,,,303.91,294.83,270.75,312.21,,,,,,,,,,L7
1999-08-03 22:00:32+00:00,,,301.17,310.51,318.28,308.86,308.54,300.50,300.25,304.56,312.78,310.47,305.59,324.52,,,,,,,,,,,,301.93,299.62,310.91,320.08,301.15,297.03,305.07,292.37,301.50,301.94,305.18,306.24,303.11,,312.90,310.35,313.87,,380.29,,,,,,,,,314.12,,,,293.61,302.78,290.17,284.85,312.75,323.45,335.17,338.89,349.41,349.20,330.75,318.81,322.30,409.82,L7
1999-09-04 22:00:33+00:00,329.09,328.66,314.81,317.07,319.01,313.77,311.85,310.62,307.52,315.64,318.27,317.92,321.79,333.67,,338.55,336.85,333.33,334.48,331.94,335.88,333.52,334.84,336.68,337.57,319.08,318.44,324.87,328.57,318.10,313.90,314.45,307.85,310.84,314.45,315.26,316.73,314.84,326.80,323.40,323.19,326.74,347.27,366.88,352.35,354.76,347.17,349.20,341.28,322.45,314.87,318.91,309.35,303.28,316.95,317.76,295.49,302.34,298.14,297.01,318.43,329.37,335.42,339.66,349.72,347.57,336.66,322.82,321.72,413.94,L7
1999-10-22 22:00:28+00:00,336.61,340.18,324.74,324.08,323.29,319.75,318.31,317.51,312.79,321.67,323.10,324.73,332.52,342.39,357.69,344.13,342.24,341.61,340.62,339.93,341.73,338.03,339.15,337.50,339.10,327.33,326.66,333.21,334.48,325.73,322.74,320.50,315.95,319.11,321.24,322.40,323.94,322.95,333.20,329.31,330.60,334.38,353.19,365.01,352.35,354.76,347.17,349.20,341.28,322.45,314.87,318.91,309.35,307.33,321.24,324.88,303.88,306.68,304.96,304.19,323.69,334.45,338.68,343.33,353.23,348.28,339.11,323.38,321.57,415.48,L7
1999-12-09 22:00:33+00:00,336.61,340.18,324.74,324.08,323.29,319.75,318.31,317.51,312.79,321.67,323.10,324.73,332.52,342.39,357.69,344.13,342.24,341.61,340.62,339.93,341.73,338.03,339.15,337.50,339.10,327.33,326.66,333.21,334.48,325.73,319.17,318.00,313.62,315.75,317.66,320.59,322.61,320.85,327.46,325.43,327.57,331.36,345.37,357.13,345.95,343.72,337.75,338.06,336.05,315.63,307.36,309.96,304.56,301.58,315.73,322.85,302.27,306.68,304.96,304.19,323.69,334.45,338.68,343.33,353.23,348.28,339.11,323.38,321.57,415.48,L7
1999-12-25 22:00:28+00:00,333.13,332.60,322.57,321.81,322.42,320.02,316.87,316.25,311.82,320.02,322.44,325.52,333.09,341.64,347.38,341.00,339.68,338.45,337.55,336.99,337.04,334.37,334.71,334.00,335.19,327.86,327.52,332.64,331.52,324.69,319.35,318.02,314.70,315.94,317.70,321.79,323.25,321.85,326.94,325.15,327.45,332.00,343.83,354.21,344.58,342.69,338.89,339.11,336.35,317.34,308.65,310.51,304.91,301.90,314.88,322.85,302.88,306.49,306.41,306.71,323.83,331.82,335.02,341.07,351.26,345.89,337.08,320.62,318.22,412.57,L7
2000-02-11 22:00:21+00:00,333.65,333.35,330.56,326.43,325.50,325.35,321.91,324.24,321.17,325.66,329.26,335.29,342.38,347.67,347.43,342.09,339.51,339.07,337.57,337.39,337.87,335.50,335.55,333.61,334.83,337.38,337.16,339.89,336.11,333.24,325.22,322.75,322.18,321.06,322.20,326.91,328.91,328.74,328.88,329.52,333.45,337.50,344.17,348.98,345.69,343.00,341.61,342.17,338.21,319.43,310.79,312.02,303.54,302.94,315.79,327.43,309.34,312.03,316.84,320.74,332.19,334.83,335.58,341.76,351.93,345.37,339.81,321.81,317.61,413.08,L7
2000-02-27 22:00:16+00:00,331.10,331.42,329.08,326.10,325.37,325.17,322.19,323.67,320.58,323.67,328.08,333.15,339.42,345.75,344.23,339.45,337.77,337.15,336.13,336.60,336.41,335.87,335.82,334.21,333.71,336.09,335.80,337.19,334.33,330.66,324.34,322.65,322.09,321.08,322.42,327.33,328.96,328.96,328.76,328.90,333.15,337.31,343.49,347.05,343.39,340.82,340.30,340.78,337.64,318.71,310.01,311.52,303.16,303.67,316.74,328.09,309.75,311.79,315.24,319.06,329.59,332.43,333.21,339.20,350.96,345.37,339.81,321.81,317.61,413.08,L7
2000-03-30 22:00:09+00:00,333.18,332.98,331.31,329.23,327.10,325.98,324.08,324.14,321.22,324.65,328.90,333.69,339.78,346.06,344.44,340.40,338.05,336.91,335.17,336.46,336.67,336.88,336.97,334.56,333.92,335.53,335.64,337.05,333.33,329.46,323.49,323.22,322.85,322.48,322.21,328.01,330.12,331.76,330.47,330.04,333.94,337.58,343.26,346.78,343.10,340.27,341.50,340.96,338.25,320.10,310.82,311.28,305.71,305.47,317.97,331.11,313.54,315.21,316.23,319.07,328.29,330.45,332.64,339.27,351.49,345.02,339.33,322.42,318.77,413.64,L7
2000-04-15 21:59:55+00:00,333.70,332.72,330.58,329.09,327.40,325.98,324.00,322.53,320.26,323.66,327.61,332.25,338.16,344.14,342.76,339.35,337.66,335.93,335.28,336.63,336.30,335.67,335.84,334.22,333.83,335.09,334.67,335.87,332.76,328.66,323.91,322.79,321.95,321.60,322.88,328.08,330.59,330.78,330.22,330.55,333.69,337.57,342.01,345.49,342.60,341.18,342.65,341.65,338.84,320.81,311.51,311.90,305.26,305.13,318.46,331.06,312.52,313.60,315.76,318.29,327.38,329.86,331.63,337.95,350.49,344.77,339.14,321.88,318.51,414.40,L7
