dates,satname,nzd0257-0000,nzd0257-0001,nzd0257-0002,nzd0257-0003,nzd0257-0004,nzd0257-0005,nzd0257-0006,nzd0257-0007,nzd0257-0008,nzd0257-0009,nzd0257-0010,nzd0257-0011,nzd0257-0012,nzd0257-0013,nzd0257-0014,nzd0257-0015,nzd0257-0016,nzd0257-0017,nzd0257-0018,nzd0257-0019,nzd0257-0020,nzd0257-0021,nzd0257-0022,nzd0257-0023,nzd0257-0024,nzd0257-0025,nzd0257-0026,nzd0257-0027
1999-12-25 21:59:16+00:00,L7,367.49,350.57,328.98,318.57,307.37,304.43,307.75,305.00,314.39,321.47,327.50,332.86,353.91,359.35,280.76,341.69,345.96,366.26,356.12,345.20,338.43,341.76,332.59,329.52,328.60,333.60,339.08,341.60
2000-01-10 21:59:16+00:00,L7,373.85,361.60,341.75,331.01,322.44,321.01,322.58,337.89,349.74,356.16,363.59,365.82,372.62,372.06,364.00,360.73,372.35,371.84,372.71,368.96,361.53,358.48,352.20,349.52,343.63,343.66,351.95,350.89
2000-03-14 21:58:59+00:00,L7,378.45,363.21,346.67,339.84,332.28,340.59,344.60,362.14,367.21,379.69,390.74,388.71,397.91,395.42,408.96,404.47,381.71,395.92,389.98,412.13,416.38,422.30,415.05,394.80,391.32,385.87,379.18,397.66
2000-03-30 21:58:57+00:00,L7,365.97,348.89,332.89,319.43,311.02,314.11,333.25,341.68,350.77,370.77,377.50,386.73,384.00,392.13,396.36,399.87,394.06,393.62,393.40,395.51,393.51,392.96,391.48,377.89,361.22,348.79,356.64,351.46
2000-07-04 21:58:02+00:00,L7,350.76,346.16,335.15,321.87,311.50,310.97,,,,,,,,,,,,,,344.37,350.98,350.59,346.23,249.96,132.74,,,
2000-08-05 21:57:32+00:00,L7,374.51,349.03,342.43,333.83,320.39,323.41,,,,,,,,,,,,,,356.64,351.77,364.31,368.54,345.28,326.66,323.79,,
2000-11-09 21:56:45+00:00,L7,355.10,338.37,325.53,315.29,310.49,314.49,318.92,324.95,334.51,339.29,343.81,347.65,351.86,353.28,350.31,340.99,351.92,348.42,340.08,333.63,320.72,320.16,321.09,322.36,328.05,338.90,343.41,341.05
2001-03-17 21:56:40+00:00,L7,370.17,355.43,352.22,346.55,346.58,337.62,335.09,345.05,366.63,383.84,390.12,386.80,396.94,411.88,419.84,414.83,409.60,413.39,411.11,411.10,413.92,407.90,407.41,389.47,400.73,384.13,371.09,373.51
2001-05-20 21:56:16+00:00,L7,341.86,329.72,319.26,316.96,305.39,,,,,,,,,98.80,131.35,103.53,278.52,287.83,,273.79,,252.09,240.83,220.15,211.21,,,
2001-09-09 21:55:00+00:00,L7,,,,,,337.63,,395.52,429.21,447.56,,425.55,428.48,438.64,414.22,603.65,636.55,403.15,408.18,394.43,362.41,363.23,391.61,381.65,373.59,350.76,357.34,359.53
2001-09-25 21:54:52+00:00,L7,373.99,359.01,346.74,342.06,352.72,356.78,346.79,361.62,376.39,389.10,409.20,414.44,404.55,385.97,384.85,396.54,399.04,393.63,404.81,413.52,413.25,407.07,406.45,405.05,401.67,387.96,390.90,385.39
2001-10-11 21:54:33+00:00,L7,377.00,359.07,346.78,349.84,353.25,354.18,343.24,357.26,360.74,392.21,417.31,424.91,396.69,383.98,385.46,378.01,385.83,383.90,393.97,400.29,399.00,408.86,405.11,388.12,398.74,390.09,382.06,377.99
2002-02-16 21:55:18+00:00,L7,370.71,354.48,345.19,345.59,344.65,351.02,353.02,357.53,363.11,375.11,382.69,394.07,390.72,376.87,386.28,381.63,368.60,368.57,362.54,361.98,369.56,368.20,372.95,373.21,370.93,355.87,348.06,360.82
2002-08-27 21:54:24+00:00,L7,366.26,346.58,334.49,321.96,314.09,307.86,310.20,317.71,323.39,,328.57,328.77,335.32,332.29,354.38,344.78,342.55,333.46,329.35,339.82,333.76,317.09,321.65,328.94,315.18,321.25,352.13,217.90
2002-10-14 21:54:07+00:00,L7,367.58,351.36,349.54,343.84,341.96,338.80,343.59,348.64,358.50,371.07,381.32,384.81,391.73,401.02,392.91,401.34,391.35,365.28,356.51,361.77,353.88,344.40,347.17,347.18,360.49,363.53,361.30,364.09
2002-12-01 21:54:40+00:00,L7,366.44,348.86,338.06,329.06,326.10,321.16,328.71,333.89,346.00,356.43,354.85,355.42,342.33,349.84,347.40,346.52,343.86,340.53,327.32,322.23,323.73,321.14,322.75,319.42,329.13,334.40,342.74,351.35
2003-01-18 21:54:54+00:00,L7,353.79,333.80,322.91,309.89,311.26,303.96,315.73,323.82,331.22,336.47,340.58,329.65,335.26,305.88,321.85,310.07,306.31,300.25,301.12,308.48,302.50,297.40,294.44,294.60,299.72,299.22,318.50,332.58
2003-02-19 21:55:06+00:00,L7,343.33,328.97,313.27,306.85,306.54,307.89,312.91,315.79,322.26,344.81,354.18,348.73,354.63,367.26,361.37,351.89,318.41,330.61,319.78,326.54,316.63,310.81,310.01,308.38,310.20,311.45,332.15,342.98
2003-04-24 21:55:10+00:00,L7,365.93,349.74,337.25,326.63,335.60,338.26,346.10,350.59,358.03,377.79,395.78,398.47,391.89,400.49,399.59,395.93,406.72,409.96,376.92,404.00,397.73,393.14,374.68,381.24,374.14,377.89,374.66,200.31
2003-07-21 21:42:57+00:00,L5,373.38,354.81,348.90,340.38,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-29 21:54:53+00:00,L7,,,326.18,317.10,310.54,310.73,307.03,317.00,343.39,352.90,344.26,344.02,,,381.64,386.06,389.11,380.95,,334.49,329.14,337.81,339.95,322.81,322.37,,,
