dates,nzd0257-0000,nzd0257-0001,nzd0257-0002,nzd0257-0003,nzd0257-0004,nzd0257-0005,nzd0257-0006,nzd0257-0007,nzd0257-0008,nzd0257-0009,nzd0257-0010,nzd0257-0011,nzd0257-0012,nzd0257-0013,nzd0257-0014,nzd0257-0015,nzd0257-0016,nzd0257-0017,nzd0257-0018,nzd0257-0019,nzd0257-0020,nzd0257-0021,nzd0257-0022,nzd0257-0023,nzd0257-0024,nzd0257-0025,nzd0257-0026,nzd0257-0027
1999-12-25 21:59:16+00:00,184.71532145126224,162.91558469453324,142.8243880116356,134.32878472833235,125.42436684180835,123.52175844023492,126.79906472875143,129.70879660051415,136.27905779725648,140.10891426144048,149.75791899638494,160.04680135349855,172.52414875423847,,,169.9504592983546,177.42365578117784,187.79968774036774,174.6398453433819,166.65576913012504,161.27794773599715,164.7468428177931,152.28583053156254,149.99049799996084,149.54091532146822,154.31799440988945,161.53854732115082,163.02426015229122
2000-01-10 21:59:16+00:00,181.6192507802757,170.59268995312868,149.60901914074736,139.0128806827876,133.53824406951696,132.13378750920717,133.51409097352436,149.82110818499996,162.3653966896673,167.1485786878463,174.29774150340313,179.0881818206865,183.6256128923393,,,175.65217512847838,188.28160326662996,186.7681083724532,182.6497532459162,179.8436173084564,172.56592648510707,171.19298657433552,162.87994581216594,160.20328846770292,155.03218216826667,156.15579354717138,164.45261404172592,163.6217414281222
2000-03-14 21:58:59+00:00,171.0704865469842,157.78658785603585,140.48961386695984,132.98467737315522,122.17067198601364,126.7358445116979,135.75334687517548,152.1739026485553,156.50704143021807,171.80794827581312,179.35757837764623,173.3187236647629,189.2714639852437,,,189.00668106450632,173.22678722623425,183.47304935788856,180.75167761830167,205.297119875172,204.20489423361522,208.7415613044115,205.9353742060236,184.92102007948665,178.95879922112735,171.2311458859839,162.85699328204862,
2000-03-30 21:58:57+00:00,166.84369736955486,148.73597461368277,133.66113163101548,121.32259108058525,112.10933247201966,117.10825769671004,136.0596243120861,142.3997639398732,152.43913912793533,172.0049987726976,179.28877875211998,185.8439699170742,183.61813351094034,,,198.94451173203547,193.53205787279907,192.14538624632377,193.67313561467154,197.3626502515264,196.0426130528384,195.3957040526432,195.08769382507998,181.79426570935283,164.27530434165166,148.83611969457593,157.82659714994512,
2000-07-04 21:58:02+00:00,163.0036838225236,157.71722930453,148.13237082044012,138.487408931626,131.38593213447172,,,,,,,,,,,,,,,165.4316821068901,170.79207926494817,171.64133177962373,165.96221102270312,,,,,
2000-08-05 21:57:32+00:00,171.63395854939245,146.59553414391817,137.63757831028215,137.9826697009331,115.24877105843761,122.02677054536076,,,,,,,,,,,,,,149.47686359202817,144.8750886333095,150.1239757218381,154.83858069583977,139.86046339490596,119.26949306725498,,,
2000-11-09 21:56:45+00:00,172.33141121773988,151.15287235807347,140.00440925333197,130.02950844717893,132.1348646873411,137.37320027413182,137.67729926368685,147.89707557332713,157.52883938973895,160.95167217236542,165.80334838226239,174.76102366966705,172.89351611766455,170.42140420236572,177.57754911418243,172.5095408542754,183.29394174737902,177.12581764653234,167.63206887083928,155.8465838795725,147.9238014815692,147.67434342819578,144.38317688156258,146.9467221526513,153.12495212049615,166.05221690616068,167.09394519902807,165.56085563608434
2001-03-17 21:56:40+00:00,166.44578663602817,150.47751204494307,147.18279319156852,139.9211681191824,138.55657076842226,128.94210153295558,127.01868575036092,136.1338504495461,157.8023001278535,175.81841567345776,180.96532143444804,174.3825059653251,191.09405371404495,209.1401852526215,207.8412983534006,200.56130012282904,196.1331958047242,201.11372609718964,203.93886877576017,200.933495487057,202.78793456685972,195.2857676623003,199.6802418253069,180.4383230190571,190.04659551142547,171.7036010662573,160.3190154224942,162.5370300426405
2001-05-20 21:56:16+00:00,156.04874929555095,142.70450910041944,132.00899437956417,132.33399848881305,124.35080810726917,,,,,,,,,,,,104.50500980113698,,,,,175.78060814076903,,,,,,
2001-09-09 21:55:00+00:00,,,,,,135.34901726484392,,193.7560763898833,225.36852134744444,,,,,231.16126921449472,203.0816273718212,181.77345479020943,,192.40439435846417,209.44227063683704,191.29036071113444,150.4646348475916,154.07546816477793,192.55765154442759,181.15936961435798,168.06692245448704,139.98285734079437,144.80065627425228,
