,dates,nzd0106-0000,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0012,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125
0,1999-08-26 22:04:44+00:00,,,191.1300155311043,201.9590715621162,,182.19809748508737,177.28912265394217,,176.77804868585085,174.6721866845918,,179.35774698818207,181.3329364366288,,205.91066701798746,,210.61665761916254,202.43724330993743,204.8860626595572,199.6622752253197,195.5668314246628,198.87760904215094,195.92643455591823,204.8395996752442,201.49918625841207,201.38779392896254,,202.94780964987126,202.81038950167192,204.04473323158516,212.6594071718247,221.43003029280678,221.59300160893562,216.91991589085507,,219.8688915203537,225.00721938150235,216.7206940329617,218.35123002586187,209.89953176730475,214.6187572228505,206.75332425806624,205.88032163571017,,237.50593995351625,241.21912481041687,,229.8697474619235,226.98190707050165,235.41764875782113,,222.23917066157415,,221.76321546253308,222.98387629572517,212.36670110323894,,216.43193994461245,212.71343249289873,,209.163737900183,200.36747960247456,,196.1341137831275,201.56949064678025,208.48606946640385,219.626371759423,221.0439233994435,211.62971789817837,215.90390249097376,225.1197574319815,234.26790590268845,234.24505746818738,235.70026494104442,233.23077601307972,229.31048639285396,227.02391290080573,222.60603955537246,211.65996508560693,204.4208054248739,207.15757400298318,214.9372953239079,210.6895320261989,221.61820584681155,220.4375486027301,226.73482031382432,233.11574278579937,225.0497311701412,226.0738408500652,219.77604231884027,216.27661689822776,216.0474062234445,216.10034058829189,223.710064480407,231.9885201017317,230.77076598521666,227.1801463991691,225.241516752962,225.51331127867473,225.17200893077035,222.9012849186579,224.0001756514307,230.11701609909943,233.91885730998447,238.0990324146595,238.26054501553568,238.77972939909995,241.01811617320112,240.40369120603606,238.52936852564036,232.69526187982697,229.60542657061498,227.08970730915914,234.35239279292693,,234.6522681664121,238.05757435217967,233.38128189176658,229.3888250807546,229.98520164219966,225.5051973112965,227.38061535475447,231.50384922410626,227.59666116231352,221.95030810867706,213.46130307335918
1,1999-09-27 22:04:48+00:00,,186.8985061526475,196.9161212142572,225.85491540776394,192.90276986125087,183.97239312989015,181.3157395520299,,189.2086803709414,179.10224720810592,180.88551362642903,,183.92980993373482,,196.91441908520395,198.43582491375716,206.3240401685228,205.2880610165674,,211.81725617633543,204.33539788564337,200.77848658895618,201.22264543478778,,205.82578721905236,201.14223837010667,197.62779341436578,202.7477257080275,203.43189587605153,200.86198219072972,201.1886257757923,220.1925335603851,213.26874127605856,215.6656501991559,,211.2545882192319,210.62477199029516,208.51820381050484,208.68241669526884,,203.7501497871457,209.19916038683374,,210.5992128849708,220.30349836995296,221.15723961344554,233.30786596627814,216.10881329444848,223.2704763302838,,213.7299886662458,215.2861495963735,,213.8390765116235,211.107173203281,,,203.4965027563152,200.33323482871742,200.2519033153459,195.2277763861943,194.32257005979406,194.96847776870905,195.6533979852793,198.61673001706077,209.52561777464996,208.4303396740729,214.45195454638676,210.1233373476659,,224.25453660011863,224.4669973963483,223.9589451537346,220.69153683466394,225.05173328947345,,221.3581229689177,217.51507710705712,206.0567005807962,202.79800164227456,206.75756745366914,210.2873746679504,213.91986486295053,213.99513996643714,217.52561390898717,218.38653655262186,225.68131473413086,219.72868932223759,213.69517568316215,,213.42913478530994,205.51338506705955,209.7938795797204,215.4214376989976,223.67446877692012,222.2769006084616,228.60405812451097,225.83288481067808,221.75563670093814,225.06896102829475,223.12609795270157,218.4863633276622,222.40223368162816,225.28346901059263,224.59516334312767,228.3452008085755,227.57592980871019,229.8001314066016,230.70409435127578,230.92045265057305,230.825033702678,232.26108707696852,237.49869773951565,244.90790737875423,245.04105026475767,243.7784468248212,238.7700943265337,243.51425099849442,243.31892267876762,229.17658773960608,223.42789091563426,224.72814644313667,223.3242140826463,221.96985167540183,225.45001168131517,214.77483524784373
2,1999-11-14 22:04:42+00:00,,192.77622851010352,176.17624925735518,195.47486865728567,,187.8900855414643,175.58219532275143,,176.50794452803677,174.46473169616354,,176.7704709432962,185.69642593961458,,195.47012260890426,,194.55037862324684,196.91442024899254,,202.71791776844793,194.3902384469591,196.6789422605053,196.88669927085576,,193.02053502253327,198.52917054740288,,201.05259864404385,202.20316003213065,200.91088852236408,201.0155145282626,,207.0806279699076,208.99089268169044,209.6738904332351,206.80650027442516,212.53746116335046,206.7344060733725,205.0311848585706,205.4751289084935,201.65082697438945,205.71887884348536,208.87771124604808,209.31831769489716,213.37037541555145,218.9306556278591,,216.55720115002083,218.6079411295623,,215.84221373500793,211.8954831446412,210.80771910135593,205.93638256516505,205.59654051398297,,198.65317416421735,199.22104096441842,203.23988620590296,,192.7105146133788,194.49183980561398,,195.42918330092695,203.96155058742352,202.22853682233097,209.76385093629028,212.0903517068626,210.54618358385736,207.63248638925333,212.86801371458833,221.66491776407148,222.01819459270143,224.30836476257124,222.22831270057708,,220.7932538704458,211.21384691966628,199.7672920000426,,201.34243916069215,205.6382473238026,207.33391485947243,208.75605082258568,213.8834894744015,218.66295501846943,218.74232002854257,215.95358740179526,208.96663373933404,,207.89794237532394,197.43264851175365,201.2438247393422,213.0297573502687,218.94044222210889,219.8282485175481,217.2474833867812,210.7949130598829,211.82217656439036,210.80004193840307,212.93007310696566,214.27646334746882,212.95093335308206,216.85351318180548,219.61992662529408,220.22484616586567,224.39564104297597,219.54472425971812,221.2391132324325,220.26483668359782,217.19364892234162,215.7231483025282,214.64291621401964,223.25610935210292,221.67765795032082,220.64271905892852,219.65422500583608,218.74982923139385,220.56097186953514,219.14741962932933,225.24966601917828,226.40652275580987,222.20862069956974,222.31499293088842,227.02793225057087,216.48517114012395
3,2000-02-18 22:04:29+00:00,,151.92024125105806,144.50378631727887,181.84808138299528,,173.17929001876126,174.82307377206138,,161.7593555768512,161.72251367558894,,174.75690126876995,180.20688346199753,,188.73331488798578,,191.92268494492427,193.8060751390764,,191.2264285943769,193.83084319357786,190.13454604352532,188.26768937706356,,194.36558965266295,197.66592930503145,,199.8085667821139,201.77639774418432,200.3418013621028,201.46887294215426,,202.3467561668719,204.64080112926257,,202.4307981492357,210.23836631769373,,204.90356479178214,,208.57084632433023,208.81523528887283,,210.16957072680785,213.5812250485711,212.01771642982402,,212.21337874497593,214.75809783957067,,209.1148999958473,208.74186722564238,,204.83609253003513,206.00924334330242,203.90274494868325,200.36553714553386,197.03667526071663,191.66743201803408,,188.06046038464862,191.5229796850322,192.54338207975744,191.76012296456236,198.98558797734813,,211.04426473210836,213.3334865757757,212.21532841626683,210.192382307198,,215.35860731379103,219.88311817748843,216.25720570816534,215.95272379331996,216.63235196188154,,205.55810087223693,203.13579233971598,197.85963092712385,200.96233503284918,,202.95067836731,204.64221441781748,207.84303527415545,213.4821317263819,216.500624057216,212.76442919374418,206.32550038962324,205.1314880608497,202.7897951970016,202.98040535968045,206.06455683576075,211.15733031030217,216.99056557215363,217.85724762480575,214.11191324590646,207.14533352762447,207.07013725218417,204.46999094452377,206.77821078309728,209.63427438653483,210.95473769817252,215.64038665452784,221.85343081993176,220.67544929987437,218.1301294696489,217.89073506661813,215.88673617607776,218.7620895387037,213.75355246737178,212.2083133467878,213.71400184096228,214.33425235973692,217.67236089709968,215.07357125963333,216.51306496466944,215.23311263805132,215.14805840562818,214.87956544537167,215.76699952971438,213.71482182686913,216.60399295259788,218.17275317194103,218.75922279697141,211.26342569016558
4,2000-05-24 22:03:46+00:00,,,,209.06588124676193,163.9707701277174,165.59107598600625,,,,166.75347286620718,161.90515133322964,,161.00675251540903,,197.65240436232963,209.41506782709692,189.1112118074391,,,193.01942938398724,176.178670773155,,,,199.26950487174204,198.520633310525,,201.6013757453831,203.93345406833203,201.48984031933458,206.28495387920512,208.75742913069456,214.47232245092326,210.11297248887664,,211.73603484687482,215.4011757359684,,213.21109730870836,,212.81222463120176,210.48654181059734,209.80923557308333,215.57351709850806,215.24474736777145,,,217.2331398489033,224.2273022613664,,219.7724674420097,215.738727245362,215.10075482679446,210.41282055633783,204.95463496730451,204.27008204407915,201.95522333366085,199.9926245878536,201.36235514782416,204.96626997163935,200.48546951096534,197.08776530839222,,194.28046244630167,204.4987320565394,,215.33903876760868,217.44646782109896,217.1157138553401,221.89327713425882,,223.52660382167218,227.52058256647038,225.60228663736802,224.10409030280343,221.17309984867939,,215.55669254479244,206.2535028903356,204.806246972565,208.0898139489441,213.84244755369147,212.49578120659876,213.4495625615305,216.75962725271984,218.86111594479485,224.8325971941024,218.17148199974991,215.71725749668133,212.4980360659067,212.45211008959274,211.99845967993173,209.47116199550044,215.0145498888695,223.23018280416838,222.56735747805118,219.19750466011985,219.06744108688085,220.0493121671041,223.0238513111354,220.17519873029397,219.73368749593135,219.6084072876832,220.43984256951367,223.73204173259083,228.95424187124425,228.12044301625124,226.00247932144785,228.52942553170126,228.14583954407743,222.63746876500255,216.21337388559422,218.6622773211779,224.12136832090596,226.5759446100376,223.37522493951,223.30364621649073,228.07025108485644,228.3558611706919,224.5005700454273,226.6261297644317,228.8544753295393,229.79696419465603,225.9478367706032,224.94603823354606,215.98973608132357
5,2001-01-03 22:02:12+00:00,,,,,216.36558361656733,189.94148459013715,177.27584737533937,,172.6223154041842,168.2851127085449,,169.10175691534639,173.8365953247085,,178.48961722870945,,179.83214341006527,188.9799098406736,,176.49829951837248,174.1478574914927,179.75740033053404,182.50388779431313,180.87191239569034,180.13422336136566,186.55710587951003,,186.84608553165012,189.51717196877462,192.87305593404335,197.45107336382208,198.24694943146793,191.1118263604832,200.48200630113135,199.41537484193486,198.76655634163475,202.42852598274254,194.82193199390582,190.1402449959074,,191.55244527791044,199.28787567834806,199.97758937287142,197.29761729697805,205.29581675806884,,,204.73205298669325,212.22595143574003,,200.76015467793118,200.7654598530988,,199.22260580824468,192.90939225506708,194.7578878488715,,199.126319061701,192.63584523456367,,186.60142652775696,190.58950838564925,,184.56594311313398,189.0501334072982,189.68219416047828,198.6005646654358,201.20636859474487,207.9169470090181,204.38514315915592,194.972414225673,203.88999600451584,211.972774346935,216.22922601476353,213.88238784972447,210.83455462745457,205.87429950733377,200.95824711806105,191.04924685476243,194.12797099443856,194.8627582088416,194.3896811261892,197.94966631437694,194.45310240204066,194.33696195172467,193.91495101893605,212.0316698414614,208.7219031283646,206.41209879292256,195.90359441274708,187.77551981599953,190.0909358821656,194.39394374764572,205.05237800637587,216.6274887697933,208.6058508916384,211.77702816515958,205.43241430282797,203.27615247241485,208.41899521628417,208.38781363975707,209.32899416575881,209.47892712391035,212.85227593491942,209.30174464701722,210.61400201032467,208.57855631384788,211.7797620265561,215.62151868482528,219.45129345836722,210.81126618205988,201.6995643418375,203.54609469786251,215.3166695764586,214.16777862865024,211.47562942252085,209.11762009138195,212.0898941675978,211.59622512056742,208.34559334358204,207.4295083079152,207.4950199439972,216.9053791707695,227.22750068499903,238.28820719987363,234.78077348668887
6,2001-03-24 22:01:59+00:00,,198.749239480014,224.0786633240302,231.880707688906,,187.30250353037383,176.34215786803438,173.19096235701824,164.49830034434194,162.40840555862334,165.1020404577334,,166.4820406186019,,175.8287643255236,177.4642914246726,182.84959158281217,180.68839775786498,,183.78692054432497,178.5421646016739,175.646845102255,179.6409126039303,,174.89064152447088,182.20834604547403,,186.71086885176197,,187.17283273280205,190.80060238106842,190.24738252870708,190.72378537290734,189.92505266350898,,194.69393012464704,,188.5314097496311,195.00408757607894,,190.148404121405,189.12967943745508,,194.68467902554445,199.26298385740682,206.07236709871052,197.75509159494575,199.32749462822198,,202.0466850219666,197.6461289856411,199.9297219085381,,193.97107007681637,192.0648492553673,,195.5084210026653,189.00204143381293,182.39422327510738,186.42052439122506,175.48894841113662,178.94502908921504,,187.83548991492108,184.6324070768985,,203.8806555763962,204.2175373918961,205.20046637213767,203.94386906019537,205.7966290786782,209.7147667061971,206.3859962132911,208.13663519338402,213.62976755917705,212.02341085210736,212.03013447399266,201.60271222081576,197.0236257311474,197.3711284766388,195.46856380524576,202.02427231042876,195.7505474159187,201.33216691911585,203.19600151975618,207.08265028305973,207.59647978255626,204.3017879997764,200.46131282463085,202.7094566172546,202.93553654634766,201.7000578771127,197.60401476886852,205.96879948505537,213.61827357418133,214.761930406217,218.47308621953596,214.43675748437366,212.13500494507497,207.85888578873318,207.59121852434362,211.1682273059377,211.65527697968673,212.33134944632982,212.04902196984193,212.8252950072633,218.0264373264731,208.960446478972,209.02479747682546,211.03072282052455,206.00079656173477,201.83146745897793,197.1148327530396,211.55586619572276,207.61985222836915,208.0503468156473,206.34006665334093,205.53062420206618,213.2177443429785,211.8688173606377,208.39235331230196,208.12486576105306,203.28334961803935,205.7301976230794,215.92966221893496,212.18477188920872
7,2001-05-11 22:01:45+00:00,,202.90183049844663,228.35612667895361,225.80877922026463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9666641262971,184.01605733058355,,181.1840656962553,,,,,,183.210822471332,178.15727796846454,176.59098378016503,,184.4138001239093,,176.9651896065402,183.74291254741436,175.0693039550298,,164.63296633514912,165.3746973762554,,167.20191741707538,170.23623141526988,,185.19398478689962,177.3267606656848,184.23396452537182,185.12437969182562,195.1233012967549,197.30556813634527,,185.4559908254942,196.20203843313166,197.35743952034807,206.2569900179401,200.12081021907073,193.22313094111695,180.05897188753997,181.33891180753295,185.7466437534327,198.6998363622434,195.81413238803168,187.07557099321414,184.793412852788,191.32002510076921,192.40577835414385,193.38669845361864,,196.83187968628866,200.06084398896456,198.12299062419297,198.2736781890071,201.00469885765088,206.645828393143,206.27830533533563,,199.47060373770515,202.43065143345115,198.7860479903311,194.62525636331952,189.48506040640513,199.4896924291906,210.07211178792258,204.3126102812808,204.16936669421412,198.7856668506803,190.99792100262897,196.69542154770016,196.6201203278752,193.42272726598355,193.43498185317628,184.36011901073556,193.55676439178256,201.13385890559752,198.26793284527847,191.59031320733712,193.08387047399972,190.54665825366322,189.18345569399153,186.04972088904447,193.04534847799349,187.36754891590908,193.4685074838019,204.75945387762692,188.63666624176176
8,2001-08-15 22:00:38+00:00,,,,,202.61120168948193,186.30635964111656,177.03441176892977,167.21952438821353,171.17000716824504,162.99653670467598,,163.9678889577519,164.20634461036636,,174.64323308996575,,174.69734767007307,173.181388247905,189.69734953933514,174.39562777881395,180.73255252048122,176.49499737315332,170.72511442990603,,173.60306881108184,171.66568716410228,,182.22905468441255,181.29485315900789,186.34466506984577,184.81869363464548,,197.2022037007744,,,196.85151656182688,189.15448398900588,,183.8700034347169,183.05576032542672,194.38115282823043,188.72217017425533,,193.88043521050048,193.89543455001817,200.30053007508496,215.04012914855204,205.67975225275842,210.82344108191856,,,211.8850366551675,200.6484828798445,,189.6613980792989,187.78390095671185,179.76984919876347,182.56700797564932,189.58466001778382,,173.92877900274803,181.69374880619432,,185.82734900703147,183.0843782847256,,,203.29824116854206,202.4781769935356,201.86402497926855,209.7588206903907,,,,,216.76397241834164,215.41289506499186,205.89752447222844,211.30753893323046,202.48814057296525,204.29727678656005,,202.4194362473716,219.79555360274838,215.58297169570724,,214.4424031176491,,213.84679487773738,206.88900945006728,,,197.4117716347545,210.04089481029516,210.82621255016878,206.9968560851694,210.4577778831532,209.11409745378776,195.1572082122207,,,,211.8738119900008,217.8887590536962,,,,216.1120458560891,213.00574265504187,,203.66145340301034,193.53648679463134,194.93996078627083,224.3694817249522,,202.44565434621873,199.86708177137356,218.82237905330518,209.29259211878212,193.03940693642772,192.56078656999185,182.55402316840605,186.25678738497842,232.6779834456706,,
9,2001-10-02 22:00:04+00:00,246.0882598111333,242.9088636339639,242.91921137482421,231.73007187461067,199.21053973308193,182.96528862389906,179.61327283716625,,174.48743596816925,169.20781915900372,163.92421451327604,,167.09042534569124,,177.54206569543126,178.00079773897653,183.88954032073048,186.9167928898359,192.17051764141206,185.76239627885906,186.27569441368934,181.12667713691724,184.49890072935773,,179.5541458228899,179.1534222368874,186.8071948657628,188.1308661987256,188.98672807561033,195.18129274593466,196.89311021107784,,203.19011614549714,198.9676933332592,,200.06786380426067,197.1971635770912,194.16713414980345,195.96466124188257,,190.97972754376144,,,,244.25403768656867,223.4404548617411,212.9125818166737,205.15992131900424,217.57763392716527,,209.24350690824042,194.9658075482403,,201.19007820504808,193.8291826293354,198.41863143263737,,,189.5978908946554,189.2432426744878,186.03313906529576,177.3434815574101,181.04665822870777,181.4615042698743,188.16606747673765,,198.6921299487909,201.3267673897932,199.79354493917126,203.3848908564796,205.8911835096833,208.83839088267746,205.48561140996128,207.973665000462,,213.02191068841574,208.9404658148581,200.344167395792,196.79910288712878,187.41460770806137,197.89610698300413,201.01888005679731,197.75993929088685,205.46172710358118,208.4912767616893,210.53328029025593,221.17795354334598,208.07946748038788,197.22681588746045,205.31140948543154,,197.46897487301405,199.66403369031195,210.6380505878149,208.1556094521857,216.257432558429,208.03025443727657,209.4938546059755,,,,,,,,,,,,,,,207.46326883196156,215.8516899590606,212.82980784562716,207.4171508381388,206.48148229977784,203.19156360627775,197.57609266772965,187.00288454539483,190.87315074212347,192.7971153247534,206.14648911545865,219.3004977326892,237.92574605795338,222.16976207207472
