dates,nzd0433-0000,nzd0433-0001,nzd0433-0002,nzd0433-0003,nzd0433-0004,nzd0433-0005,nzd0433-0006,nzd0433-0007,nzd0433-0008,nzd0433-0009,nzd0433-0010,nzd0433-0011,nzd0433-0012,nzd0433-0013,nzd0433-0014,nzd0433-0015,nzd0433-0016,nzd0433-0017,nzd0433-0018,nzd0433-0019,nzd0433-0020,nzd0433-0021,nzd0433-0022,nzd0433-0023,nzd0433-0024,nzd0433-0025,nzd0433-0026,nzd0433-0027,nzd0433-0028,nzd0433-0029,nzd0433-0030,nzd0433-0031,nzd0433-0032,nzd0433-0033,nzd0433-0034,nzd0433-0035,nzd0433-0036,nzd0433-0037,nzd0433-0038,nzd0433-0039,nzd0433-0040,nzd0433-0041,nzd0433-0042,nzd0433-0043,nzd0433-0044,nzd0433-0045,nzd0433-0046,nzd0433-0047,nzd0433-0048,nzd0433-0049,nzd0433-0050,nzd0433-0051,nzd0433-0052,nzd0433-0053,nzd0433-0054,nzd0433-0055,nzd0433-0056,nzd0433-0057,nzd0433-0058,nzd0433-0059,nzd0433-0060,nzd0433-0061,nzd0433-0062,nzd0433-0063,nzd0433-0064,nzd0433-0065,nzd0433-0066,nzd0433-0067,satname
1999-10-27 22:19:03+00:00,348.28,324.74,328.94,356.01,375.03,379.05,390.70,406.81,416.75,432.58,445.37,464.42,473.19,469.61,454.27,448.53,445.33,442.83,445.91,452.15,448.87,445.37,435.57,428.27,426.54,426.82,418.69,410.41,400.06,397.81,391.42,386.45,390.16,388.64,389.42,391.77,386.30,391.07,388.63,383.56,380.11,372.77,371.77,369.18,370.56,368.77,364.34,363.34,364.67,367.49,362.70,360.89,358.28,355.45,353.60,358.19,353.92,356.41,362.82,357.92,356.30,354.18,350.09,353.40,358.32,354.29,352.80,367.67,L7
1999-11-05 22:12:52+00:00,333.05,322.57,318.28,341.90,370.69,368.42,381.77,400.56,405.23,418.60,436.20,446.86,455.05,449.18,444.41,444.89,438.90,436.26,439.56,438.56,440.19,433.86,426.65,424.96,420.76,416.91,409.82,400.33,399.26,385.30,382.60,382.08,371.79,373.01,374.81,370.82,356.77,377.12,379.98,379.30,371.73,372.13,370.42,360.73,360.13,360.25,357.96,359.50,355.71,358.65,350.07,349.32,346.34,343.09,342.40,336.70,346.07,351.78,,,,,,,,338.35,338.36,337.24,L7
1999-11-21 22:12:47+00:00,326.21,328.17,344.77,358.76,385.48,381.50,390.94,411.15,413.48,426.38,442.45,453.22,457.36,460.41,457.85,454.62,452.18,444.29,444.79,449.71,446.28,431.85,429.13,428.78,426.11,419.16,410.59,396.34,390.44,387.63,386.44,389.11,398.65,394.57,396.39,391.94,394.00,394.44,394.27,388.10,378.32,375.76,377.15,372.04,370.05,363.87,362.74,361.80,364.34,362.46,356.89,351.15,348.75,342.17,354.70,353.03,351.72,344.14,348.22,353.80,347.01,345.86,348.34,349.52,353.06,344.39,350.95,354.13,L7
1999-11-28 22:18:56+00:00,315.77,327.38,337.43,353.53,371.07,377.77,387.81,403.82,400.80,420.37,433.09,442.17,444.33,453.34,458.55,452.46,445.80,442.97,442.57,458.61,460.78,456.95,442.19,426.96,426.63,426.01,418.36,416.90,402.49,398.07,396.98,391.13,393.44,385.16,382.90,385.25,379.41,382.43,382.80,381.72,378.14,370.33,364.75,364.89,360.37,364.61,364.08,357.42,365.82,360.53,359.52,355.18,351.80,348.30,348.47,352.64,352.54,346.29,351.09,345.56,346.56,342.75,342.55,345.37,349.97,351.53,355.61,361.11,L7
1999-12-07 22:12:53+00:00,328.89,332.96,336.45,364.00,383.33,378.46,386.21,402.33,405.65,416.86,428.44,445.01,447.41,449.08,458.10,454.42,441.67,437.96,437.03,446.74,458.81,454.94,440.67,431.07,423.47,420.23,418.21,409.61,399.17,395.62,393.44,393.99,391.24,385.31,381.34,378.42,383.86,382.48,382.88,377.70,368.77,362.78,365.22,353.46,349.35,348.62,348.38,351.97,353.31,347.69,341.18,336.89,337.29,335.88,338.98,339.19,337.34,344.70,340.56,340.18,333.96,336.69,339.52,338.73,347.04,347.92,352.38,367.38,L7
1999-12-14 22:19:07+00:00,333.93,325.52,341.22,367.55,383.20,395.21,398.55,411.19,404.93,421.39,433.75,449.45,452.29,455.75,459.34,463.76,462.94,452.77,449.41,452.15,458.24,456.66,456.56,448.56,439.31,435.15,428.22,421.42,410.96,405.55,402.66,402.21,400.29,395.04,392.34,385.75,386.12,387.87,387.26,389.18,380.61,371.79,365.44,363.83,362.27,362.17,368.84,360.46,366.07,364.79,361.99,356.10,351.51,351.69,352.58,349.02,356.06,354.99,354.77,354.06,358.81,358.27,351.56,354.66,,355.62,368.84,366.08,L7
2000-01-24 22:12:47+00:00,432.52,,,,,386.92,396.52,411.14,412.00,414.84,419.91,434.43,441.96,446.35,449.77,460.69,456.79,456.46,455.52,451.41,451.80,446.65,448.37,441.86,439.45,434.66,429.40,424.03,419.26,413.85,410.22,407.53,402.33,399.84,392.85,390.08,387.57,389.79,386.47,380.61,378.14,371.12,369.41,367.62,365.92,362.18,362.50,365.92,362.45,363.02,361.25,361.14,357.01,352.82,354.39,355.33,355.15,353.12,356.22,356.78,363.89,361.92,359.57,355.52,353.95,350.76,354.78,353.88,L7
2000-02-09 22:12:43+00:00,,,451.06,441.87,,370.22,384.00,406.74,417.50,414.55,420.65,429.66,432.23,440.56,447.67,456.34,461.27,460.54,459.34,457.14,454.91,449.97,446.96,440.89,438.40,437.71,430.67,419.05,410.94,407.35,403.26,400.64,397.37,393.56,390.36,390.11,391.18,384.56,386.54,378.83,374.12,369.12,365.93,363.20,364.65,364.63,363.80,362.41,362.72,356.77,359.58,357.32,354.89,350.24,348.57,348.92,350.59,349.92,349.69,353.79,356.81,348.75,346.69,356.30,352.62,347.57,347.27,359.38,L7
2000-02-16 22:18:52+00:00,476.18,,430.29,442.38,,365.56,370.72,394.62,408.16,413.28,418.29,427.69,436.15,439.99,450.37,461.92,456.29,454.73,452.94,453.77,449.73,446.40,442.36,448.20,443.77,450.46,433.67,420.79,413.34,414.60,,,,,,396.92,393.99,386.05,386.41,386.21,381.15,379.06,370.93,366.02,364.35,362.95,349.63,352.15,353.29,363.49,352.62,354.55,347.06,354.98,,,,,,,,,,,,,,,L7
2000-04-13 22:12:18+00:00,490.69,,466.55,449.11,421.90,420.77,429.31,417.87,403.92,405.25,418.63,431.19,440.75,438.37,438.88,432.78,434.17,438.92,450.43,454.35,461.48,460.09,457.29,452.00,445.36,448.39,439.06,425.20,418.90,412.37,413.42,409.78,402.47,397.67,389.41,385.81,387.84,388.89,388.56,383.72,381.37,377.55,378.52,378.89,381.36,383.28,380.95,382.90,381.79,370.53,367.65,364.00,364.91,366.96,364.54,368.40,369.33,373.66,373.07,370.11,368.83,373.64,380.10,372.26,377.96,380.50,382.41,392.69,L7
2000-04-20 22:18:27+00:00,468.18,,466.78,444.64,425.01,407.80,413.51,416.67,398.79,395.88,409.46,420.91,424.83,432.25,436.09,429.16,425.67,432.80,435.05,439.98,444.67,437.96,438.33,433.55,436.79,428.48,421.71,412.38,404.33,404.16,400.32,400.82,392.86,389.11,388.83,390.46,391.55,385.09,386.32,376.37,378.44,373.40,370.26,365.80,367.60,371.73,372.14,373.17,370.50,364.64,359.80,356.78,351.99,352.00,353.79,352.99,359.24,353.89,355.05,359.26,359.56,359.82,356.12,362.91,363.97,366.36,367.48,370.77,L7
2000-05-31 22:11:54+00:00,,334.38,,439.81,,431.08,402.98,396.97,400.17,405.68,412.83,412.63,421.73,410.82,417.75,426.06,425.22,422.01,424.17,425.30,421.38,422.05,419.20,420.64,418.60,407.47,408.80,409.12,405.98,397.23,391.00,393.13,387.90,371.06,376.79,377.45,368.46,,,,,,,,,,,,,,,,,,,,,,,,,,,334.70,329.21,334.52,344.29,345.70,L7
2000-08-19 22:11:01+00:00,,,453.60,475.70,481.93,481.19,494.44,506.42,492.39,480.64,484.19,479.16,456.67,435.99,435.48,446.80,450.22,452.74,447.87,448.64,453.74,446.32,447.07,438.83,435.02,432.33,425.45,420.92,411.39,403.12,400.66,393.99,399.82,392.02,399.89,396.11,399.15,401.33,398.78,396.71,393.18,391.53,382.55,381.63,378.44,381.96,380.96,379.62,383.51,381.06,378.53,375.40,372.54,364.68,368.05,367.40,365.82,371.20,366.55,371.96,373.20,370.77,368.53,369.13,365.51,360.48,368.67,368.20,L7
2000-09-20 22:10:27+00:00,,359.03,392.08,451.63,451.06,450.58,457.97,468.26,470.52,472.09,484.37,490.49,472.04,463.74,441.73,437.26,432.27,430.94,433.37,434.80,436.75,435.86,434.06,427.87,430.13,427.89,417.50,411.25,403.28,389.32,384.78,381.44,373.15,370.44,366.37,366.75,369.98,367.65,370.87,378.25,382.39,374.70,380.43,370.67,360.84,366.19,362.71,364.52,367.93,377.89,376.91,369.11,358.69,356.29,354.14,356.57,357.37,361.47,357.57,354.03,359.61,356.42,353.01,350.67,337.85,337.49,341.23,346.55,L7
2000-09-27 22:16:36+00:00,,351.73,383.65,431.28,454.12,452.56,466.43,486.53,487.64,489.83,493.64,495.64,491.08,475.24,462.31,463.71,450.49,448.79,452.51,457.18,458.61,453.53,450.66,450.93,449.77,446.37,437.18,430.77,425.96,410.25,405.20,407.54,407.86,406.24,402.33,402.87,408.10,407.54,407.96,404.02,404.40,395.85,399.43,388.99,387.76,385.55,373.19,380.29,382.06,381.51,388.07,379.89,374.20,370.22,367.90,373.18,376.16,378.70,379.69,376.83,377.55,379.08,379.05,368.24,366.37,359.74,360.32,370.46,L7
2000-11-14 22:16:30+00:00,,326.07,332.50,366.52,394.39,405.54,421.08,433.10,440.76,457.28,468.87,467.53,469.99,468.39,454.69,448.53,439.77,433.63,430.93,431.47,430.44,432.38,429.86,419.62,425.03,426.12,412.36,406.89,397.94,391.86,389.69,383.35,383.52,376.30,368.73,370.43,373.16,376.95,377.70,377.82,373.04,368.00,367.30,368.02,367.40,364.47,360.68,365.32,365.80,372.64,374.70,370.00,369.54,361.24,360.58,352.78,342.02,337.29,332.72,,341.64,347.28,355.56,350.42,354.99,346.23,342.24,353.17,L7
2001-01-01 22:16:33+00:00,422.67,,346.61,361.98,380.07,394.15,404.06,426.03,429.13,440.81,461.81,477.33,485.73,481.01,464.77,451.60,442.54,420.05,426.09,435.20,434.30,434.60,435.52,429.22,432.80,434.87,421.86,414.65,411.73,402.95,396.07,398.13,394.19,394.39,387.55,383.41,387.07,389.81,392.10,394.81,393.24,386.62,379.47,383.24,380.34,377.44,375.93,363.50,363.26,365.32,370.64,367.84,369.16,366.53,368.98,368.03,374.30,372.55,363.34,346.25,344.58,346.69,360.00,360.75,366.65,364.57,370.06,374.94,L7
2001-01-10 22:10:27+00:00,432.71,,342.89,356.11,378.72,379.05,403.90,427.49,436.10,447.43,473.11,482.05,488.80,478.99,472.73,456.96,439.55,431.39,432.84,441.67,448.87,440.73,442.52,439.31,432.10,437.34,432.24,422.56,419.61,408.48,406.15,407.10,403.53,399.63,396.05,398.51,394.74,399.60,400.46,396.44,390.71,393.49,387.51,385.92,381.16,383.91,379.65,381.22,377.79,375.15,375.33,376.27,373.94,373.92,376.30,378.63,374.40,370.61,362.07,361.24,356.85,364.06,371.52,371.69,368.28,377.32,382.08,378.16,L7
2001-01-26 22:10:30+00:00,449.96,,,345.75,358.98,363.76,379.85,393.44,402.48,419.07,440.63,456.23,459.30,449.26,441.49,434.65,424.91,415.57,415.58,410.94,413.97,420.02,421.51,422.29,420.17,421.78,412.12,405.28,399.23,390.27,385.96,383.12,379.18,381.35,377.73,373.21,378.42,382.81,389.10,378.07,378.02,375.71,370.01,363.84,366.38,363.14,362.61,360.92,357.05,352.76,350.41,344.61,344.39,341.01,343.46,346.82,350.42,353.92,359.43,355.40,353.86,349.51,349.99,353.77,355.04,356.39,353.09,354.97,L7
