dates,satname,nzd0433-0000,nzd0433-0001,nzd0433-0002,nzd0433-0003,nzd0433-0004,nzd0433-0005,nzd0433-0006,nzd0433-0007,nzd0433-0008,nzd0433-0009,nzd0433-0010,nzd0433-0011,nzd0433-0012,nzd0433-0013,nzd0433-0014,nzd0433-0015,nzd0433-0016,nzd0433-0017,nzd0433-0018,nzd0433-0019,nzd0433-0020,nzd0433-0021,nzd0433-0022,nzd0433-0023,nzd0433-0024,nzd0433-0025,nzd0433-0026,nzd0433-0027,nzd0433-0028,nzd0433-0029,nzd0433-0030,nzd0433-0031,nzd0433-0032,nzd0433-0033,nzd0433-0034,nzd0433-0035,nzd0433-0036,nzd0433-0037,nzd0433-0038,nzd0433-0039,nzd0433-0040,nzd0433-0041,nzd0433-0042,nzd0433-0043,nzd0433-0044,nzd0433-0045,nzd0433-0046,nzd0433-0047,nzd0433-0048,nzd0433-0049,nzd0433-0050,nzd0433-0051,nzd0433-0052,nzd0433-0053,nzd0433-0054,nzd0433-0055,nzd0433-0056,nzd0433-0057,nzd0433-0058,nzd0433-0059,nzd0433-0060,nzd0433-0061,nzd0433-0062,nzd0433-0063,nzd0433-0064,nzd0433-0065,nzd0433-0066,nzd0433-0067
1999-10-27 22:19:03+00:00,L7,347.87,324.39,328.59,355.66,374.45,378.64,390.26,406.17,416.08,431.91,444.63,463.72,472.45,468.97,453.53,447.86,444.66,442.19,445.21,451.48,448.13,444.63,434.87,427.49,425.76,426.04,417.81,409.63,399.24,397.07,390.68,385.63,389.38,387.86,388.64,391.03,385.56,390.29,387.85,382.82,379.37,372.03,370.95,368.44,369.82,368.03,363.76,362.52,363.93,366.85,362.18,360.37,357.74,354.95,352.96,357.63,353.25,355.77,362.24,357.25,355.86,353.66,349.45,352.82,357.80,353.73,352.13,366.85
1999-11-05 22:12:52+00:00,L7,327.23,317.62,313.33,336.95,362.44,362.60,375.58,391.56,395.80,409.17,425.78,436.96,444.63,440.18,433.99,435.46,429.47,427.26,429.66,429.13,429.77,423.44,416.75,413.96,409.76,405.91,397.45,389.33,387.61,374.88,372.18,370.43,360.79,362.01,363.81,360.40,346.35,366.12,368.98,368.88,361.31,361.71,358.77,350.31,349.71,349.83,349.71,347.85,345.29,349.65,342.74,341.99,338.72,336.02,333.40,328.78,336.64,342.78,,,,,,,,330.43,328.93,325.59
1999-11-21 22:12:47+00:00,L7,318.80,321.87,338.47,352.46,374.98,374.09,383.06,399.70,401.48,414.38,429.19,440.62,444.10,448.96,444.59,442.62,440.18,432.84,432.19,437.71,433.02,418.59,416.53,414.78,412.11,405.16,394.84,382.34,375.62,374.37,373.18,374.29,384.65,380.57,382.39,378.68,380.74,380.44,380.27,374.84,365.06,362.50,362.33,358.78,356.79,350.61,352.24,346.98,351.08,351.01,347.56,341.82,339.06,333.17,343.25,342.95,339.72,332.69,337.72,341.80,339.14,336.53,336.89,339.02,343.73,334.31,338.95,339.31
1999-11-28 22:18:56+00:00,L7,321.18,331.98,342.03,358.13,378.74,383.18,393.56,412.18,409.56,429.13,442.77,451.37,454.01,461.70,468.23,461.22,454.56,451.33,451.77,467.37,470.46,466.63,451.39,437.18,436.85,436.23,429.86,427.12,413.31,407.75,406.66,401.95,403.66,395.38,393.12,394.93,389.09,392.65,393.02,391.40,387.82,380.01,375.57,374.57,370.05,374.29,371.75,368.24,375.50,368.89,366.33,361.99,358.88,354.87,356.83,360.00,361.30,354.65,358.76,354.32,352.31,349.56,350.91,353.04,356.78,358.89,364.37,371.93
1999-12-07 22:12:53+00:00,L7,323.77,328.61,332.10,359.65,376.08,373.34,380.77,394.42,397.36,408.57,419.28,436.31,438.25,441.17,448.94,446.13,433.38,430.05,428.33,438.45,449.65,445.78,431.97,421.40,413.80,410.56,407.34,399.94,388.93,386.46,384.28,383.75,381.57,375.64,371.67,369.26,374.70,372.81,373.21,368.54,359.61,353.62,354.98,344.30,340.19,339.46,341.13,341.73,344.15,339.78,334.74,330.45,330.60,329.67,331.07,332.23,329.05,336.79,333.31,331.89,328.52,330.25,331.61,331.48,340.60,340.96,344.09,357.14
1999-12-14 22:19:07+00:00,L7,338.05,329.02,344.72,371.05,389.03,399.33,402.92,417.55,411.60,428.06,441.12,456.45,459.66,462.11,466.71,470.43,469.61,459.13,456.41,458.82,465.61,464.03,463.56,456.34,447.09,442.93,436.97,429.20,419.20,412.92,410.03,410.45,408.07,402.82,400.12,393.12,393.49,395.65,395.04,396.55,387.98,379.16,373.68,371.20,369.64,369.54,374.67,368.70,373.44,371.15,367.18,361.29,356.89,356.69,358.94,354.62,362.73,361.35,360.60,360.73,363.18,363.46,357.92,360.49,,361.22,375.51,374.32
2000-01-24 22:12:47+00:00,L7,435.64,444.44,515.70,486.49,,390.04,399.83,415.96,417.05,419.89,425.49,439.73,447.54,451.17,455.35,465.74,461.84,461.28,460.82,456.46,457.38,452.23,453.67,447.75,445.34,440.55,436.03,429.92,425.50,419.43,415.80,413.77,408.22,405.73,398.74,395.66,393.15,395.68,392.36,386.19,383.72,376.70,375.65,373.20,371.50,367.76,366.92,372.16,368.03,367.84,365.18,365.07,361.09,356.61,359.21,359.57,360.20,357.94,360.64,361.83,367.20,365.85,364.39,359.94,357.88,355.00,359.83,360.12
2000-02-09 22:12:43+00:00,L7,,,453.41,444.22,,372.98,386.94,411.01,421.98,419.03,425.60,434.36,437.18,444.83,452.62,460.82,465.75,464.81,464.04,461.62,459.86,454.92,451.66,446.11,443.62,442.93,436.54,424.27,416.47,412.30,408.21,406.17,402.59,398.78,395.58,395.06,396.13,389.78,391.76,383.78,379.07,374.07,371.46,368.15,369.60,369.58,367.72,367.94,367.67,361.04,363.06,360.80,358.51,353.60,352.84,352.68,355.07,354.19,353.61,358.27,359.75,352.23,350.96,360.22,356.10,351.33,351.75,364.91
2000-02-16 22:18:52+00:00,L7,471.42,420.72,426.24,438.33,,360.80,365.66,387.26,400.45,405.57,409.76,419.59,427.62,432.63,441.84,454.21,448.58,447.37,444.84,446.06,441.20,437.87,434.26,439.20,434.77,441.46,423.54,411.79,403.81,406.07,,,,,,388.39,385.46,377.05,377.41,377.68,372.62,370.53,361.40,357.49,355.82,354.42,342.88,342.62,344.76,356.13,346.62,348.55,340.83,349.19,,,,,,,,,,,,,,
2000-04-13 22:12:18+00:00,L7,489.57,488.65,465.60,448.16,420.32,419.65,428.12,416.14,402.11,403.44,416.63,429.29,438.75,436.64,436.88,430.97,432.36,437.19,448.53,452.54,459.48,458.09,455.39,449.89,443.25,446.28,436.68,423.09,416.66,410.37,411.42,407.54,400.36,395.56,387.30,383.81,385.84,386.78,386.45,381.72,379.37,375.55,376.28,376.89,379.36,381.28,379.37,380.66,379.79,368.80,366.24,362.59,363.45,365.60,362.81,366.88,367.52,371.93,371.49,368.30,367.64,372.23,378.37,370.68,376.55,378.98,380.60,390.45
