,dates,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0104,nzd0231-0105
0,1999-09-29 21:52:52+00:00,210.34378024613326,186.3556237756161,169.80747839668615,187.88556335996844,,,190.81313464891144,193.3091500166648,193.99792978633323,203.00116524510506,199.02090428551924,201.00546051131556,200.14854538456493,,200.51286365627715,198.20732160780136,199.37222925616865,191.3256129359937,202.86952037664875,194.09413395782775,195.7779504848401,192.72679761599986,200.63978347432848,189.04991756810068,193.93149289986846,184.2000023768524,184.8987219026307,186.89603751516236,178.94061390424918,178.77367223570417,179.29534965178635,196.00098905779615,,204.55671879507125,191.67144535697372,190.31732448018087,179.01147131998425,180.69132698578133,185.37004283834142,189.29050474264014,182.31623957581706,185.9980663390043,191.3321118162868,191.5564960765599,194.5320344967508,193.89803201245067,194.1901650673761,188.03842194552317,200.83690065090806,187.9969945796206,194.9908793408939,200.1086540015159,188.94816472615997,187.6615977826363,184.69047575339786,188.25651899855168,190.09855553952778,192.69442413450162,188.88954932986627,185.3161304059955,188.3029439738071,197.13173468498002,188.99342096545018,192.11722798838082,199.19151348736165,203.5474899618476,195.2536884574138,183.59101089625423,185.31533807235604,,185.35180866450133,183.01520305598538,177.75383184115154,173.5767321060157,171.9070618362753,167.84548943165774,175.6492225061324,170.64035931168587,,175.85918568760755,164.66686803492033,166.73731652554332,161.9301665935091,175.464956016148,170.04294964814366,,179.57067196408246,,187.39145762039712,,198.38751586889714,,187.90136549081478,183.558020232152,180.4218836221768,171.9199496813231,163.99815384771483,160.24960247463227,169.23947217545134,167.56690839118846,153.19935188062752,143.8955880721291,,,149.0160383081247,142.46955728419692
1,1999-10-15 21:52:49+00:00,196.83376035557714,176.08487570641117,160.82828694875656,169.05484542888806,171.6803204024596,,185.37841308289,184.4502681014643,190.0002910025812,,188.48080825650638,180.8507103655089,183.979776957014,177.37925909084058,,189.0941303554026,192.39417108643843,183.44090989644644,,183.84915654072003,179.70001541105447,177.75157889659985,180.78513016965778,,184.92991772621767,185.85984739001393,176.91859001599,179.85175042226152,171.21482983678072,171.46222863498255,167.65868439554106,177.52200225250417,180.40108075499,,178.91656768527932,175.52065671551014,172.88615146547377,168.9833675409523,172.60139245372866,168.43632413947304,172.0789365684128,170.0702981146294,178.5537296121638,175.88213595167824,185.94566636146038,175.8509401867348,181.87039176587624,178.86118816137076,178.33144105307235,183.53616967181242,182.40113060380708,185.27020570953368,177.90535394333838,179.65326303383733,173.0554637042204,185.2364255362734,177.87222323805386,183.9020585635752,179.77284689597136,175.69175668071026,182.73488850016275,180.95685122789934,183.7972912710654,185.26262100777257,188.09696656124228,185.24168145999315,188.22613182082293,177.88968495976778,176.89185386173088,,179.33639068036157,175.28625058640566,170.41830106192975,172.9384550992707,,168.59582206153382,160.39983634177986,163.55419225199435,154.42173817703463,,158.50493287662786,156.59744941272882,158.35738781323107,158.38249413220674,159.4590090342371,,171.77425323456825,169.9375833467616,182.82735849960295,,186.811286120652,,185.229862065258,174.36151667119114,170.7885647508499,165.5737255159113,165.10168089020857,157.67597581130437,159.8100986037517,154.51133225715853,138.25289574906222,136.36919853561608,,135.18103463885456,147.8300492435298,144.59741997331864
2,1999-12-02 21:52:40+00:00,142.80205310935895,162.58412216357263,156.30616619691904,153.87924653942738,152.41147767323523,,157.21138921451094,167.18072162590988,154.89422159663752,,,153.57478470645287,148.47512197170238,147.04046105244544,,157.41674192727723,153.08040796395431,151.9798775870671,151.96272716509662,,149.28209660852627,149.24302706644562,157.76787006089035,165.16363798317795,167.8551847607548,171.192607649932,157.1409601249165,156.00342962426578,,153.00468299756466,161.75791480886423,161.71019849275694,149.82619365633184,,145.92317282403258,,147.26595833388242,148.84373656619564,149.76857606927547,151.74157935202118,155.7489101927278,157.23836745202607,161.38205085033803,147.59045597428675,156.18269644679435,147.57167462764082,152.1927877078207,152.47292180078506,156.96417091127327,153.95184534860732,165.08108200893793,152.7729846002979,152.95820033825652,151.8641484378111,150.42923946787687,159.6624335189025,160.87275479509947,159.9588176289837,161.8030010107875,169.1349165507969,161.88510252527226,175.68485886156793,172.6232077173854,173.37983402267815,170.7584150459016,169.28400893989914,166.6700265851431,165.53177890247477,167.41184205750181,165.87993476592118,159.27652330648021,156.78651567763444,161.9210067780071,148.87244005699912,155.12362469482613,136.29950143164973,145.52332493425627,134.22560573033297,,135.26386488553374,132.3469125240568,141.6304302154629,132.19276058567522,138.42491561357488,133.0018291997336,,142.7149399646999,149.62669190728496,142.90698978350602,154.22816500388285,144.5671573449898,,145.95729774956544,,145.28596579057643,,139.99129254280408,136.6660993669987,131.6202592522968,113.47561070875021,108.34671314192578,,110.23861119108032,,,125.11906625247948
3,2000-02-04 21:52:37+00:00,192.33765741532662,180.30652686863522,169.50925186327535,176.01486870706472,,,181.54905870402274,183.3234655761932,176.79556585443007,181.96221099306922,186.2654001609766,179.28129736572978,187.72793925115582,,197.26764979862637,195.19130855107235,191.1889485852937,179.5818090806588,,,175.16103424523138,171.92945873051738,171.78713950238077,,189.54244092120643,186.617304766995,180.1945165743932,,178.52143568305422,187.4096046846432,189.87430250602102,191.21204882579335,,,180.80931198973744,172.5659702606817,165.31536894108154,163.9596035280859,171.1688684286591,164.72057847737378,164.7165352470409,161.91454729888616,162.42714135460474,164.37300674619087,168.3612601837857,161.35811960083151,169.80446337476607,175.83542276754184,178.70069482452553,180.4043212717591,183.5270177733849,181.7769613220284,169.09742476859364,166.69990188138314,164.25258564315854,178.2409801615858,171.93607609238308,178.1305320478242,182.5560883508555,196.62225498607646,204.3103867217994,205.04156141411073,199.3692465865062,186.00431788871657,197.77109666157224,187.20476784662324,190.6324199150713,182.3499573928909,181.73390518408408,174.53637226532163,175.74930636689496,176.60972407211858,168.0934179069283,165.74639843684457,170.64871341853487,164.9355024251069,164.26549040221542,165.35388534862147,157.74023886811267,162.3387715098557,157.46182118878298,163.39873097628575,159.55498682639796,,162.4409623062736,162.02361547648295,166.9912968736244,171.52927874583133,174.16199417774666,,177.73857172710507,,182.98313957672212,181.07426732843828,183.18179032066874,164.01845982178972,164.1709814189613,155.297174559438,163.161839862588,164.03675221772187,,,154.4583246922498,150.21053808321784,129.69897145927428,
4,2000-04-24 21:52:10+00:00,,177.2324972779952,177.0144059648962,175.87063889070237,171.8149074618348,,174.85316927617677,181.23552678722308,180.64411288974685,,,174.68405283124727,173.15297299393362,166.3076714590806,,,166.6392526104458,167.90431227461008,176.47951027520216,166.06353670136534,169.1155005876205,168.55264403606373,168.88375710212983,,175.83969774705898,175.5158674145349,178.17887058855138,,169.55299938652553,174.32156623335888,171.125857041283,175.0857898200598,179.27825436169343,,178.27378973636792,,155.89968075738543,143.47638438703723,,158.94416205466973,165.66743594702206,159.68271762799145,165.22973962135973,162.97702939246966,158.58666445056093,169.30560409747292,168.39075987460163,168.2172015931095,166.42660584692698,174.61389353632808,165.4159659270596,173.48550696015747,170.9873799326369,172.8227223024928,170.81828120368746,166.04732104030762,165.31279770545325,171.37812688250568,172.704065039303,175.18187541798835,178.0909082931719,171.55182703334293,174.53599850346,164.63846097604358,176.44292426938796,174.26834445391816,,171.88403466888914,168.84175728466016,178.32154275154593,171.97746023508924,174.1553901859849,170.09134233844526,169.71624774825997,159.345243736786,,158.38057965371388,162.99282450084797,153.30559351244045,152.79887927855498,144.3557052447353,148.5259260655802,151.769465324701,144.6022308121644,138.5850754741819,140.230112680333,151.5915123531586,156.57165033723354,,164.4275955344366,,165.86464052399398,159.59969400043437,155.25091533194575,158.48603247301685,,153.07622344699922,158.46966447737026,160.1885273699844,162.8870892862495,154.10320494359962,,134.0968317716109,134.0697285643981,,117.69682256829716
5,2000-05-26 21:51:48+00:00,,194.5947628567457,189.19969468788787,,195.71624099545116,199.48159461376488,196.06530521137694,204.05013652881814,,204.12976979502207,193.9274083887213,197.79132151422738,192.77087433268042,,196.74769423154163,193.18040136021602,193.63025381137683,,,195.3574805187249,199.75592982079155,190.6487085147727,,191.92053648475598,197.3666783841454,196.63744227891897,,,195.43127803752205,195.3725136936597,194.8182142273667,,,202.27754808337343,193.60556597517643,194.61843702388643,185.33708709707463,179.90680065814604,180.35103245299047,182.75639968723263,182.25083740889266,180.98450881414226,187.86705967610933,,189.92136449879573,187.04296393478117,200.5124297353997,196.66426061726878,194.16165538743294,193.87922942019964,190.16583983870942,192.76540204541163,197.71141550499766,188.99194802323768,,193.35672908806987,195.51189230422432,203.76141740694302,205.40221383612626,,200.96854051506855,197.4811474333294,198.60374490916305,197.81885426882744,205.5968329459366,202.32224579721847,,199.5809899662555,198.82418071294347,191.1720486317601,189.92349873781126,187.7906854729144,187.57053214830864,180.48919563896678,178.91540056017345,172.25957550931668,169.69596480831103,171.8420151546776,167.23763627037448,173.0256033921649,170.03066286549983,174.01163028749107,,169.84454922807723,167.01974571004624,169.19467448785215,,182.62915548344517,180.96312380090495,187.1190555323992,185.37712145510258,186.80072686725677,186.2358835214971,179.1395582994769,180.81287849184633,175.14778598159276,179.75503149857275,177.47077515822116,179.28795408049157,,164.52273215403574,158.39216701318102,154.14573592992755,149.08522320908656,149.14525823135588,160.51991630398564
6,2000-07-13 21:51:19+00:00,,178.32476519159096,167.3260230353151,171.6992206839346,,,189.12103109552154,192.71543308250253,,186.3925621369123,187.74647313011175,182.4368628149264,181.10637498255744,171.4222499636053,,167.55425901795493,172.30470268868723,170.61834122788883,,180.80626554688286,172.55011785758504,175.1260804091067,191.2005016673088,186.01386177954532,196.3447446883785,195.4984839868237,,191.8768531041149,174.39537265265716,165.29604245921075,172.93636255156324,168.13231380059318,,186.99250941865347,176.53044944314223,161.77853735159437,159.72306949849826,169.79142381534422,179.86846351237728,163.52989987190836,159.4265960172096,166.46278498847414,163.04341316397648,169.05458657158286,,178.438906587756,170.32776186269234,165.89685194112354,153.7574542599252,171.37869625567726,164.9049488074963,160.51304149737106,,170.46951387029605,178.49591754518934,176.07342646793586,185.92371494603844,176.30056961648853,179.22445004315085,172.8970472848532,182.8788282657019,186.89421900234396,186.24614865178228,182.41085283262376,183.27592755501487,182.20257874323116,185.1924903792685,184.93977452270155,181.89211352821832,183.01271478318063,174.4730845930057,179.47650912879106,170.82513779414052,170.10689114431452,159.05575812348886,158.984797686784,158.31831252995642,,161.44807820417202,150.38968841164984,156.5744367316127,152.7388907064656,155.06793585972872,160.33643162886335,171.0186153654834,175.14722461817317,176.88692549524242,176.78085599173625,173.6628320825993,174.99759618050507,170.53761740855632,170.467323916146,164.62980889682152,169.37643630571478,155.9778816342257,160.93288737402804,164.04207899702772,181.6281640387412,168.8040617843975,,152.9216572590301,137.3011206863918,,137.33183711324926,131.56281711303345,168.57167213936842
7,2000-08-14 21:50:56+00:00,,192.73237114613917,188.3159192836625,,,205.40254042587128,203.49788899598508,213.01192272837062,202.62968195950432,208.4369913345,199.91123703259942,196.99190560483328,191.23639895519793,,196.58373394119116,192.10832935857687,185.65732771538492,178.95910363038251,,190.18269506415672,194.4932321802032,189.7054550067282,,192.20601667452863,194.67467748945714,206.52617340086837,,,192.4272718290364,194.64600285893206,200.76084083528997,,,210.05084268624503,191.04870981018078,198.20601839674933,185.41948349648,170.25520340361246,175.82748098683808,183.8321317698149,184.17215422049193,169.96865833623622,177.3139374253303,,192.79265842355738,181.45981517552485,189.46981939630166,179.39218908907304,185.77845010433919,177.2302984151857,192.4619731041545,194.68690602978035,193.19662908515767,185.14852492083673,186.64804271550574,187.7794744314547,188.3721547189152,192.8733501850153,183.87018651190414,198.71153084157427,192.68656975272162,197.58425650717064,194.4309889949002,195.44999329400687,195.26266896570587,206.14853387793357,195.6684254134632,196.35951035514398,197.18709680853442,190.16688065163206,191.00232479411724,179.5885631140819,187.50932415280212,173.9745243875243,174.6240824341767,165.94133161680148,167.79504703158642,170.19886029251384,165.98589593435207,169.28463272246367,165.49892353402421,174.2046203049725,,175.0292618755947,172.71048863714805,176.54433533828555,174.83733044054065,181.05738942661927,184.2622665497611,180.92146577602895,182.99220299347576,183.9290918704796,177.34079343591853,172.5581076130038,176.74863919641632,176.64979686895327,175.19015973474714,166.87056256729844,166.646906280154,154.62612600264862,,,155.58811002280135,150.5506665647055,153.6881183679966,151.5067948148858
8,2000-09-15 21:50:25+00:00,188.5983784652633,180.17578600995617,181.61309883917625,186.55195943814184,190.89494034434628,,188.74366783290344,192.98286371622513,189.50305806194024,,187.72379521780343,184.65768962912648,185.14394820449334,186.31519298727656,,185.832122358377,187.83566799111426,179.72109335266526,,,184.58784081267274,181.90019604180262,,,192.10657617418568,189.00847745554955,181.298530368317,,,184.4831289375252,180.0075897001465,189.03761105430618,,,185.1227991689499,181.46743357764657,174.33559142618296,169.70056532149482,168.81565176713966,165.71251927744785,177.85321102086263,171.35494799258822,162.20666198468157,167.46650477895216,178.30935998180925,163.15746599384664,175.93072573792483,172.85926944992784,180.19294975017456,176.95788036875703,185.513183133911,195.22410878034543,188.21082348681176,187.64987108664235,177.1682522838948,184.34942920435643,174.38279166166782,180.70341997290438,176.30549826587372,176.1311993145808,178.04091178846878,184.0519630187561,182.61013817201663,184.80864624626275,185.1315768871716,190.62218143420358,200.80110619051908,199.6884938695364,191.61501098824664,181.09766605860935,178.76666965970824,,169.99971202863512,168.84703499224966,163.48820155645524,,158.54020858975855,155.81677750539183,156.56765225879923,156.4786754615909,156.09255916859135,166.7118896292664,162.83676713232458,171.21017116607695,164.87710865074672,169.485935521015,167.76510067215935,171.30337196245532,172.98635986658726,179.5663017866857,175.66285567311635,,157.66577418381064,,169.3582753676012,165.5150218088563,161.47741388636325,,158.32908742415117,154.85164877111208,157.9542908308223,150.74006471206943,,139.4697462817137,137.76859415242754,126.04538521099104
9,2000-10-17 21:50:01+00:00,,166.32390216784296,179.0588882020021,168.09257145325608,167.10977522873873,,183.46444232218482,191.75449969902115,194.84168518208475,,,179.12611318396225,171.34165895390865,180.95343035565475,178.763529385766,180.57423916480917,182.1514633987196,176.6824045791064,182.88054032042444,171.10297992355893,176.64113016709987,171.9555733933215,184.93045081221985,184.1265325547574,198.7289338219629,191.7430033216632,193.09295636431833,,196.0546635892907,193.58888464786247,180.66809541163894,169.73167562666902,170.87441244281405,,,182.07108373615736,166.3073109499187,168.86874416238535,,176.00253452820326,173.33731569249414,177.69842505264947,165.66187932394897,168.74624274209404,171.52813167528188,159.8763816221172,171.08163118438696,147.85635393809645,166.99338122402347,169.6003199891826,189.30871757819466,197.70156234544902,,194.09186549330795,189.29488317444844,176.79349241582705,174.538047821263,176.08542056951234,184.5332489953221,184.18033633643074,180.44261776456648,185.1340374873371,169.60379247491812,182.45548444173843,179.62964831779308,187.36192476244733,190.10345281274758,194.43446170590684,187.7810536120487,192.31384150684232,183.54984004440934,182.41333218639508,178.85043169991079,170.1627705109098,171.5291081811333,,172.28777917328927,150.22912233220734,161.86954578511651,152.62228552815392,158.8904157369658,158.93527965127362,,171.91027531899795,168.42476204169478,162.57025265128672,167.7445309779821,164.35468558794526,167.32061087289034,179.60046544747146,173.6801701165698,,163.14428975174314,171.62383279460346,161.9185541020573,,145.84920324654203,141.2347445278486,154.956423187345,154.19536381640745,144.95252925087738,133.40877701498536,,151.788701217455,172.04641989599958,164.3717589910553
