dates,satname,nzd0355-0000,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0054,nzd0355-0055,nzd0355-0056,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0066,nzd0355-0067,nzd0355-0068,nzd0355-0069,nzd0355-0070,nzd0355-0071,nzd0355-0072,nzd0355-0073,nzd0355-0074,nzd0355-0075,nzd0355-0076,nzd0355-0077,nzd0355-0078,nzd0355-0079,nzd0355-0080,nzd0355-0081,nzd0355-0082,nzd0355-0083,nzd0355-0084,nzd0355-0085,nzd0355-0086,nzd0355-0087,nzd0355-0088,nzd0355-0089,nzd0355-0090,nzd0355-0091,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095,nzd0355-0096,nzd0355-0097,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101,nzd0355-0102
1999-07-02 21:59:57+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.27,,119.18,,,,,,,,405.03,,,523.78,,522.83,525.79,,,,,,,,,,,,,,,,,,,,,,,,,316.98,334.44,348.35,376.72,382.02,406.07,,,,,,,636.10,637.54,,,,,,,,,,,,,,643.98,511.86,,,,,,623.04
1999-07-18 22:00:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.24,638.01,330.47,264.83,193.57,243.88,229.52,,,,459.33,,620.77
1999-09-04 22:00:09+00:00,L7,352.40,,,,,,,,,,,,325.40,325.66,323.43,316.61,320.91,322.33,317.94,313.72,313.27,314.58,311.11,316.46,318.24,318.33,321.01,317.56,317.36,319.29,316.28,320.07,319.45,315.40,316.42,315.46,317.51,319.61,322.51,332.50,338.43,339.90,335.91,330.39,330.89,329.70,329.67,328.44,332.84,331.10,335.99,339.97,345.15,353.22,357.46,355.35,349.77,349.98,348.64,348.59,350.27,349.14,349.33,346.44,348.89,357.17,362.02,371.30,379.01,376.64,370.40,362.53,357.67,353.84,365.12,373.20,387.15,402.80,405.80,405.33,411.03,419.45,411.40,401.73,390.13,366.52,358.75,364.53,365.19,365.01,364.62,378.31,408.73,418.45,419.89,419.68,408.29,393.24,418.71,380.10,358.19,273.44,236.28
1999-09-20 22:00:08+00:00,L7,345.66,358.31,360.29,371.96,369.85,355.68,349.97,342.41,336.68,332.20,330.51,329.60,321.65,317.74,315.86,313.51,316.39,315.63,311.55,312.01,310.14,310.62,307.67,316.71,315.41,315.97,313.63,312.83,312.87,314.49,312.75,311.17,310.57,309.48,308.69,307.39,310.51,316.67,319.80,330.07,336.17,332.20,331.90,323.77,322.48,325.62,325.20,324.16,325.82,327.31,332.46,339.38,345.06,351.92,354.95,349.95,348.49,346.19,343.30,343.65,343.96,344.50,344.09,342.64,346.40,352.94,359.93,369.48,376.45,376.39,370.54,363.78,356.67,352.61,,,,,,,,,,,,,,,,70.35,98.29,95.62,76.16,410.80,414.89,416.67,410.35,390.99,414.33,397.70,367.01,272.69,239.23
1999-10-22 22:00:04+00:00,L7,350.62,367.14,373.04,379.57,379.01,374.70,369.42,364.73,358.40,347.85,345.99,337.07,336.74,329.83,332.38,332.57,330.25,333.09,331.63,329.28,326.06,323.23,325.00,326.26,329.78,329.07,322.06,325.29,326.86,328.06,327.31,328.53,327.48,326.37,321.56,320.67,322.94,323.62,328.20,336.56,341.74,344.46,341.66,336.25,336.26,333.37,333.26,329.67,334.27,332.22,335.90,343.93,346.34,357.79,360.73,357.93,355.01,353.40,354.05,354.86,357.50,356.23,354.74,350.76,354.47,361.20,363.03,372.59,384.93,383.45,375.14,371.62,366.50,366.18,374.19,379.37,393.67,408.00,415.32,411.00,415.33,424.01,410.24,401.40,392.34,365.01,355.88,362.90,371.11,373.81,395.98,409.92,412.60,410.29,409.79,409.95,402.23,388.07,400.06,429.05,407.60,238.94,237.76
1999-12-09 22:00:09+00:00,L7,315.95,336.68,355.91,359.68,353.51,348.39,339.43,336.51,332.14,325.50,322.81,317.74,314.97,313.61,311.62,316.63,317.00,317.52,312.87,312.46,313.83,308.20,303.94,307.86,310.27,310.58,311.68,307.55,313.07,315.78,314.81,314.35,313.87,311.18,312.31,304.46,310.18,311.54,314.62,318.43,328.29,324.38,322.97,324.96,321.76,323.31,322.21,323.44,325.87,325.42,329.34,334.88,339.97,348.75,350.23,348.01,346.41,343.19,341.89,339.04,342.62,337.89,334.53,335.60,335.81,344.10,350.09,359.30,367.60,365.39,358.96,353.30,348.80,346.05,352.08,358.23,369.47,385.06,399.15,400.16,403.37,408.27,399.43,384.82,382.00,358.37,344.93,351.35,359.38,363.21,397.50,401.99,394.72,395.51,387.14,383.22,379.08,368.84,380.80,382.54,359.40,251.60,224.98
2000-02-11 21:59:57+00:00,L7,317.90,334.99,339.89,349.59,351.33,347.44,343.91,341.94,340.89,334.89,327.58,327.61,321.39,319.22,319.13,312.35,316.24,315.27,313.69,310.39,306.54,304.68,305.22,306.69,309.31,309.76,306.91,306.18,308.44,310.31,311.44,308.67,306.90,307.49,303.39,306.44,308.66,308.08,312.78,322.46,327.27,324.52,323.46,321.47,316.14,317.21,315.37,314.39,317.60,320.02,321.54,327.09,334.34,344.64,349.87,343.65,342.44,341.08,340.80,340.03,336.64,336.21,332.64,328.68,331.57,336.40,346.59,352.60,364.54,360.46,357.76,350.09,345.31,344.03,350.23,355.72,372.83,381.78,394.02,392.92,397.07,411.14,390.09,379.80,370.08,348.76,339.32,348.02,361.95,372.08,384.54,386.66,384.66,382.87,379.84,371.37,363.85,348.41,358.53,365.92,349.91,247.03,229.22
2000-02-27 21:59:52+00:00,L7,339.32,340.74,355.47,359.44,361.53,361.26,359.88,354.08,353.12,348.13,345.17,336.60,331.81,328.47,326.58,323.21,324.38,326.24,325.00,322.00,317.22,318.31,320.79,322.28,322.76,321.59,317.72,319.17,318.33,319.55,320.25,322.71,322.29,318.59,318.34,320.08,320.80,322.47,328.00,333.96,336.49,328.97,330.09,326.91,325.11,330.05,332.35,328.58,331.24,332.95,334.80,345.08,345.92,356.61,357.30,354.16,349.50,350.53,346.34,344.84,346.27,347.64,344.39,342.47,344.67,351.85,357.79,366.75,372.17,371.18,367.20,361.97,356.03,352.51,359.93,369.41,379.68,400.67,412.87,409.95,415.10,422.17,403.91,387.31,381.19,361.94,349.45,361.25,371.54,383.11,390.00,395.75,392.14,391.27,382.96,379.16,370.52,359.25,363.41,377.29,357.14,252.02,234.96
2000-03-30 21:59:45+00:00,L7,359.70,367.30,372.32,364.22,364.27,359.34,359.25,353.46,354.36,347.69,347.18,338.24,338.94,331.20,333.54,334.02,331.48,329.80,327.10,319.15,318.42,322.04,319.44,324.84,324.84,329.90,323.21,326.74,325.84,325.06,320.22,317.46,313.10,314.28,310.25,313.74,318.57,321.64,327.36,333.64,336.54,336.62,331.20,328.53,327.47,329.07,327.68,327.87,328.52,331.89,338.47,340.95,345.99,352.27,360.79,357.06,352.48,350.25,348.18,347.30,347.11,346.22,342.67,340.01,343.26,350.61,357.48,365.95,374.44,373.92,368.68,362.85,358.01,352.85,360.52,371.77,381.21,403.05,413.16,411.63,418.03,421.83,410.93,390.78,392.99,367.83,355.50,369.14,382.00,391.45,403.11,399.89,389.17,391.25,383.45,379.32,373.26,365.89,379.92,390.21,357.85,275.21,244.64
2000-04-15 21:59:31+00:00,L7,382.96,386.05,377.66,372.85,376.76,375.19,370.42,376.36,371.57,368.65,359.15,356.79,352.80,349.10,337.73,340.48,338.92,330.44,334.67,335.52,331.53,326.06,329.70,333.30,334.67,332.55,328.52,327.95,332.67,329.23,329.42,322.97,319.64,322.25,321.80,323.29,325.36,329.78,332.81,337.55,342.45,339.03,338.39,332.02,333.28,333.59,335.80,332.75,335.31,333.26,339.49,346.28,353.27,359.23,359.67,357.28,354.12,353.02,349.18,347.83,348.45,348.97,347.24,346.60,349.60,357.90,363.65,371.39,382.32,381.52,376.86,370.08,364.02,364.89,373.60,379.30,390.24,410.78,420.17,419.79,422.54,429.18,411.58,404.16,398.30,377.46,359.39,372.31,390.88,397.21,403.95,405.59,398.29,395.75,385.98,383.01,378.01,361.58,380.54,386.51,371.56,371.80,245.89
