,dates,per0105-0000,per0105-0001,per0105-0002,per0105-0003,per0105-0004,per0105-0005,per0105-0006,per0105-0007,per0105-0008,per0105-0009,per0105-0010,per0105-0011,per0105-0012,per0105-0013,per0105-0014,per0105-0015,per0105-0016,per0105-0017,per0105-0018,per0105-0019,per0105-0020,per0105-0021,per0105-0022,per0105-0023,per0105-0024,per0105-0025,per0105-0026,per0105-0027,per0105-0028,per0105-0029,per0105-0030,per0105-0031,per0105-0032,per0105-0033,per0105-0034,per0105-0035,per0105-0036,per0105-0037,per0105-0038,per0105-0039,per0105-0040,per0105-0041,per0105-0042,per0105-0043,per0105-0044,per0105-0045,per0105-0046,per0105-0047
0,1986-04-10 14:42:16+00:00,278.56617604629093,,,,,300.0940332893096,279.7807243572997,268.56765882344564,259.43880061952046,248.19519225831843,243.50796161597233,234.29309951787408,233.20311458438152,224.52060602649263,214.93120175017785,223.34374131651205,225.44480301499442,219.0026315304253,218.82212839003822,214.38624165349066,201.09346111539367,215.080631026268,225.38032841403788,219.79413187394255,222.62126130521256,221.63660804100186,231.05412537787663,242.07788653990397,233.40029343740346,232.14005638555838,231.59086656362953,229.40611459040642,224.60139284531485,218.14420023093646,214.92080859452403,215.82286446357418,221.32244933075324,224.11218343740074,226.88912786778948,209.5608257381443,219.77466996090365,222.9758667857865,227.90535442198976,216.78108792267142,220.4397805628947,234.92067555940937,231.51784827750762,226.9779493149921
1,1986-04-26 14:41:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-05-12 14:41:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-12-06 14:35:14+00:00,251.86785495089845,259.17174908858277,266.23233147920035,272.50922889356775,268.32495024240575,260.67530811126255,252.6064538685578,248.1073283074217,244.47661895917204,242.07764762158365,238.86107996250695,237.536899825831,227.03984121220472,227.3660828807247,224.91680981337953,223.92655743060206,231.46451637855228,222.63349716080785,213.5134152430055,212.46663032325142,204.95869135647212,213.73743327453596,219.22951240084979,228.6971631806933,234.392876570525,239.12806809318707,235.9433892693642,231.60642892233653,235.36506455718703,236.85849373866597,231.84160702920758,230.29345083637529,225.82467322082297,217.7328150093094,214.80788648349937,212.65301227889273,212.40474866241954,217.13294154019317,225.093323423249,214.0366672154476,220.09099567979828,224.43335341581238,216.40111089177597,209.0799654292552,209.8131154704626,222.21190963938542,231.67714398476033,221.54103136398527
4,1986-12-22 14:35:44+00:00,224.30747309992242,,,,,243.11476450924363,240.41275206808945,236.32951821011142,232.19486232212137,230.44392788088862,219.67761131715096,213.45175055989404,211.7459639871705,216.49602061527736,215.0960431497883,209.18823302369356,204.15652577286363,206.13368166065908,187.87832012481803,196.8198459784982,205.6176049025879,203.62819491446515,215.85101804085795,224.84616444212156,231.01855337668752,226.32652743726578,232.76076231880796,232.26655396483235,231.02836905366806,231.97922388469456,226.2665186033114,,,,,,,211.872416455235,206.50573730447678,182.91222763959075,,206.35275850760306,206.74458192638164,197.6285659451085,205.4155915466667,216.00494729561754,219.37609613263143,215.7492034718581
5,1987-02-08 14:37:16+00:00,255.4620035458125,276.2856549364696,279.68773942504816,274.7224565432977,261.5833975168968,254.64279193137835,236.67974305134047,248.3677973685421,242.96160027695007,231.24191175895103,231.7334026701367,230.9936713946733,220.96985397365236,224.55081681727862,199.45189237759735,201.97377209074475,231.75872653076254,228.93784925426854,195.196691409307,212.70713321420408,223.37642851269064,210.08725439562974,210.04055074591727,207.09165272867003,218.32495187876702,242.0040835224268,224.809828034848,229.2029047837162,220.18776150295315,234.05726872979938,223.29622796481738,229.19380336177898,,207.99984218484036,204.93926546778246,211.76758788853508,201.2072179917302,204.37825472254065,209.95357882491234,199.8329725433327,204.7776139585584,214.6056374959817,209.33176726520247,200.74267151556197,209.86251277897009,217.9789884647898,223.28291652621235,215.46852073307772
6,1987-04-13 14:39:36+00:00,239.96102149198927,,,,,,,,,,,,,,167.68284578337597,165.78677121046132,,,169.2605455518265,173.25844723573073,,174.72668170984227,164.45688997012815,178.1063921211165,,,,,,,,169.92299790310608,221.8372288421187,233.31383876638432,,,,,,,,,,,,,,
7,1987-05-15 14:40:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-06-16 14:41:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1987-07-02 14:41:39+00:00,,,,,,,,,,,262.13586297515815,,,,,,,227.06814344861664,200.87093684909993,155.1364629248887,,,206.8829194786334,183.66802313305055,,,,232.4600046421733,,,268.8282417356184,,,,,,,179.74932710758742,195.71253950515418,,172.06574876347338,,202.11495260695756,201.27734368914793,206.4843576104401,226.4720168292201,229.26617670744835,220.38427988830912
10,1987-08-19 14:42:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1987-09-20 14:43:42+00:00,256.5907951234793,247.47085351008707,255.5593182789072,257.6587264832317,258.0058712375013,262.0892689910749,258.9123090830422,257.57378150113504,254.9195922495731,251.56222570287122,243.79285985514292,241.1784536178182,238.69564065309254,242.43596364695426,,,225.3477650012703,223.1221249307278,206.36475279853514,,189.9773166516188,210.0024081179483,218.28700787426325,224.92077863033518,228.76307773669797,234.12382956601397,228.55021654862327,223.6093584867761,217.43940088911995,223.97336651063745,219.0299637514165,208.62454152673857,,,215.60907359712033,225.093276076042,221.18347175697258,,224.54223663999696,216.23731447358722,,222.90378536087778,211.0418918237216,169.1073074910555,163.84243896027058,185.95603426894232,215.8639794453149,208.63729661585754
12,1987-12-09 14:45:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1988-03-14 14:46:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.39779535441906,,,,,,,
14,1988-03-30 14:46:46+00:00,265.6825200499713,255.01414497939308,260.7590990948715,288.06139970861943,278.3172446212024,266.05510650111677,260.0015319356382,279.329817630781,268.2202282083995,268.7430178785692,254.33466903599304,237.0584255774939,218.81769921967873,222.87526702199114,219.50609640254834,212.96518617461342,221.8319283190752,220.51227056311893,226.91250135409013,215.5652434910345,203.10906259853334,221.8409327241739,235.87274666777856,236.18681700684513,213.6831830358102,213.90003633166287,228.2624008654826,221.17708263362664,221.44797718196236,219.5055608421843,227.6771757726004,219.74846996409508,217.91190707735257,209.130748926862,211.01577340446624,210.07173487596066,219.57459896593758,217.42712077323733,221.99027366123877,208.78931030107637,212.8046956093542,208.33420968562498,210.82156911862512,210.7330305892607,214.57111945277617,223.79826899296629,229.88966876479958,223.38019301334074
15,1988-04-15 14:46:50+00:00,257.88737968217487,261.99944803084514,258.4874736756352,263.7841729627232,276.560161392378,265.8267388256389,256.7209978377376,270.5527829012061,264.6814373988211,254.93612433140248,253.76004424596675,244.31817295535802,240.42333889894076,219.59240309273784,217.08300270094384,218.60431328491543,216.42520654918266,216.44162051786486,218.57848618763572,214.85995204862007,196.37241126946006,208.9256690126149,227.13934084898523,233.34040560622847,226.33281178196404,211.46868153882414,208.3223414218768,224.74687382916233,223.49033935561104,220.55133930793275,222.13700527423737,217.57714498839937,212.78408996198198,208.90391501231534,199.83089636854174,211.55590725860543,212.5102836159034,209.3434660235444,218.54788216060751,206.68808499635037,212.27379518263598,204.47347280956944,208.8738005621604,207.0734803859131,207.3780572540616,219.0949376420726,225.44860486813872,216.64366899889356
16,1988-05-01 14:46:57+00:00,248.23611620236775,256.39158871713636,269.79839653147525,265.3572922583481,269.081366554926,267.7378799432056,263.91961282610185,267.40598048875427,261.85473817968926,242.9482668889735,233.06829879664744,233.21974983720543,245.19405422822902,225.4957055585659,212.400056037364,220.3790962281,219.57102016104602,216.1293794298102,226.75063882613568,222.5472244259804,213.28651614118195,206.33400759265808,213.73215329168414,222.0691312625717,221.6701809328227,216.6764646640021,224.83779421457834,212.75524180288235,216.57206243896897,224.4715420031339,222.59932655523173,214.3578033025565,216.31217191226781,209.40875428635516,203.99008274358118,183.65051250035336,212.9149429258961,201.92262264555796,212.75323153589034,197.14122623045975,191.081013115119,196.49721017114518,198.61999561930963,193.88188643696517,191.8632920233828,208.74457483437314,202.674129318052,185.8840532191385
17,1988-05-17 14:47:08+00:00,255.4148976371288,270.8052724503513,278.1102416986308,270.7596414363579,278.2554948643669,274.01203825171956,269.3886500910147,265.2610204716084,266.37627247559664,252.503444182322,250.8260991821127,247.4377639331869,241.6013279673627,240.83089959789655,227.29654894610593,226.14532177299097,224.4621236115653,225.84253773507794,224.16402552355305,221.489749569209,213.90952790471803,219.5613634003187,224.45386124328414,221.03367049914334,223.01722383986603,227.17041440163467,218.40120109809013,224.35813688175008,228.1544302789936,228.9681134696949,229.24542491203974,227.65243547628637,223.22962835392806,217.8388431399182,220.01703613701224,222.34080615870278,224.27613502641532,225.50051042727006,227.95281787862822,216.42304102550705,217.10726197791035,220.55496058904592,223.84006609695942,216.40431234484618,216.1274939222674,230.07637031692045,234.95655469059886,229.52250675575127
18,1988-06-02 14:47:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1988-12-11 14:47:08+00:00,215.38128195058067,,,225.8624757821357,,,,,,,208.089620001402,214.23913511958628,203.75600635204063,199.77324583412164,199.76292393547698,191.21993677609234,183.03362064211368,181.0736753495599,180.38380975345507,174.78633456302092,162.62240060925242,183.9140770918275,166.56315716530554,,,,,,,,,,,,,,,181.50648836382044,201.21558915532967,211.1322534276879,192.69067695881716,189.58881139462366,194.9735157713123,189.6636582408321,191.32313476575104,206.5624277316235,221.02761091964243,207.5856827067726
20,1989-03-01 14:46:29+00:00,252.64124452859406,276.953976484091,293.4317350014691,298.5605154316867,285.1047632173641,277.22296586914985,265.83827895427186,267.2372998815364,268.1517956563181,255.1605944330212,248.7396696945244,241.8628999299105,235.84103885178226,238.5887190704379,235.4803996044451,218.5367495877789,209.99006259210506,206.58532044649377,210.21255576204769,205.21302146723662,203.5645128477476,202.6798946222467,200.81489720526412,217.81737606366144,220.68726169868228,221.59357487984136,204.79019605253325,226.82918392168156,209.6989920880883,225.87145040537789,226.70199959070314,220.20203809007745,219.67325559614858,235.01599759058982,230.61484380214986,224.3448742323673,223.87001199806923,224.5563470133913,227.04070898096376,217.09203785557057,214.8837320741893,217.60185606970936,212.44498922967958,205.7227433417619,210.58441261101248,222.66956698689813,236.14011646996335,229.10787116875318
21,1989-03-17 14:45:49+00:00,229.51699440415516,270.37289572630874,293.4832514532391,296.6096215603538,283.55211371766063,254.74931762883676,245.05658150168415,239.86204488761842,228.28943225749015,211.59047985620714,211.75170987206707,217.9386789499466,214.42126940932826,210.48637723641568,203.08221597792848,186.8159443588401,182.8989365114431,179.67853995026485,176.2647755527448,176.02830358215925,,171.92763774709783,,,,,,,,,177.5148616364992,,,,,,205.11995380921397,,208.68888184468705,197.6775962930585,190.1207721206706,196.27857387211264,187.9777848715597,199.73761618702835,190.1199066900753,199.3942595089073,206.44897174854,182.0409081646893
22,1989-05-20 14:45:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
