,dates,chi0440-0000,chi0440-0001,chi0440-0002,chi0440-0003,chi0440-0004,chi0440-0005,chi0440-0006,chi0440-0007,chi0440-0008,chi0440-0009,chi0440-0010,chi0440-0011,chi0440-0012,chi0440-0013,chi0440-0014,chi0440-0015,chi0440-0016,chi0440-0017,chi0440-0018,chi0440-0019,chi0440-0020,chi0440-0021,chi0440-0022,chi0440-0023,chi0440-0024,chi0440-0025,chi0440-0026,chi0440-0027
0,1986-02-04 14:07:59+00:00,176.44702735572116,,,197.85662722266446,191.871827209967,,186.84814951318054,204.6300424273455,223.1847317821251,,211.47047244015232,,230.02484477507912,231.84155681892065,229.84396313714825,230.97982195018557,228.54233295141017,,,,,,,,,,,150.95930122452614
1,1986-08-15 14:02:41+00:00,,,,,159.27306522435552,139.89200594257753,152.64091860341622,165.47019420363682,184.93926573917219,166.06735573977645,172.9951644750763,182.55729963213628,191.19305569424046,197.68545419544563,191.06334725420078,195.95821713435885,188.62864474176655,177.39864738617294,184.28452079242393,169.64748699837185,166.21872031585656,173.35983999087983,143.61419875985558,143.3966831159471,167.60938041007392,,42.33694994450447,121.56021350529304
2,1986-10-18 14:00:32+00:00,,,,,,,,152.59444398784183,170.39447823247897,162.33128141461836,158.10727329123833,174.7741985547722,179.87757856900748,188.3827943347469,178.24224088958803,170.1406645239923,167.2255448156431,166.37742381983958,171.59399119627153,168.02103919011543,157.2521333258438,149.47152575143136,149.38420518170972,146.24841319621362,145.41746742359106,,61.03721606403752,153.83526047811026
3,1986-12-21 14:00:01+00:00,201.89440349355783,209.2727135376785,189.56676238465258,179.95842930701178,171.9809770390978,169.30191678777916,170.02605920101502,186.6260233619177,205.64121414254885,190.19171974622418,193.3870836338252,198.83920845380538,206.128659944317,214.38719439970535,202.61780961464507,193.10504534972057,193.61140702768222,194.8007547651203,208.55527575920902,206.21251889693835,192.6283579235626,189.66887213241904,189.6549256082373,194.0972848174141,197.78170299851323,197.27017120244363,192.7708287380788,151.06828318627944
4,1987-01-06 14:00:30+00:00,177.8005813530894,200.58326182923605,190.0790424987954,183.73426299838079,185.4678155426086,172.20168326342582,175.20315149541878,190.04778418769632,209.73057975322092,193.43793002473092,191.84687628604357,198.0216207922868,199.8960967077002,207.91462153500743,208.58496204611086,199.27141676555237,202.57592692088508,201.7121192403916,205.69221640798722,199.21731360211265,201.29413048613208,193.72187846629623,194.10155325418987,193.19984873048185,204.51562123364073,199.7386408163538,204.54970272562593,157.96360299038548
5,1987-01-22 14:00:58+00:00,164.88800139100394,198.48453590269958,201.2868709689145,195.18653009291378,190.95849645610622,185.49863366752635,180.93506024830245,198.41323443166297,215.6503901587275,202.12851134363476,194.98344496518814,211.55388137751945,211.7935040499881,220.15649407651182,210.54245077921743,198.893413323215,202.70789559683348,205.39844634766763,200.3786121476553,212.4675101095347,202.2467515833796,199.9395398261118,201.97319290149383,196.26094782632265,218.64480536790785,209.775613483281,206.1436775946259,163.35011142165436
6,1987-02-07 14:01:33+00:00,162.7578172164188,204.61649742887795,208.70864172629828,201.3056683852489,191.08381693231482,184.93791425681115,186.6630707551063,204.10811950227088,222.56571513037426,208.0703072087772,205.67398802541885,217.51883226225988,221.3254694267998,218.56530725764355,217.57174027504868,209.41910060514547,208.672313457739,215.4703162690849,216.58523439423965,214.45730656733028,208.5634355695815,205.53280359952464,203.6597880462626,205.1630704138776,210.95400887673102,216.65210889556235,210.34629566479228,150.77712749002106
7,1998-03-09 14:17:33+00:00,133.98266077000014,166.611090340188,160.55549452150652,154.50931781679108,161.7804252428942,175.20686398009028,167.01055033542016,167.52847639848397,174.9939354656932,162.04818459873286,173.42735909344594,179.58600689724187,188.73699451688657,195.44871184068057,186.86709022610518,185.7896552465471,180.05385571415277,191.3003640532816,184.99382469919624,187.67764850845953,186.825399619201,187.62264394483753,187.47250485290124,197.86615178472513,197.38535595330708,201.80397665491247,185.87641018207506,157.30078350305078
8,1998-03-25 14:17:47+00:00,152.90850394499938,180.12232785749322,167.2457053263644,163.10666561740143,170.81965703945872,180.8081960953151,174.993780607389,171.93302207639843,184.55294306189367,175.32602319132246,174.430329124365,193.45583779293176,192.1342917870445,196.2700444305014,200.85862983451403,193.3836229908146,188.7803119872543,191.38122641691226,197.98349302249989,198.28884288798818,193.28934076495446,189.8176432383267,201.65256581761622,203.47144702649595,204.76570215689765,197.76434816651312,186.44616185968968,149.38428644602934
9,1998-09-17 14:19:50+00:00,,147.91789529988614,167.3794962211878,165.511459800852,156.42565725409622,165.1967855455298,173.62984475126166,170.98145349993794,185.46468990209752,184.45500348272566,190.35458676398886,200.07580538857025,207.67950184876725,207.94658705524543,202.41830684956284,201.05076103403692,188.93831924724992,191.13869416220524,199.7877851945894,193.6759500257991,186.88322057433876,189.7549856954748,190.7814622003495,173.31322610227318,190.27854083823064,204.66878409821192,,145.4852997591244
