,dates,nzd0370-0000,nzd0370-0001,nzd0370-0002,nzd0370-0003,nzd0370-0004,nzd0370-0005,nzd0370-0006,nzd0370-0007,nzd0370-0008,nzd0370-0009,nzd0370-0010,nzd0370-0011,nzd0370-0012,nzd0370-0013,nzd0370-0014,nzd0370-0015,nzd0370-0016
0,1999-08-26 22:06:20+00:00,157.85118618852124,155.60596746806053,150.9722787855303,130.746142161422,109.28643862252396,93.63273371548392,114.7696720237436,113.63807878930888,115.62472367593796,127.60129486685966,135.4228906243523,125.5378186758773,139.46746675395593,135.38975022474494,122.54446022281928,130.97110058586733,115.9484487969792
1,1999-10-13 22:06:24+00:00,169.6685504836923,168.94152117191044,177.7142606192777,170.25456071921246,157.30913496336615,,143.80808154328594,145.51924291205864,147.48914642852648,168.12701964832883,204.12429049709328,205.1418980833008,208.0219519175916,206.4679394131649,207.0059085919046,184.8358171879381,167.80036283488965
2,1999-11-21 22:12:24+00:00,129.6189222667942,137.6196035799581,133.09882804950843,112.95574975189992,79.79565447388381,103.31901254457482,124.54561765334194,129.5119108347931,133.22511925455422,139.91653822451735,154.04767263519264,139.1084471405897,147.88166680303993,153.6667185815381,135.30477423332195,140.9737357090295,117.00513751125928
3,2000-01-17 22:06:11+00:00,157.68251102797538,155.49899216671358,165.18719930997827,156.32023355959043,150.66405543414473,163.1733762153557,158.25776581829973,153.39712431627208,153.80095468390766,161.52148434737595,179.73139321920647,189.1620044383144,188.1760770095753,187.57679376256124,184.99301994228176,193.68930234797648,187.5993482772016
4,2000-02-25 22:12:13+00:00,160.7749453961995,152.9484370748385,149.785149851469,139.1686955945943,,,141.9258801872793,141.5851442812939,144.56882258737434,152.45138643141598,162.91345695220008,147.0804364080498,165.41621481296255,168.56084545726864,,,
5,2000-03-12 22:12:09+00:00,142.5550580238135,158.4183720127642,172.38299626874573,,,,148.25648721239875,136.2447894678927,138.47799729965402,145.51731670083117,149.89061799101265,103.78255148180376,102.52217837095344,96.70654738042568,,,
6,2000-07-27 22:04:36+00:00,170.69266692300863,162.7471047607623,172.2861694944425,157.85875754342408,143.13490698572647,,114.3409118640148,112.33839712680752,116.2974012912358,118.25015939475898,131.10836355084606,87.28684770200582,,,,,
7,2000-08-19 22:10:38+00:00,,157.12622080306676,173.35692886282862,176.76606759977304,191.2280065430078,,154.59097805397647,153.564568219357,145.85108777662907,153.73593176438453,179.57458896861607,158.4814736154894,165.42431673556422,154.55382569838287,,145.63542771274666,
8,2000-09-04 22:10:22+00:00,,151.3255408843255,170.2922788566341,175.9929661029345,191.223619518154,172.50478511704358,195.41925198412025,168.19001671339518,154.76111814211126,167.18049308098938,192.62929793035212,193.74560976324847,184.8078020523914,195.77641046304015,190.9032455104007,,179.98248051188745
9,2000-09-13 22:04:02+00:00,142.7953799834596,145.99683204654335,131.01198798688114,126.03479314058356,74.0724846875514,79.43842698505365,107.41199887634616,114.11099843079656,127.48572945244564,127.14711499287348,133.59574637543074,114.70067727693907,117.22231230290316,112.28431550116775,65.29205713622346,102.35248756607936,80.38243200506616
10,2000-09-20 22:10:03+00:00,,157.35300002725157,168.46192715729288,170.96785116890743,188.3516930825282,,185.09609730101056,170.3399718271477,148.5943315164691,156.12851930940946,193.91012647660813,203.36941195509337,202.06789981639784,,,185.89449244523257,180.25383124878363
11,2000-10-31 22:03:46+00:00,159.86781512869948,152.9158208125114,174.13529980868253,178.7941519989344,187.7667726238162,195.9041138944725,184.161598078506,170.18354621510616,153.35522139663016,159.92519452308963,177.84405649286902,165.09852905841225,179.78005353455765,190.4938098428848,177.22516298152243,172.64876818514935,159.75162027991556
