,dates,nzd0179-0000,nzd0179-0001,nzd0179-0002,nzd0179-0003,nzd0179-0004,nzd0179-0005,nzd0179-0006,nzd0179-0007,nzd0179-0008,nzd0179-0009,nzd0179-0010,nzd0179-0011,nzd0179-0012,nzd0179-0013,nzd0179-0014,nzd0179-0015,nzd0179-0016,nzd0179-0017,nzd0179-0018,nzd0179-0019,nzd0179-0020,nzd0179-0021,nzd0179-0022,nzd0179-0023,nzd0179-0024,nzd0179-0025,nzd0179-0026,nzd0179-0027,nzd0179-0028,nzd0179-0029
0,1999-08-19 21:58:52+00:00,,,,162.6462496055037,163.07617409858355,174.9184212900163,178.7605154461922,189.145959548512,179.539590702942,193.0499952191891,198.31152758304773,173.57828344171034,180.47413110747047,,174.62716169379655,184.60114512986397,178.41414070359863,190.44782536335524,180.2911706509344,177.3763788827405,,177.9866796619805,156.6215294023227,160.58254944317818,162.05978343703524,,,175.07606756800575,,
1,1999-09-20 21:58:32+00:00,182.0563295848233,168.32173363110758,166.85045766014434,165.85749714354827,170.87827323741934,178.60072077158583,178.0820268368407,169.78085058909323,,,,,,,149.4213034603231,,175.85203468495658,173.45655660742653,183.31382258694134,176.0835098441848,,,,,,,,184.7916644811125,,
2,1999-10-22 21:58:28+00:00,181.51710430678992,175.20133842537186,172.25731138727664,177.22527358921988,183.59694019605885,188.74445998969523,193.51042663971802,187.66046937325044,190.1114499013968,195.0780389912528,191.87394086609146,185.8076893330992,175.8782815743045,174.7633286505486,174.127695453022,179.1005158489208,184.8269359075043,,188.64788652371962,177.87515188149376,,181.25804603883782,169.9436723601153,171.21284462276645,166.55352734519784,173.2247788586385,170.7787236116292,185.17274138552293,,
3,1999-12-09 21:58:33+00:00,160.09848897383998,166.43221822083723,163.4886587061842,173.08590048849845,174.81794659906123,181.17833332071856,185.98826232257028,181.04319290136442,187.15963039160428,189.44154844159434,183.8415874243398,177.35346381936725,168.11218420394627,166.43485627915803,,176.88664616366768,176.51306865270448,180.79705136613254,187.2793059729987,170.68578882581997,,173.82526177403867,,166.9239751129521,163.94838196519927,163.1636259382191,164.37165101795262,180.52434428627836,174.79072370458098,176.99665558847295
4,2000-02-27 21:58:16+00:00,182.61656282795764,168.3304596325599,172.52021801020092,,,,,,,,,,,,179.0223153747213,186.34554502971372,200.74359598689466,171.64426922805615,173.41606380468005,173.5695747545776,179.77126478309768,183.30933420631013,174.3544045374604,,165.30373410167263,169.4786741086783,170.3080304032567,181.2997108120002,176.6181465989975,175.82893179615016
5,2000-03-14 21:58:35+00:00,187.57245672415374,181.08818634720765,176.89148585195423,182.4066408054504,185.04002050237378,192.82188868171735,195.2268930672736,189.47867816939197,193.72452108683854,195.7440391499466,192.55721786966095,185.27464166739853,,176.84967500082044,171.41588718096182,179.46725420013797,182.61047213431763,,186.79625485084887,175.58914717689188,,174.99595392845802,167.20096997968963,,162.61042449475238,165.17554882490498,165.2888086799299,180.35460545933657,180.43780995137303,
6,2000-03-30 21:58:09+00:00,181.93985049278243,178.4691626481212,174.75770689277223,176.8840955896147,186.14749243155666,192.323666384949,196.16785234299482,191.70722950107012,192.49722480571972,200.41601616952565,192.34340921069733,189.21462199802286,179.86851378934503,178.41905233729702,,183.56543427612903,192.41918367249912,189.6942474706011,191.17626526406144,181.7580672602429,,183.85141189189412,170.19022248567128,172.61989289270252,168.6486747811739,174.6005970144199,174.77267515282946,184.80563538708077,193.02970796331593,
7,2000-05-01 21:57:54+00:00,196.27129543638424,181.94562013395844,181.2249362716054,183.118525715898,191.91840431108486,179.97516875878796,167.5372395145361,186.4962975587054,192.3373593178736,205.36916347180536,202.48134669308777,191.9060164162953,188.20012572007042,182.85041310018642,185.90488550869458,190.33035234890588,193.5355729124498,,193.23949808587733,189.0111613130058,,189.34324812479989,177.63016066777806,175.19548562823206,170.3779876547189,172.86550710391475,175.5950803517956,186.60009470086433,195.62283097090764,
8,2000-08-05 21:57:08+00:00,,138.82114923328754,142.456727978836,152.90214765485308,158.848207645649,168.91219812096847,171.0988220661806,174.03921942052034,179.61328315641745,177.6298460671036,172.69370584426846,158.08625686920794,158.34228294697138,153.19407584846368,153.3268271042773,,162.857580606798,168.27123630975242,,155.72603960216335,,156.37747336069535,,128.73309482908414,143.50521261746962,,147.44162090412692,160.97015808581122,175.62189919739072,193.5518781241211
9,2000-10-24 21:55:53+00:00,181.63498966540843,163.0405917006104,158.86959761416696,161.891002771999,165.32970484773887,176.7470844463089,177.68127669430524,179.39897933003752,177.739852885161,184.92868546974486,185.8832821556811,174.96406021676012,171.36862185954067,167.45772578561474,,178.6520546242665,182.98018075016054,,186.74126441047665,182.41883196644872,,184.04403313342848,165.09599942754943,,152.65081577268634,160.52493533470866,163.5867639783752,180.53578315809406,175.8408754327188,198.7478669931853
