,dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075
0,1999-08-17 22:12:26+00:00,,,,234.50963319999627,,291.76288319180935,279.03629786213213,260.20687832283267,253.41079056527076,241.4772398511085,239.29424303848617,250.3038661443697,258.2394448807032,,,,,,,209.22695688937586,196.08022827601516,194.14333470638016,189.90720888649005,184.7829678601988,186.88645939815518,185.27882625176557,192.71111648619063,195.82266250584715,,198.1238996291221,211.08866945587954,215.76162126399214,225.72603420378107,,228.95355545204143,240.98304570519707,234.5348734940025,,241.19272391803855,243.1698271352672,237.0093835796791,228.08480119501186,,231.73073476463279,232.2308026980226,231.35860807416586,234.49661040498157,231.95944831436967,236.9219723419171,236.99276333890293,,,,238.24025035633989,236.04849753358985,225.5705099643814,231.57505174093941,219.53458689719307,218.37190643638613,207.62664517309602,,185.81481692487506,187.81204888931222,184.8283703363086,181.52105857829386,,174.49068620090165,170.44754866479383,169.22060265777165,177.7597093475311,179.24459819675428,183.1202912929548,,120.70192806289849,189.90606325299882,111.62603661223366
1,1999-08-26 22:06:44+00:00,222.88478760015164,215.8684578761952,221.69579184185264,245.16563449235883,263.5193593859139,289.0593049731613,293.7622657899095,286.1031856487187,268.4714556806639,263.80373281054045,255.49249455472162,254.74395223859182,251.7406293998585,245.09768950003547,229.58464303689277,225.77963768912292,218.3801001520263,208.97094979367998,200.50798559105155,,188.12709527042904,187.10952795717574,189.36180568068403,189.56405795717666,186.54982981419386,185.44760582511208,189.8583248523326,,,198.72924740734842,205.33153776316928,211.59580658901262,212.7400309762894,232.20341636574943,230.68119942035935,,,241.3195731315235,236.24547890886214,232.75509251837423,,,225.42153917232235,227.0217264188299,223.53626347178277,228.71693494579515,226.4859345666957,225.10952105456758,225.60771832755722,,,,233.2397900230844,231.38602706674718,226.95068281722152,231.22830579922515,,215.9656368837505,,199.44912935012846,199.17956984597214,187.31505252895013,,182.57869177794882,183.5785422853408,182.3091641414364,178.32912901949388,,161.7059763135401,170.53121512084556,174.40478147235672,170.05604318378496,,153.55794114007043,171.44789915357828,140.81590325812965
2,1999-09-18 22:12:27+00:00,214.0741860993846,207.77352666941889,207.29306596947742,211.05196298878369,230.711094693345,259.210499729788,253.40415804329777,258.08885451488703,254.53067226405975,249.2783972275585,250.65631130690562,256.5736347143423,242.11942940588816,237.9096085168564,235.75484194699828,231.4972824722388,,213.87051920788332,202.66589818521038,,187.5779171258451,182.6763987346398,179.20196537197836,177.6266925881085,174.212561148802,174.3399789128743,177.35635599465127,182.97217920795853,182.1842527328415,193.83294995082315,199.37908330267345,,211.19454010808425,212.9518689518292,218.99623168783802,230.943477550213,,,231.47811324247954,232.97020886826107,227.93794273984412,227.75889943654687,227.11352346794487,222.66831759867063,,,219.64593432699402,223.5585144356095,227.5375642978457,229.92382006435042,,,233.94800323885897,229.63638643820622,,,211.8300543276342,206.63255866644363,,,189.1517455181719,187.7981401218745,,,165.69753527250435,169.25236426985015,165.3547770460152,,168.42476825653384,171.74394733296987,175.72595330348213,174.86653058036327,166.7547722069114,144.21997291466045,173.2949169409606,
3,1999-10-13 22:06:48+00:00,215.8730874718208,208.4284230598299,210.199866211022,209.38394147066242,227.63552923741432,262.4684526637635,256.86278937604766,253.11726307346638,248.4551308993405,239.70373741792673,235.30692782006398,246.40082378036354,249.57979118876275,246.86118957556536,232.66832572839516,218.95883194815897,205.10079485075204,,,,193.12004625728477,,187.82927972873196,174.3504336221993,178.6416413333658,177.2824892510257,184.39211042899777,179.36529634768192,188.02423790003152,193.02430858612541,203.44897897509918,,210.39510265160266,223.2993258507881,223.01249163219708,234.23647642264308,,,231.86906582989224,231.15894892221533,231.22195840423348,224.09137975531752,216.331039350646,219.80552905509273,228.9458108024764,,,229.42191630453414,228.9848446466099,237.60995997076566,,,233.85143827402652,233.44758753632357,224.88827968136403,217.65372726125773,211.16669290368554,206.17470409422643,,192.73032502271604,188.95006971131278,176.14300986222673,173.9786580441653,,169.81976299958092,168.0520562109604,164.25212544904255,163.34694340884434,,172.1957809999483,170.3147875875269,168.43473908783903,154.6918909024607,160.0355108210519,182.57717817954347,178.57198807068286
4,1999-11-05 22:12:28+00:00,212.51385009960433,208.58435648058037,219.034880825042,234.9231669185341,240.9640974780792,278.19015481657874,279.5860372576048,277.7908370957054,267.21208501544356,258.5896713160242,259.208009880498,263.62492940847585,268.1990394525223,265.87401307742056,253.32154008751107,232.50998712474444,221.9971142491985,221.4991489873689,218.62911393082456,,200.21352474232498,184.08585497650563,186.56030486991318,184.3946739415652,185.5770877555906,186.151233619476,193.0128076037601,188.6245433010955,193.58272678369568,198.63855422302856,211.8278845760435,,223.19519279351925,234.15627815266663,234.37761945290617,241.90438725977674,,237.87579159120625,236.70996937072596,235.4302336836551,235.4770829623632,,226.74628835465873,232.34420080505217,238.80645454562372,,,234.57355782296202,238.48596330346632,,,,240.14030952912987,234.39504575202838,225.55364454822092,231.06597449848405,220.32842128618992,223.49539022739359,213.2677810071476,,,194.43142368689337,199.91581506296046,183.45511228270973,177.79742186326368,184.24795909142816,182.4729256425057,173.7767854608065,,179.14034095084702,191.22938198360842,173.51279936052498,178.94159578667603,,199.73595297160117,196.1085255541725
5,1999-12-07 22:12:29+00:00,212.7526152066689,216.1762418405294,230.01722983860455,241.55812553087216,246.59095333219958,264.08814091675686,270.4622972007198,261.57823854403784,263.00772635399176,253.5065147375002,251.18045535239273,257.11447953081944,275.3907445395128,271.5664633200289,,256.1850925208962,234.0638443171508,210.86171456807614,210.42712776814403,200.6147734442079,193.89325460688886,195.87889333384314,192.38405816580968,194.6851077580916,193.033502570259,194.45947091991292,202.1109278969833,203.8280863667698,,214.38442507562144,215.95471262590152,221.0999853161342,222.4311849589076,234.0801028857787,234.83649531555128,244.76399701546276,,,245.41931976765227,250.52652673736623,,255.64048857678225,,241.4294972860357,238.76204607555374,,,235.08695590845664,237.7166342591745,248.13784074715483,248.81985130967087,,250.6681206164062,241.78513980341162,245.2897416272092,,,234.54735593277144,218.66166735473274,,211.09318582539612,196.31988964429448,198.84814374668696,,,,196.8440623425114,188.0988843999787,183.27214117097103,191.4607455113902,191.7948355931343,189.9585485667666,184.35223230119118,,203.51152340983904,205.71858092471348
6,2000-01-08 22:12:26+00:00,190.13379356311302,186.36122359916538,204.94066154093488,225.5782583636833,246.88375680340823,272.7287613767731,268.355242152783,263.48305284840245,257.0182521323627,251.28607356923524,255.45427951832187,256.1441608934116,268.7799483712353,263.42979372722135,256.4018355538413,247.28253668251264,,232.00250140244893,222.45177327195802,211.40001598904763,204.72697373447008,197.133999107121,194.85531965417016,189.55637189795354,196.45534793159106,193.10914305381908,199.94078799968497,,,210.68399495032173,216.97920036412611,219.76011169338346,,,235.3311511499873,246.71203770626647,242.7031410005258,247.02418357905842,246.14406288575532,250.79047074048492,246.59147142370767,233.99861431532997,235.92037562797276,233.94913014058977,238.82977560854084,,,233.02890040772405,232.492853927591,242.3311669492054,,,243.62476597196502,239.34193747138875,,228.58403081182217,223.65459098929162,222.00349811802784,208.2597712839339,198.11722417681935,199.72940962595652,184.8752444839203,186.6639072337405,,181.95997177103882,,181.99759933717087,176.97336343682736,,177.75166332918263,185.059571244889,184.15137875934983,181.68592911167116,180.1498875529655,,201.5526997369004
7,2000-01-17 22:06:35+00:00,196.59285328595737,199.86979355416165,210.24221641234826,240.43996878039937,279.4103423707357,300.9448006847273,285.2958550737382,273.0247151515623,266.9093550430899,267.3884374933119,272.0165644521922,283.34414508368224,289.3281019025027,279.11914053836387,272.14049520584865,257.4756729436826,252.68199734360664,248.36661828342574,241.02338852211327,232.484372638223,222.60597365440145,216.88991661086425,216.50906287847545,215.6134873008699,212.41608273357463,207.78330482859636,213.60124306712183,212.7964919773562,213.93806022466302,219.6197218611863,,233.17572690253755,236.74652118523477,243.3697922764281,248.26987823604895,254.79124425808672,,,,259.71268430631864,256.68806594850207,261.0377259222372,255.72008334745,258.32578603384957,251.67791552423824,,,,,263.512617040928,265.0666272533247,265.3443998569383,,260.4887842488783,255.02507882657264,,244.0447914068465,237.93731015755625,225.29921577709658,,218.29379033375793,,209.64651876434948,209.24069767096807,,,202.04029711147032,194.60229365316718,192.61303910499862,,,205.3028108054174,199.70326587962018,,,
8,2000-01-24 22:12:23+00:00,194.1156147815563,187.5046736375557,187.30861321463792,206.31269152971527,248.9634792815403,289.4906286613742,288.13427822769313,271.7081733297686,264.6775649646363,261.042416536465,265.6754579982462,273.2548133424608,282.76293949817716,294.8508602674398,283.94415576406277,278.7580376074751,261.974103966381,244.06975768245093,238.8825206012028,,233.2494505042786,216.59912663639017,215.33204454582864,207.23119214162932,206.84862136409203,205.29358695104378,208.97069227680464,211.83917560097555,218.42004526960434,224.7021201669025,224.14933152718302,229.23039400506943,232.8913249561782,236.7439331258634,241.65167656957632,258.67845740792274,256.0814649664744,259.025264466571,258.4561295082698,257.2018185288383,254.29716515736243,249.54992652149906,246.99984443098705,244.05412224488472,242.90478431435636,229.24493073085384,238.60929334358576,240.50383362252944,241.82674035338002,241.53656631302906,254.95094253099074,259.00997345260475,257.10304042266154,256.683808114331,255.86531556731177,239.3724730557934,234.4447608130532,,221.67741074082724,215.53971162436213,,191.92238179643357,189.42435014556412,186.68488273800742,183.26463248117884,,178.2336130565437,175.12059765534121,,,181.7905246840325,191.9492922341746,187.5914935773935,,,193.54143827854713
9,2000-03-21 22:06:25+00:00,178.14976544754273,177.51295083699648,178.49563600633513,,213.11183288969895,233.79373245622446,238.40061748173673,243.1992366782277,249.87100187079366,250.41990852917002,245.4339578063027,250.2509071901261,257.96589844905805,246.88570481825042,241.16380836322062,218.24919107372494,219.91610950649604,207.51300220989023,210.5078067636786,204.24714997134345,196.04818531100236,189.1648838819876,187.03451442819093,180.0906836350124,178.90856098313273,177.92923490640416,179.93299147891722,172.22884861562304,179.5887223885998,191.6688432474077,194.116133443069,198.88308017718848,,217.46689503347204,219.73313818730992,226.160784849487,231.5405515058175,230.1542528957898,227.72385870002958,,,,217.70711882683042,218.9233202251525,,,218.38245304386095,218.90995747748545,224.2493777294435,230.38274684628948,227.8361631486855,228.72957499941413,226.5164412261929,224.96315389220894,221.8794844824891,,209.68693567954443,198.57417310062974,,,179.19017014361089,,157.83750281671277,156.7949031022886,158.92307226946124,167.437770913612,165.98588350841928,154.53843518331365,154.0901005238362,153.09270972939782,155.95378480494392,,,139.75473185826846,152.69761419854015,
