dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0010,nzd0381-0011,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0016,nzd0381-0017,nzd0381-0018,satname
1999-08-26 22:06:20+00:00,394.32,388.79,388.73,379.16,390.72,402.62,400.85,404.22,406.79,405.22,370.90,,383.58,394.51,393.35,386.43,385.95,390.44,363.21,L7
1999-10-13 22:06:24+00:00,407.47,406.68,408.75,411.94,410.76,412.39,407.13,403.10,403.64,398.64,390.71,384.68,350.24,381.32,374.04,365.63,355.60,356.90,341.24,L7
1999-11-21 22:12:24+00:00,408.65,403.72,407.84,397.68,398.12,402.99,400.41,400.92,408.83,412.34,402.82,381.89,386.38,414.83,405.22,395.13,388.15,393.93,363.67,L7
1999-12-07 22:12:29+00:00,406.09,396.98,397.67,394.07,394.01,396.78,398.79,394.88,398.78,401.04,396.65,394.79,368.88,401.83,396.21,390.68,386.74,381.47,352.53,L7
2000-01-24 22:12:23+00:00,421.81,411.82,398.83,399.12,403.84,406.10,403.21,,412.89,417.67,408.61,410.88,383.53,385.07,378.26,,368.81,363.74,337.76,L7
2000-03-21 22:06:01+00:00,393.86,394.58,390.82,381.93,388.44,392.52,391.34,388.06,394.12,403.00,397.57,397.54,392.20,380.55,,377.05,386.11,380.41,349.94,L7
2000-04-13 22:11:54+00:00,389.75,386.78,385.06,387.52,387.29,397.95,399.84,402.46,399.89,393.42,392.15,389.33,393.41,397.66,380.83,362.10,379.70,371.99,357.51,L7
2000-05-15 22:11:42+00:00,385.44,390.60,382.69,368.92,389.83,386.79,,,400.63,409.30,415.06,407.07,397.18,397.00,368.19,361.99,368.74,391.27,361.06,L7
2000-05-31 22:11:30+00:00,389.04,383.45,385.82,365.08,364.38,380.79,388.20,390.09,398.51,401.73,400.95,,,,,329.98,359.81,380.03,357.34,L7
2000-08-19 22:10:38+00:00,417.54,409.68,399.50,395.63,394.32,393.86,402.73,397.13,400.32,387.34,396.08,386.01,375.02,378.93,377.45,381.88,372.03,350.08,332.44,L7
2000-09-04 22:10:22+00:00,370.32,375.85,367.87,,,,,,367.87,360.01,354.18,,337.66,,341.64,347.53,338.99,,298.89,L7
2000-09-13 22:04:02+00:00,396.59,401.49,395.29,386.23,391.57,389.45,390.78,391.14,393.25,392.51,393.40,391.80,397.02,395.13,337.99,319.51,372.13,376.26,351.34,L7
2000-09-20 22:10:03+00:00,432.18,430.99,423.28,416.59,409.83,409.40,401.34,407.90,407.39,392.28,375.96,368.63,381.25,371.19,352.49,355.72,353.73,333.87,323.53,L7
2000-11-07 22:09:53+00:00,414.46,402.46,395.93,390.53,389.34,384.69,385.33,383.55,385.85,389.06,387.92,389.67,382.21,376.16,352.39,374.10,363.60,353.12,328.50,L7
2000-12-18 22:03:49+00:00,428.86,411.66,401.33,400.24,401.44,395.41,396.77,391.75,396.47,394.43,396.91,393.88,383.18,384.85,383.24,374.29,367.72,353.13,335.46,L7
2001-01-10 22:10:03+00:00,408.87,399.67,396.45,389.03,386.37,390.72,393.93,391.64,401.79,408.70,402.52,421.69,422.82,392.08,377.53,387.22,388.33,385.80,365.02,L7
2001-03-08 22:03:44+00:00,387.52,378.95,380.32,371.44,370.39,382.15,377.18,386.15,403.88,410.40,400.84,416.39,419.34,409.98,,394.02,395.41,401.86,377.47,L7
2001-03-31 22:09:43+00:00,415.70,407.27,392.96,398.07,399.39,399.66,396.29,389.74,383.81,383.77,393.03,397.29,425.51,442.79,375.44,373.30,371.62,363.23,357.92,L7
2001-05-02 22:09:39+00:00,406.95,390.98,384.01,373.69,378.98,372.16,380.13,386.33,393.75,394.57,390.87,392.07,386.80,391.82,,377.38,374.06,371.96,371.43,L7
2001-06-28 22:02:45+00:00,411.43,399.62,396.69,384.79,381.25,377.34,365.18,362.87,358.46,363.46,366.53,370.95,365.53,354.57,349.23,365.27,323.56,344.76,352.24,L7
2001-08-31 22:02:05+00:00,401.25,398.71,393.35,381.64,383.65,383.35,383.43,388.08,386.77,380.37,373.36,378.65,382.44,379.36,367.51,368.40,338.23,389.05,366.87,L7
2001-10-02 22:01:40+00:00,,,,,395.61,401.89,400.00,400.53,399.43,396.41,394.79,398.37,396.26,386.09,387.27,368.68,371.25,385.53,371.21,L7
2001-11-03 22:01:46+00:00,412.67,401.04,396.37,395.99,392.72,395.21,389.38,379.12,384.31,384.40,379.42,376.61,380.50,373.84,367.05,354.41,,364.56,362.90,L7
2001-12-21 22:02:05+00:00,441.20,428.03,419.85,414.71,409.71,410.18,402.52,403.03,394.30,387.66,392.19,389.97,386.22,376.78,388.04,,,404.50,374.63,L7
2002-02-07 22:02:17+00:00,410.89,405.04,404.54,399.24,398.87,401.37,395.24,396.80,394.51,396.56,391.82,389.87,374.37,377.10,369.14,346.27,361.67,360.76,350.67,L7
2002-02-14 22:08:29+00:00,423.42,420.65,417.04,411.65,412.80,411.46,413.24,405.80,399.95,403.02,397.61,396.16,393.83,382.86,381.93,365.64,366.50,369.27,354.72,L7
2002-03-11 22:02:19+00:00,407.67,401.15,401.61,394.71,394.98,394.07,394.16,398.26,397.69,399.00,395.47,400.13,403.85,404.67,397.17,368.28,361.83,382.69,370.57,L7
2002-06-15 22:01:55+00:00,430.10,421.52,406.91,390.96,392.66,386.05,380.12,,,,,,,,,,,409.81,370.21,L7
2002-08-25 22:07:36+00:00,423.48,429.98,430.74,412.20,408.33,402.16,400.48,393.95,391.53,383.14,381.72,381.70,378.01,372.75,369.07,361.06,373.04,,350.23,L7
2002-10-05 22:01:07+00:00,408.96,407.35,403.63,390.33,392.45,397.96,401.77,400.02,399.34,395.43,387.28,393.86,395.02,396.89,394.86,377.88,342.63,,325.28,L7
2002-11-29 22:07:49+00:00,422.70,409.56,406.71,402.36,399.72,396.68,395.95,388.30,390.76,387.79,385.73,377.99,378.11,374.91,378.52,377.96,371.62,365.23,323.29,L7
2002-12-31 22:07:56+00:00,413.74,405.03,396.18,391.82,397.30,404.53,407.22,410.43,409.47,413.10,403.42,405.84,410.64,400.80,395.07,397.43,377.26,348.02,,L7
2003-01-25 22:01:54+00:00,425.22,413.84,405.91,409.06,406.01,404.67,398.82,405.07,394.89,386.11,387.99,378.50,380.75,369.28,364.22,359.81,355.65,306.98,324.71,L7
2003-02-01 22:08:09+00:00,409.06,392.17,387.73,380.57,381.81,386.98,393.03,397.94,408.76,405.79,404.61,403.93,400.03,398.61,389.92,387.33,369.11,315.24,,L7
2003-02-26 22:02:04+00:00,415.90,403.30,387.47,383.47,382.31,386.07,386.64,393.11,398.07,404.93,398.72,401.46,397.73,398.69,397.07,392.09,384.16,337.92,,L7
2003-03-05 22:08:19+00:00,420.38,417.15,408.96,395.35,391.48,398.26,402.08,403.82,410.93,407.16,401.66,407.47,405.38,405.18,395.31,392.42,386.25,338.76,,L7
2003-03-21 22:08:15+00:00,,,,402.20,398.25,401.64,409.28,418.25,418.73,420.17,423.78,420.54,415.29,413.13,406.02,397.45,383.62,359.01,347.85,L7
2003-07-28 21:50:04+00:00,389.12,386.37,388.88,378.83,381.99,,,,,,,,,,,,,,,L5
