dates,satname,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0010,nzd0381-0011,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0016,nzd0381-0017,nzd0381-0018
1999-08-26 22:06:20+00:00,L7,380.10,373.73,371.66,367.52,375.66,382.93,381.16,380.95,381.19,373.22,342.46,220.70,340.91,351.84,350.68,343.76,343.28,339.24,320.54
1999-10-13 22:06:24+00:00,L7,409.69,409.03,411.42,413.76,413.11,415.47,410.21,406.74,407.64,403.64,395.15,390.39,356.91,387.99,380.71,372.30,362.27,364.90,347.91
1999-11-21 22:12:24+00:00,L7,393.21,387.37,389.31,385.04,381.77,381.61,379.03,375.65,381.03,377.59,371.93,342.18,340.05,368.50,358.89,348.80,341.82,338.33,317.34
1999-12-07 22:12:29+00:00,L7,394.42,384.63,383.67,384.52,381.66,380.63,382.64,375.79,377.78,374.79,373.32,364.79,333.88,366.83,361.21,355.68,351.74,339.47,317.53
2000-01-24 22:12:23+00:00,L7,426.92,417.23,404.96,403.30,409.25,413.18,410.29,,422.09,429.17,418.83,424.02,398.86,400.40,393.59,358.61,384.14,382.14,353.09
2000-03-12 22:12:09+00:00,L7,579.77,573.61,610.71,,,,,,554.44,610.73,621.03,624.22,632.69,606.40,592.67,600.15,616.45,591.83,580.84
2000-03-21 22:06:01+00:00,L7,385.75,385.99,381.09,375.29,379.85,381.29,380.11,374.79,379.52,384.75,381.35,376.68,367.87,356.22,306.75,352.72,361.78,351.21,325.61
2000-04-13 22:11:54+00:00,L7,388.64,385.60,383.73,386.61,386.11,396.41,398.30,400.64,397.89,390.92,389.93,386.47,390.08,394.33,377.50,358.77,376.37,367.99,354.18
2000-05-15 22:11:42+00:00,L7,372.88,377.31,367.62,358.65,376.54,369.41,,,378.03,381.05,389.95,374.78,359.51,359.33,330.52,324.32,331.07,346.07,323.39
2000-05-31 22:11:30+00:00,L7,373.71,367.21,367.42,352.53,348.14,359.56,366.97,365.00,370.91,367.23,370.28,223.13,198.62,133.08,248.06,283.98,313.81,324.83,311.34
2000-08-19 22:10:38+00:00,L7,421.87,414.27,404.70,399.18,398.91,399.86,408.73,404.22,408.12,397.09,404.75,397.15,388.02,391.93,390.45,394.88,385.03,365.68,345.44
2000-09-04 22:10:22+00:00,L7,379.76,385.85,379.20,,,,,,384.87,381.26,373.07,368.72,365.99,352.60,369.97,375.86,367.32,343.43,327.22
2000-09-13 22:04:02+00:00,L7,383.92,388.08,380.09,375.87,378.16,371.91,373.24,370.41,370.45,364.01,368.07,359.23,359.02,357.13,299.99,281.51,334.13,330.66,313.34
2000-09-20 22:10:03+00:00,L7,442.74,442.17,435.95,425.23,421.01,424.02,415.96,425.17,426.39,416.03,397.07,395.77,412.92,402.86,384.16,387.39,385.40,371.87,355.20
2000-11-07 22:09:53+00:00,L7,410.68,398.46,391.40,387.44,385.34,379.46,380.10,377.37,379.05,380.56,380.36,379.96,370.88,364.83,341.06,362.77,352.27,339.52,317.17
2000-12-18 22:03:49+00:00,L7,437.08,420.37,411.20,406.97,410.15,406.79,408.15,405.20,411.27,412.93,413.35,415.02,407.85,409.52,407.91,398.96,392.39,382.73,360.13
2001-01-10 22:10:03+00:00,L7,396.87,386.96,382.05,379.21,373.66,374.10,377.31,372.00,380.19,381.70,378.52,390.83,386.82,356.08,341.53,351.22,352.33,342.60,329.02
2001-03-08 22:03:44+00:00,L7,370.30,360.71,359.65,357.35,352.15,358.30,353.33,357.97,372.88,371.65,366.40,372.10,367.67,358.31,280.33,342.35,343.74,339.86,325.80
2001-03-15 22:09:51+00:00,L7,,,,,,,,,,,,,,,,,,,
2001-03-31 22:09:43+00:00,L7,425.81,417.98,405.09,406.34,410.10,413.66,410.29,406.29,402.01,406.52,413.25,423.29,455.84,473.12,405.77,403.63,401.95,399.63,388.25
2001-05-02 22:09:39+00:00,L7,406.73,390.74,383.74,373.51,378.74,371.85,379.82,385.97,393.35,394.07,390.43,391.50,386.13,391.15,,376.71,373.39,371.16,370.76
2001-06-28 22:02:45+00:00,L7,419.87,408.56,406.82,391.70,390.19,389.03,376.87,376.69,373.66,382.46,383.42,392.66,390.86,379.90,374.56,390.60,348.89,375.16,377.57
2001-08-31 22:02:05+00:00,L7,389.36,386.12,379.08,371.91,371.06,366.89,366.97,368.63,365.37,353.62,349.58,348.08,346.77,343.69,331.84,332.73,302.56,346.25,331.20
2001-10-02 22:01:40+00:00,L7,,,,,383.14,385.58,383.69,381.26,378.23,369.91,371.23,368.08,360.93,350.76,351.94,333.35,335.92,343.13,335.88
