dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0010,nzd0381-0011,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0016,nzd0381-0017,nzd0381-0018,satname
1999-08-26 22:06:20+00:00,394.32,388.79,388.73,379.16,390.72,402.62,400.85,404.22,406.79,405.22,370.90,,383.58,394.51,393.35,386.43,385.95,390.44,363.21,L7
1999-10-13 22:06:24+00:00,400.89,397.74,398.74,395.55,400.74,407.50,403.99,403.66,405.22,401.93,380.80,384.68,366.91,387.91,383.70,376.03,370.77,373.67,352.23,L7
1999-11-21 22:12:24+00:00,403.48,399.73,401.77,396.26,399.87,406.00,402.80,402.75,406.42,405.40,388.14,383.28,373.40,396.89,390.87,382.40,376.57,380.42,356.04,L7
1999-12-07 22:12:29+00:00,404.13,399.04,400.75,395.71,398.40,403.69,401.80,400.78,404.51,404.31,390.27,387.12,372.27,398.12,392.21,384.47,379.11,380.69,355.16,L7
2000-01-24 22:12:23+00:00,407.67,401.60,400.36,396.39,399.49,404.18,402.08,400.78,406.19,406.98,393.94,393.06,374.52,395.51,389.42,384.47,377.05,377.30,351.68,L7
2000-03-21 22:06:01+00:00,407.58,402.76,400.78,396.95,399.03,402.16,400.18,396.74,403.65,406.54,399.27,393.96,376.25,392.72,388.43,382.12,377.08,375.29,349.03,L7
2000-04-13 22:11:54+00:00,404.03,398.78,396.04,392.06,394.34,399.27,398.72,396.58,402.90,405.49,399.56,394.89,384.88,395.99,390.13,381.24,381.90,378.31,352.28,L7
2000-05-15 22:11:42+00:00,400.93,397.41,393.82,388.21,393.59,397.19,398.72,396.58,402.52,406.13,402.14,396.92,386.93,396.16,385.74,377.39,379.71,380.47,353.74,L7
2000-05-31 22:11:30+00:00,397.66,394.04,390.15,382.77,387.96,393.49,396.28,393.87,400.80,404.36,401.83,399.92,387.04,392.42,380.87,364.36,374.98,378.15,352.69,L7
2000-08-19 22:10:38+00:00,395.13,393.02,388.78,379.82,384.85,390.38,395.53,394.43,398.69,398.96,400.36,394.99,389.45,388.54,375.49,362.60,373.28,374.76,351.66,L7
2000-09-04 22:10:22+00:00,390.99,390.16,385.29,379.82,384.85,390.38,395.53,394.43,393.56,392.47,392.67,394.99,379.09,388.54,367.03,360.09,367.56,374.76,342.86,L7
2000-09-13 22:04:02+00:00,391.79,391.78,386.72,380.88,385.97,390.23,394.58,393.78,393.51,392.47,392.77,394.35,382.08,389.85,361.22,354.29,368.22,375.01,344.07,L7
2000-09-20 22:10:03+00:00,397.27,396.98,391.36,386.66,389.54,393.04,396.58,397.74,395.41,390.94,389.68,388.57,380.26,387.98,359.77,351.24,363.59,367.25,340.30,L7
2000-11-07 22:09:53+00:00,400.80,399.22,392.91,387.16,389.88,390.83,393.68,393.96,393.40,390.32,389.08,388.64,378.39,383.68,355.03,352.96,361.29,364.11,336.16,L7
2000-12-18 22:03:49+00:00,409.99,405.36,397.20,397.84,397.30,394.56,395.39,394.29,391.86,385.94,384.07,386.00,376.06,381.25,357.53,358.84,361.37,353.29,328.36,L7
2001-01-10 22:10:03+00:00,409.83,404.54,397.09,396.38,395.48,393.92,395.15,393.85,393.28,389.19,386.71,391.95,382.74,383.06,360.39,362.89,365.22,358.71,333.60,L7
2001-03-08 22:03:44+00:00,411.41,404.20,398.77,392.34,391.49,391.97,390.89,392.02,398.11,397.90,392.93,397.01,397.64,388.23,360.73,367.48,373.49,367.34,346.89,L7
2001-03-31 22:09:43+00:00,411.08,400.00,393.40,389.86,389.39,390.53,389.90,388.57,394.36,397.27,396.24,403.78,406.61,401.17,372.15,380.59,377.34,371.43,352.87,L7
2001-05-02 22:09:39+00:00,410.39,398.50,391.83,387.17,387.65,387.46,388.27,388.19,394.26,396.82,395.35,401.83,403.31,399.61,372.15,380.05,376.79,371.52,355.97,L7
2001-06-28 22:02:45+00:00,406.09,395.30,390.09,383.40,383.28,384.41,382.54,383.35,388.34,392.18,390.76,399.68,404.00,398.25,367.40,379.44,370.60,373.52,364.82,L7
2001-08-31 22:02:05+00:00,404.57,395.11,389.47,381.93,382.73,382.93,380.44,382.63,385.33,386.51,384.93,391.07,395.92,395.70,364.06,375.67,360.58,374.17,365.19,L7
2001-10-02 22:01:40+00:00,406.54,396.44,391.35,380.04,384.87,383.69,382.19,384.45,384.60,383.70,381.39,385.01,382.76,377.96,368.00,369.93,351.77,372.82,365.44,L7
2001-11-03 22:01:46+00:00,408.45,399.79,395.47,387.47,388.31,389.45,384.50,382.65,382.24,381.16,378.52,381.14,381.18,373.46,367.76,364.19,344.35,370.98,363.31,L7
2001-12-21 22:02:05+00:00,416.64,406.85,401.57,394.28,392.59,393.59,388.10,386.73,384.65,382.46,381.26,382.91,382.19,374.13,371.82,364.19,344.35,377.68,365.57,L7
2002-02-07 22:02:17+00:00,416.50,408.21,403.53,397.90,396.11,398.40,394.11,393.51,391.86,389.08,386.32,386.69,383.96,378.63,375.80,359.44,357.05,380.88,365.26,L7
