dates,nzd0153-0000,nzd0153-0001,nzd0153-0002,nzd0153-0003,nzd0153-0004,nzd0153-0005,nzd0153-0006,nzd0153-0007,nzd0153-0008,nzd0153-0009,nzd0153-0010,nzd0153-0011,nzd0153-0012,nzd0153-0013,nzd0153-0014,nzd0153-0015,nzd0153-0016,nzd0153-0017,nzd0153-0018,nzd0153-0019,nzd0153-0020,nzd0153-0021,nzd0153-0022,nzd0153-0023,nzd0153-0024,nzd0153-0025,nzd0153-0026,satname
1999-10-22 21:58:28+00:00,328.55,320.93,331.59,352.44,358.62,357.76,368.10,369.60,368.01,368.49,363.13,371.92,367.45,360.67,373.18,370.40,369.45,379.37,380.24,380.94,371.57,361.88,361.99,361.15,354.42,369.17,365.16,L7
1999-11-07 21:58:32+00:00,318.36,325.48,338.23,358.47,356.09,358.24,373.62,374.84,372.48,372.31,366.26,374.31,371.05,364.94,370.63,372.23,373.17,371.92,370.80,371.37,358.65,364.83,363.40,359.21,356.13,365.81,365.31,L7
1999-12-09 21:58:33+00:00,331.06,332.72,342.31,365.81,364.42,376.61,385.63,385.17,390.65,383.93,375.79,380.27,376.51,377.61,374.00,380.72,382.57,391.05,389.70,391.30,364.80,381.40,372.41,366.96,364.16,375.59,375.16,L7
1999-12-25 21:58:28+00:00,,338.55,343.24,369.93,370.61,381.22,388.28,391.28,384.75,389.13,376.94,382.29,374.17,379.57,379.40,383.63,385.17,391.24,392.57,390.48,378.72,384.83,382.61,375.73,371.70,376.54,365.89,L7
2000-03-14 21:58:11+00:00,343.57,329.92,347.11,359.53,365.90,370.28,382.92,384.11,387.16,383.35,375.11,380.23,376.80,381.33,381.01,376.56,387.31,389.25,393.46,394.74,389.26,386.34,377.56,373.92,376.69,375.55,376.06,L7
2000-03-30 21:58:09+00:00,356.34,354.40,357.79,374.57,377.83,378.98,387.05,394.98,386.54,380.14,382.57,379.85,381.34,383.72,385.09,381.60,392.09,391.72,397.13,400.24,393.59,390.05,388.67,383.74,382.90,387.05,389.70,L7
2000-05-01 21:57:54+00:00,356.31,347.39,355.77,367.60,366.60,374.60,381.17,389.85,385.59,380.64,383.62,378.43,374.10,375.02,377.00,383.42,378.17,385.96,388.38,387.67,385.17,372.80,376.23,377.93,375.10,383.69,380.11,L7
2000-08-05 21:56:44+00:00,365.96,362.22,370.32,367.09,359.65,353.16,369.09,363.81,364.21,363.21,367.17,361.26,358.40,367.36,362.51,370.84,371.40,373.69,377.23,373.59,360.32,356.45,364.98,364.03,360.86,362.72,356.33,L7
2000-12-11 21:56:00+00:00,354.98,351.93,364.21,369.00,371.48,374.18,381.10,383.65,381.12,378.94,371.10,374.19,368.43,368.69,371.38,370.31,363.82,371.36,368.88,,,,,,,,,L7
2001-01-12 21:56:06+00:00,350.28,352.14,363.08,373.25,372.78,382.50,389.24,389.95,386.79,390.70,381.44,387.32,379.32,382.04,381.95,383.97,379.82,380.49,386.25,382.59,382.04,373.56,349.14,359.73,363.42,365.91,364.66,L7
2001-02-13 21:56:27+00:00,,,376.53,397.27,377.78,400.33,403.98,410.50,408.10,402.78,398.85,388.07,382.37,396.48,389.58,394.67,397.09,397.80,405.79,397.53,401.67,401.70,,387.65,380.00,,,L7
2001-03-01 21:55:57+00:00,366.31,365.20,373.04,380.66,376.39,380.00,389.82,395.95,392.30,389.53,382.98,387.08,383.02,390.50,385.34,384.29,394.55,393.84,399.67,394.84,397.04,385.54,,376.66,369.04,382.97,388.01,L7
2001-06-05 21:55:16+00:00,361.48,364.12,373.93,388.10,378.66,370.96,378.77,377.32,376.62,373.65,366.94,370.27,367.95,363.17,361.17,368.09,,368.83,368.36,366.50,360.16,334.62,340.87,,,,354.78,L7
