dates,nzd0153-0000,nzd0153-0001,nzd0153-0002,nzd0153-0003,nzd0153-0004,nzd0153-0005,nzd0153-0006,nzd0153-0007,nzd0153-0008,nzd0153-0009,nzd0153-0010,nzd0153-0011,nzd0153-0012,nzd0153-0013,nzd0153-0014,nzd0153-0015,nzd0153-0016,nzd0153-0017,nzd0153-0018,nzd0153-0019,nzd0153-0020,nzd0153-0021,nzd0153-0022,nzd0153-0023,nzd0153-0024,nzd0153-0025,nzd0153-0026,satname
1999-10-22 21:58:28+00:00,329.05,324.00,334.95,354.58,358.62,358.86,370.02,371.27,367.49,370.04,365.94,372.17,368.93,364.36,376.00,373.14,372.27,381.92,380.45,379.79,373.63,363.52,362.65,362.20,356.34,368.21,365.16,L7
1999-11-07 21:58:32+00:00,323.74,324.92,336.78,356.65,357.36,358.62,371.93,373.15,369.96,371.26,366.26,373.25,370.08,364.87,373.48,372.85,372.88,377.07,375.63,375.51,366.26,364.27,363.06,360.76,356.35,366.95,365.24,L7
1999-12-09 21:58:33+00:00,326.03,326.66,337.69,359.10,359.71,364.31,375.96,376.69,377.00,375.05,368.65,375.52,371.81,368.08,372.86,374.70,375.32,381.02,380.26,381.10,365.20,369.52,365.99,362.54,358.41,370.10,368.54,L7
1999-12-25 21:58:28+00:00,326.03,328.37,337.69,360.93,362.44,368.08,378.25,379.65,379.15,377.94,369.56,377.11,371.79,369.42,373.33,375.80,376.62,382.52,383.25,383.92,367.73,372.67,369.87,365.40,360.94,372.11,367.88,L7
2000-03-14 21:58:11+00:00,330.49,329.01,339.93,360.88,363.13,368.64,379.39,380.72,380.70,379.18,370.97,377.76,372.95,372.20,375.17,376.25,379.06,384.14,385.32,385.96,372.26,375.58,371.48,367.22,364.30,372.69,369.52,L7
2000-03-30 21:58:09+00:00,335.73,333.59,343.30,363.41,365.58,370.49,380.89,383.29,381.61,379.52,373.23,378.14,374.52,374.55,377.15,377.45,381.56,385.70,387.31,388.21,376.05,378.18,374.42,370.09,367.62,374.97,372.88,L7
2000-05-01 21:57:54+00:00,341.28,337.99,347.31,365.92,366.91,373.29,383.06,386.65,384.54,381.54,376.63,379.22,375.62,376.92,377.77,379.61,383.00,386.79,388.67,389.33,378.31,379.99,376.79,372.88,371.06,377.40,375.37,L7
2000-08-05 21:56:44+00:00,355.73,349.57,358.94,367.96,367.50,369.64,380.74,383.78,380.69,377.38,378.11,375.03,373.19,378.17,377.40,379.07,383.24,386.06,389.12,388.65,382.81,376.99,377.10,375.28,374.57,376.91,375.55,L7
2000-12-11 21:56:00+00:00,360.22,355.56,365.61,366.99,365.56,363.12,374.15,372.91,372.92,370.31,367.75,367.60,362.69,366.21,365.56,369.23,366.22,371.26,372.95,374.49,358.71,355.16,364.47,363.21,359.36,363.47,356.33,L7
2001-01-12 21:56:06+00:00,356.62,352.70,362.88,367.88,367.97,368.97,378.11,377.66,377.84,376.24,370.74,374.03,367.40,369.41,369.44,372.61,369.17,372.91,377.26,379.50,368.65,362.98,356.25,360.58,359.78,365.50,360.50,L7
2001-02-13 21:56:27+00:00,352.15,349.14,364.71,377.78,374.01,384.61,389.60,393.10,392.50,389.32,381.09,382.95,375.28,378.85,378.26,380.35,377.53,380.76,386.77,391.60,389.10,385.43,348.04,372.28,369.14,367.52,364.66,L7
2001-03-01 21:55:57+00:00,356.74,353.68,366.12,378.07,374.61,383.24,389.27,393.48,392.56,389.06,381.00,383.94,376.92,381.03,379.47,380.79,381.22,383.52,389.95,392.99,391.20,385.03,348.04,373.46,368.60,375.63,376.34,L7
2001-06-05 21:55:16+00:00,357.96,356.51,367.88,380.20,375.42,380.85,387.28,390.34,389.34,386.07,378.36,381.22,375.21,377.67,375.97,378.41,381.22,380.73,385.65,386.28,383.59,372.55,344.55,373.46,368.60,375.63,369.15,L7
2001-06-21 21:55:29+00:00,360.70,360.26,368.82,383.42,376.09,381.88,388.69,389.94,389.02,385.38,378.09,379.27,375.23,377.25,374.35,378.93,382.44,381.08,385.94,382.65,379.81,364.04,343.56,367.18,362.64,370.10,365.00,L7
2001-08-24 21:54:48+00:00,364.46,364.69,371.17,384.11,376.64,376.50,385.13,384.57,382.94,379.20,367.84,371.35,371.46,368.16,363.16,368.20,380.22,377.98,379.42,376.68,373.61,349.78,341.32,362.07,356.13,371.38,365.11,L7
2001-09-09 21:54:12+00:00,371.06,366.30,374.93,387.53,379.03,380.18,385.76,386.79,382.94,377.69,367.44,370.95,370.20,362.09,362.91,367.00,368.13,365.16,365.11,359.43,357.94,340.18,347.62,353.34,344.76,359.03,353.66,L7
2001-09-25 21:54:04+00:00,374.98,370.76,378.93,389.62,382.49,384.33,390.47,390.22,386.19,380.69,372.40,373.52,372.20,365.53,366.11,369.89,371.13,370.95,369.16,365.06,364.69,340.18,347.62,353.34,344.76,359.03,353.66,L7
2001-10-11 21:53:46+00:00,374.14,369.51,380.43,390.11,384.24,386.13,391.34,391.95,386.98,381.09,374.91,374.26,372.77,367.15,368.18,371.11,372.48,373.38,370.91,367.40,366.22,345.71,352.09,357.74,353.43,367.70,357.72,L7
2002-01-15 21:54:23+00:00,375.18,363.59,381.81,388.38,384.87,389.76,394.12,399.07,394.13,386.66,380.23,378.98,376.21,372.72,373.38,372.38,374.63,375.64,374.63,372.23,370.50,362.42,363.57,360.75,359.94,373.85,365.89,L7
2002-03-20 21:54:48+00:00,369.38,362.10,380.08,389.17,386.08,388.05,397.00,399.26,394.78,388.23,389.92,383.01,379.03,382.53,379.90,378.84,376.61,385.32,383.16,382.39,379.45,367.39,366.59,362.59,361.00,373.92,368.02,L7
