dates,nzd0017-0000,nzd0017-0001,nzd0017-0002,nzd0017-0003,nzd0017-0004,nzd0017-0005,nzd0017-0006,nzd0017-0007,nzd0017-0008,nzd0017-0009,nzd0017-0010,nzd0017-0011,nzd0017-0012,nzd0017-0013,nzd0017-0014,nzd0017-0015,nzd0017-0016,nzd0017-0017,nzd0017-0018,nzd0017-0019,nzd0017-0020,nzd0017-0021,nzd0017-0022,nzd0017-0023,nzd0017-0024,nzd0017-0025,nzd0017-0026,nzd0017-0027,nzd0017-0028,nzd0017-0029,nzd0017-0030,nzd0017-0031,nzd0017-0032,nzd0017-0033,nzd0017-0034,nzd0017-0035,nzd0017-0036,nzd0017-0037,nzd0017-0038,nzd0017-0039,nzd0017-0040,nzd0017-0041,nzd0017-0042,nzd0017-0043,nzd0017-0044,nzd0017-0045,nzd0017-0046,nzd0017-0047,nzd0017-0048,nzd0017-0049,nzd0017-0050,nzd0017-0051,nzd0017-0052,nzd0017-0053,nzd0017-0054,nzd0017-0055,nzd0017-0056,nzd0017-0057,nzd0017-0058,nzd0017-0059,nzd0017-0060,nzd0017-0061,nzd0017-0062,nzd0017-0063,nzd0017-0064,nzd0017-0065,nzd0017-0066,nzd0017-0067,nzd0017-0068,nzd0017-0069,nzd0017-0070,nzd0017-0071,nzd0017-0072,nzd0017-0073,nzd0017-0074,nzd0017-0075,nzd0017-0076,nzd0017-0077,nzd0017-0078,nzd0017-0079,nzd0017-0080,nzd0017-0081,nzd0017-0082,nzd0017-0083,nzd0017-0084,nzd0017-0085,nzd0017-0086,nzd0017-0087,nzd0017-0088,nzd0017-0089,nzd0017-0090,nzd0017-0091,nzd0017-0092,nzd0017-0093,nzd0017-0094,nzd0017-0095,satname
1999-11-21 22:10:24+00:00,,,,,,421.66,426.04,417.67,429.92,425.29,422.60,425.23,413.49,,,,,,,,,414.77,412.10,411.75,419.25,425.95,422.92,426.42,432.17,438.13,437.20,438.61,435.92,437.63,427.41,433.94,436.58,431.94,432.27,453.68,437.00,422.74,442.56,433.48,447.82,436.33,,,,,,,,,,,,447.80,432.30,422.95,425.80,427.29,424.74,432.04,431.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:10:30+00:00,396.91,411.52,407.29,395.32,413.67,404.69,413.42,397.78,412.36,408.85,406.80,412.91,404.50,408.86,412.78,416.42,410.65,412.11,399.06,405.45,406.34,408.40,410.02,406.96,418.77,423.79,420.08,419.95,427.02,433.97,431.04,428.33,424.63,422.70,416.67,427.82,430.07,427.93,421.93,442.22,417.88,395.43,424.23,413.38,436.42,420.00,433.66,432.12,442.62,440.69,445.20,440.38,431.36,448.68,439.22,439.25,442.85,444.07,429.31,424.78,428.94,433.91,425.89,433.10,437.58,430.33,442.07,427.07,418.51,417.95,425.67,415.87,411.11,404.33,420.68,417.75,422.73,410.65,412.29,404.87,407.27,417.91,425.62,415.77,411.01,391.56,411.53,416.97,413.21,408.40,396.54,409.13,415.92,414.97,413.79,415.06,L7
2000-04-29 22:09:53+00:00,429.76,430.50,426.04,402.08,431.54,427.13,430.44,433.07,435.52,423.53,423.25,438.79,426.56,419.68,443.30,432.28,433.72,435.83,419.44,429.19,440.36,435.10,439.65,426.00,436.76,433.99,421.60,424.39,428.54,431.24,431.76,441.09,451.55,454.76,446.16,447.77,457.32,449.33,450.46,464.43,446.40,433.86,454.17,435.06,458.59,435.66,456.43,443.39,445.78,464.15,452.51,460.20,447.04,453.71,444.49,460.77,445.39,455.52,446.79,432.14,440.66,431.11,434.79,441.82,440.84,433.91,447.12,446.24,443.81,449.15,441.62,445.13,436.71,433.66,446.94,437.95,450.30,446.02,450.06,437.49,439.09,431.71,441.79,443.85,447.43,428.90,438.67,434.42,436.70,429.84,430.51,434.73,427.77,420.64,427.85,426.99,L7
2000-05-15 22:09:42+00:00,433.08,429.92,430.84,419.54,429.75,437.40,434.59,434.31,440.90,438.52,432.71,433.30,428.63,425.93,432.81,434.15,430.33,433.10,427.29,423.38,427.69,430.62,434.16,430.46,443.51,441.60,440.79,433.89,434.99,444.70,446.03,452.79,452.72,452.81,451.01,452.52,453.93,455.64,453.00,462.96,455.66,,449.13,445.73,447.96,448.81,453.78,457.71,458.08,460.37,465.92,465.17,460.06,457.37,451.19,447.12,450.80,449.79,446.23,438.01,437.04,447.67,448.72,452.27,454.14,449.62,452.99,449.92,446.81,446.53,443.31,442.22,443.09,444.68,446.27,443.45,449.07,443.60,440.29,436.94,428.15,432.82,441.25,441.36,443.21,428.94,435.46,433.11,429.90,425.73,427.43,428.09,431.91,430.65,428.70,430.14,L7
2000-09-20 22:08:03+00:00,411.72,415.53,417.67,405.26,419.96,421.65,427.16,,,430.18,428.22,426.85,425.95,417.10,421.73,408.35,407.28,408.30,393.32,403.76,409.66,416.02,423.00,426.03,433.10,432.36,427.48,412.34,425.69,435.98,436.95,426.68,423.56,429.59,428.17,422.44,432.49,422.29,,,430.37,410.83,426.71,428.58,430.66,432.18,436.94,439.34,436.16,431.53,429.92,432.22,425.28,427.40,419.92,424.45,418.58,428.23,425.39,431.84,439.66,428.61,424.28,424.12,410.19,416.81,420.23,414.47,416.35,423.40,429.46,437.20,427.40,423.88,423.94,414.99,414.20,416.64,418.98,418.72,420.03,410.85,409.35,409.51,402.93,396.95,401.97,407.65,406.36,407.61,407.30,420.98,418.33,422.30,420.49,416.18,L7
2000-10-06 22:07:59+00:00,412.55,422.70,425.86,412.46,435.82,434.34,435.04,430.77,440.19,433.31,431.81,436.01,427.29,423.07,423.83,418.49,420.30,411.05,402.76,406.81,411.43,417.76,426.40,407.65,422.87,428.51,419.10,423.44,434.97,428.99,428.11,408.69,415.58,427.54,426.94,426.33,424.60,423.69,424.36,439.16,427.51,429.76,439.22,450.35,444.01,437.41,463.70,456.92,451.04,446.99,439.44,440.46,439.83,441.39,430.58,440.36,435.28,439.68,437.43,436.07,436.55,432.95,437.43,438.11,427.40,433.35,435.10,432.60,426.75,433.31,436.99,444.32,434.46,427.76,432.90,419.87,425.40,424.46,421.79,421.91,419.32,412.10,415.11,417.40,413.15,407.00,411.00,420.33,423.83,424.45,426.20,430.33,428.38,425.67,420.01,421.75,L7
2000-11-07 22:07:53+00:00,423.67,426.79,429.26,426.80,428.87,433.42,434.26,440.91,436.76,434.14,435.27,426.69,429.38,430.58,430.44,424.70,425.11,422.93,413.74,413.46,414.07,419.72,427.19,426.59,428.42,431.86,433.24,430.39,436.43,439.78,438.25,434.94,439.58,444.12,439.05,436.03,,,,,,,,,,,,,,,,445.68,441.87,441.14,438.79,439.48,433.59,435.41,436.62,438.06,440.58,,,,,,438.24,434.69,430.40,430.42,431.35,434.47,433.00,436.90,430.53,429.35,423.33,423.12,421.30,419.71,417.48,418.98,420.65,424.31,418.84,411.90,415.56,417.00,420.86,424.83,425.99,430.88,431.02,431.24,430.81,427.56,L7
2001-01-26 22:08:07+00:00,414.40,427.49,420.44,416.61,443.19,422.09,424.90,417.26,435.48,425.52,423.00,433.27,420.50,418.58,427.11,427.14,418.93,421.58,415.83,429.63,425.38,420.17,425.61,416.99,426.28,436.59,429.07,429.04,439.79,447.63,443.83,441.78,442.30,440.43,436.44,446.09,449.89,447.12,436.16,455.49,434.76,432.84,459.96,437.90,454.95,447.29,460.64,452.31,452.88,450.04,454.90,458.25,446.68,462.10,448.21,444.00,455.28,452.63,444.36,441.55,445.42,452.32,438.83,441.89,440.67,442.89,454.75,439.85,438.46,445.57,448.48,441.92,440.35,427.44,445.15,428.97,439.71,437.75,438.98,435.87,435.59,443.33,439.63,431.81,424.74,423.21,435.11,434.35,430.25,425.10,421.59,433.25,440.80,432.83,435.69,439.60,L7
2001-04-16 22:07:42+00:00,397.83,403.83,410.59,400.13,422.89,410.20,400.59,401.16,,,404.91,413.24,404.05,401.88,407.12,407.60,408.20,403.05,385.34,401.61,404.95,413.75,412.01,399.06,421.83,423.32,415.50,399.29,411.06,420.93,424.67,418.73,421.46,422.67,411.93,414.14,422.07,419.74,,,419.04,391.21,404.97,423.26,425.00,413.97,418.60,410.78,415.13,423.11,420.64,424.36,413.66,423.76,,417.88,420.17,424.82,424.38,422.80,425.39,420.39,417.80,425.42,413.17,409.85,418.98,421.61,422.77,426.85,423.88,423.42,422.77,418.25,424.23,406.29,418.38,421.79,417.42,410.52,400.07,396.56,402.69,404.59,402.51,401.60,406.96,414.57,416.90,419.09,405.95,410.66,403.67,402.66,403.64,412.47,L7
2001-06-03 22:07:16+00:00,415.00,415.63,410.43,414.36,423.93,414.76,414.75,418.01,429.68,417.59,417.22,431.00,414.88,414.02,421.84,421.97,420.27,417.91,388.87,411.16,416.37,425.42,420.36,416.13,428.68,436.30,434.77,428.75,433.54,435.12,434.92,431.24,433.20,438.21,432.49,445.05,442.51,,,,,,,,,,,,,450.32,448.67,445.81,444.31,455.28,445.57,439.20,438.71,439.72,435.80,437.65,443.90,442.89,438.81,442.89,437.73,427.01,436.59,428.92,432.42,435.80,438.86,432.63,429.55,425.88,430.69,428.81,435.68,426.49,430.10,425.96,427.71,429.32,431.58,431.60,425.42,417.42,422.60,424.06,424.79,422.42,417.74,433.36,433.41,429.55,426.41,434.61,L7
2001-09-07 22:06:11+00:00,423.64,425.44,424.31,423.62,427.46,425.92,421.93,421.53,425.86,427.23,424.31,422.03,417.60,413.30,421.22,423.91,421.80,423.93,417.17,411.88,415.18,419.38,423.64,429.73,,,,,,,,,,,,,,,,,,428.69,441.65,446.86,452.82,447.20,448.85,449.95,443.97,449.64,452.84,447.87,429.01,438.27,438.32,443.57,446.40,445.60,442.50,434.33,440.58,439.02,431.26,435.71,444.14,444.45,449.88,447.47,442.28,441.58,443.42,438.35,434.99,429.22,423.16,423.32,429.92,428.90,430.11,431.12,428.29,430.66,431.90,430.22,428.70,428.20,433.02,433.74,431.42,427.95,419.45,427.51,429.53,423.02,422.57,423.78,L7
2001-09-23 22:06:03+00:00,414.89,408.71,416.51,408.93,416.36,420.52,419.59,,,,425.76,420.66,420.38,425.87,428.99,420.97,404.65,409.61,406.67,401.62,411.27,422.61,427.26,423.73,439.17,437.27,432.87,428.86,433.06,432.60,435.64,431.79,436.04,437.73,435.45,437.73,435.50,434.82,,,442.03,420.58,421.79,441.29,441.05,438.30,445.45,455.60,451.71,457.02,453.30,439.14,424.70,423.24,413.83,429.13,427.64,431.48,426.85,427.31,435.01,432.66,439.99,436.93,432.31,424.64,431.79,439.23,432.64,416.17,414.99,415.64,420.24,421.16,420.01,417.28,422.63,424.78,425.90,418.81,418.31,418.61,418.91,422.86,414.82,408.16,420.93,417.88,416.67,417.97,420.66,422.67,419.28,421.72,419.65,417.03,L7
