dates,satname,nzd0500-0000,nzd0500-0001,nzd0500-0002,nzd0500-0003,nzd0500-0004,nzd0500-0005,nzd0500-0006,nzd0500-0007,nzd0500-0008,nzd0500-0009,nzd0500-0010
1999-08-26 22:07:32+00:00,L7,382.08,380.64,380.36,395.42,391.43,385.54,383.21,387.67,386.13,391.38,390.37
1999-09-27 22:07:36+00:00,L7,387.80,377.00,376.36,389.43,393.49,377.25,387.21,382.72,385.02,383.29,389.98
1999-10-20 22:13:38+00:00,L7,,,,,,,,,,,
2000-02-18 22:07:16+00:00,L7,396.43,406.12,401.68,400.76,405.37,391.86,392.80,392.10,397.60,396.82,403.34
2000-02-25 22:13:25+00:00,L7,371.99,376.36,369.21,369.87,363.20,370.47,368.31,372.25,373.25,366.35,378.18
2000-03-21 22:07:12+00:00,L7,416.62,408.74,408.85,417.12,408.29,400.81,407.89,412.08,405.31,407.27,406.16
2000-05-08 22:06:44+00:00,L7,384.34,383.80,382.71,383.60,387.24,382.88,383.50,385.97,383.04,384.06,385.94
2000-05-15 22:12:54+00:00,L7,376.03,378.45,378.79,374.86,376.55,372.30,379.68,374.85,375.74,377.09,377.35
2000-06-25 22:06:19+00:00,L7,363.90,350.20,355.37,344.66,354.68,353.18,359.36,358.17,359.44,364.99,
2000-07-11 22:06:05+00:00,L7,345.89,341.43,349.22,345.89,345.83,342.90,350.46,346.53,349.25,350.43,348.15
2000-07-27 22:05:48+00:00,L7,353.32,347.56,344.07,352.09,347.02,358.25,352.62,359.16,351.52,347.24,352.41
2000-08-03 22:11:55+00:00,L7,359.28,362.85,361.33,368.06,370.45,367.11,362.31,369.46,371.33,361.24,361.08
2000-09-20 22:11:14+00:00,L7,345.60,346.82,341.41,337.83,336.11,342.53,344.35,345.09,348.01,350.61,353.05
2001-04-09 22:04:41+00:00,L7,390.34,389.75,381.80,381.93,379.97,372.21,372.90,376.62,376.99,379.56,381.53
2001-06-03 22:10:28+00:00,L7,,,,,,,,,,,
2001-06-28 22:03:56+00:00,L7,369.08,371.59,367.94,365.18,362.80,355.10,355.14,352.90,353.28,354.82,353.34
2001-07-05 22:10:09+00:00,L7,420.23,410.96,400.05,398.22,,,,,,,
2001-07-14 22:03:57+00:00,L7,379.23,376.96,375.31,370.95,371.65,364.95,363.88,366.14,368.29,368.99,
2001-08-15 22:03:26+00:00,L7,360.16,356.21,360.91,354.00,354.56,354.72,359.02,355.57,354.25,353.81,352.49
2001-11-03 22:02:58+00:00,L7,387.20,383.96,386.71,373.85,374.68,378.14,382.66,379.98,375.98,371.96,372.95
2001-11-19 22:03:08+00:00,L7,367.99,372.05,368.58,367.54,368.29,357.97,363.01,356.97,358.28,359.98,359.02
2002-02-23 22:03:31+00:00,L7,351.71,363.35,351.64,357.70,352.95,346.26,353.21,348.32,351.04,355.53,354.44
2002-03-11 22:03:31+00:00,L7,384.10,384.40,372.93,384.35,374.50,373.14,371.70,375.07,373.72,377.93,378.36
2002-04-12 22:03:25+00:00,L7,405.20,407.05,409.25,405.24,406.65,390.83,388.64,384.59,388.79,387.18,398.28
2002-05-14 22:03:19+00:00,L7,393.82,386.02,381.19,384.22,384.10,373.85,377.34,374.14,377.93,373.50,383.89
2002-06-15 22:03:07+00:00,L7,380.27,377.25,374.32,373.72,365.90,371.11,368.36,373.29,372.32,371.56,362.45
2002-06-22 22:09:15+00:00,L7,369.60,,,,,,,,,,
2002-08-18 22:02:45+00:00,L7,348.30,359.61,356.33,354.32,353.71,357.71,355.43,354.81,351.98,351.29,353.02
2002-12-24 22:02:57+00:00,L7,352.27,360.81,356.61,356.43,353.35,347.02,351.14,346.56,346.33,345.30,353.66
2003-03-14 22:03:20+00:00,L7,352.73,354.72,365.70,357.88,352.17,345.17,345.74,341.28,337.82,324.53,
