,dates,jap0290-0000,jap0290-0001,jap0290-0002,jap0290-0003,jap0290-0004,jap0290-0005
0,1984-05-24 01:09:12+00:00,140.72655194789363,162.619884707366,,185.81744241642014,188.16945032161647,180.91244829861986
1,1984-10-31 01:11:19+00:00,161.86145236491276,181.5395454112652,198.7026082121454,207.88288854892636,212.4784641440164,206.14732553843194
2,1985-02-04 01:11:45+00:00,159.63311201266535,180.40962631539705,195.24705824835755,206.13774287320868,210.06349015284388,200.68882481543625
3,1985-04-25 01:11:34+00:00,140.35232033653847,159.35856391310722,180.38702394787106,183.93407233316174,186.23960118519864,180.2676646553138
4,1985-07-30 01:11:09+00:00,148.77214525378633,154.45616987294937,178.14086211906056,185.7018936844546,192.08523187885794,185.69410797381465
5,1985-11-19 01:09:48+00:00,184.6579199509486,202.89178382299352,214.09120196531035,214.37266485776448,216.62801682586746,212.96640064743164
6,1985-12-05 01:09:30+00:00,160.27811121703317,181.75762384451278,201.5176435866164,201.51785751489635,206.77400089704383,200.67140752547337
7,1986-01-22 01:08:35+00:00,157.672674134488,166.25471442382434,194.31715416018238,205.21048752882947,208.1978968621853,198.743386969103
8,1986-02-07 01:08:13+00:00,156.9838933289485,174.1218336480722,191.82140548172742,198.9746333340128,198.83966846249305,192.47324234923704
9,1986-04-12 01:06:50+00:00,165.45440980461544,180.92372604815884,199.13375902106156,203.85304934994133,206.08901634273522,201.79337220068535
10,1986-05-30 01:05:35+00:00,140.93902659108,157.38376236247484,175.92367134167466,190.28802463887237,188.33863020936735,176.21017001598386
11,1986-07-01 01:04:35+00:00,138.3151029855289,153.4352425951192,171.97520978856684,178.12797669957484,181.75605611789882,173.1566365337463
12,1986-08-02 01:03:28+00:00,151.71591507623359,160.29446794028274,182.3245417829171,184.8994808311099,190.50045667857555,186.19180993157903
13,1986-08-18 01:02:53+00:00,117.76137141069408,142.29439804455606,161.19441365944155,169.7293645115115,171.05365393976027,168.72386903824273
14,1986-09-03 01:02:16+00:00,141.68993980800926,157.9905539227493,167.99152917970912,176.56313419615515,176.5711093125171,
15,1986-11-06 01:00:09+00:00,168.88657631599352,181.05550857930436,198.7162134071035,200.8212351118041,208.10096409039116,199.03591162114435
16,1986-11-22 00:59:28+00:00,160.33833157039717,173.9806371362423,190.4051537389732,202.63586876751395,207.17956876390022,196.25012573865624
17,1986-12-08 00:59:53+00:00,156.56696735378847,171.82031761456784,191.08464816274986,197.6427155789878,198.4337177254327,194.2355848146442
