dates,nzd0179-0000,nzd0179-0001,nzd0179-0002,nzd0179-0003,nzd0179-0004,nzd0179-0005,nzd0179-0006,nzd0179-0007,nzd0179-0008,nzd0179-0009,nzd0179-0010,nzd0179-0011,nzd0179-0012,nzd0179-0013,nzd0179-0014,nzd0179-0015,nzd0179-0016,nzd0179-0017,nzd0179-0018,nzd0179-0019,nzd0179-0020,nzd0179-0021,nzd0179-0022,nzd0179-0023,nzd0179-0024,nzd0179-0025,nzd0179-0026,nzd0179-0027,nzd0179-0028,nzd0179-0029,satname
1999-07-18 21:58:49+00:00,,,,,,,,358.30,,356.58,361.50,,,,337.67,345.85,347.89,354.58,350.49,392.82,376.81,,,352.93,347.18,355.67,354.16,353.74,,,L7
1999-09-20 21:58:56+00:00,343.16,338.49,335.68,338.23,344.16,348.61,351.75,343.71,,356.58,361.50,,,,335.49,347.29,349.81,354.77,354.79,374.73,376.81,,,352.93,347.18,355.67,354.16,353.74,,,L7
1999-10-22 21:58:28+00:00,346.70,339.99,340.18,342.06,348.54,354.52,356.35,349.37,364.47,361.49,365.44,354.37,357.19,350.73,341.29,351.42,353.17,359.13,357.23,370.73,369.94,365.69,364.44,353.94,352.06,356.77,357.96,361.56,370.19,,L7
1999-12-09 21:58:33+00:00,344.81,340.22,342.08,343.94,348.90,357.45,357.28,353.06,363.71,363.28,366.64,353.41,357.30,351.62,346.19,354.14,355.35,361.39,360.23,369.04,368.12,364.91,363.65,355.81,353.68,357.72,358.37,364.31,365.46,395.55,L7
2000-03-14 21:58:11+00:00,347.36,342.44,344.30,345.69,350.80,359.38,359.03,355.07,365.43,367.73,370.18,355.62,359.46,353.87,351.09,359.06,359.74,365.98,364.36,362.44,364.77,365.96,364.15,357.50,357.47,359.02,362.10,371.41,368.07,408.31,L7
2000-03-30 21:58:33+00:00,348.76,343.76,347.99,349.91,354.13,364.30,363.62,364.63,367.86,369.16,371.21,358.65,360.74,355.78,357.56,364.50,364.17,371.55,367.98,365.20,366.78,366.45,365.25,358.15,358.82,359.99,363.11,372.04,371.29,405.76,L7
2000-05-01 21:57:54+00:00,350.29,346.13,348.78,351.73,354.68,365.58,356.61,363.65,367.69,371.22,372.26,362.10,362.07,357.84,359.73,365.90,366.35,372.44,371.34,367.22,368.20,368.14,365.74,359.08,358.05,360.24,363.35,372.21,373.85,405.76,L7
2000-08-05 21:57:08+00:00,344.62,340.14,345.12,349.28,353.22,362.69,355.01,362.91,366.78,370.51,370.00,361.03,360.01,356.22,359.03,365.70,366.11,371.42,370.50,365.18,365.68,366.71,362.01,354.32,356.46,359.88,361.46,370.47,377.45,412.28,L7
2000-10-24 21:55:53+00:00,335.38,331.29,333.42,340.25,343.91,347.99,344.27,353.67,357.89,362.54,363.01,354.66,351.78,350.07,355.09,358.09,359.80,363.20,366.28,361.15,359.38,363.07,354.07,345.13,347.17,354.38,354.51,363.68,371.93,415.13,L7
2001-01-12 21:56:30+00:00,323.34,322.66,329.04,335.81,340.50,352.84,352.77,356.28,356.65,360.44,357.66,350.19,348.67,347.09,354.52,358.15,359.95,362.27,364.82,357.67,358.25,361.30,350.42,345.64,343.81,352.12,356.94,362.51,367.85,426.62,L7
2001-06-05 21:55:40+00:00,336.00,336.88,344.09,348.87,354.41,368.15,366.96,369.39,367.51,373.74,367.51,363.62,361.31,358.07,363.59,373.36,375.28,376.54,380.16,366.84,368.56,369.46,360.53,359.46,353.24,366.84,373.50,372.53,379.21,438.12,L7
2001-06-21 21:55:29+00:00,332.67,335.45,342.21,345.40,352.14,363.92,363.18,365.34,363.40,370.88,364.19,360.45,358.04,354.48,360.14,366.92,371.57,372.37,374.02,363.69,364.52,365.21,355.48,353.03,342.02,356.63,367.16,368.56,377.65,438.12,L7
2001-09-09 21:54:36+00:00,330.50,337.37,342.72,345.61,351.82,362.04,361.99,362.57,361.96,367.74,365.77,358.89,356.42,353.83,358.73,365.26,368.78,371.42,372.73,364.57,363.15,363.31,354.39,346.86,343.60,356.30,366.18,370.78,382.44,415.95,L7
2001-09-25 21:54:28+00:00,326.37,339.81,343.00,345.57,352.78,361.28,362.72,363.23,363.57,369.35,368.23,361.69,357.62,354.70,358.10,364.01,366.55,368.47,369.46,362.04,359.97,361.90,353.26,347.39,340.80,352.94,362.74,366.34,375.74,415.95,L7
2001-10-11 21:53:46+00:00,330.66,340.70,343.64,346.18,352.90,360.67,362.65,362.23,363.23,368.26,367.79,361.90,357.35,354.27,356.89,362.18,363.92,366.37,367.46,361.48,359.47,361.56,352.23,345.29,340.41,353.11,362.50,365.69,375.23,415.95,L7
2002-01-15 21:54:47+00:00,325.76,338.76,344.08,347.76,351.94,360.41,361.62,362.61,364.52,367.46,369.65,360.08,356.73,354.57,356.82,361.72,358.09,362.83,364.33,359.50,356.36,359.47,349.77,341.33,340.56,350.96,360.35,363.10,370.46,415.95,L7
2002-01-31 21:54:26+00:00,325.76,338.76,344.08,346.93,349.79,359.19,360.93,361.67,363.11,366.26,366.53,358.55,354.26,352.69,354.80,361.07,357.88,362.18,363.58,356.67,355.34,358.28,347.71,341.33,340.56,350.96,360.35,363.10,370.46,415.95,L7
2002-02-16 21:54:54+00:00,324.95,338.08,344.10,347.32,349.78,358.97,361.39,361.52,362.94,366.26,366.53,359.43,353.53,354.89,356.10,361.77,359.00,363.15,365.25,358.41,356.96,359.78,349.73,344.60,344.85,355.08,364.08,368.58,375.76,430.44,L7
2002-08-27 21:54:00+00:00,331.07,342.65,343.61,350.44,353.97,361.50,364.51,364.04,365.22,372.93,370.74,369.53,353.45,367.56,363.84,363.43,370.49,364.19,367.80,363.91,362.32,362.37,348.10,346.53,347.89,361.38,370.96,379.05,379.06,412.56,L7
2002-10-14 21:53:43+00:00,341.55,344.48,347.13,352.03,354.45,363.59,365.54,365.07,368.01,371.29,371.47,364.78,356.44,360.85,359.25,363.35,365.52,364.79,364.99,361.35,358.44,360.21,350.09,344.75,347.70,361.12,369.15,375.65,377.72,412.56,L7
