dates,nzd0179-0000,nzd0179-0001,nzd0179-0002,nzd0179-0003,nzd0179-0004,nzd0179-0005,nzd0179-0006,nzd0179-0007,nzd0179-0008,nzd0179-0009,nzd0179-0010,nzd0179-0011,nzd0179-0012,nzd0179-0013,nzd0179-0014,nzd0179-0015,nzd0179-0016,nzd0179-0017,nzd0179-0018,nzd0179-0019,nzd0179-0020,nzd0179-0021,nzd0179-0022,nzd0179-0023,nzd0179-0024,nzd0179-0025,nzd0179-0026,nzd0179-0027,nzd0179-0028,nzd0179-0029,satname
1999-07-18 21:58:49+00:00,,,,,,,,357.98,,357.41,363.56,,,,337.88,344.32,347.68,353.73,350.14,,379.31,,,354.19,348.74,356.11,356.66,356.17,,,L7
1999-09-20 21:58:56+00:00,337.43,336.82,335.46,338.23,343.85,348.89,351.22,329.44,,,,,,,333.08,350.23,351.96,355.78,359.43,353.92,,,,,,,,,,,L7
1999-10-22 21:58:28+00:00,342.52,339.23,344.39,345.90,352.50,360.82,360.22,361.13,362.22,365.30,366.65,352.13,354.85,350.73,352.60,361.69,360.18,368.95,362.57,359.09,359.76,362.87,358.58,353.29,354.88,357.30,358.45,366.17,361.52,,L7
1999-12-09 21:58:33+00:00,347.35,342.55,346.11,347.70,349.98,362.99,359.74,363.76,364.79,367.76,371.27,354.28,359.33,352.50,361.15,360.66,361.65,367.28,368.85,366.94,367.19,366.44,367.66,360.91,358.61,360.08,361.90,372.45,367.81,,L7
2000-03-14 21:58:11+00:00,351.04,347.93,350.79,350.91,356.27,365.36,363.91,366.57,367.72,369.37,370.71,358.89,362.57,358.39,357.11,366.56,365.59,373.51,367.26,364.57,365.06,366.59,362.11,357.14,357.47,359.28,363.65,373.40,368.83,435.23,L7
2000-03-30 21:58:33+00:00,,,350.27,355.12,357.19,368.54,369.63,367.66,373.65,372.69,372.51,366.26,363.00,361.49,358.98,371.85,369.65,377.96,373.88,365.21,370.61,366.06,364.63,358.97,361.50,362.49,363.93,371.78,375.15,418.99,L7
2000-05-01 21:57:54+00:00,347.33,346.40,347.57,353.20,354.70,,332.19,357.21,361.58,373.59,370.91,365.99,360.26,358.97,361.30,367.23,368.89,372.47,376.00,367.29,365.53,369.73,360.73,357.08,351.88,358.34,359.52,366.93,372.05,381.51,L7
2000-08-05 21:57:08+00:00,330.13,324.52,331.46,337.90,344.12,354.32,353.33,360.77,361.08,364.90,362.18,349.94,351.02,346.04,358.32,359.90,360.71,363.23,365.52,358.66,357.02,360.61,352.58,341.83,352.19,358.63,354.23,365.39,381.95,393.46,L7
2000-10-24 21:55:53+00:00,318.63,320.02,320.85,329.66,332.34,341.77,346.36,343.61,348.06,347.69,352.38,345.14,341.01,345.21,345.26,349.79,350.18,355.35,357.91,352.74,351.29,355.20,341.28,334.29,334.74,345.42,345.47,354.55,350.52,363.93,L7
2001-01-12 21:56:30+00:00,331.46,326.43,335.19,339.87,345.58,361.92,359.56,363.91,363.78,370.20,361.99,358.44,357.06,350.02,360.34,362.09,368.58,366.77,370.42,366.40,370.80,371.79,365.13,362.98,,,375.47,371.82,382.50,392.70,L7
2001-06-05 21:55:40+00:00,350.95,350.37,353.38,357.87,363.81,373.85,375.33,374.29,374.30,378.77,376.70,371.79,368.72,366.13,367.22,381.90,381.59,384.81,389.29,372.19,370.78,370.92,363.84,358.18,352.61,366.66,375.99,377.57,387.61,397.92,L7
2001-06-21 21:55:29+00:00,324.84,332.25,338.41,338.45,347.54,355.51,355.51,357.32,354.82,364.99,357.15,353.79,351.14,347.29,353.22,354.36,364.18,364.20,361.79,356.84,355.93,356.29,344.49,339.91,330.49,346.34,353.96,360.12,373.22,379.33,L7
2001-09-09 21:54:36+00:00,316.66,329.76,336.43,340.52,344.17,356.70,355.22,356.04,357.04,359.59,363.79,351.35,349.70,348.08,355.80,359.27,360.53,365.12,367.06,365.13,363.15,363.07,355.55,342.69,347.96,355.96,369.00,375.03,387.55,400.12,L7
2001-09-25 21:54:28+00:00,310.70,346.20,343.73,345.46,355.49,359.15,364.59,365.41,367.45,373.70,374.44,369.14,360.23,357.29,356.08,361.12,359.96,360.11,359.86,352.90,349.01,356.47,347.39,348.27,331.49,342.63,351.01,351.68,351.95,367.25,L7
2001-10-11 21:53:46+00:00,343.47,342.98,346.00,348.58,353.16,358.46,361.99,358.45,360.61,363.29,364.53,361.49,354.94,352.55,351.88,355.97,353.55,358.58,359.72,357.17,355.61,358.62,344.82,335.95,337.74,353.45,359.70,361.28,368.34,379.20,L7
2002-01-15 21:54:47+00:00,337.58,337.67,350.35,356.50,355.23,367.07,365.16,370.21,374.56,374.01,377.74,359.91,363.69,360.37,363.71,369.09,358.11,366.76,370.35,365.35,359.98,361.68,355.40,339.56,346.46,352.21,,,,,L7
2002-01-31 21:54:26+00:00,,,,343.58,341.88,353.66,359.35,357.24,361.15,363.25,358.48,356.07,348.23,345.18,347.22,355.14,356.58,357.75,359.82,351.32,356.64,358.11,349.08,,,,,,,,L7
2002-02-16 21:54:54+00:00,330.39,337.91,344.52,349.29,350.19,357.46,364.52,360.28,364.63,,,366.35,352.47,365.87,362.89,362.98,364.27,366.72,373.09,371.21,368.77,370.48,366.38,359.57,364.32,372.21,378.96,388.62,401.37,414.10,L7
2002-08-27 21:54:00+00:00,338.21,344.74,343.87,350.44,354.36,361.14,365.18,363.64,367.31,373.95,373.25,371.59,355.61,367.56,364.10,361.55,370.23,363.16,367.38,367.28,365.37,364.97,353.51,348.07,349.79,361.92,374.01,382.01,387.07,387.14,L7
2002-10-14 21:53:43+00:00,348.40,345.24,350.52,353.62,354.72,365.86,366.24,366.31,369.75,369.13,370.92,358.98,358.32,354.13,354.53,364.22,360.69,365.92,362.40,357.08,353.01,356.72,349.33,342.20,346.56,360.60,365.79,370.74,372.31,379.36,L7
2002-11-15 21:54:00+00:00,335.46,339.48,344.53,345.20,351.47,357.11,357.62,360.39,357.09,363.21,362.04,349.40,353.28,341.31,346.80,351.21,358.30,363.38,356.00,346.33,346.55,348.19,338.44,338.03,338.84,350.79,355.80,355.08,361.32,365.21,L7
2003-01-18 21:54:30+00:00,342.28,340.48,342.03,341.33,349.83,355.33,357.77,358.04,358.83,366.47,358.09,354.50,350.66,345.64,355.45,356.11,363.92,361.68,364.01,354.38,355.44,357.54,348.22,344.27,351.02,361.26,367.44,370.42,379.13,379.22,L7
2003-07-21 21:42:33+00:00,355.80,354.22,357.08,367.75,374.08,380.31,381.39,381.67,384.12,387.33,381.10,379.20,374.84,368.22,369.11,380.17,384.10,379.71,380.53,367.17,371.93,372.55,363.85,355.38,359.04,373.85,377.93,380.20,381.59,,L5
2003-08-06 21:42:51+00:00,355.24,336.24,352.58,354.51,361.90,373.56,380.89,380.62,380.91,385.38,381.63,378.77,371.20,367.29,368.99,370.44,368.04,372.46,369.47,362.71,362.52,358.58,348.60,350.32,357.61,371.21,373.66,381.13,388.08,399.01,L5
