,dates,per0194-0000,per0194-0001,per0194-0002,per0194-0003,per0194-0004,per0194-0005,per0194-0006,per0194-0007,per0194-0008,per0194-0009,per0194-0010,per0194-0011,per0194-0012,per0194-0013,per0194-0014,per0194-0015,per0194-0016,per0194-0017,per0194-0018,per0194-0019,per0194-0020,per0194-0021,per0194-0022,per0194-0023,per0194-0024,per0194-0025,per0194-0026,per0194-0027,per0194-0028,per0194-0029,per0194-0030,per0194-0031,per0194-0032,per0194-0033,per0194-0034,per0194-0035,per0194-0036,per0194-0037,per0194-0038,per0194-0039,per0194-0040,per0194-0041,per0194-0042,per0194-0043
0,1984-05-08 14:32:57+00:00,191.0515877967036,155.21077023565726,145.57611055581984,136.61548424766076,145.54788527476632,143.93917396174635,137.230907888219,141.79449023713585,158.75871318188248,178.9475527164009,175.76576151996886,165.21650975312383,168.7069668376423,170.9891382039137,164.853335917768,149.05693202430487,,,,,,,162.11676692016727,,207.28183797771027,211.31353858242065,206.61402979641616,195.52051967653676,194.27578433681234,185.56974836716336,177.73517920134736,180.44336085093474,190.58228135988566,196.3760125769076,205.5435184544682,198.47746188556047,190.7034823460039,187.97204608633413,190.48712032090424,188.01043186857484,190.53815010394104,181.6874380218925,,188.52632688393777
1,1985-01-26 14:42:08+00:00,,,,163.98141722621637,175.190866799316,171.85493221055253,157.2082038744341,165.71254840678156,186.8395553551314,197.89766688011616,188.0445582848155,188.22267444918518,186.968167616683,193.14362557963656,191.81239652547123,185.5971848763927,,,,,,,187.98158099857022,201.52792269336186,209.89795443584282,212.8559767897169,204.20320074425464,201.29616789512744,198.22398466762354,194.664477788151,184.6774600780787,190.00808434759986,192.82693081317402,201.2878043466176,206.4223127349436,204.34817540378234,195.11837080619927,192.90387938879962,193.09074203463885,191.60201073031385,187.40396635279245,185.5441133129106,186.04434836691757,191.65888558109074
2,1985-03-24 14:35:57+00:00,,165.88275105488395,157.04784856663753,163.3418976106392,176.21713861605147,171.86989065188902,159.24924009455316,163.60249478660631,187.60101266792643,195.7731852184788,198.01898466831187,188.88428268832612,193.35625846420115,188.13873741094523,182.9423158909778,159.64650343672244,133.93830568320635,109.0215083083827,,,,149.69625340501668,171.84073994017433,200.1173858980874,221.45322247577855,213.2490081706986,201.0999632857196,190.1432655397348,186.05810086315375,178.8636659509686,178.05678570156203,181.46318537134857,191.61982922731238,201.54929644356702,208.6098315545991,204.22008081352553,197.81363639458218,199.00886747034446,186.81768766461363,193.49465644753968,185.60424938468236,190.52449087456984,190.59671873211104,192.96239357577414
3,1986-04-19 14:37:04+00:00,201.0360098484252,160.53337945715754,152.44371110107602,157.13199488579906,171.13409419878104,156.730190239585,156.8118479350013,150.44587720570212,164.9220865331442,182.56999884860406,177.9660716173644,179.14842446711964,176.91555832997722,181.8853384878338,181.07787822200763,170.16677016622674,152.70650420596945,139.54007196530046,146.9769538319965,157.60517398436212,160.54880017606493,175.02733590379887,189.97230084703972,207.99707982107955,216.02388554254898,219.05997447255282,211.78402385652566,200.09449124971013,194.98938116734772,192.33500833993384,183.5824037321083,190.550890322322,202.18835126716715,209.57106017689432,212.69685707829515,,,,,189.6449023717553,187.01920481444753,180.97168343377692,190.64555091859506,195.11074024340405
4,1986-05-05 14:36:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1987-04-06 14:34:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.9089221664167,203.66240430661847,195.04613763081224,190.6019714329315,191.84624173666745,198.83491429906695,194.83296893515993,,196.2226574749942
6,1987-05-24 14:35:48+00:00,192.23657660593233,152.2562897549293,143.80959765891012,145.1734334445531,,,,,,,,,,,174.77503666359576,153.68220893196155,134.90085905776732,122.23684029351918,129.15378280874955,140.2044160086081,149.99313738403038,160.862329711335,181.48631221291703,208.75461940207697,217.6982600453896,211.77936246080304,205.965227802195,195.38277432371402,188.76710513286514,181.71017845918806,179.1613969989255,182.31989968646792,188.94090176175726,203.57540297794765,210.26294887982252,207.09092551174948,197.28749898314373,193.97441871269132,189.54736312876742,189.61484565537026,185.7998131543841,183.986859865134,,194.68838101639795
7,1987-10-31 14:39:29+00:00,183.57120361580755,149.2130583179198,140.4275939895763,147.67186594876958,164.39515779700125,155.630995033435,147.89994751953066,144.74923212115024,164.2314155169523,180.8491908824515,172.2603211511314,176.34443734514815,178.94953417542476,180.20251369788926,175.56447987484762,162.74086121869823,148.5708666889611,136.46080815832315,147.38518975882863,156.6003659360846,159.09531536340435,173.1602754821738,187.2579224519455,202.29294667900044,215.7788572724785,214.88852443724383,207.90014705651228,192.80721811542284,186.74796190352748,179.74542042321528,175.89985953129212,179.50608278119964,183.82763001309613,197.65013080673145,200.8434579251774,195.6786996855066,195.17919739516617,184.38926938554084,184.4346589807342,181.98306733001297,184.62265445647066,183.74565882888444,,
8,1987-11-09 14:33:31+00:00,,151.44818906851958,141.20615355772068,146.7494320374933,166.0052259582375,155.7794253300991,151.1771387034387,156.29088887729392,171.12741724975234,184.32992680989108,184.71341864230118,183.8656304726906,183.55031962660536,186.7601737089579,176.26775778226016,157.69594328534566,137.50366587706344,132.53647821405815,132.79060340473376,141.94784437759705,149.86343212494802,164.72371250853047,185.56585775406438,,219.03426747192668,216.11041981833262,202.8734512082106,194.02407392820794,183.0477479023103,176.92160577371217,175.92304269876112,178.80862533683387,185.92312604153904,198.90763520269104,204.20521026476447,200.49606118543534,188.2541686039608,187.29390302657617,184.3810693772466,183.2174121018473,182.78449883552156,180.44076955841967,,186.30398102536418
9,1987-11-16 14:39:51+00:00,,164.8167844392104,148.51842248154037,155.79030734670582,168.32494435478122,159.29519516511024,147.50709675757733,145.63983687671956,161.96640004842374,184.16471696560552,184.57414116374582,182.2848388104109,177.90424247302397,181.6213689646036,179.82100216911033,163.80409820155333,134.28643655032658,132.84282311580753,123.74049242088917,135.3074422096581,144.98806921793675,158.77101683258462,180.6270552314689,204.6559462442005,216.84990335104646,215.10868730658115,204.92054522781953,196.65311155092232,182.57427836235524,178.80809936930237,176.70252301692403,177.63123113592545,182.28852037963597,192.11721065565533,199.3977371622049,194.34561996100481,186.86506345980126,179.07010845860842,182.26094154304639,175.7283967748693,182.60771651021395,183.39794944976106,,183.9825701387432
