dates,nzd0459-0000,nzd0459-0001,nzd0459-0002,nzd0459-0003,nzd0459-0004,nzd0459-0005,nzd0459-0006,nzd0459-0007,nzd0459-0008,nzd0459-0009,nzd0459-0010,nzd0459-0011,nzd0459-0012,nzd0459-0013,nzd0459-0014,nzd0459-0015,nzd0459-0016,nzd0459-0017,nzd0459-0018,nzd0459-0019,nzd0459-0020,nzd0459-0021,nzd0459-0022,nzd0459-0023,nzd0459-0024,nzd0459-0025,nzd0459-0026,nzd0459-0027,nzd0459-0028,nzd0459-0029,nzd0459-0030,nzd0459-0031,nzd0459-0032,nzd0459-0033,nzd0459-0034,nzd0459-0035,nzd0459-0036,nzd0459-0037,nzd0459-0038,nzd0459-0039,nzd0459-0040,nzd0459-0041,nzd0459-0042,nzd0459-0043,nzd0459-0044,nzd0459-0045,nzd0459-0046,nzd0459-0047,nzd0459-0048,nzd0459-0049,nzd0459-0050,nzd0459-0051,nzd0459-0052,nzd0459-0053,nzd0459-0054,nzd0459-0055,nzd0459-0056,nzd0459-0057,nzd0459-0058,nzd0459-0059,nzd0459-0060,nzd0459-0061,nzd0459-0062,nzd0459-0063,nzd0459-0064,nzd0459-0065,nzd0459-0066,nzd0459-0067,nzd0459-0068,nzd0459-0069,nzd0459-0070,nzd0459-0071,nzd0459-0072,nzd0459-0073,nzd0459-0074,nzd0459-0075,nzd0459-0076,nzd0459-0077,nzd0459-0078,nzd0459-0079,nzd0459-0080,nzd0459-0081,nzd0459-0082,nzd0459-0083,nzd0459-0084,nzd0459-0085,nzd0459-0086,nzd0459-0087,nzd0459-0088,nzd0459-0089,nzd0459-0090,nzd0459-0091,nzd0459-0092,nzd0459-0093,nzd0459-0094,nzd0459-0095,nzd0459-0096,nzd0459-0097,nzd0459-0098,nzd0459-0099,nzd0459-0100,nzd0459-0101,nzd0459-0102,nzd0459-0103,nzd0459-0104,nzd0459-0105,nzd0459-0106,nzd0459-0107,nzd0459-0108,nzd0459-0109,nzd0459-0110,nzd0459-0111,nzd0459-0112,nzd0459-0113,nzd0459-0114,nzd0459-0115,nzd0459-0116,nzd0459-0117,nzd0459-0118,nzd0459-0119,nzd0459-0120,nzd0459-0121,nzd0459-0122,nzd0459-0123,nzd0459-0124,nzd0459-0125,nzd0459-0126,nzd0459-0127,nzd0459-0128,nzd0459-0129,nzd0459-0130,nzd0459-0131,nzd0459-0132,nzd0459-0133,nzd0459-0134,nzd0459-0135,nzd0459-0136,nzd0459-0137,nzd0459-0138,nzd0459-0139,nzd0459-0140,nzd0459-0141,nzd0459-0142,nzd0459-0143,nzd0459-0144,nzd0459-0145,nzd0459-0146,nzd0459-0147,nzd0459-0148,nzd0459-0149,nzd0459-0150,nzd0459-0151,nzd0459-0152,nzd0459-0153,nzd0459-0154,nzd0459-0155,nzd0459-0156,nzd0459-0157,nzd0459-0158,nzd0459-0159,nzd0459-0160,nzd0459-0161,nzd0459-0162,nzd0459-0163,nzd0459-0164,nzd0459-0165,nzd0459-0166,nzd0459-0167,nzd0459-0168,nzd0459-0169,nzd0459-0170,nzd0459-0171,nzd0459-0172,nzd0459-0173,nzd0459-0174,nzd0459-0175,satname
1999-08-26 22:07:08+00:00,329.62,334.35,328.47,359.20,362.36,,351.05,352.89,346.18,346.44,346.86,346.58,344.65,344.24,343.52,340.37,342.88,345.12,345.38,346.26,347.47,349.55,347.98,347.97,350.53,347.04,355.09,358.36,358.00,349.77,345.48,347.45,347.25,353.12,350.57,343.43,348.78,348.96,349.50,346.74,344.99,345.00,341.39,343.55,338.88,337.31,329.38,334.43,329.02,328.46,335.38,337.25,337.69,342.77,344.02,345.60,344.48,344.54,345.28,,,346.91,344.48,343.97,347.12,,,,,,,,,352.40,350.04,354.68,,,,,342.84,348.53,345.63,346.25,346.70,343.71,343.08,344.42,351.48,347.13,351.28,349.80,344.53,348.80,345.96,346.13,,350.05,354.03,354.05,353.75,357.12,359.69,360.61,,355.97,351.11,349.51,345.31,346.30,336.71,340.38,339.63,337.95,342.54,343.30,342.58,341.94,340.88,344.40,347.70,352.23,340.81,341.94,343.56,345.37,340.90,347.95,353.74,355.70,357.43,357.58,363.15,361.26,358.36,355.76,352.37,347.83,349.20,345.57,339.43,339.81,336.96,345.84,340.57,,,,339.99,348.12,350.06,346.23,344.41,344.50,344.95,,337.19,333.05,337.87,335.18,332.37,329.82,339.54,341.93,331.27,345.80,341.78,345.01,347.42,344.09,338.52,343.99,357.14,354.68,367.02,369.19,L7
1999-09-27 22:07:12+00:00,349.95,350.08,348.56,362.29,364.88,356.30,358.48,358.23,359.58,357.98,355.15,354.20,356.04,358.54,358.18,358.61,360.35,358.37,357.19,353.77,354.87,356.13,359.30,360.88,357.58,358.39,366.15,368.81,364.83,366.86,367.59,364.02,363.66,363.20,360.13,353.59,352.73,354.44,355.29,357.06,354.09,352.72,350.24,352.21,353.26,350.76,350.13,351.89,352.26,346.54,352.55,349.80,349.66,352.82,353.92,357.32,353.05,355.13,356.45,354.04,,358.42,357.09,355.22,361.79,356.30,358.99,353.36,357.93,358.46,359.91,,,362.34,357.67,363.63,353.95,355.14,354.06,359.32,364.43,367.30,366.29,364.69,364.54,365.88,360.44,356.88,361.60,363.56,368.12,368.98,367.55,364.36,366.83,370.53,366.88,370.46,373.13,368.80,371.07,372.55,378.59,372.64,368.00,370.06,364.15,366.30,361.40,365.72,362.91,360.31,356.60,356.08,355.72,357.88,355.91,358.36,352.93,352.71,356.19,358.23,354.05,353.62,351.42,352.42,351.87,362.23,356.97,363.97,367.10,362.80,368.49,366.25,363.87,362.75,362.86,359.22,355.12,356.79,354.61,355.92,357.46,354.66,358.07,355.04,349.79,352.86,353.15,357.43,363.68,359.03,361.62,353.42,360.06,,350.02,348.94,352.03,358.95,354.76,349.56,357.88,356.91,351.58,358.39,356.41,359.05,354.58,354.63,351.33,360.82,363.92,376.06,373.76,376.45,L7
1999-10-13 22:07:12+00:00,367.28,364.91,371.56,368.94,372.74,374.25,369.54,371.31,370.83,364.05,366.35,364.55,372.78,372.36,374.59,370.55,368.86,367.68,368.41,365.73,373.60,370.67,371.20,373.05,378.99,377.48,381.28,382.28,381.98,382.89,380.26,379.94,372.38,375.54,374.35,366.48,371.67,366.92,367.24,370.22,366.60,366.08,366.14,364.23,365.57,365.04,364.50,363.86,359.01,361.31,362.78,363.61,360.95,363.19,365.73,368.87,367.36,367.59,367.09,368.45,370.20,369.51,373.21,370.55,371.82,368.33,372.58,369.50,370.56,373.46,375.52,376.98,375.61,375.31,373.19,375.33,373.31,374.32,372.91,371.13,372.33,376.07,379.18,376.24,377.02,379.98,377.23,379.31,382.09,383.05,385.05,385.81,382.06,384.72,379.95,382.33,383.24,385.86,387.06,385.80,388.25,389.76,386.93,387.44,382.90,383.04,383.19,380.62,382.57,376.80,377.68,374.19,374.58,373.93,371.82,370.97,369.23,371.70,371.16,370.17,372.41,371.25,371.01,375.71,376.79,377.80,376.98,379.57,378.22,379.23,378.26,376.44,383.25,380.93,378.08,381.50,381.47,376.71,377.63,373.30,372.69,366.51,372.26,370.03,370.03,371.61,371.77,371.89,373.63,372.01,378.84,377.13,379.31,376.95,383.06,377.55,371.65,371.62,366.32,369.54,364.33,366.36,367.40,369.43,372.68,374.23,373.61,374.55,372.58,371.79,359.41,365.26,362.95,369.99,382.42,378.66,L7
1999-11-30 22:06:59+00:00,358.11,369.45,375.90,359.69,360.67,364.06,362.25,357.85,361.05,360.99,359.15,360.12,360.52,361.17,359.83,361.61,358.08,360.12,361.23,362.54,365.93,364.69,362.72,362.79,368.11,370.66,366.64,364.42,371.91,370.05,371.01,364.35,363.07,362.15,359.95,359.97,361.64,362.29,360.91,356.24,358.87,358.97,351.95,349.85,352.25,354.07,354.54,352.73,356.55,356.46,354.56,353.45,358.70,358.35,359.85,359.91,359.88,359.57,359.01,359.37,361.07,355.80,359.64,360.93,365.39,,363.08,366.70,367.13,362.85,365.35,,,365.98,367.74,357.53,364.50,365.77,365.44,367.73,368.51,365.80,367.31,367.23,369.95,369.92,372.55,374.33,364.74,367.89,365.42,362.10,367.16,366.38,372.19,372.66,377.50,375.54,374.70,383.36,380.03,381.27,374.04,372.15,367.61,370.38,368.07,368.20,370.35,370.37,368.21,366.33,363.90,364.42,363.89,364.20,368.23,364.09,360.50,360.92,359.71,354.33,363.82,364.54,372.21,366.46,375.34,363.23,366.21,366.65,365.74,369.11,365.48,364.02,365.67,359.45,364.79,363.07,363.68,364.98,354.61,354.76,357.40,360.01,358.67,358.51,356.07,359.45,362.83,363.57,363.36,366.85,367.31,370.32,367.23,366.49,371.13,367.39,361.83,356.17,354.44,362.11,358.45,355.20,355.75,354.21,353.15,353.30,355.89,358.77,359.56,361.64,355.92,374.78,394.56,391.58,L7
1999-12-16 22:07:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.44,365.60,360.10,374.05,393.92,397.42,L7
2000-03-21 22:06:49+00:00,345.26,350.21,344.93,374.47,371.45,363.23,365.81,371.58,373.96,364.49,363.17,367.95,367.54,368.55,372.57,372.62,366.45,367.66,370.84,372.48,371.28,373.11,376.04,373.52,375.80,374.80,370.61,380.62,383.45,378.80,380.44,377.23,374.77,373.89,373.08,369.47,369.43,370.99,366.28,363.81,364.66,365.47,367.62,361.41,364.02,364.54,357.95,358.45,354.54,355.85,360.68,359.43,361.50,361.12,362.67,363.03,364.42,363.90,360.60,361.50,,372.75,371.14,361.53,367.43,362.52,364.31,360.26,360.87,366.97,363.39,370.48,370.98,371.30,366.26,371.26,367.64,369.75,366.04,365.89,364.16,372.06,373.56,371.88,371.73,371.98,,,,,377.41,377.47,377.70,374.31,373.56,373.45,371.98,374.93,382.56,381.11,381.59,382.46,386.96,384.26,379.72,375.46,370.76,373.59,369.50,370.27,366.94,369.14,369.36,371.24,368.92,371.13,368.73,365.39,367.53,362.85,363.56,367.12,367.26,367.82,365.17,367.30,368.12,376.02,379.03,377.15,382.88,378.41,380.37,378.72,376.55,378.46,373.71,375.23,365.76,373.16,371.79,371.65,366.42,365.87,361.53,367.35,366.71,370.32,365.29,369.33,377.75,380.46,377.04,381.28,378.95,,374.74,367.86,367.87,367.97,367.76,357.80,366.96,364.28,363.52,365.16,361.96,366.42,367.21,359.33,355.83,358.33,368.09,379.62,382.73,384.58,L7
2000-05-08 22:06:20+00:00,,,,,,,370.22,373.22,367.83,366.93,367.06,369.31,366.18,371.25,368.14,367.87,367.86,366.41,364.71,368.87,364.79,371.18,371.47,373.93,374.99,374.94,376.79,376.15,378.56,378.13,377.01,373.54,376.78,373.20,375.58,373.34,371.62,368.60,369.11,366.86,366.30,365.03,364.87,362.73,359.56,364.36,361.82,361.85,361.09,360.05,358.57,363.89,366.09,366.01,369.97,369.26,372.04,368.89,368.10,363.84,363.94,368.07,370.52,373.32,368.98,368.82,369.49,369.92,371.91,372.97,373.99,373.42,375.10,373.78,372.50,370.44,371.21,375.12,370.29,372.05,376.38,376.76,379.54,378.84,378.68,380.46,380.63,381.45,378.85,380.74,376.36,380.84,376.43,382.84,380.97,382.72,381.78,381.71,385.54,384.55,389.24,390.67,390.60,387.33,383.77,379.57,378.50,377.49,375.63,377.25,378.31,373.66,374.45,374.58,369.72,369.59,371.65,367.77,365.80,370.72,364.65,367.20,365.61,370.58,371.37,368.84,373.26,370.81,374.72,373.80,372.79,375.31,375.41,377.61,376.85,375.23,376.83,372.50,372.04,372.56,372.29,370.04,367.31,371.08,369.85,366.16,370.04,372.47,377.62,376.26,377.21,372.79,378.85,378.61,382.40,,372.69,373.69,366.31,361.93,361.59,363.59,364.86,364.98,369.89,365.49,365.52,363.92,364.44,358.68,353.81,357.47,362.08,380.66,393.05,388.97,L7
2000-05-24 22:06:10+00:00,,,,,,,,,,368.50,369.24,371.72,377.52,376.94,378.62,376.53,376.23,376.49,373.46,373.97,377.23,375.58,376.84,379.19,378.49,382.70,383.24,383.53,385.33,387.63,389.64,383.75,382.47,378.01,381.80,381.49,379.72,376.21,375.46,371.55,368.96,370.38,371.54,369.37,368.05,370.90,365.71,364.35,363.52,365.59,366.70,364.15,368.32,364.90,363.83,365.99,369.06,370.26,370.00,372.87,373.39,371.10,371.84,373.81,375.02,374.76,373.26,374.60,372.42,372.83,373.98,376.72,379.82,375.96,378.07,373.75,377.16,376.58,375.93,379.52,374.14,375.65,379.42,378.50,379.30,378.12,380.47,383.54,384.92,380.86,384.37,382.87,384.28,384.47,386.81,384.64,388.07,386.66,384.07,388.34,387.78,387.37,388.44,386.82,383.08,382.99,382.41,383.99,386.58,383.79,379.93,376.51,375.78,374.40,373.10,369.89,379.89,373.06,374.93,375.56,374.70,375.27,373.94,373.51,378.28,382.35,381.51,382.30,380.07,381.84,380.93,382.65,383.89,382.44,384.63,381.19,382.07,373.97,372.63,376.09,375.19,377.62,373.28,376.62,375.87,374.33,376.64,379.60,380.17,384.75,381.33,383.69,389.54,387.84,392.32,388.24,382.77,373.58,369.55,363.33,368.85,369.52,371.49,369.21,371.75,365.06,368.53,368.28,363.42,360.07,360.71,362.38,364.36,375.00,396.34,402.09,L7
2000-07-11 22:05:41+00:00,,,,,,367.17,361.80,,,,,,,,,,366.41,360.91,361.31,362.97,361.33,365.35,363.77,370.16,365.60,371.39,369.61,375.33,380.10,382.85,382.50,373.70,367.25,368.43,365.19,365.62,366.12,360.64,361.19,357.30,359.96,364.23,360.89,359.23,357.08,353.30,354.97,357.62,354.33,357.60,351.49,352.60,354.17,359.26,362.91,361.85,360.27,364.18,359.54,359.64,366.09,364.45,363.26,364.79,365.19,366.84,363.82,365.09,362.46,358.52,362.10,364.01,370.82,371.06,369.37,369.48,370.05,371.28,368.08,367.98,370.25,372.84,364.07,370.07,371.23,373.31,371.42,372.11,370.78,368.82,370.31,372.22,370.46,372.32,369.15,366.11,370.61,375.44,377.11,380.64,376.60,378.48,374.66,372.57,370.52,376.20,367.76,361.67,362.89,367.98,367.12,368.26,361.88,363.67,358.04,357.90,363.15,359.74,359.52,358.73,358.81,358.83,361.61,359.54,364.77,363.82,369.91,364.73,364.95,364.68,365.22,369.25,366.62,362.52,372.44,366.87,363.59,368.68,367.46,365.38,362.88,366.86,361.32,359.74,362.98,359.26,360.58,365.50,366.34,368.75,367.93,374.65,374.17,375.53,366.14,355.64,355.46,354.01,355.81,349.14,348.75,347.77,344.32,344.05,354.87,351.87,346.34,351.16,358.25,360.91,364.24,364.81,352.29,362.90,381.76,374.32,L7
2000-07-27 22:05:24+00:00,,,,,,,,,,369.62,369.59,369.09,369.57,370.15,372.87,372.67,372.50,371.46,369.73,370.82,370.50,373.15,371.13,372.59,373.52,375.72,376.39,377.74,385.07,383.84,381.94,379.87,378.04,376.65,373.95,373.25,375.15,371.51,370.30,367.68,364.76,367.07,366.69,365.94,365.25,365.61,362.37,361.95,361.99,363.71,359.62,361.15,362.62,360.42,366.94,367.04,369.45,367.43,370.76,368.51,370.43,367.36,366.90,372.11,373.39,372.13,371.97,366.68,368.55,368.50,371.18,372.52,375.42,375.30,375.61,371.05,372.16,375.48,377.25,378.15,374.67,376.49,375.39,376.72,376.96,376.84,378.23,379.32,376.82,377.54,376.51,379.01,378.99,380.85,379.16,384.00,382.38,386.09,382.87,386.16,388.16,386.24,382.42,381.81,377.79,380.75,375.68,380.43,378.22,378.59,378.18,379.75,374.96,369.31,368.21,368.42,365.79,364.66,366.50,368.58,372.32,368.18,369.22,370.37,376.36,373.76,379.60,371.66,373.60,374.71,377.02,376.87,375.93,374.59,379.18,376.78,379.16,375.52,373.20,370.34,374.60,373.95,373.87,373.60,374.54,371.00,375.93,375.41,373.68,370.80,375.85,383.68,387.35,386.61,377.49,372.81,370.29,368.49,365.15,361.48,361.72,363.21,363.82,,,,,,,,,,,,,,L7
