dates,satname,nzd0459-0000,nzd0459-0001,nzd0459-0002,nzd0459-0003,nzd0459-0004,nzd0459-0005,nzd0459-0006,nzd0459-0007,nzd0459-0008,nzd0459-0009,nzd0459-0010,nzd0459-0011,nzd0459-0012,nzd0459-0013,nzd0459-0014,nzd0459-0015,nzd0459-0016,nzd0459-0017,nzd0459-0018,nzd0459-0019,nzd0459-0020,nzd0459-0021,nzd0459-0022,nzd0459-0023,nzd0459-0024,nzd0459-0025,nzd0459-0026,nzd0459-0027,nzd0459-0028,nzd0459-0029,nzd0459-0030,nzd0459-0031,nzd0459-0032,nzd0459-0033,nzd0459-0034,nzd0459-0035,nzd0459-0036,nzd0459-0037,nzd0459-0038,nzd0459-0039,nzd0459-0040,nzd0459-0041,nzd0459-0042,nzd0459-0043,nzd0459-0044,nzd0459-0045,nzd0459-0046,nzd0459-0047,nzd0459-0048,nzd0459-0049,nzd0459-0050,nzd0459-0051,nzd0459-0052,nzd0459-0053,nzd0459-0054,nzd0459-0055,nzd0459-0056,nzd0459-0057,nzd0459-0058,nzd0459-0059,nzd0459-0060,nzd0459-0061,nzd0459-0062,nzd0459-0063,nzd0459-0064,nzd0459-0065,nzd0459-0066,nzd0459-0067,nzd0459-0068,nzd0459-0069,nzd0459-0070,nzd0459-0071,nzd0459-0072,nzd0459-0073,nzd0459-0074,nzd0459-0075,nzd0459-0076,nzd0459-0077,nzd0459-0078,nzd0459-0079,nzd0459-0080,nzd0459-0081,nzd0459-0082,nzd0459-0083,nzd0459-0084,nzd0459-0085,nzd0459-0086,nzd0459-0087,nzd0459-0088,nzd0459-0089,nzd0459-0090,nzd0459-0091,nzd0459-0092,nzd0459-0093,nzd0459-0094,nzd0459-0095,nzd0459-0096,nzd0459-0097,nzd0459-0098,nzd0459-0099,nzd0459-0100,nzd0459-0101,nzd0459-0102,nzd0459-0103,nzd0459-0104,nzd0459-0105,nzd0459-0106,nzd0459-0107,nzd0459-0108,nzd0459-0109,nzd0459-0110,nzd0459-0111,nzd0459-0112,nzd0459-0113,nzd0459-0114,nzd0459-0115,nzd0459-0116,nzd0459-0117,nzd0459-0118,nzd0459-0119,nzd0459-0120,nzd0459-0121,nzd0459-0122,nzd0459-0123,nzd0459-0124,nzd0459-0125,nzd0459-0126,nzd0459-0127,nzd0459-0128,nzd0459-0129,nzd0459-0130,nzd0459-0131,nzd0459-0132,nzd0459-0133,nzd0459-0134,nzd0459-0135,nzd0459-0136,nzd0459-0137,nzd0459-0138,nzd0459-0139,nzd0459-0140,nzd0459-0141,nzd0459-0142,nzd0459-0143,nzd0459-0144,nzd0459-0145,nzd0459-0146,nzd0459-0147,nzd0459-0148,nzd0459-0149,nzd0459-0150,nzd0459-0151,nzd0459-0152,nzd0459-0153,nzd0459-0154,nzd0459-0155,nzd0459-0156,nzd0459-0157,nzd0459-0158,nzd0459-0159,nzd0459-0160,nzd0459-0161,nzd0459-0162,nzd0459-0163,nzd0459-0164,nzd0459-0165,nzd0459-0166,nzd0459-0167,nzd0459-0168,nzd0459-0169,nzd0459-0170,nzd0459-0171,nzd0459-0172,nzd0459-0173,nzd0459-0174,nzd0459-0175
1999-08-26 22:07:08+00:00,L7,343.80,351.68,347.97,365.20,366.26,,358.85,359.98,353.61,354.65,353.95,354.01,353.32,352.04,349.52,347.80,349.97,352.21,353.18,353.04,354.25,356.64,355.41,355.77,357.62,357.44,361.09,363.23,364.00,357.20,353.28,354.23,352.63,357.02,354.57,350.21,355.28,354.96,356.59,351.94,351.77,352.09,348.17,348.58,343.76,345.11,337.59,342.64,338.77,338.86,342.16,345.05,346.36,349.55,351.82,354.27,352.69,350.78,351.78,,,350.81,349.68,354.37,355.33,,,,,,,,,359.18,361.18,358.58,,,,,350.64,355.31,353.06,353.68,353.48,351.14,351.75,356.42,358.91,356.88,358.37,356.04,352.74,357.01,356.36,353.56,,356.83,359.60,363.80,362.42,365.79,364.42,366.61,,364.18,360.29,359.26,355.71,355.48,345.89,348.59,347.43,346.62,349.97,351.51,352.98,350.15,349.09,354.15,355.13,358.23,350.56,351.69,356.56,355.12,352.90,351.85,359.52,360.90,361.33,363.36,367.05,365.48,365.79,360.35,358.61,353.83,355.70,353.37,346.86,346.90,344.76,354.05,348.00,,,,348.20,355.92,355.84,353.66,351.19,352.71,355.35,,349.19,344.19,346.08,339.08,336.37,339.57,345.11,346.96,340.45,351.80,348.87,350.21,352.62,351.89,350.52,353.17,361.04,361.46,382.62,386.52
1999-09-27 22:07:12+00:00,L7,365.77,369.41,370.31,368.98,369.23,366.54,367.18,366.14,367.87,367.14,363.06,362.49,365.71,367.24,364.87,366.90,368.26,366.28,365.89,361.34,362.44,364.04,367.59,369.58,365.49,369.99,372.84,374.25,371.52,375.15,376.29,371.59,369.66,367.55,364.59,361.16,359.98,361.13,363.20,362.86,361.66,360.63,357.81,357.82,358.70,359.46,359.29,361.05,363.14,358.14,360.12,358.50,359.33,360.39,362.62,366.99,362.21,362.09,363.70,362.33,,362.77,362.89,366.82,370.95,367.90,367.69,363.60,367.60,366.03,369.07,,,369.91,370.10,367.98,364.83,364.81,364.30,370.92,373.13,374.87,374.58,372.98,372.11,374.17,370.11,370.26,369.89,374.44,376.03,375.94,376.71,373.52,378.43,378.82,377.12,378.03,379.34,379.67,380.74,382.22,383.86,379.33,374.44,379.22,374.39,377.17,373.00,375.96,373.15,369.47,365.30,365.75,364.01,367.04,367.51,367.52,362.09,363.59,364.48,364.92,364.92,364.50,365.92,363.29,365.25,366.58,363.41,369.77,371.45,369.24,372.84,370.95,372.16,367.87,369.82,365.91,362.37,365.49,362.90,363.83,366.16,363.82,366.36,361.73,358.49,362.02,362.31,366.13,370.12,367.32,369.19,362.58,371.66,,363.40,361.37,361.19,363.30,359.22,360.44,364.09,362.52,361.82,365.08,364.32,364.85,360.38,363.33,364.71,371.06,368.27,383.63,391.16,395.78
1999-10-13 22:07:12+00:00,L7,370.01,368.24,375.31,370.09,373.49,376.01,371.04,372.67,372.26,365.63,367.71,365.98,374.45,373.86,375.74,371.98,370.22,369.04,369.91,367.03,374.90,372.03,372.63,374.55,380.35,379.48,382.43,383.22,383.13,384.32,381.76,381.24,373.41,376.29,375.12,367.78,372.92,368.07,368.60,371.22,367.90,367.44,367.44,365.20,366.51,366.54,366.08,365.44,360.89,363.31,364.08,365.11,362.62,364.49,367.23,370.54,368.94,368.79,368.34,369.88,371.50,370.26,374.21,372.55,373.40,370.33,374.08,371.26,372.23,374.76,377.10,378.28,377.19,376.61,375.33,376.08,375.19,375.99,374.67,373.13,373.83,377.37,380.61,377.67,378.32,381.41,378.90,381.62,383.52,384.92,386.41,387.01,383.64,386.30,381.95,383.76,385.00,387.16,388.13,387.67,389.92,391.43,387.84,388.59,384.01,384.62,384.95,382.49,384.57,378.56,379.44,375.77,376.08,375.60,373.25,372.55,371.23,373.28,372.74,372.04,373.84,372.40,372.89,377.59,379.29,379.67,379.29,380.32,379.33,380.23,379.01,377.55,384.00,381.74,379.51,382.38,382.67,377.86,378.88,374.80,374.12,367.87,373.76,371.61,371.46,372.76,373.27,373.47,375.21,373.51,379.95,378.56,380.61,378.53,385.06,379.42,373.96,373.76,367.90,370.29,365.10,368.23,368.47,370.40,374.44,375.38,374.97,375.55,373.58,373.29,361.72,367.02,363.70,371.29,385.42,381.99
1999-11-30 22:06:59+00:00,L7,341.38,349.01,352.90,352.61,356.07,353.24,353.05,349.49,352.29,351.31,350.79,351.36,350.30,351.97,352.75,352.85,349.72,351.76,352.03,354.54,357.93,356.33,353.96,353.59,359.75,358.39,359.56,358.67,364.83,361.29,361.81,356.35,356.73,357.55,355.23,351.97,353.97,355.21,352.55,350.11,350.87,350.61,343.95,343.91,346.50,344.87,344.86,343.05,345.05,344.19,346.56,344.25,348.48,350.35,350.65,349.69,350.20,352.21,351.34,350.61,353.07,351.20,353.51,348.66,355.71,,353.88,355.88,356.91,354.85,355.67,,,357.98,354.60,352.93,353.00,355.55,354.62,355.46,359.31,357.80,358.55,358.47,361.95,361.16,362.33,360.18,355.98,356.39,357.06,354.74,357.48,356.70,359.92,363.90,366.68,367.54,368.13,371.86,369.81,371.05,368.46,365.07,360.80,360.70,357.25,356.70,358.08,359.55,357.39,356.65,354.70,354.20,355.13,354.52,355.96,354.41,350.82,349.42,350.95,347.25,352.32,353.04,356.88,354.96,361.19,358.63,359.40,360.52,361.14,362.30,360.88,359.05,356.91,354.04,357.43,355.99,356.01,355.78,345.85,346.40,348.20,350.33,349.91,351.43,346.87,349.77,353.15,354.37,356.55,358.09,359.31,360.64,354.96,354.99,356.98,354.25,352.15,351.57,349.72,350.61,351.88,349.26,344.93,347.13,344.79,347.17,349.76,349.57,345.41,350.82,351.32,366.78,376.16,371.14
1999-12-16 22:07:09+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.05,347.59,356.54,356.25,367.35,378.52,380.31
2000-03-21 22:06:49+00:00,L7,361.62,370.21,367.43,381.39,375.95,373.82,374.81,379.76,382.53,373.96,371.35,376.52,377.54,377.55,379.49,381.19,374.63,375.84,379.84,380.31,379.11,381.29,384.61,382.52,383.98,386.80,377.53,386.24,390.37,387.37,389.44,385.06,380.98,378.39,377.70,377.30,376.93,377.91,374.46,369.81,372.49,373.65,375.45,367.22,369.65,373.54,367.42,367.92,365.79,367.85,368.51,368.43,371.50,368.95,371.67,373.03,373.89,371.10,368.10,370.07,,377.25,377.14,373.53,376.90,374.52,373.31,370.85,370.87,374.80,372.86,378.31,380.45,379.13,379.12,375.76,378.89,379.75,376.63,377.89,373.16,379.89,382.13,380.45,379.56,380.55,,,,,385.59,384.67,387.17,383.78,385.56,382.02,382.57,382.76,388.99,392.36,391.59,392.46,392.41,391.18,386.39,384.93,381.35,384.84,381.50,380.86,377.53,378.61,378.36,381.24,377.49,380.60,380.73,374.86,377.00,374.10,372.13,374.04,378.51,379.07,380.17,378.55,381.97,380.52,385.70,383.15,387.38,385.08,384.87,383.58,385.12,383.75,380.91,382.15,373.26,382.16,380.36,379.83,375.42,375.34,370.10,374.27,375.71,379.79,374.76,378.33,384.42,389.03,384.87,390.75,390.95,,388.59,380.72,377.34,372.47,372.38,369.05,373.39,370.09,374.11,372.08,370.14,372.42,373.21,368.33,369.68,368.92,372.59,387.45,400.73,404.58
2000-05-08 22:06:20+00:00,L7,,,,,,,368.42,371.58,366.12,365.04,365.42,367.60,364.18,369.45,366.76,366.16,366.22,364.77,362.91,367.30,363.22,369.54,369.76,372.13,373.35,372.54,375.41,375.03,377.18,376.42,375.21,371.97,375.54,372.30,374.66,371.77,370.12,367.22,367.47,365.66,364.73,363.39,363.30,361.57,358.44,362.56,359.93,359.96,358.84,357.65,357.00,362.09,364.09,364.44,368.17,367.26,370.15,367.45,366.60,362.13,362.37,367.17,369.32,370.92,367.09,366.42,367.69,367.80,369.91,371.40,372.10,371.85,373.21,372.21,369.93,369.54,368.96,373.12,368.17,369.65,374.58,375.19,377.83,377.13,377.11,378.75,378.63,378.68,377.14,378.49,374.72,379.40,374.54,380.95,378.57,381.01,379.66,380.14,384.25,382.30,387.24,388.67,389.51,385.95,382.44,377.68,376.38,375.24,373.23,375.13,376.19,371.77,372.65,372.58,368.01,367.70,369.25,365.88,363.91,368.47,362.94,365.82,363.36,368.33,368.37,366.59,370.49,369.91,373.39,372.60,371.89,373.98,374.51,376.64,375.14,374.17,375.39,371.12,370.54,370.76,370.58,368.40,365.51,369.19,368.14,364.78,368.24,370.58,375.73,374.46,375.88,371.08,377.28,376.72,380.00,,369.92,371.12,364.42,361.03,360.67,361.34,363.57,363.82,367.77,364.11,363.88,362.72,363.24,356.88,351.04,355.35,361.18,379.09,389.45,384.97
2000-05-24 22:06:10+00:00,L7,,,,,,,,,,365.13,366.33,368.67,373.96,373.74,376.16,373.48,373.32,373.58,370.26,371.19,374.45,372.67,373.79,375.99,375.58,378.43,380.78,381.53,382.87,384.58,386.44,380.97,380.26,376.41,380.16,378.71,377.05,373.75,372.55,369.42,366.18,367.47,368.76,367.31,366.05,367.70,362.34,360.98,359.52,361.32,363.92,360.95,364.76,362.12,360.63,362.43,365.69,367.70,367.33,369.82,370.61,369.50,369.71,369.54,371.65,370.49,370.06,370.84,368.86,370.05,370.61,373.94,376.45,373.18,373.50,372.15,373.16,373.02,372.17,375.25,370.94,372.87,376.37,375.45,376.52,375.07,376.91,378.62,381.87,376.86,381.46,380.31,380.91,381.10,382.54,381.59,384.31,383.88,381.78,384.34,384.22,383.81,386.50,384.36,380.71,379.62,378.65,379.99,382.31,380.03,376.17,373.14,372.58,370.84,370.05,366.52,375.62,369.69,371.56,371.56,371.65,372.81,369.94,369.51,372.95,378.35,376.59,380.70,377.70,379.71,379.33,380.28,382.29,380.71,381.58,379.31,379.51,371.51,369.96,372.89,372.14,374.71,370.08,373.25,372.82,371.87,373.44,376.23,376.80,381.55,378.96,380.64,386.76,384.47,388.05,384.24,377.85,369.01,366.18,361.73,367.21,365.52,369.20,367.15,367.99,362.60,365.62,366.15,361.29,356.87,355.79,358.62,362.76,372.22,389.94,394.98
2000-07-11 22:05:41+00:00,L7,,,,,,363.64,358.80,,,,,,,,,,363.68,358.18,358.31,360.36,358.72,362.62,360.91,367.16,362.87,367.39,367.30,373.46,377.79,379.99,379.50,371.09,365.18,366.93,363.65,363.01,363.62,358.33,358.46,355.30,357.35,361.50,358.28,357.29,355.21,350.30,351.81,354.46,350.58,353.60,348.88,349.60,350.84,356.65,359.91,358.52,357.11,361.78,357.04,356.78,363.48,362.95,361.26,360.79,362.03,362.84,360.82,361.56,359.13,355.91,358.94,361.40,367.66,368.45,365.08,367.98,366.30,367.95,364.55,363.98,367.25,370.23,361.21,367.21,368.62,370.45,368.09,367.49,367.92,365.07,367.58,369.82,367.30,369.16,365.15,363.25,367.08,372.83,374.97,376.89,373.27,375.15,372.84,370.26,368.30,373.04,364.23,357.92,358.89,364.45,363.59,365.10,358.88,360.34,355.18,354.74,359.15,356.58,356.36,354.98,355.95,356.52,357.86,355.79,359.77,360.07,365.29,363.23,362.73,362.68,363.72,367.03,365.12,360.90,369.58,365.11,361.19,366.37,364.96,362.38,360.02,364.13,358.32,356.58,360.12,356.95,357.58,362.34,363.18,365.75,365.71,371.79,371.56,372.37,362.14,351.89,350.84,349.72,352.65,347.64,347.21,344.02,342.18,342.11,351.34,349.56,343.61,349.16,356.25,357.91,359.62,361.28,350.79,360.29,375.76,367.65
2000-07-27 22:05:24+00:00,L7,,,,,,,,,,365.62,366.14,365.47,365.35,366.35,369.95,369.05,369.05,368.01,365.93,367.52,367.20,369.70,367.51,368.79,370.07,370.65,373.47,375.36,382.15,380.22,378.14,376.57,375.42,374.75,372.00,369.95,371.98,368.59,366.85,365.15,361.46,363.62,363.39,363.49,362.88,361.81,358.37,357.95,357.24,358.64,356.32,357.35,358.40,357.12,363.14,362.82,365.45,364.39,367.59,364.89,367.13,365.46,364.37,367.04,369.39,367.06,368.17,362.21,364.33,365.20,367.18,369.22,371.42,372.00,370.18,369.15,367.41,371.26,372.78,373.08,370.87,373.19,371.77,373.10,373.66,373.22,374.01,373.47,373.20,372.79,373.06,375.97,374.99,376.85,374.09,380.38,377.91,382.79,380.16,381.41,383.94,382.02,380.12,378.89,374.98,376.75,371.21,375.68,373.15,374.12,373.71,375.75,371.16,365.09,364.59,364.42,360.72,360.66,362.50,363.83,368.70,365.26,364.47,365.62,370.03,369.01,373.75,369.76,370.79,372.18,375.12,374.06,374.03,372.54,375.56,374.54,376.12,372.60,370.03,366.54,370.98,370.50,370.07,369.60,370.92,368.08,372.13,371.41,369.68,367.00,373.04,380.06,384.05,382.61,372.42,368.06,364.44,363.06,361.15,359.58,359.77,358.46,361.11,,,,,,,,,,,,,
