dates,satname,sar2143-0000,sar2143-0001,sar2143-0002
1984-04-13 09:27:07+00:00,L5,,,
1984-05-31 09:27:59+00:00,L5,,,
1984-06-07 09:33:54+00:00,L5,,,
1984-07-18 09:28:46+00:00,L5,,,
1984-08-03 09:29:20+00:00,L5,,,
1984-08-19 09:29:51+00:00,L5,,,
1984-09-20 09:30:04+00:00,L5,,,
1984-10-22 09:30:00+00:00,L5,,,
1984-11-07 09:29:53+00:00,L5,,,
1984-12-09 09:29:58+00:00,L5,228.86,179.93,284.78
1985-02-11 09:30:23+00:00,L5,,,
1985-05-02 09:30:07+00:00,L5,,,
1985-05-18 09:30:04+00:00,L5,,,
1985-06-10 09:35:50+00:00,L5,,,
1985-06-26 09:35:47+00:00,L5,,,
1985-07-05 09:29:57+00:00,L5,,,
1985-07-12 09:35:41+00:00,L5,,,
1985-07-28 09:35:58+00:00,L5,315.40,228.85,205.16
1985-08-22 09:29:32+00:00,L5,,,
1985-08-29 09:35:38+00:00,L5,,,
1985-09-14 09:35:25+00:00,L5,,,
1985-10-09 09:28:59+00:00,L5,,,
1985-11-10 09:28:33+00:00,L5,,,
1985-12-03 09:34:19+00:00,L5,225.17,183.24,253.14
1986-01-13 09:27:22+00:00,L5,,,
1986-03-18 09:25:58+00:00,L5,,,
1986-04-19 09:25:17+00:00,L5,,,
1986-05-21 09:24:27+00:00,L5,,,
1986-05-28 09:30:02+00:00,L5,,,
1986-07-08 09:22:57+00:00,L5,,,
1986-07-15 09:28:53+00:00,L5,,,
1986-07-24 09:22:23+00:00,L5,,,
1986-08-16 09:27:20+00:00,L5,,,
1986-09-10 09:20:39+00:00,L5,,,
1986-09-26 09:20:09+00:00,L5,,,
1986-10-12 09:19:38+00:00,L5,,,
1986-12-22 09:24:45+00:00,L5,,,
1986-12-31 09:19:14+00:00,L5,,,
1987-02-17 09:20:35+00:00,L5,,,
1987-03-21 09:22:02+00:00,L5,,,
1987-04-06 09:22:36+00:00,L5,221.82,180.03,298.35
1987-05-08 09:23:35+00:00,L5,,,
1987-06-09 09:24:23+00:00,L5,,,
1987-06-25 09:24:44+00:00,L5,,,
1987-07-02 09:30:39+00:00,L5,,,
1987-07-11 09:25:03+00:00,L5,,,
1987-07-27 09:25:25+00:00,L5,,,
1987-08-12 09:25:55+00:00,L5,,,
1987-08-28 09:26:22+00:00,L5,,,
1987-09-13 09:26:45+00:00,L5,,,
1987-10-31 09:27:40+00:00,L5,,,
1987-11-16 09:28:03+00:00,L5,,,
1987-12-02 09:28:18+00:00,L5,,,
1988-01-10 09:35:05+00:00,L5,,,
1988-01-19 09:29:05+00:00,L5,,,
1988-01-26 09:35:22+00:00,L5,,,
1988-03-07 09:29:48+00:00,L5,,,
1988-04-24 09:30:07+00:00,L5,,,
1988-06-11 09:30:29+00:00,L5,,,
1988-06-27 09:30:35+00:00,L5,,,
1988-07-13 09:30:39+00:00,L5,,,
1988-07-29 09:30:42+00:00,L5,,,
1988-08-14 09:30:40+00:00,L5,,,
1988-09-15 09:30:41+00:00,L5,,,
1988-09-22 09:36:26+00:00,L5,231.06,274.88,237.82
1988-10-01 09:30:34+00:00,L5,,,
