,dates,per0023-0000,per0023-0001,per0023-0002,per0023-0003,per0023-0004,per0023-0005,per0023-0006,per0023-0007,per0023-0008,per0023-0009,per0023-0010,per0023-0011,per0023-0012,per0023-0013,per0023-0014,per0023-0015,per0023-0016,per0023-0017,per0023-0018,per0023-0019,per0023-0020,per0023-0021,per0023-0022,per0023-0023,per0023-0024,per0023-0025,per0023-0026,per0023-0027,per0023-0028,per0023-0029,per0023-0030,per0023-0031,per0023-0032,per0023-0033,per0023-0034,per0023-0035,per0023-0036,per0023-0037,per0023-0038,per0023-0039,per0023-0040,per0023-0041,per0023-0042,per0023-0043,per0023-0044,per0023-0045,per0023-0046
0,1985-03-27 15:04:03+00:00,,262.6140547876222,293.34406510089866,295.4667227856376,283.9975278660327,286.8253967701004,300.25187586510316,315.3918043004299,332.26481174874607,,,,,,,,,,,,,,,,,,,,,,,,,337.4572828354025,301.35947550123,,,,175.22816654538735,157.6252136603843,143.58875964897516,118.52567781602633,100.95393266304893,,,,
1,1985-09-03 15:03:06+00:00,,255.75408941083018,278.1594844001643,279.68570767848195,272.46225260691756,271.18911701962014,272.5822228052248,277.04002080615356,289.12008430364494,305.4789851627996,327.05417672095206,339.13137031357405,333.63168384259023,328.5136286554978,327.1405192510288,341.7892029292476,374.53219439920554,391.47882550135273,,,,,,391.5664281597547,387.03808255958836,391.3456900195888,394.29971156926086,396.3335851644356,389.2647480520025,387.9441081204658,387.108652316294,,,,,,165.30909304836555,149.8456266122258,139.44557937769133,134.90785161229593,138.49236001462708,133.62624713410406,127.65421954100167,132.4303111950835,136.18573241620027,137.17211025293983,144.0784753147732
2,1985-10-05 15:02:44+00:00,,,,,,,,,,,,,,,,343.1932267243313,370.0018486195585,381.32720813543597,,,,,,399.1376285933756,395.46754724255715,391.8691691805755,382.2715457288581,362.46749636115294,360.22430629103854,363.86288977565425,359.0727018862363,,322.08614528745875,,,,,,,,,,,,,,
3,1985-12-08 15:01:45+00:00,,250.20742563219176,270.68102105301796,268.6075819916287,260.4987474758761,260.22166055487435,267.28208538283064,274.82364481492635,284.30637799394293,297.49601715365526,318.67876287182736,322.98049337106835,318.9609991146921,318.53669591505263,301.0922311863901,327.1529943732353,347.79082192134194,363.2591635301309,374.2446817776264,375.6393884519862,382.11834288650795,380.3340100800436,389.4282387120886,393.93922226910325,399.62794061587556,388.46861183415376,389.68201547933285,385.20567757409253,373.8376304866978,365.0856948162071,353.4247433850191,336.8007376158494,317.53833288629494,,,,176.0939211776495,162.64661413731667,144.24270575573337,141.31912021444938,141.80426182658147,133.7034911376702,123.26261708701503,123.73483355716361,126.31020975970667,122.68995611222229,126.7823870451762
4,1986-01-09 15:01:10+00:00,,262.74674030373694,284.93239896782154,283.0238867832034,279.6457030011233,278.2785120803719,280.2102561309543,293.08022590905097,306.46478265531897,319.23083269104717,337.2485294007593,344.4133385776752,335.279509394889,329.1342601764736,318.2956290085341,333.89291321846656,361.05797774122055,378.9467363336483,,,,,,,,,,,,380.33142607793457,368.85534433370105,353.22642098713305,336.00198116031385,316.1356454001299,273.97502603575566,246.1648827538141,212.10571208274183,197.27046612487771,174.15647167370577,163.82127925469922,169.20058265283015,155.82505939628624,146.2373893684343,145.52305791879482,139.09870823489925,134.37185766526954,140.22691999442287
5,1986-03-14 14:59:46+00:00,255.11805721139163,281.6090370283104,304.1085305362552,303.12936843521885,292.2582142854978,289.05970421039865,294.60869095234693,302.60803896708353,310.20161990862266,325.0943553568952,344.1447137360585,348.19738540311687,343.01277273390195,340.9116505875989,324.83116072284713,337.320623042867,358.0418103113958,376.33905658654214,388.69759397842074,,,,,,,,,,,392.79820408063813,386.89325892078233,377.21860100698166,349.2880705754244,323.08302167566757,291.80400758078684,258.5686744054829,227.73983407880803,202.71895555198975,182.76370974530653,166.23822332793637,160.9669249577945,133.48530333473397,117.55936212197342,,,,
6,1986-05-17 14:58:17+00:00,273.9792792346224,280.80737094856727,301.4699752859925,294.8199290799551,288.4721908070655,281.2398767680246,281.24012841641814,288.89851098543744,294.89874648625533,313.2839236449707,331.0247130512024,336.06071831100496,331.530123361071,328.83927689655116,320.328713824769,338.7801236991422,361.1581771520642,383.286625201547,394.2648458390153,402.36258186047064,,,,,,,413.1004618724977,403.4092742515919,392.79888306292077,381.2836983721581,363.19580930215744,,,,,255.6786870467459,221.30945593363646,188.2587509949522,164.68102985156935,146.48190517012682,132.53962016807435,102.46243372226377,81.81730265207342,,,,
7,1986-07-04 14:56:48+00:00,257.6302666452835,275.7436144266856,304.08380138146725,303.298002068472,297.1817957611804,292.14717125939126,292.81782913714613,295.44987065328206,301.1687437543267,313.2925931354915,334.13386419113937,342.53241745698506,337.165277011255,334.4384328959208,319.7454690698782,336.56686723377726,362.497057052438,379.52105252266693,,,,,,,,,,,,,,,,,,237.23724696754988,205.10428771661842,177.12288029026024,157.72216313803688,142.54433608650388,132.31846350150667,125.51161098973006,110.17244929522282,107.96708064717086,108.64130747948555,123.9401067203256,132.74406864296654
8,1986-07-20 14:56:15+00:00,297.6596636634648,270.7193125670019,293.00462896065943,293.60375433301783,290.64347271501924,,,,,,,,,,,,,,,,,,,,,390.04101137707164,378.7280455067307,373.4023287790144,369.121652471855,358.4228753511812,347.9998883917957,,,,,236.72173373147444,198.50732889141548,166.13183562739425,148.63856257798307,134.06115302973032,130.24011892901325,121.0432574071581,106.72537088632623,104.88062463023168,108.55055449787521,112.92504201112803,130.74097833398864
9,1986-08-05 14:55:41+00:00,282.294429888065,268.57950744527784,289.7456255780292,286.5166027850075,283.7046174511276,280.731461369674,274.47110972976435,274.4098549741576,279.9912058985504,289.25176980475067,301.5605222801645,316.18887061280293,301.7814627760336,298.8216320253017,294.14845333956043,311.6944134448473,341.67175857584016,353.23415128391423,370.6699990062476,370.0873942726572,374.97965186857965,376.2321973625469,379.3935055501473,372.0969139512203,368.3847621384386,379.09684527181764,373.50510818443513,362.76931513056184,351.96285501593485,349.30503282599904,340.7303452322293,,,,,228.35662100269647,197.80662582173278,167.31580279408462,137.86009473583118,130.8175564867994,123.18865464617818,102.73485364500844,97.61650667028717,98.72331542298409,101.29810062028983,107.60064895687215,124.4831744061181
