dates,sar1242-0000,sar1242-0001,sar1242-0002,sar1242-0003,sar1242-0004,sar1242-0005,sar1242-0006,sar1242-0007,satname
1984-05-06 09:33:51+00:00,175.22,150.05,142.22,180.67,511.81,245.29,163.05,158.42,L5
1984-08-26 09:36:33+00:00,181.88,156.36,144.86,180.04,509.56,242.81,162.38,156.81,L5
1984-09-11 09:36:38+00:00,183.27,158.18,142.10,179.74,508.56,242.11,161.96,154.62,L5
1984-09-27 09:36:39+00:00,185.86,160.41,145.62,182.57,506.58,244.09,164.21,156.46,L5
1984-10-29 09:36:32+00:00,186.27,161.35,146.97,184.16,507.24,243.94,165.15,158.54,L5
1985-06-26 09:36:35+00:00,193.67,161.42,146.52,181.28,508.45,240.54,162.01,157.03,L5
1985-07-28 09:36:22+00:00,191.93,168.30,151.69,181.57,504.64,241.82,166.49,161.51,L5
1985-08-13 09:36:12+00:00,193.54,170.60,152.64,183.48,503.69,246.67,167.25,160.52,L5
1985-08-29 09:36:02+00:00,193.98,171.75,154.10,184.74,503.08,247.01,169.44,160.37,L5
1985-12-03 09:34:43+00:00,194.27,171.08,152.51,183.93,503.74,245.55,168.75,159.18,L5
1986-01-04 09:34:08+00:00,190.71,169.21,150.50,183.96,504.05,248.67,168.90,159.57,L5
1986-03-25 09:32:25+00:00,182.33,158.65,139.51,179.69,506.30,247.94,166.06,160.89,L5
1986-04-10 09:32:04+00:00,184.07,159.97,141.52,180.19,504.53,247.94,165.68,163.83,L5
1986-05-12 09:31:17+00:00,185.60,161.63,146.36,183.78,504.35,250.98,169.54,166.05,L5
1986-05-28 09:30:50+00:00,184.28,160.67,145.92,184.34,505.59,252.29,171.22,166.29,L5
1986-06-29 09:29:50+00:00,183.72,161.80,146.83,184.81,505.66,255.00,174.13,168.59,L5
1986-09-01 09:27:32+00:00,184.83,163.15,146.47,183.60,505.96,252.91,174.04,168.12,L5
1986-09-17 09:27:01+00:00,185.96,164.87,148.37,185.07,505.80,253.45,173.68,168.37,L5
1987-01-23 09:26:28+00:00,188.90,162.92,145.99,183.48,509.15,248.02,169.70,164.68,L5
1987-03-28 09:28:52+00:00,186.18,150.70,143.94,180.88,510.43,243.02,174.06,165.42,L5
1987-05-15 09:30:21+00:00,186.15,153.86,142.27,181.31,508.90,242.36,170.99,162.74,L5
1987-06-16 09:31:07+00:00,183.91,155.44,141.21,181.06,506.34,242.73,169.01,161.44,L5
1987-07-02 09:31:27+00:00,184.78,156.93,143.05,181.72,505.23,242.32,168.70,161.49,L5
1987-07-18 09:31:44+00:00,186.81,160.09,145.62,182.93,504.22,242.46,170.29,162.48,L5
1987-08-19 09:32:41+00:00,186.41,161.30,146.10,182.70,503.44,243.25,168.00,159.92,L5
1987-09-20 09:33:30+00:00,187.17,162.37,147.66,182.93,503.42,243.75,168.21,159.67,L5
1987-10-06 09:33:50+00:00,188.69,164.11,148.30,183.52,501.99,244.02,166.88,159.22,L5
1987-11-07 09:34:26+00:00,189.81,165.63,149.05,183.67,501.75,243.47,168.89,159.96,L5
1987-12-09 09:34:58+00:00,190.35,166.41,150.49,183.89,502.61,243.82,167.77,159.35,L5
1987-12-25 09:35:13+00:00,192.07,166.41,150.76,184.13,504.20,243.70,169.12,160.97,L5
1988-01-10 09:35:29+00:00,192.29,164.74,149.75,183.49,505.83,244.09,170.06,160.86,L5
1988-02-11 09:36:05+00:00,190.67,162.49,147.64,182.41,506.33,246.03,171.26,161.72,L5
1988-04-15 09:36:38+00:00,192.48,164.60,147.14,181.86,506.28,244.49,173.54,164.72,L5
1988-05-17 09:36:55+00:00,192.01,164.38,145.87,181.12,507.05,246.78,172.01,165.89,L5
1988-06-02 09:37:02+00:00,189.36,161.18,143.50,180.36,508.18,246.15,170.18,163.45,L5
1988-07-04 09:37:12+00:00,186.84,160.03,143.52,181.29,507.98,248.23,171.97,163.70,L5
1988-07-20 09:37:15+00:00,182.37,159.44,143.00,181.86,506.24,247.87,170.11,163.39,L5
1988-08-05 09:37:16+00:00,184.19,161.97,145.06,182.79,505.31,243.10,169.89,164.22,L5
1988-08-21 09:37:17+00:00,184.23,163.12,146.46,182.79,504.71,241.73,167.77,163.20,L5
1988-09-06 09:37:19+00:00,183.99,162.03,145.24,182.68,505.84,243.52,166.76,161.22,L5
1988-09-22 09:37:13+00:00,184.74,162.65,146.48,182.99,505.43,243.91,167.50,161.77,L5
1988-10-24 09:37:05+00:00,181.90,160.21,144.46,182.78,506.89,244.79,167.10,160.27,L5
1988-12-11 09:36:57+00:00,183.49,162.09,146.00,182.65,506.22,241.93,166.82,159.30,L5
1988-12-27 09:36:51+00:00,183.66,162.05,145.58,182.09,507.04,241.73,168.68,158.59,L5
1989-01-12 09:36:44+00:00,185.72,163.06,146.15,181.30,506.76,240.06,168.66,157.81,L5
