,dates,per0234-0000,per0234-0001,per0234-0002,per0234-0003,per0234-0004
0,1984-06-20 14:16:12+00:00,170.22029450457606,197.4701438706144,,,
1,1984-11-11 14:17:42+00:00,,,,,
2,1985-03-03 14:18:15+00:00,,155.36801149395674,,,
3,1985-03-19 14:18:14+00:00,,,,,
4,1985-04-20 14:18:05+00:00,,,,,
5,1987-02-21 14:08:52+00:00,204.1676092494406,,225.06088202272204,230.58595029696468,211.89593581795174
6,1988-02-24 14:17:33+00:00,198.32054198642294,,224.76706877581415,225.55683784953916,222.501505967985
7,1988-03-11 14:17:43+00:00,,,,,
8,1988-03-27 14:17:51+00:00,,165.8811082009923,,167.01045869590303,
9,1988-06-15 14:18:24+00:00,,149.43362179591978,,,
10,1988-11-06 14:18:26+00:00,168.82998062605077,,207.59751771645574,186.83661393281028,
11,1989-03-14 14:17:09+00:00,,,,,
12,1989-12-11 14:11:24+00:00,,128.50027967452337,,,
13,1990-02-13 14:09:22+00:00,189.1189987079047,204.41867824309324,210.57407443985807,221.34712157496293,216.59654513129112
14,1990-03-01 14:08:49+00:00,194.9759128134205,210.10921852112918,215.3424378933569,211.78151859137498,215.17336186378267
15,1990-04-18 14:08:03+00:00,178.6539478692006,204.38478073299865,222.30254797146551,215.35905290319954,198.74092586835832
16,1990-05-04 14:07:57+00:00,181.3070606669748,210.20474922843948,225.97522146289865,223.55196499348312,212.69265496155882
17,1990-11-28 14:07:06+00:00,161.3799117135904,190.4360398683634,212.19895231442155,200.49669743079275,177.24148174575913
18,1991-01-15 14:08:05+00:00,,,,,
19,1991-01-31 14:08:23+00:00,180.67514240054504,197.29523496177177,213.94186408023688,208.44610781489234,208.09170651574823
20,1991-02-16 14:08:41+00:00,,162.34811596000094,,174.5136644898899,
21,1991-03-04 14:08:58+00:00,183.74118399003808,,214.16341406900898,214.8277056576608,214.7219801092965
22,1991-04-05 14:09:31+00:00,217.4046684423605,,236.78068820843538,247.26108464235776,
23,1992-02-03 14:12:07+00:00,,,,,
24,1992-03-06 14:12:00+00:00,,150.80295463686457,,,
25,1992-06-10 14:11:15+00:00,,141.38582541968543,,,
26,1992-11-01 14:09:07+00:00,,,,,
27,1993-01-20 14:09:31+00:00,161.08645257191685,,218.6743350459516,,188.32088512520897
28,1993-06-29 14:10:15+00:00,,137.77148593730467,,,
