,dates,nzd0493-0000,nzd0493-0001,nzd0493-0002,nzd0493-0003,nzd0493-0004,nzd0493-0005,nzd0493-0006,nzd0493-0007,nzd0493-0008,nzd0493-0009
0,1999-08-17 22:13:13+00:00,,116.89841335719893,107.82215544883468,110.60842565929624,111.65525308351022,111.7305334603027,119.9895555396993,134.9102434343762,138.8242542933667,140.23898800918715
1,1999-08-26 22:07:32+00:00,,144.40306910791074,133.29777515920316,136.91930471598235,139.7699892253361,145.21991172160358,146.34820821333147,151.47751634403022,153.94776188059734,162.29123748452432
2,1999-10-13 22:07:36+00:00,,,114.19276098461629,120.17679578865523,120.65582524971143,129.21662631436539,137.27974653238974,141.6637728280679,135.93012858736003,139.10385684591174
3,2000-02-18 22:07:16+00:00,,138.9813691346713,127.95506777263714,123.96068766898762,140.16353053014564,137.8655814915902,143.103961219668,146.63505561470407,145.75937394287578,146.62563234517245
4,2000-02-25 22:13:25+00:00,,181.04324963113754,,117.72704941024496,120.33804317846088,112.00744249703247,119.48235399555195,128.8184757594864,126.16263438186441,126.64620181668286
5,2000-03-21 22:07:12+00:00,81.31649374107266,135.88685016727314,122.68933275317127,123.70565836260239,133.736062738615,137.7651805801888,138.1872162007367,142.44291462066846,139.19693972725213,139.61610987067388
6,2000-05-08 22:06:44+00:00,,136.52868038894707,133.7634615637271,137.1544986398938,141.93270723172796,139.4630791229433,141.72143974692855,144.1002320516048,142.7114011254878,143.37450407746485
7,2000-05-31 22:12:42+00:00,,,,121.03355155570637,124.37647045781581,130.97524199909466,136.21562457987602,143.9717453662364,144.04848671693398,141.92765057325533
8,2000-06-25 22:06:19+00:00,,,,,135.11317837662136,135.7189862710599,139.51278051210434,144.34499410899298,142.05136661706044,149.05269326068054
9,2000-07-27 22:05:48+00:00,,,,113.5277942448466,127.16076104172967,132.88228123517854,142.24900920453246,142.05368215606813,148.2274615462983,148.32036970904778
