,dates,mex0499-0000,mex0499-0001,mex0499-0002,mex0499-0003,mex0499-0004,mex0499-0005,mex0499-0006,mex0499-0007,mex0499-0008,mex0499-0009,mex0499-0010,mex0499-0011,mex0499-0012,mex0499-0013,mex0499-0014,mex0499-0015,mex0499-0035,mex0499-0036,mex0499-0037,mex0499-0038,mex0499-0039,mex0499-0040,mex0499-0041,mex0499-0042,mex0499-0043,mex0499-0044,mex0499-0045,mex0499-0046,mex0499-0047,mex0499-0048,mex0499-0049,mex0499-0050,mex0499-0051,mex0499-0052,mex0499-0053,mex0499-0054,mex0499-0055,mex0499-0056,mex0499-0057,mex0499-0058,mex0499-0059,mex0499-0060,mex0499-0061,mex0499-0062,mex0499-0063,mex0499-0064,mex0499-0065,mex0499-0066,mex0499-0067,mex0499-0068,mex0499-0069,mex0499-0070,mex0499-0087,mex0499-0088,mex0499-0089,mex0499-0090,mex0499-0091,mex0499-0092,mex0499-0093,mex0499-0094,mex0499-0095,mex0499-0096,mex0499-0097,mex0499-0098,mex0499-0099,mex0499-0100,mex0499-0101,mex0499-0102,mex0499-0103,mex0499-0104,mex0499-0105,mex0499-0106,mex0499-0107,mex0499-0108,mex0499-0109,mex0499-0110,mex0499-0111,mex0499-0112,mex0499-0113,mex0499-0114,mex0499-0115,mex0499-0116,mex0499-0117,mex0499-0118,mex0499-0119,mex0499-0120,mex0499-0121,mex0499-0122,mex0499-0123,mex0499-0124,mex0499-0125,mex0499-0126,mex0499-0127,mex0499-0128,mex0499-0129,mex0499-0130,mex0499-0131,mex0499-0132,mex0499-0133,mex0499-0134,mex0499-0135,mex0499-0136,mex0499-0137,mex0499-0138,mex0499-0139,mex0499-0140,mex0499-0141,mex0499-0142,mex0499-0143,mex0499-0144,mex0499-0145,mex0499-0146,mex0499-0147,mex0499-0148,mex0499-0149,mex0499-0150
0,1986-04-21 17:30:52+00:00,,,,,,,,,369.6060213372055,384.09334062138487,,,,,,,,,,391.5152694824373,365.63341565985917,,,,,,,,,,,,,,,,,,351.5131512842796,361.79429345461256,372.38215125439854,386.1240272907417,395.0704695365075,395.9895200534379,,,,,,,,,,,,281.9947994376539,293.0803361312877,287.7666936718106,282.07340476804904,276.2630452179035,263.50929602181685,254.58757836809644,247.1949694337507,228.48262359378577,218.59318967656034,215.72111994693887,210.4735067193723,215.33954880973903,,,,,219.18992530915915,209.1506688060669,202.21281914280672,201.26879038639382,208.2959603644226,217.20124768351718,234.02137872464795,237.96325242323303,239.11861649847327,235.78562974498115,232.80507343696502,236.65675726268066,243.42969850739172,249.0556530197385,263.0014278640597,265.4755977955159,280.11302964275285,284.60061054160064,274.9658742351554,266.2886805736588,252.03767081181013,239.63067053260454,225.49388415371078,217.863376274575,220.60624859855272,221.45743312887686,226.6960703208318,236.4219771103942,244.3862272460518,258.34265892180053,271.2018722374988,302.5164798663966,329.22365501021534,361.90981524507134,385.6590498576212,392.7338382962756,387.4921833755327,369.51326743211087,351.23055360863566,343.84520678512087,341.7276366428788,354.5492176060874,383.99261037708186,
1,1990-05-02 17:25:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.1307781188499,316.58127973406283,324.25044373086433,317.0707125418896,306.8156462621027,287.72925631582075,275.5282344253265,262.31808534639134,245.49631064897608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993-02-03 17:27:27+00:00,,,,,,,,,,,,,,,,,,,,,,,395.3392649154655,384.60588668819787,,356.3751098138272,358.26036787651685,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.54662592827935,333.8416915658445,324.33884033900756,317.7783159530446,308.5821160238419,292.6116845473175,278.4354858116186,270.20311923708573,263.2226629101687,244.35426974610428,233.908573633096,234.98912106910427,243.80715707094063,250.06825818538044,,265.19377043935805,,,254.46802666737273,233.61257625263815,218.53234806600477,213.2597910883363,211.5022300126593,221.19750963773885,237.3023699219494,248.87840296035426,254.4310077349092,257.2476318725957,246.45701444919607,244.21130376551696,246.54030975046226,255.90602077166216,263.13647680735903,263.3223469321004,274.71491044768965,283.86607422804036,290.7214269101793,282.8525068544707,268.4277614738314,252.2068530413112,243.77391679607743,234.4727239826133,232.59888688486842,237.94873120344673,237.6874009935462,244.93346479280763,254.71409626190194,267.54774720811395,278.90166749106,307.43675859918255,339.2321774058548,372.5742416390135,,,394.54710737455446,384.0635122286752,376.26920051594925,366.61600869660367,363.71140387838744,377.9255159788253,,
3,1993-03-07 17:27:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.56370386586445,310.0245302176335,297.56293773093637,276.4664088993376,277.1970536793495,275.5244033784845,269.81907914036765,280.87742089777,293.53852974646617,304.71215565163016,329.11069371165735,354.4571823300652,352.4425737272256,352.80129577950197,387.503748191155,,,,,,,,,,,308.72658686325303,290.3256472981279,277.129204299991,271.2164921711378,275.53913244514393,267.9853939610159,258.0925234987226,248.51207160264315,234.3530452381059,226.68036194188198,215.38342543410823,201.8557417638064,195.83766100657704,196.38618929108665,201.92613357348762,206.14568973297844,219.84193793388764,227.20995892974997,224.39314194716184,223.81200685038172,217.03435130937123,197.9640853310255,183.38569531695362,181.03993568263292,180.8417183854874,191.09900716678936,200.71952750619704,216.93577374661035,224.78797902398026,215.44761796533206,209.9098905444577,,,,,,234.52054246026563,241.53068910048245,247.18071192696019,244.24641419676308,223.44900032869012,205.4895518839967,191.6344041326825,192.77592743806002,191.87295789593827,196.94264838274427,202.7866603423179,208.4229457392563,216.8660072369201,233.5141127716085,253.27905808728528,267.60928572524654,294.9758061790706,325.125494371543,352.4408843051313,357.7323773325629,351.03253379714124,337.6605458685601,329.9863495770134,319.1301239393093,318.89168640911873,328.5792791243192,350.67647459333614,388.33085777007193
4,1993-04-08 17:27:52+00:00,,,,,,,,,,,,,,,,,346.56912774826196,352.23323170841695,346.0218598462875,380.8847090162323,395.43903752388337,392.9021166532549,369.9588276401648,348.497762908102,328.99974049022353,324.07103703673556,331.6414494090942,337.99896284632626,334.83167113392824,316.6489912253198,311.2428661349603,307.64586038474647,293.5890247511281,292.4886693539104,300.0740543521357,315.04220853492166,328.678955514764,349.1863809687583,358.3873596260148,365.1231920681824,381.7141423627944,,,,,,,,,,,,324.2466589013119,303.4074869611253,292.42931063251285,287.2251364848462,293.5045325752395,283.90722043032804,270.8974620650075,266.283248539535,248.67009611594267,241.9019639824416,234.4844624401087,217.92325135871073,209.2935364926417,208.78679674335422,211.33375462408412,218.50788554601706,227.61564730482948,237.94746802781086,240.48957635504308,234.34746383087057,230.18178900573213,215.19225917546967,189.8403905404796,184.9495359977035,193.29605415048238,203.52772936451237,212.94924850419795,223.33305189446685,231.2432931466916,229.07344845041348,219.0409935035652,222.83599402426967,228.56605909992092,222.7410749596828,231.47525297381466,237.8305429507684,245.2617214148134,254.33673228765588,258.6810246827031,256.1118345311285,236.83306067871422,222.22941010762975,210.58300698663294,207.1060714049522,204.31695549089588,205.7029978593936,208.72510271358718,212.93420812304936,224.13850848267708,237.45341984121274,261.38641193895285,286.9804399056956,311.11830870918504,344.89250253254176,371.66317409330713,378.1471178737871,367.34184768568696,352.60252761329883,342.7600434566094,328.6000628171863,331.2395058237127,341.68204971944016,364.93800361033675,398.3068397206372
5,1993-08-30 17:27:58+00:00,,,,,,,,,,,,,,,,,364.2260916020503,350.30454989571297,360.6268195181534,,,387.82307779677217,377.6746909142727,362.6735522013107,347.96379541476676,345.827273182805,345.3242284369847,344.73258463609875,346.4611566740306,323.524600402694,316.20884317905484,332.9095122959162,324.45597729030294,320.21057373930284,322.9888811428707,327.7714757047364,349.75766551178685,380.56024842353236,,,,,,,,,,,,,,,343.54839918413455,328.876193904043,313.1968281321817,309.3023475749047,306.26041917627253,297.1305053264467,286.4109267181319,272.83997894800893,267.6041347893349,261.84655972544874,251.86741811312993,237.0977678790739,227.46104890947527,223.8208488448911,225.82401920236452,228.32562396829883,239.98670778518377,245.20644361080159,243.82928433540502,240.16806747620063,230.69532321941793,219.13314695028532,209.84056302112484,205.92377064443178,205.75139161202287,210.41024876228965,216.74616614435874,232.64443051884348,237.2320675225488,231.63078104352374,230.42168171904777,229.04466320877623,229.97708425691482,233.3776793089541,237.45215817842282,243.67530505308684,249.37721579738619,258.2056769712937,261.96664901269,262.5648378048362,240.78981036667398,230.26626857896483,227.18954136101,221.17722609739846,214.78853746449585,216.65872629931033,223.87631170992302,227.8603080017466,236.79510407340035,256.28803346787373,276.13530710076276,287.9932015790978,305.2005794865806,335.95981672461266,356.92272955299694,362.50247941265945,365.605215437887,359.5849403707326,356.378408420868,350.5603344598537,350.54501150476403,365.8075398413755,381.08475145554803,
6,1993-11-02 17:27:40+00:00,,,,,,,,,,,,,,,,,353.3708749708529,349.3037958550541,359.54786490249694,374.3981784219053,390.0253357232391,393.89592064109945,371.0654982759198,346.49223585419986,336.03970281077324,327.2406077423226,330.46146462564747,334.83412110309627,335.8846046611901,319.3129363809269,312.8068127493905,322.2851571552128,316.2400392042693,305.1890948911524,308.4817257738164,332.72694077118854,349.89621541384673,363.8722229432593,371.81369852835644,385.322900180838,,,,,,,,,,,,,342.0826237013131,325.7703591240348,309.7450008993759,299.80358414565075,294.36302765951666,288.70028579740546,278.9820088621278,273.7939673700637,261.11211694946996,257.7208116878169,248.5055045377774,233.2923796510975,222.95256170948034,215.58538230085378,223.58157979997532,227.91615887484647,229.24517821121805,229.53194991339382,233.802989366395,230.85846126371774,222.9429541016617,211.73721994491527,204.3857582717376,197.31536558333636,196.90487007678337,205.12153465505992,214.46389125550095,222.9512695177339,224.5550900748752,223.5271677945386,219.4139156755922,216.79832863704752,221.04774548313398,229.108840298633,232.0464965576596,233.33888705895416,243.37633091655508,253.83618297630287,251.4132005678819,245.73319495188215,235.2807226908371,224.42401888293205,212.54496418451714,211.24176236556065,211.3095354672256,216.08192043063565,216.0891521839976,220.3811901086977,236.33304638793814,244.18287807521628,258.49622361118645,280.9721746673331,300.5012029731719,335.0208069853644,350.0099262872203,357.7757464211213,359.20090419860134,352.40434663552276,350.3096798002632,346.57398176489954,347.5468504855412,360.14602696281395,381.0925201433847,
7,1994-01-21 17:26:53+00:00,,,,,,,,,,,,,,,,,,,,,,,383.3199610751723,373.42775690230474,364.44067571107774,356.19194529112735,364.943858121955,360.9724996742019,352.68695677984465,352.6574762903324,357.3256120268772,350.942883058548,339.15001778605716,337.57150402648506,351.9972637189692,364.74316302303805,363.6545688200976,369.33707209138345,384.3249406238265,,,,,,,,,,,,,,371.5600706815329,354.4428701871908,347.0650776748497,337.6367607202907,332.69185536304053,325.7894818089035,309.1019890516907,296.84000739301746,284.59798610343466,281.3917465338631,271.1552919650089,263.83004722398505,256.70837510918545,249.26494535980027,249.62467874015954,256.72081788342575,271.3866857114068,274.18608139889716,276.0026905661495,274.5546882390665,265.18864938815847,241.58703353727435,223.4837589926084,218.49648463654873,224.17503443020766,230.0168786817627,234.8670037747616,253.22799580684176,259.6982017018524,251.1213731022295,245.42752652668906,241.1256395230538,240.88883748462536,247.83491476627987,260.79431606497985,269.8847397040872,275.9150789018022,287.24247993134816,297.66194616434984,291.8486885848773,270.15182409905583,251.9824636130407,243.77259665722084,239.6484139561968,238.4272772347353,242.70987483341494,240.34003654020466,244.7129578438434,253.84901281247156,271.0634614998294,294.1054428714916,311.6305266812103,341.2198069272568,382.56278733124634,,,,,,,,,,
8,1994-02-06 17:26:45+00:00,,,,,,,,,,,,,,,,,352.84911590805007,359.7779499150357,352.61064979790604,371.3491202032634,375.0579863136625,391.16635292887776,379.9290271294966,342.1005679716335,341.1052861316058,344.3925712711037,351.7321672379312,354.0097957349873,339.33073173701837,335.2178904875108,344.4867814654641,336.33191381325366,319.9883875207938,330.76598886667045,345.01223156434855,354.2834140817113,359.68175628425064,364.0395497305143,371.86816972124564,392.5354930553044,,,,,,,,,,,,,365.6240553782501,349.47824555465866,334.27830111940864,325.3217420300954,322.9446946390014,315.69689971855826,304.33226586010414,294.64781798709157,287.3897245932792,278.06024611080056,266.1252913098506,251.35218658260106,245.24446937513682,241.98397049552375,241.27362453314555,249.11890533509126,261.2220415798133,268.2150874294268,272.4390527032159,271.1002795559646,262.57852480954705,228.79971446846486,212.07808256085013,210.0214324139277,216.18197394351427,218.30607786564428,232.82421820062362,249.6750400810254,252.88817307861558,245.64764842891307,238.0806273861807,238.7273546223048,239.16666361039924,241.59840104227607,252.96563893546062,261.4380488061495,271.1360504182611,286.44040226277457,293.70243131829216,285.3147118918288,268.43626328990956,253.26049276176525,244.86860038100644,233.46894483464445,229.17990142941653,236.01172591327628,241.8737379488661,240.3450672814069,250.12053925298892,268.73290669571384,287.01469686644987,310.9522538860559,339.36311562906326,380.55202244621444,,,397.52970201331186,390.5919385345471,371.09448501514464,358.4973189495538,357.541184315399,369.5610247606639,,
9,1994-02-22 17:26:31+00:00,,,,,,,,,,,,,,,,,361.66308818275456,357.8187349462972,359.8744954053041,371.06524271618014,378.7816164610391,390.27048832679066,369.6693399521238,344.2698476663953,330.30448046138355,336.8021231209052,347.48887139324734,345.14410601894133,337.4744390401031,334.2518291209592,335.90395810040656,331.1565749165665,320.79416494871964,321.37160177993894,324.86878681267945,335.5890820073291,345.57985435875,358.8034176923474,365.5109023305057,377.86048367309564,396.9542117008202,,,,,,,,,,,,356.7645066722315,337.8405580047803,319.64558954913167,310.24549627959124,306.65191859521406,300.2576288464784,294.6893954741482,286.3494947207553,276.36380278699846,270.18377466903104,255.41616456287034,248.5747868399149,241.004968863842,229.61415846155336,233.19552784353,240.31332869154656,247.7967122620097,259.6680003916397,259.6533261611737,258.11620682709093,245.06079125694546,223.36595909382433,210.61324033648756,207.08870440019294,206.18605889157024,211.15804567112238,224.55009964940683,242.3545188615294,247.14726451454857,237.2284343501337,230.17150798366956,229.72567942272792,233.0786328292291,239.6778717638914,250.54398204526245,254.01918277982867,262.49562186246146,272.1958821245086,276.23693628914543,267.9378482029382,250.06160329871096,235.44710368784385,228.32526637787907,219.45995161783696,219.45695906802626,227.31063247032324,225.17096455797082,223.21441727135362,232.5298018591992,255.81412970945706,272.8285861010805,295.70005228773596,329.7374841898419,366.62018393664124,389.3824605428081,,387.55693585500546,369.9255729175096,354.3234890991109,344.13674100025594,345.2629140874086,357.36790106667235,383.2334121433888,
