dates,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0028,nzd0302-0029,nzd0302-0030,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041,satname
1999-08-05 21:47:23+00:00,338.41,351.07,,,,342.77,356.66,362.06,361.20,333.86,322.26,328.94,334.76,321.28,,,,289.39,303.14,317.43,365.23,375.53,366.54,348.00,347.98,353.29,366.29,368.70,,,,,365.23,356.05,353.99,359.01,370.05,359.67,359.26,360.83,367.55,360.54,L7
1999-08-12 21:53:32+00:00,363.49,369.29,374.30,366.54,367.24,357.15,355.82,353.42,347.60,320.45,309.38,341.47,355.05,,,,339.43,328.68,324.45,352.59,372.58,382.81,379.67,365.30,368.90,368.87,374.19,372.38,384.97,382.01,361.06,360.35,363.47,368.12,367.39,378.58,385.71,374.58,373.38,379.04,388.12,381.22,L7
1999-08-21 21:47:20+00:00,364.45,374.73,388.90,372.85,370.52,367.04,368.27,373.30,367.40,334.14,328.30,344.50,349.09,333.59,333.36,333.95,331.88,333.34,329.68,349.40,371.15,375.73,373.94,356.36,353.34,359.70,365.43,366.10,377.88,369.46,356.74,352.86,363.05,364.74,356.19,365.40,376.04,368.89,360.53,371.73,380.86,367.01,L7
1999-09-22 21:47:24+00:00,,430.76,450.11,,,,393.68,390.93,,359.60,353.70,373.54,380.51,,329.39,328.60,325.39,336.52,346.35,367.95,393.70,430.54,379.47,359.46,358.01,366.96,373.48,372.98,382.09,383.46,362.65,361.05,372.01,372.89,371.91,375.77,398.36,390.22,374.03,383.54,401.47,,L7
1999-09-29 21:53:40+00:00,387.45,405.44,416.23,400.95,393.72,375.74,373.88,384.25,370.36,342.09,340.74,353.30,356.76,334.24,329.85,329.03,326.69,331.24,332.30,366.07,388.70,396.68,378.00,360.70,363.65,368.08,366.85,370.60,380.83,374.40,357.73,361.92,373.39,369.05,364.10,385.81,385.97,377.64,371.16,381.82,399.20,380.96,L7
1999-10-24 21:47:20+00:00,,414.01,429.36,430.15,,377.63,367.70,398.67,406.83,357.29,349.37,355.68,356.41,352.93,330.51,333.52,332.12,342.36,344.78,363.62,381.12,391.99,370.47,353.09,354.16,365.32,361.12,364.87,374.06,367.88,347.91,351.42,366.20,368.33,370.10,378.83,388.61,383.38,379.35,384.88,383.76,372.00,L7
1999-11-16 21:53:32+00:00,,,,390.48,383.66,378.21,379.54,386.69,373.34,340.79,337.08,350.15,357.43,343.37,332.28,325.23,319.65,329.07,340.98,358.73,387.40,390.15,376.86,367.25,358.90,365.20,360.36,373.75,373.66,368.41,355.83,360.20,369.33,373.77,371.30,388.43,392.64,382.30,365.98,372.44,383.23,368.73,L7
1999-11-25 21:47:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.99,343.81,348.16,342.26,343.27,,,L7
2000-01-19 21:53:25+00:00,413.06,407.90,416.11,422.92,416.14,373.93,366.96,396.10,389.56,342.96,343.41,351.17,357.16,335.05,324.45,334.53,338.19,335.93,341.02,362.36,375.35,391.58,364.16,347.63,350.25,360.06,357.30,359.49,365.36,362.73,339.21,346.41,362.15,366.03,361.80,366.63,377.58,378.95,382.19,386.65,384.61,367.02,L7
2000-02-20 21:53:17+00:00,,370.64,378.12,,377.61,371.76,371.12,385.51,361.12,336.02,333.23,340.57,343.77,325.82,322.28,323.26,321.64,328.65,344.59,354.69,370.38,380.21,370.84,357.32,351.45,355.08,359.61,359.75,366.50,358.64,344.63,350.74,364.23,368.03,361.62,374.80,374.60,372.89,366.89,372.53,378.09,361.63,L7
2000-04-01 21:46:58+00:00,,,,,,349.30,355.73,355.58,349.44,332.20,328.52,,,,,,,,,,,,,,,358.27,361.05,,383.07,,,364.46,370.48,371.29,365.45,371.69,,,,,,,L7
2000-05-03 21:46:43+00:00,386.81,,397.92,397.03,390.49,374.43,374.26,398.75,371.03,348.03,344.99,356.92,355.10,342.13,328.42,329.79,327.57,330.83,342.11,366.72,376.25,387.10,372.54,351.07,355.14,363.69,360.98,367.84,374.26,363.68,353.74,355.00,370.65,370.26,368.69,381.42,397.85,383.44,370.35,374.74,385.66,370.93,L7
2000-05-19 21:46:31+00:00,354.81,368.93,378.19,375.35,375.30,365.45,366.31,367.66,357.56,333.28,327.46,341.03,340.20,324.19,318.35,323.31,320.92,326.42,341.47,352.40,372.58,376.38,368.78,356.09,350.47,354.14,358.85,358.85,370.88,358.17,344.11,348.73,359.66,363.75,357.97,370.21,375.97,371.44,364.64,364.42,376.51,359.68,L7
2000-05-26 21:52:36+00:00,369.15,386.04,395.09,388.91,387.22,377.16,380.09,384.67,371.72,348.00,339.06,354.45,359.02,338.21,,,335.47,342.13,349.14,366.78,380.69,386.66,380.06,363.89,359.59,369.11,367.81,372.54,384.66,371.80,360.63,357.97,373.80,374.23,373.31,387.33,393.72,382.54,377.58,380.54,385.91,368.92,L7
2000-07-13 21:52:07+00:00,396.12,401.27,404.07,409.42,391.79,372.37,371.95,368.89,357.94,344.20,335.17,354.44,370.18,340.16,313.49,313.47,326.98,334.35,333.80,343.26,377.43,382.54,368.55,358.54,353.99,361.29,362.50,363.51,368.86,370.74,367.09,350.42,359.35,356.19,349.84,367.37,372.17,367.12,354.34,362.32,383.07,371.91,L7
2000-07-29 21:51:50+00:00,,423.86,,,,,402.21,379.86,381.64,334.16,345.79,366.05,372.79,,342.82,354.83,352.60,370.13,336.03,379.45,413.32,,382.53,364.74,355.46,364.33,375.83,368.97,378.70,385.63,369.03,361.91,377.03,378.28,383.72,379.89,389.88,378.72,355.93,383.35,393.72,,L7
2000-08-07 21:45:32+00:00,361.00,376.72,387.93,383.84,379.71,372.10,369.16,372.53,354.77,330.26,332.00,346.33,345.54,327.29,324.09,326.99,328.00,333.98,344.86,359.48,383.02,387.70,377.82,363.47,356.14,357.48,359.24,361.13,373.62,361.22,352.92,354.97,364.96,367.27,362.74,372.80,373.81,371.06,357.53,365.43,384.76,369.99,L7
2000-08-14 21:51:44+00:00,352.43,349.11,368.35,359.26,366.24,358.01,362.44,364.11,342.84,317.72,318.14,329.51,333.62,315.11,313.29,309.34,310.12,315.36,335.46,352.45,372.60,375.08,368.32,349.29,343.99,355.46,350.09,360.50,369.22,355.12,340.10,340.00,351.01,354.60,353.09,362.32,371.18,361.95,350.30,357.77,368.96,356.07,L7
2000-09-15 21:51:13+00:00,357.38,371.97,378.20,375.83,371.06,366.23,362.84,363.96,355.57,327.83,324.02,338.97,341.80,323.51,315.78,314.14,317.33,321.73,331.46,352.54,370.40,378.28,365.93,354.12,352.25,353.85,358.92,356.93,368.86,362.43,345.21,347.54,356.48,358.96,355.33,365.51,369.81,360.45,355.98,361.44,373.19,361.21,L7
2000-10-26 21:44:46+00:00,390.84,399.98,406.70,412.94,389.78,378.78,376.51,397.69,,344.80,339.72,356.83,374.96,356.56,324.42,329.58,343.64,343.13,349.48,368.40,387.93,393.23,372.32,357.37,360.11,364.59,362.11,365.62,369.11,362.56,345.32,353.70,373.84,363.45,356.34,369.99,381.28,379.51,374.34,385.17,387.18,369.00,L7
