dates,nzd0119-0000,nzd0119-0001,nzd0119-0002,nzd0119-0003,nzd0119-0004,nzd0119-0005,nzd0119-0006,nzd0119-0007,nzd0119-0008,nzd0119-0009,nzd0119-0010,nzd0119-0011,nzd0119-0012,nzd0119-0013,nzd0119-0014,nzd0119-0015,nzd0119-0016,nzd0119-0017,nzd0119-0018,nzd0119-0019,nzd0119-0020,nzd0119-0021,nzd0119-0022,nzd0119-0023,nzd0119-0024,nzd0119-0025,nzd0119-0026,nzd0119-0027,nzd0119-0028,nzd0119-0029,nzd0119-0030,nzd0119-0031,nzd0119-0032,nzd0119-0033,nzd0119-0034,nzd0119-0035,nzd0119-0036,nzd0119-0037,nzd0119-0038,nzd0119-0039,nzd0119-0040,nzd0119-0041,nzd0119-0042,nzd0119-0043,nzd0119-0044,nzd0119-0045,nzd0119-0046,nzd0119-0047,nzd0119-0048,nzd0119-0049,nzd0119-0050,nzd0119-0051,nzd0119-0052,nzd0119-0053,nzd0119-0054,nzd0119-0055,nzd0119-0056,nzd0119-0057,nzd0119-0058,nzd0119-0059,nzd0119-0060,nzd0119-0061,nzd0119-0062,nzd0119-0063,nzd0119-0064,nzd0119-0065,nzd0119-0066,nzd0119-0067,nzd0119-0068,nzd0119-0069,nzd0119-0070,nzd0119-0071,nzd0119-0072,nzd0119-0073,nzd0119-0074,nzd0119-0075,nzd0119-0076,nzd0119-0077,nzd0119-0078,nzd0119-0079,nzd0119-0080,nzd0119-0081,nzd0119-0082,nzd0119-0083,nzd0119-0084,nzd0119-0085,nzd0119-0086,nzd0119-0087,nzd0119-0088,nzd0119-0089,nzd0119-0090,nzd0119-0091,nzd0119-0092,nzd0119-0093,nzd0119-0094,nzd0119-0095,nzd0119-0096,nzd0119-0097,nzd0119-0098,nzd0119-0099,nzd0119-0100,nzd0119-0101,nzd0119-0102,nzd0119-0103,nzd0119-0104,nzd0119-0105,nzd0119-0106,nzd0119-0107,nzd0119-0108,nzd0119-0109,nzd0119-0110,nzd0119-0111,nzd0119-0112,nzd0119-0113,nzd0119-0114,nzd0119-0115,nzd0119-0116,nzd0119-0117,nzd0119-0118,nzd0119-0119,nzd0119-0120,nzd0119-0121,nzd0119-0122,nzd0119-0123,nzd0119-0124,nzd0119-0125,nzd0119-0126,nzd0119-0127,nzd0119-0128,nzd0119-0129,nzd0119-0130,nzd0119-0131,nzd0119-0132,nzd0119-0133,nzd0119-0134,nzd0119-0135,nzd0119-0136,nzd0119-0137,nzd0119-0138,nzd0119-0139,nzd0119-0140,nzd0119-0141,nzd0119-0142,nzd0119-0143,nzd0119-0144,nzd0119-0145,nzd0119-0146,nzd0119-0147,nzd0119-0148,nzd0119-0149,nzd0119-0150,nzd0119-0151,nzd0119-0152,nzd0119-0153,nzd0119-0154,nzd0119-0155,nzd0119-0156,nzd0119-0157,nzd0119-0158,nzd0119-0159,nzd0119-0160,nzd0119-0161,nzd0119-0162,nzd0119-0163,nzd0119-0164,nzd0119-0165,nzd0119-0166,nzd0119-0167,nzd0119-0168,nzd0119-0169,nzd0119-0170,nzd0119-0171,nzd0119-0172,satname
1999-08-26 22:04:44+00:00,334.23,325.10,336.74,337.96,349.33,359.73,360.74,358.07,364.82,368.74,368.24,368.70,368.27,368.71,368.42,370.97,372.89,365.42,357.77,357.12,352.34,349.54,347.59,346.02,351.26,350.87,352.91,347.85,349.27,359.49,364.60,373.93,370.80,368.10,363.56,358.41,352.50,,359.97,351.72,354.69,357.94,359.43,360.06,363.39,361.55,361.40,366.81,364.35,356.06,359.23,357.22,344.07,346.05,354.45,355.02,355.24,357.31,361.25,361.61,366.23,364.75,360.73,366.53,357.56,365.81,366.59,372.03,372.05,365.66,355.14,357.19,358.22,354.00,355.64,361.28,361.39,366.51,358.20,345.48,346.99,348.67,346.83,348.58,349.16,352.93,357.00,354.95,357.92,360.89,363.26,360.41,365.57,368.68,374.63,377.60,370.86,366.12,356.50,364.84,366.23,361.86,365.34,363.28,359.25,367.61,367.67,368.92,372.98,373.68,367.45,358.04,355.89,356.94,358.14,362.05,358.94,360.82,361.82,356.51,354.58,349.35,350.05,357.96,354.13,345.34,346.67,355.96,360.51,373.04,373.49,369.08,367.05,366.94,371.32,366.65,342.02,339.45,335.04,335.97,342.28,360.10,368.36,382.19,390.00,391.70,390.44,384.33,380.54,372.17,370.01,372.62,373.27,374.65,372.74,373.94,376.58,380.45,381.74,394.01,391.84,394.55,392.93,389.86,391.13,387.29,386.37,388.48,390.23,385.68,388.57,388.12,373.08,L7
1999-09-27 22:04:48+00:00,,,320.78,330.57,340.37,351.41,357.52,353.60,,,,,,363.65,360.79,363.55,369.90,360.50,357.58,353.14,349.70,350.88,357.91,360.50,356.44,362.26,367.23,357.21,350.21,354.35,363.64,373.41,376.44,368.11,361.80,355.38,,,,355.35,356.92,355.91,365.15,367.67,,,,,,,,,,,,,,366.19,357.86,363.85,372.09,,353.83,371.28,368.98,367.55,368.87,372.25,370.24,375.26,375.80,370.95,371.83,371.37,368.70,365.85,368.14,357.37,360.98,359.40,358.62,361.00,359.60,357.81,357.41,359.21,360.87,364.59,363.95,364.71,365.87,370.24,376.95,373.71,376.23,375.62,381.12,382.57,378.27,370.84,373.18,371.02,368.49,372.77,372.23,369.20,376.68,378.84,375.69,374.16,375.74,370.43,370.98,370.67,367.32,368.38,370.00,361.06,361.41,360.92,362.24,360.03,354.08,354.05,359.33,364.88,366.95,367.70,368.48,374.34,377.06,374.56,371.81,,368.32,327.88,339.13,355.90,344.77,342.64,349.50,359.31,378.64,387.06,396.96,396.44,392.83,392.15,388.95,382.25,375.69,375.75,385.94,380.72,379.84,380.13,381.61,383.30,386.58,395.25,399.93,396.35,396.47,390.94,376.68,380.74,372.75,364.66,383.56,385.85,385.26,385.72,377.08,L7
1999-11-14 22:04:42+00:00,326.59,314.04,320.96,314.04,323.71,329.86,339.44,343.28,346.92,347.99,353.81,351.07,352.83,347.97,357.39,354.01,349.52,353.55,352.86,345.53,343.56,341.77,343.48,337.24,333.60,335.47,343.04,344.57,354.15,363.68,371.42,377.35,376.39,362.10,346.56,334.58,339.99,345.27,342.67,348.53,347.78,361.73,361.02,359.94,356.00,359.35,356.59,348.78,343.76,346.36,345.08,350.37,358.88,364.69,356.29,353.98,360.81,349.10,344.49,352.69,360.37,367.48,359.87,358.35,373.51,371.19,366.11,348.36,346.98,350.20,354.06,355.62,365.61,359.36,357.94,349.68,348.69,346.63,339.40,337.27,337.78,344.92,346.12,342.62,344.83,345.60,342.61,348.11,350.63,352.55,358.44,357.16,356.04,360.71,364.97,358.59,359.05,359.70,354.80,363.06,366.44,363.37,364.16,357.02,357.09,362.47,364.96,352.76,353.26,363.64,360.69,350.84,358.68,351.51,348.89,360.98,358.46,348.47,344.31,349.14,345.74,352.65,352.41,347.81,344.32,339.21,347.10,363.84,356.88,362.38,360.57,364.45,347.83,345.03,342.98,337.87,320.29,332.89,332.17,326.31,330.80,341.75,364.26,382.68,375.61,369.63,373.63,373.70,364.25,362.66,349.88,357.08,361.22,364.55,368.21,358.34,363.01,369.26,363.20,360.91,369.58,371.67,378.38,371.39,368.19,370.07,367.76,362.73,368.64,375.39,377.21,380.33,367.87,L7
2000-03-30 21:58:09+00:00,,,,,,,,357.32,357.02,357.91,362.33,358.35,361.91,363.40,360.67,357.99,357.09,367.16,365.46,358.06,,,,,,,,,,,,,,,,,,,,,,,,362.14,359.29,368.07,,,334.84,,357.01,355.47,356.10,356.61,355.96,355.35,355.49,355.35,351.24,346.99,356.09,347.33,352.22,362.11,362.00,368.64,368.77,363.92,363.70,367.35,360.80,362.02,351.74,349.21,353.68,356.30,354.16,352.08,349.41,345.72,348.02,347.35,349.86,346.28,343.61,352.12,353.75,354.44,360.87,361.94,360.50,366.78,365.45,365.65,367.15,366.98,371.14,370.41,364.08,360.84,362.89,364.73,365.27,360.53,361.43,366.74,370.25,368.26,360.91,358.92,360.61,363.73,359.99,359.30,359.50,358.74,362.61,355.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.47,364.93,367.47,360.75,363.89,356.33,368.38,378.68,377.81,374.05,377.40,372.30,376.92,372.65,372.69,371.40,371.53,373.20,382.01,388.28,382.11,371.13,L7
2000-05-24 22:03:46+00:00,320.79,326.42,337.93,340.13,341.59,338.50,,359.01,359.57,362.90,,361.66,363.23,364.63,363.42,361.34,360.80,360.74,360.63,356.99,350.49,347.42,,,349.21,350.40,351.22,352.71,356.97,363.47,370.12,373.74,372.05,,,355.02,355.65,355.23,356.61,355.74,356.71,356.79,366.48,367.75,,362.81,365.93,,365.06,360.51,357.64,352.71,360.64,368.81,,,360.33,358.39,,358.47,359.95,358.36,368.15,368.45,369.47,371.02,370.29,369.61,366.62,365.91,360.38,365.08,364.68,363.96,358.44,360.88,356.62,351.54,349.07,347.00,347.41,353.41,349.16,352.69,356.00,355.95,355.78,358.87,360.76,363.12,369.31,373.86,367.72,370.63,370.72,367.19,368.20,365.48,362.98,362.52,370.89,362.88,362.60,370.99,368.88,364.85,367.84,366.07,365.31,367.00,364.47,365.07,367.54,363.17,361.00,361.81,360.79,355.74,353.89,352.30,350.75,350.81,348.83,349.82,352.35,,352.69,359.89,366.56,367.14,365.72,,,,,,,,,,,,,381.45,390.71,386.94,378.64,372.11,371.01,364.83,366.57,366.65,365.46,364.77,368.14,369.81,371.21,370.30,369.44,377.69,383.30,381.93,379.00,375.46,368.99,378.67,377.56,376.40,384.71,380.39,387.56,386.70,371.65,L7
2000-07-11 22:03:17+00:00,,,,,,,,319.04,321.89,324.21,,,,,,,,,,314.98,,,,,,,,,,,331.34,335.76,333.54,,,313.34,,,308.85,,,,325.70,328.78,,,,,328.26,331.30,320.00,,,,,,315.08,300.64,,299.57,,,314.44,319.78,328.29,,,,331.69,,,331.94,332.98,,326.99,326.88,317.66,315.71,313.61,311.08,309.65,314.10,318.44,312.58,320.04,320.53,314.22,319.66,328.01,330.24,330.77,324.79,328.58,330.31,338.41,339.97,335.47,335.20,330.20,327.80,323.65,329.13,327.21,330.24,333.07,332.43,333.18,333.27,323.20,331.84,342.77,336.34,,,,,322.75,319.23,320.71,319.13,315.81,317.95,,308.79,310.04,,,326.95,330.59,330.14,325.47,322.93,324.23,,,,,273.15,279.46,,,,,343.35,348.12,339.38,,,325.34,326.46,327.46,329.42,327.96,330.27,332.03,332.45,326.34,329.45,333.10,337.46,328.54,330.47,327.05,326.74,324.37,322.33,320.26,322.57,330.77,349.61,,362.63,348.58,L7
2000-07-20 21:56:59+00:00,317.70,311.59,,,,,,333.07,340.07,339.04,,,,333.94,336.45,332.44,,,334.07,329.49,324.32,321.48,,,325.86,,,,,,337.77,339.67,340.70,,,327.90,323.78,324.69,329.08,,,340.45,341.21,343.58,,340.80,,,338.32,332.86,333.07,,,,,,327.56,315.99,,317.59,,314.77,335.98,337.84,336.43,341.05,344.07,345.63,345.86,343.09,339.04,346.38,344.79,340.32,339.57,333.95,336.49,327.07,325.12,321.63,316.35,323.12,325.19,328.37,323.01,328.57,328.82,333.94,338.89,340.98,342.59,337.54,339.41,346.76,352.12,349.45,347.18,340.30,337.11,339.09,337.86,340.81,338.30,342.13,341.15,348.36,347.83,339.47,335.97,343.02,348.08,349.21,345.43,345.08,342.33,338.83,337.57,329.25,328.81,325.70,330.48,326.67,,317.42,327.56,,332.92,335.78,327.03,338.35,347.34,345.41,329.81,,,,,294.16,299.44,,,,,362.28,362.03,357.82,,,341.75,346.86,342.35,,,348.21,346.28,342.33,338.63,344.39,348.24,351.49,341.06,352.41,336.68,338.12,342.00,333.12,342.42,345.24,344.99,365.10,369.97,371.38,359.46,L7
2001-01-03 22:02:12+00:00,336.02,321.58,335.01,339.84,325.73,339.95,353.52,342.94,340.15,349.17,354.58,348.31,349.33,344.58,343.35,345.49,348.61,348.13,343.63,335.87,342.70,332.70,336.21,338.77,335.78,331.57,331.51,335.15,342.51,348.54,348.90,358.05,351.65,350.32,340.40,338.17,337.34,349.91,349.54,345.43,346.77,354.77,353.47,345.97,361.06,361.20,356.25,343.09,343.27,348.22,346.44,343.05,341.13,350.64,349.44,350.43,337.18,340.59,332.57,346.06,358.02,352.71,353.55,365.45,366.72,357.73,360.50,356.61,350.36,348.87,353.40,348.84,350.33,355.05,346.47,343.64,352.40,345.86,336.10,345.19,341.08,330.90,343.24,340.80,345.37,346.58,343.88,344.57,346.61,356.61,358.45,356.35,358.87,357.73,363.00,360.63,360.58,358.77,358.87,351.74,344.90,348.38,355.57,346.41,347.15,353.01,359.85,358.71,354.64,347.73,349.85,362.69,354.47,357.39,355.06,351.25,356.06,347.36,334.51,334.49,333.77,331.33,333.46,337.75,329.31,325.48,332.21,344.29,353.53,358.01,356.27,349.00,338.93,346.30,345.23,328.56,317.17,328.40,328.66,321.11,333.60,347.86,356.67,363.37,372.87,363.80,359.99,361.36,361.85,359.41,350.52,354.15,353.47,352.48,360.17,362.12,356.95,359.50,366.38,362.35,363.68,367.63,367.03,366.65,366.58,369.45,367.38,361.57,363.41,368.76,372.19,376.71,364.94,L7
2001-01-28 21:56:08+00:00,345.24,339.40,349.81,342.45,341.09,344.48,348.08,347.41,349.17,353.61,359.51,352.50,354.91,357.40,358.36,359.92,355.79,355.41,349.90,351.26,348.90,342.56,344.77,347.04,341.71,342.62,343.12,344.29,339.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.65,376.79,377.89,372.45,374.17,367.50,367.54,369.08,352.68,346.53,358.76,355.21,353.05,354.25,350.28,352.51,355.92,355.86,360.41,369.47,363.04,363.28,360.81,357.92,351.40,361.05,369.92,364.53,360.97,367.66,370.25,366.41,371.65,364.20,358.74,356.51,367.11,365.78,368.96,373.12,377.24,373.60,367.60,370.65,368.89,372.75,372.50,364.84,364.41,356.72,358.53,358.16,351.97,347.35,351.34,347.20,,,,,,,,,,,,,,,,,,333.35,340.37,352.53,372.33,382.53,383.25,382.98,374.35,380.07,373.88,376.14,368.33,360.02,365.18,365.51,367.30,365.59,362.56,364.32,366.91,369.48,374.99,376.83,380.56,374.68,370.36,376.45,372.56,361.63,372.37,379.41,386.11,384.50,371.88,L7
2001-03-01 21:55:57+00:00,334.94,328.28,336.33,339.51,337.23,338.84,353.67,350.72,351.82,353.88,356.37,355.31,353.42,354.23,355.54,354.19,351.05,347.26,348.37,348.27,345.17,341.53,345.04,342.94,340.13,340.07,338.77,340.66,345.48,354.71,359.07,364.64,360.95,355.44,346.80,347.11,344.85,345.40,349.94,355.18,355.19,359.18,359.53,362.61,363.45,358.49,358.67,355.95,353.73,351.21,350.23,350.03,349.40,353.64,352.93,355.92,352.22,350.51,351.05,354.19,350.89,364.84,372.25,367.88,366.72,365.81,359.37,360.86,358.98,354.52,357.24,354.70,355.40,357.05,353.46,350.82,349.86,344.93,348.43,341.79,339.33,346.65,347.38,345.84,349.33,348.76,351.73,356.30,354.78,361.53,366.19,362.18,364.99,364.78,362.44,365.82,361.65,357.97,363.05,351.61,356.71,359.13,354.07,355.44,356.60,359.26,362.08,360.87,356.50,360.12,361.67,361.98,361.31,357.88,359.00,355.55,352.92,350.59,342.23,338.40,336.89,335.44,335.42,333.86,331.47,337.69,342.07,349.26,356.57,360.81,358.86,361.35,355.17,351.31,344.84,304.76,338.00,340.11,336.78,327.30,332.15,347.87,357.42,370.87,380.37,371.83,368.41,371.53,359.37,359.43,358.65,361.59,364.55,359.25,362.43,359.94,359.77,366.01,366.19,366.56,371.34,368.61,374.93,366.28,367.50,365.47,361.27,357.95,356.20,373.78,376.05,378.97,371.08,L7
