,dates,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0051,nzd0528-0052,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056
0,1999-08-17 22:13:37+00:00,,,,165.69089872402674,171.62823328800266,180.7847493196907,,178.70756286240282,,173.92502660107775,183.12618291773708,188.31457725407762,,,178.81210486536935,,169.76715874223942,183.78019839427327,167.36291913232722,169.19087272822367,176.59209582670582,,168.36699349694652,168.9002042057046,177.81586405433904,,164.34496018259907,165.6531603525799,186.4064291664173,196.46011097811265,,186.9474465198844,188.24931382630652,189.14403917963932,,191.68720957111339,193.08685494836593,181.5841463410741,181.77415813326823,181.9700052396496,175.15855359078733,,175.3892058113387,172.38376133045176,159.8762556250319,161.2836588599861,180.70563860628798,181.81807094902783,173.42278486166924,187.25538040275208,192.8325885363478,204.51102216006998,214.24228261419847,226.6206518043897,227.84166844529997,234.3327633513218,229.96714351164056
1,1999-09-27 22:07:36+00:00,171.94366731566015,,,157.63632094744816,158.74019274521268,167.95823984746607,,164.11919924125914,,172.14585457944887,180.43633181256584,185.87230312053717,,,185.74555454077245,,181.70991628832425,175.14818985274883,,184.3339455783572,178.5439237341443,,183.66835598304698,183.84755495294104,170.134450702287,,162.1898121917693,156.9221972337169,172.3163458283223,200.53637314716192,,,173.51907176734346,174.17541354710528,,184.8216802665576,182.03998353960213,186.1358335011819,184.96148536031527,179.56134028847507,,,163.44602053493068,155.49273744000718,165.56929389380306,171.75187731032813,178.3502902483043,175.20438873511333,169.3355628453999,174.0662033529185,191.7696780193588,196.17305150758335,195.32608563241462,214.24613750133614,213.57875054440623,209.1966551509412,205.01307789761648
2,1999-10-04 22:13:49+00:00,,,,,,,,,,,,146.7256158780834,148.79987639226985,143.3891382957211,,,,159.65579355155654,160.89296216201873,,,160.42283812503018,,,,,,,,,,156.91620354147787,,,156.2848679622908,,,,,,149.99641152215935,,,,,,,146.71898467946178,140.13397843039755,,,170.8688074827289,188.7356275751555,199.6689201437856,201.8738798092142,,175.08805252705574
3,1999-11-05 22:13:40+00:00,194.18364187688553,181.41248556534157,,193.66155567636105,200.93038121891647,209.36124121769984,196.42477918541647,196.87690665859967,197.04949365603065,188.6432916211087,186.65566047910775,,158.3826130740365,162.6439666288337,185.549785322716,197.32987494307693,209.43202431199757,211.70084625494127,210.15739167856702,,200.87590135849433,187.50158268944352,188.47333207793193,172.54464498826897,176.26852530930094,180.63120643492692,183.72723320419297,182.23541055084797,186.8852016936441,209.9203210217863,209.01534640920602,200.7965380268464,187.70454046113082,181.9531389505995,184.72869208849644,180.0497841314563,177.996122702341,180.19878474614674,189.20255012674798,205.57039251332796,,217.15917596910813,202.4203592098522,,,172.2963712872242,,160.7460518789232,147.1051849688727,,,186.93965078587462,202.3211427293637,199.67338863397808,190.77274903071483,,184.43776238692283
4,1999-12-07 22:13:41+00:00,205.00288616713956,195.15629097042907,196.12867616138212,202.55148765290636,,,212.82482237285978,,211.45304965264373,200.27667121698622,206.30693947180598,,188.28583990434493,187.88505124967617,188.8573082265595,207.8457811900635,220.6286795169439,,225.94810395067154,214.6112938308222,,196.49425387153232,,180.26339473753177,182.7677128939478,198.7811305211244,192.81771905590497,197.00797440416318,197.92054350641104,220.7108639845259,224.64581991700234,209.7919615052556,192.93217919265152,200.87117003565984,197.68829255472454,193.54278191306426,189.68803487724344,199.9332082788985,220.8934595857059,237.07632497478147,,,211.98792555583174,,,194.5838168427133,200.222377133498,188.79207314971688,180.9604606936952,185.14603759123017,206.28552467251572,214.06943967799495,208.98205618389085,203.14490064755452,,185.86192469652502,
5,1999-12-16 22:07:33+00:00,192.61816433104192,194.9030616938958,,200.45578569920679,,198.56467249637694,189.183919674133,,193.88230612748671,177.95155375986351,188.6474216313622,,173.28565381355799,161.33907634659943,171.60931815076043,207.22765819632858,208.86229871482405,207.82019061143117,203.54968916822278,201.33719243773865,,189.26281107612013,181.03057844538424,,180.59740526774144,187.32574532575018,184.8022007344821,181.48281734447485,184.03403546932097,198.8563352286678,,197.48669038953227,189.7004322438437,189.93123334526695,187.36207532261596,185.30340480266284,187.22763709615683,185.38790742085945,197.93870711970996,209.3239751842444,214.6289957626041,205.87132092179297,199.2706594643271,,186.6329710254861,184.42392171509536,187.6394175917341,177.42553425733107,174.29625453351062,181.89053006748162,194.57308809948157,194.03760992841745,198.60234883232377,192.5678626386817,194.29085662490562,,200.3155774895731
6,2000-02-02 22:07:23+00:00,171.22994759802512,163.24422752322133,175.76786185288637,,191.77178845806108,187.90917617914968,,173.453252223967,162.34542298941278,,163.7758412223749,163.52903753556524,168.84373230016857,174.80845767013597,176.81368428971044,173.76178205534057,,177.11214068841082,175.10643604152895,161.8311314160525,170.56337950946883,172.3994123344126,,169.56944022990734,161.4089331409074,166.63328509902533,161.67094940341167,160.53352769788955,166.9596191212355,182.15384793278713,,166.02675231322993,159.25512046931226,158.74201817028285,162.16944699322875,183.01952754209782,177.8703871417876,165.07285197103695,164.03810391899378,176.95177033257107,182.7582608866297,187.74625081093527,176.07106254244925,165.03578286822867,151.868367200029,,152.38725986580994,146.54497587143973,150.108497606081,167.50895143634096,178.61025748831207,175.56925890116003,176.5909861706841,177.24639731549462,177.51292379379865,181.39005399699073,184.58545720288328
7,2000-03-21 22:07:12+00:00,177.9966031528133,177.12662839523995,183.9471633693236,188.29796678164752,199.7965748294983,,207.06816372171411,210.6438673746799,,193.81270893306828,189.02486350289442,189.95933245029283,,184.8560667381138,180.08317549923424,181.44015800529402,,182.2058001149431,,181.50183004874478,176.3194161869709,174.59770912992465,185.65086623047077,196.35221219135926,,198.63586887031317,187.65498666147946,174.27898924057766,178.48896213948024,193.55767381992402,187.50959099842817,,186.2801380763679,,199.34627205611605,191.2711936206622,,184.50121728362436,186.71119925886404,185.32326097925633,187.50720185084583,,,162.76906051420772,163.19198660509338,164.66845554708397,174.1793565460013,174.6536581063531,177.65897481967704,184.00188335505234,184.3888933842179,179.00502513021164,192.1350476208581,200.80755331397617,,206.52343383885014,203.4807836608754
8,2000-05-08 22:06:44+00:00,,172.6164030214583,196.22596553388342,198.72050344401455,203.26346371109096,,,201.17720643806194,195.8913541003715,193.25449882311327,188.69724580221106,182.8212998391986,172.56542687753114,176.58518548712328,182.19158153451068,179.06447012857225,180.34861485633684,175.2146350620302,178.36291060059418,,168.78746380403868,,166.23358734274373,166.3364476367726,166.34459127545495,169.25889665756333,160.62031111645476,156.71728529235395,159.36534782788092,180.87609046879757,188.70711999173827,181.33632843082637,182.96827674539148,185.51168248002074,180.0432543206379,176.45100836912778,167.5917675921305,160.43595834744806,172.63581893856644,196.476095392193,208.15155711728232,196.57849198937558,,162.8691124269119,158.66463852181647,155.9250047521483,169.78705579477082,169.77506999405387,160.5450005035055,170.06632202607062,176.8181077513025,181.68599364412958,179.63851242015897,,171.80087058175116,180.39066768641845,191.34506111369166
9,2000-05-15 22:12:54+00:00,,,200.17031222204204,199.74799705222566,217.84175513900442,218.49079846888944,215.8822993948872,202.2706905512414,202.06705501261936,,,,,228.99555613346297,209.44617130339665,204.5584338124754,185.77345439626703,,180.2049791360078,183.38809621120893,179.22115605040153,175.15956860517667,177.55134797421877,187.56923733247314,180.79523449773066,188.11409895785852,176.5456331654485,173.39882105995787,173.07558257343618,191.52358745657722,,185.87925986999088,184.26507616352674,184.8196170259783,178.89585184304022,166.85016303010985,165.51459134589118,,,,,,,,,,,,,,,,,,,,
