dates,satname,nzd0095-0000,nzd0095-0001,nzd0095-0002,nzd0095-0003,nzd0095-0004,nzd0095-0005,nzd0095-0006,nzd0095-0007,nzd0095-0008,nzd0095-0009,nzd0095-0010,nzd0095-0011,nzd0095-0012,nzd0095-0013,nzd0095-0014,nzd0095-0015,nzd0095-0016,nzd0095-0017,nzd0095-0018
1999-08-26 22:04:44+00:00,L7,383.71,392.42,387.35,391.21,385.18,373.47,380.28,378.94,385.67,380.59,374.07,362.89,360.54,361.64,363.30,364.96,373.05,378.68,378.86
1999-09-27 22:04:48+00:00,L7,365.78,370.58,371.48,372.22,363.63,369.73,369.10,370.61,378.06,370.76,359.27,355.47,349.74,355.99,359.41,356.77,368.39,371.54,375.44
1999-11-14 22:04:42+00:00,L7,368.38,372.93,371.22,368.44,376.24,375.54,380.82,382.63,387.82,383.27,366.52,356.10,349.24,361.40,367.46,360.44,372.93,380.79,382.44
1999-11-30 22:04:35+00:00,L7,377.26,375.72,380.69,372.77,368.40,374.97,379.59,377.88,385.95,391.26,,356.65,353.71,355.68,359.00,362.86,359.50,,
2000-01-17 22:04:35+00:00,L7,387.50,390.19,387.49,389.75,386.35,382.89,384.49,392.11,394.80,431.81,,358.43,364.25,368.79,364.79,370.92,375.83,383.24,388.77
2001-01-03 22:02:12+00:00,L7,390.40,388.35,384.77,383.14,381.81,381.32,380.44,378.14,385.66,382.87,389.60,367.78,375.63,376.59,371.74,369.72,372.65,375.52,376.52
2001-03-24 22:01:59+00:00,L7,365.23,368.26,374.90,370.01,359.79,360.93,355.10,364.31,372.50,368.31,356.36,353.66,359.93,353.32,350.95,356.65,360.78,363.06,373.73
2001-06-28 22:01:09+00:00,L7,376.07,380.60,385.84,377.27,381.07,377.35,382.61,378.83,387.62,414.76,,371.08,379.31,374.95,373.62,370.78,374.18,382.47,384.61
2001-08-15 22:00:38+00:00,L7,389.40,392.80,390.41,400.30,389.48,391.14,380.27,386.81,393.35,436.15,,371.25,375.60,375.97,371.79,371.58,380.43,381.44,386.78
2001-10-02 22:00:04+00:00,L7,354.02,362.15,363.59,366.83,362.98,364.58,361.02,360.91,370.64,364.63,360.92,355.86,359.02,352.15,347.98,349.46,350.13,360.87,366.98
2002-01-22 22:00:40+00:00,L7,387.36,386.84,387.92,387.78,384.95,377.97,381.65,385.14,391.68,384.99,,361.43,367.68,364.07,366.80,366.07,375.31,381.88,389.36
2002-03-27 22:00:37+00:00,L7,367.31,366.46,375.28,371.72,365.44,359.29,367.64,371.80,380.81,367.11,359.51,348.72,351.46,346.88,351.22,357.67,363.39,359.72,369.32
2002-07-17 22:00:08+00:00,L7,385.99,382.72,389.53,388.67,383.30,379.54,375.07,384.84,386.54,386.76,378.71,362.32,371.55,367.47,361.68,366.06,371.85,375.10,385.70
2002-08-02 22:00:01+00:00,L7,378.91,390.86,395.16,389.79,385.37,379.15,369.81,373.03,387.65,383.59,385.23,370.91,377.19,367.71,365.98,366.82,373.18,379.89,389.53
2002-08-18 21:59:57+00:00,L7,391.97,391.16,390.85,389.41,382.54,376.79,368.65,382.28,393.99,433.25,,370.63,377.78,373.73,373.56,380.67,380.99,385.97,395.06
2002-10-21 21:59:36+00:00,L7,376.13,378.66,379.60,370.86,378.45,,,,,,,,,,,364.30,368.28,368.56,376.65
2003-01-09 22:00:09+00:00,L7,355.28,359.59,364.29,363.50,357.46,347.83,345.79,346.97,366.23,365.28,342.32,345.04,342.15,339.09,339.24,343.70,345.46,356.37,362.61
2003-08-05 22:00:11+00:00,L7,,,,,,,,,,,,,,,,,,,
2003-09-30 21:49:30+00:00,L5,394.24,390.76,388.22,388.71,387.76,379.04,367.84,367.99,367.40,369.69,370.39,364.89,368.17,364.33,363.63,368.95,372.34,374.63,383.80
2003-11-09 22:00:18+00:00,L7,385.30,382.17,383.76,376.14,373.74,371.96,372.20,369.89,376.04,375.39,369.98,,,363.62,360.18,355.96,363.06,365.60,372.96
2004-04-01 22:01:04+00:00,L7,391.55,392.40,396.14,393.97,389.52,382.40,386.05,391.40,392.43,390.12,,,372.25,368.22,371.89,374.35,375.03,382.01,387.22
2004-07-06 22:00:48+00:00,L7,383.45,391.26,390.85,385.02,381.60,374.59,381.93,377.05,,,367.50,367.09,373.49,365.06,369.91,369.99,377.93,382.96,383.50
2004-07-22 22:00:44+00:00,L7,376.98,382.14,385.38,377.24,376.55,376.53,372.34,,,380.57,364.71,359.25,360.36,360.82,356.27,364.00,373.14,373.95,377.52
2004-07-30 21:54:28+00:00,L5,403.23,407.93,396.75,395.47,389.63,385.14,383.15,372.37,388.34,394.82,385.94,371.55,380.43,376.46,367.46,360.04,365.14,369.13,
2004-12-21 21:57:36+00:00,L5,381.23,383.56,383.45,390.99,399.99,397.19,394.97,400.89,408.95,407.07,,351.79,358.55,359.48,358.95,361.19,374.32,389.88,397.52
2005-01-14 22:01:13+00:00,L7,364.82,362.45,368.08,364.30,360.40,362.03,,,,366.49,344.87,339.75,344.76,345.72,343.23,348.55,353.20,357.03,364.11
