dates,sar0662-0000,sar0662-0001,sar0662-0002,sar0662-0003,sar0662-0004,sar0662-0005,sar0662-0006,sar0662-0007,satname
1984-05-06 09:33:27+00:00,169.4,170.54,191.34,180.64,175.13,,350.65,291.63,L5
1984-06-07 09:34:18+00:00,149.95,151.93,175.22,,,,,,L5
1985-05-25 09:36:15+00:00,173.67,177.34,197.13,186.01,181.07,383.33,354.87,282.04,L5
1985-07-28 09:35:58+00:00,170.55,177.31,195.94,189.32,178.79,384.48,356.64,283.81,L5
1985-08-13 09:35:48+00:00,171.01,177.04,199.55,187.69,178.14,371.72,353.99,282.99,L5
1985-08-29 09:35:38+00:00,170.39,176.57,194.39,191.27,180.77,386.18,359.27,282.44,L5
1985-12-03 09:34:19+00:00,175.27,184.43,205.88,197.33,195.51,369.72,351.25,283.05,L5
1986-03-25 09:32:01+00:00,167.91,176.07,193.05,197.3,189.67,367.75,341.53,,L5
1986-05-12 09:30:53+00:00,178.42,178.38,198.39,194.37,180.99,388.64,363.06,282.24,L5
1986-05-28 09:30:26+00:00,172.19,176.99,197.78,185.72,174.72,384.88,357.27,286.67,L5
1986-07-31 09:28:19+00:00,170.79,171.07,195.31,181.85,172.33,384.2,356.21,284.77,L5
1986-09-01 09:27:08+00:00,169.62,172.45,192.93,180.3,172.94,369.77,352.51,281.58,L5
1986-09-17 09:26:37+00:00,171.41,177.24,197.32,190.11,179.35,384.64,356.89,279.32,L5
1987-01-07 09:25:37+00:00,179.82,180.78,198.9,192.99,182.44,369.36,351.8,286.37,L5
1987-01-23 09:26:04+00:00,178.24,178.95,194.07,189.52,174.14,364.12,338.49,300.82,L5
1987-04-29 09:29:30+00:00,180.37,184.35,200.78,200.72,187.88,384.01,355.92,284.25,L5
1987-05-15 09:29:57+00:00,180.92,184.9,207.53,202.25,185.56,387.61,361.47,279.17,L5
1987-06-16 09:30:43+00:00,180.37,183.36,205.2,201.06,186.53,384.66,356.93,277.72,L5
1987-07-02 09:31:03+00:00,179.19,181.62,199.34,198.9,182.11,370.05,352.84,280.61,L5
1987-07-18 09:31:20+00:00,170.89,175.62,198.51,189.16,173.06,365.02,345.56,270.82,L5
1987-08-03 09:31:49+00:00,179.83,186.68,200.16,199.06,181.86,387.03,360.58,280.94,L5
1987-08-19 09:32:18+00:00,177.96,184.05,199.41,198.71,184.86,384.76,357.07,279.1,L5
1987-09-04 09:32:43+00:00,174.56,182.79,196.27,194.3,177.17,,,273.76,L5
1987-09-20 09:33:05+00:00,186.51,185.48,206.08,201.89,187.33,386.83,360.27,268.38,L5
1987-11-07 09:34:02+00:00,,,,,,377.86,351.26,278.81,L5
1988-01-10 09:35:29+00:00,192.05,188.62,205.89,201.74,182.3,371.18,347.47,,L5
1988-02-11 09:35:41+00:00,184.93,187.32,209.8,202.37,188.97,366.96,338.65,,L5
1988-03-14 09:36:03+00:00,,203.63,214.09,209.96,188.34,371.21,352.57,277.73,L5
1988-04-15 09:36:38+00:00,,,213.74,198.57,185.03,,,279.95,L5
1988-05-17 09:36:32+00:00,184.8,200.14,206.88,204.52,185.66,383.59,355.28,270.34,L5
1988-07-04 09:36:48+00:00,183.19,200.36,205.76,203.55,185.84,349.36,346.88,272.72,L5
1988-07-20 09:36:51+00:00,179.82,186.79,199.58,198.86,179.1,367.38,347.94,283.67,L5
1988-08-05 09:36:52+00:00,178.95,182.63,198.95,198.51,178.36,367.51,348.83,289.32,L5
1988-08-21 09:36:53+00:00,186.45,197.09,206.96,201.57,183.11,368.29,349.7,284.58,L5
1988-09-22 09:36:50+00:00,186.09,203.09,208.3,215.01,189.23,389.73,364.75,271.17,L5
1988-10-08 09:36:45+00:00,179.16,194.06,203.61,202.11,183.24,369.92,352.28,279.11,L5
1988-12-11 09:36:33+00:00,180.51,187.86,204.95,204.42,188.01,369.65,351.43,277.55,L5
1989-01-12 09:36:20+00:00,175.04,179.76,196.7,191.98,173.45,353.51,338.02,285.2,L5
1989-03-01 09:35:54+00:00,181.42,185.27,205.13,200.6,185.17,365.06,345.94,280.14,L5
1989-03-17 09:35:16+00:00,178.84,185.2,195.62,201.91,193.82,367.93,348.79,273.13,L5
1989-04-02 09:35:12+00:00,183.34,191.72,199.85,201.91,185.87,371.73,353.29,271.61,L5
1989-05-20 09:34:32+00:00,186.72,198.17,209.54,208.11,196.42,384.86,357.23,275.51,L5
1989-06-21 09:33:55+00:00,186.03,195.63,207.34,201.95,184.4,373.5,351.15,279.67,L5
1989-07-07 09:33:39+00:00,174.03,186.31,195.49,190.51,168.96,,,294.89,L5
1989-07-23 09:33:21+00:00,179.66,192.57,197.7,205.89,178.44,366.55,347.05,287.97,L5
1989-08-24 09:32:39+00:00,179.29,189.19,209.63,209.82,198.25,374.9,351.38,280.51,L5
1989-09-09 09:32:15+00:00,,,,204.11,186.44,,,283.11,L5
1989-09-25 09:31:52+00:00,184.49,184.6,199.31,197.34,180.01,366.66,346.92,289.57,L5
1989-10-27 09:30:51+00:00,189.34,199.45,219.92,206.26,192.6,371.44,353.36,271.25,L5
1989-11-12 09:30:31+00:00,182.91,185.42,200.19,199.23,179.43,366.33,346.54,288.67,L5
1990-01-15 09:28:57+00:00,182.62,196.46,198.39,196.0,181.1,352.68,335.88,284.72,L5
1990-01-31 09:28:06+00:00,184.37,192.78,195.41,198.47,183.73,365.41,345.85,288.31,L5
1990-03-04 09:27:26+00:00,,,195.93,194.53,201.41,,333.17,286.99,L5
1990-04-21 09:26:22+00:00,183.41,195.44,209.37,206.53,,,,,L5
1990-05-07 09:26:19+00:00,186.3,201.52,213.13,209.72,188.64,,,274.78,L5
1990-06-08 09:26:19+00:00,182.72,188.94,202.45,200.92,181.81,365.36,345.31,289.61,L5
1990-06-24 09:26:18+00:00,180.25,186.58,202.73,200.76,179.04,367.28,348.5,284.87,L5
1990-07-10 09:26:16+00:00,181.35,183.5,198.95,200.96,179.21,377.91,351.19,288.22,L5
1990-07-26 09:26:12+00:00,182.28,186.48,201.79,199.99,182.01,367.93,349.74,290.09,L5
1990-08-11 09:26:07+00:00,198.76,206.9,219.18,213.57,200.65,,,264.6,L5
1990-09-12 09:25:59+00:00,187.01,195.93,204.88,200.99,184.55,384.98,357.41,286.55,L5
1990-09-28 09:25:50+00:00,188.37,197.48,217.6,210.2,193.38,369.23,352.49,273.36,L5
1990-10-30 09:25:35+00:00,185.26,197.59,201.39,206.22,184.7,,,278.71,L5
1990-11-15 09:25:37+00:00,149.18,160.81,171.61,184.96,169.06,371.36,353.54,276.05,L5
1991-05-26 09:28:46+00:00,179.48,189.95,196.81,208.55,187.08,,,276.05,L5
1991-06-27 09:29:13+00:00,176.93,182.47,199.64,196.57,178.81,368.89,350.38,291.81,L5
1991-07-13 09:29:21+00:00,175.36,189.34,200.28,196.41,177.46,365.92,347.02,283.02,L5
1991-07-29 09:29:36+00:00,174.45,176.95,205.31,200.66,182.28,376.88,351.25,289.09,L5
1991-08-14 09:29:39+00:00,187.22,200.87,208.75,209.43,185.68,405.45,369.61,279.52,L5
1991-09-15 09:30:02+00:00,177.22,187.45,200.11,200.12,177.59,373.06,349.85,282.59,L5
1991-10-01 09:30:07+00:00,179.92,185.53,202.62,201.09,186.11,383.35,354.91,285.98,L5
1991-10-17 09:30:18+00:00,171.43,182.82,198.7,198.41,173.88,,324.33,288.85,L5
1991-11-02 09:30:16+00:00,179.12,193.03,204.36,206.87,191.09,364.89,348.2,273.05,L5
1991-12-04 09:30:36+00:00,190.0,197.96,211.05,216.47,187.66,365.28,345.96,265.01,L5
1992-01-05 09:30:23+00:00,,,,215.16,200.93,356.67,348.19,,L5
1992-02-22 09:30:17+00:00,183.23,196.52,205.85,207.12,186.65,369.29,351.79,278.86,L5
1992-03-09 09:30:19+00:00,,,,210.21,186.69,350.37,338.17,270.37,L5
1992-05-12 09:29:51+00:00,189.16,195.05,210.56,206.34,186.41,383.38,354.95,281.56,L5
1992-05-28 09:29:42+00:00,180.25,196.59,203.47,201.23,181.1,,,276.06,L5
1992-06-13 09:29:31+00:00,176.55,188.45,202.98,201.26,173.31,,,275.63,L5
1992-07-15 09:29:08+00:00,178.55,185.88,205.71,199.93,179.2,368.67,350.99,284.3,L5
1992-07-31 09:28:56+00:00,184.75,194.68,210.31,201.91,186.92,383.0,354.37,278.07,L5
1992-09-01 09:28:26+00:00,175.51,181.1,196.83,194.04,177.42,365.97,346.33,295.75,L5
1992-11-04 09:27:22+00:00,176.06,188.32,202.84,198.06,178.57,,,274.06,L5
1993-02-08 09:28:02+00:00,174.64,184.45,193.56,197.54,172.21,,,275.15,L5
1993-02-24 09:28:05+00:00,178.21,189.28,194.95,193.25,174.8,387.57,361.41,286.06,L5
1993-03-12 09:28:18+00:00,192.35,200.93,220.46,211.84,188.53,,,269.68,L5
1993-05-15 09:28:37+00:00,175.91,181.68,197.9,191.45,174.37,,,293.82,L5
1993-05-31 09:28:40+00:00,181.55,192.5,203.22,199.63,179.58,367.98,349.93,290.78,L5
1993-06-16 09:28:38+00:00,180.12,186.24,201.9,199.54,183.81,368.27,350.19,282.13,L5
1993-07-18 09:28:32+00:00,174.21,183.11,198.88,197.56,173.47,367.77,349.35,284.24,L5
1993-08-03 09:28:32+00:00,179.06,186.1,202.06,198.0,178.33,369.01,351.13,294.47,L5
1993-08-19 09:28:32+00:00,179.77,192.57,201.5,203.35,179.59,370.82,353.39,289.73,L5
1993-09-20 09:28:26+00:00,183.51,201.81,208.7,215.01,185.86,370.43,353.37,282.03,L5
1993-10-06 09:28:23+00:00,181.9,194.32,210.88,206.04,185.83,369.19,351.13,284.93,L5
1993-11-07 09:28:10+00:00,,173.16,201.18,194.13,181.29,364.19,338.6,283.32,L5
1993-11-23 09:28:03+00:00,178.75,184.83,193.41,199.62,186.73,365.23,344.86,278.93,L5
1994-03-31 09:26:30+00:00,183.75,191.31,208.77,201.71,183.26,367.93,349.07,283.18,L5
1994-05-02 09:25:53+00:00,190.56,193.84,208.36,202.62,185.28,368.77,351.26,291.65,L5
1994-06-19 09:24:58+00:00,186.27,200.13,205.39,199.55,178.64,,,286.98,L5
1994-07-05 09:24:34+00:00,175.83,184.33,199.08,197.32,171.34,366.27,347.74,297.25,L5
1994-07-21 09:24:07+00:00,184.48,185.01,209.87,210.67,186.76,370.09,353.45,286.71,L5
1994-08-22 09:23:17+00:00,179.76,187.96,199.68,203.18,184.6,384.55,356.75,290.6,L5
1994-09-07 09:22:53+00:00,181.0,189.62,205.88,205.97,185.99,384.42,356.55,283.4,L5
1995-01-13 09:18:46+00:00,181.31,189.4,210.44,202.21,186.2,371.2,353.78,280.21,L5
1995-01-29 09:18:10+00:00,185.11,168.49,183.3,186.0,170.68,385.24,357.94,284.43,L5
1995-04-19 09:14:54+00:00,192.57,205.79,211.63,208.01,185.92,402.86,366.81,284.87,L5
1995-05-05 09:14:11+00:00,,,208.93,204.98,185.96,385.18,357.73,283.11,L5
1995-05-21 09:13:28+00:00,184.37,196.98,203.35,201.7,180.43,386.14,359.21,293.19,L5
1995-07-24 09:10:56+00:00,189.0,201.86,209.78,211.13,186.67,393.81,367.09,280.43,L5
1995-09-10 09:08:19+00:00,186.78,201.51,209.72,211.51,190.84,388.21,362.39,280.59,L5
1996-01-16 09:09:29+00:00,,190.98,207.09,200.65,,,,,L5
1996-02-17 09:11:43+00:00,183.84,197.17,204.7,204.79,185.06,383.13,354.56,281.4,L5
1996-03-04 09:13:10+00:00,183.47,195.73,206.43,204.96,183.97,369.76,352.02,281.02,L5
1996-05-23 09:17:41+00:00,185.34,191.33,212.44,202.12,187.65,369.95,353.68,284.08,L5
1996-06-08 09:18:34+00:00,,196.17,211.14,207.36,188.95,387.72,361.65,283.27,L5
1996-07-10 09:20:15+00:00,179.88,191.01,214.95,205.99,199.22,386.89,360.37,283.09,L5
1996-07-26 09:21:07+00:00,184.13,195.77,201.08,201.57,185.68,389.83,364.9,287.97,L5
1996-11-15 09:26:56+00:00,189.97,200.23,209.82,207.72,201.53,369.54,352.19,276.88,L5
1996-12-17 09:28:27+00:00,181.67,196.32,210.97,,,,,,L5
1997-03-23 09:32:37+00:00,195.26,204.51,222.49,212.26,194.81,369.15,350.22,280.33,L5
1997-04-08 09:33:12+00:00,178.84,187.94,204.17,203.56,190.68,,,,L5
1997-04-24 09:33:46+00:00,,,208.32,208.89,185.89,370.16,351.97,283.06,L5
1997-05-10 09:34:19+00:00,186.13,192.07,207.87,200.29,184.55,369.52,351.76,287.97,L5
1997-07-13 09:36:33+00:00,189.41,192.65,210.82,204.86,187.81,389.18,363.89,283.22,L5
1997-07-29 09:37:05+00:00,185.92,199.29,211.81,208.13,194.01,388.06,362.16,278.38,L5
1997-08-14 09:37:35+00:00,185.17,190.54,221.32,210.12,200.96,386.63,353.21,,L5
1997-08-30 09:38:05+00:00,185.8,194.24,206.76,204.76,189.82,388.05,362.15,282.02,L5
1997-10-01 09:39:00+00:00,184.66,197.03,203.54,200.36,186.84,387.38,361.12,285.97,L5
1997-11-02 09:39:52+00:00,180.82,194.22,204.51,205.62,185.83,369.6,353.16,283.59,L5
1997-11-18 09:40:14+00:00,183.88,193.78,207.22,207.35,186.31,371.74,353.8,278.37,L5
1998-01-21 09:41:44+00:00,176.88,187.09,201.35,194.05,179.1,364.1,342.1,286.02,L5
1998-02-22 09:42:24+00:00,205.1,195.19,201.52,,,383.35,348.71,,L5
1998-03-10 09:42:39+00:00,193.85,195.54,208.94,204.36,186.89,371.5,352.84,280.83,L5
1998-03-26 09:42:52+00:00,,200.5,211.06,204.49,186.48,384.76,357.07,282.82,L5
1998-04-11 09:43:04+00:00,188.09,194.97,207.88,204.59,185.46,371.55,353.58,283.08,L5
1998-05-13 09:43:32+00:00,182.01,190.46,204.94,201.04,185.51,370.68,353.2,285.52,L5
1998-06-14 09:44:01+00:00,184.66,194.78,205.85,204.17,185.95,404.94,370.39,286.22,L5
1998-06-30 09:44:12+00:00,183.67,193.79,196.91,200.3,182.92,385.2,357.75,287.18,L5
1998-07-16 09:44:23+00:00,183.82,190.06,206.67,201.78,185.98,384.42,356.56,284.6,L5
1998-08-01 09:44:28+00:00,177.77,186.82,198.83,200.06,183.33,370.09,352.02,285.95,L5
1998-08-17 09:44:36+00:00,186.14,193.25,208.01,202.75,185.95,387.41,361.17,283.25,L5
1998-09-02 09:44:48+00:00,176.51,180.02,200.04,198.32,178.64,370.62,352.82,283.33,L5
1998-09-18 09:44:56+00:00,185.85,194.07,208.59,202.36,185.8,384.23,356.25,282.94,L5
1998-10-04 09:44:58+00:00,181.25,189.43,201.79,200.4,186.18,384.16,356.16,281.96,L5
1998-10-20 09:44:58+00:00,179.33,182.5,198.95,198.88,180.51,370.04,351.42,290.84,L5
1998-11-05 09:45:03+00:00,185.4,188.16,202.06,201.21,184.26,,,283.47,L5
1998-11-21 09:45:10+00:00,185.14,196.5,203.65,200.4,185.77,383.72,355.48,280.18,L5
1998-12-07 09:45:29+00:00,177.58,181.5,199.38,198.32,174.78,348.24,333.2,298.38,L5
1998-12-23 09:45:11+00:00,184.88,197.51,208.86,201.08,180.14,365.03,348.73,279.92,L5
1999-01-08 09:45:10+00:00,164.91,177.1,190.99,190.2,184.76,355.85,343.89,,L5
1999-01-24 09:45:11+00:00,181.96,190.12,201.51,201.87,180.75,383.16,354.61,278.14,L5
1999-04-14 09:44:51+00:00,185.07,195.52,209.08,202.46,185.02,356.53,346.82,282.65,L5
1999-04-30 09:44:50+00:00,192.12,203.22,209.94,210.43,186.1,377.96,353.94,280.34,L5
1999-06-17 09:44:05+00:00,182.19,187.88,204.65,200.63,183.73,368.37,350.91,291.16,L5
1999-07-03 09:43:56+00:00,177.23,194.05,206.76,198.51,172.8,384.15,356.13,288.62,L5
1999-07-19 09:43:52+00:00,185.33,190.98,203.71,200.46,180.89,383.3,354.83,294.81,L5
1999-08-04 09:43:50+00:00,171.47,180.95,194.54,192.15,170.81,351.75,338.01,287.25,L5
1999-08-12 09:59:01+00:00,182.83,195.79,204.36,206.11,186.72,376.66,351.21,287.0,L7
1999-08-20 09:43:39+00:00,171.24,177.06,197.2,194.46,170.47,350.96,344.87,295.4,L5
1999-08-28 09:59:04+00:00,182.19,191.06,204.1,205.76,186.12,375.71,349.75,285.67,L7
1999-09-05 09:43:10+00:00,189.61,194.06,211.22,207.09,191.03,388.19,362.36,281.14,L5
1999-09-13 09:58:59+00:00,183.42,194.99,203.85,207.31,189.09,377.98,353.25,284.75,L7
1999-09-29 09:59:09+00:00,,,,205.49,188.59,376.56,351.05,284.61,L7
1999-10-07 09:42:45+00:00,188.34,194.8,209.27,207.46,185.24,383.33,354.87,286.94,L5
1999-10-15 09:59:06+00:00,186.04,193.84,208.12,206.13,193.15,374.18,351.09,284.86,L7
1999-11-08 09:42:06+00:00,188.42,194.19,206.36,202.34,187.5,365.43,345.17,284.4,L5
1999-12-02 09:58:56+00:00,,178.23,,,,,,,L7
1999-12-18 09:59:04+00:00,186.58,200.24,212.75,,,365.01,343.34,,L7
2000-01-03 09:58:57+00:00,,194.25,210.82,,,360.63,339.02,,L7
2000-01-11 09:41:07+00:00,184.99,194.34,206.11,201.94,,,,,L5
2000-01-19 09:58:54+00:00,,200.46,205.98,207.6,,327.45,,,L7
2000-02-04 09:58:54+00:00,,189.01,214.32,208.28,193.56,356.62,336.99,284.37,L7
2000-03-07 09:58:42+00:00,,193.55,204.16,204.58,185.78,337.86,336.12,288.01,L7
2000-05-18 09:42:19+00:00,177.16,183.78,201.56,197.73,173.52,341.85,333.3,295.3,L5
2000-06-19 09:42:35+00:00,179.1,184.76,200.06,199.41,187.12,350.87,335.12,286.03,L5
2000-06-27 09:57:49+00:00,182.96,190.22,205.58,196.12,179.92,341.36,335.32,292.76,L7
2000-07-29 09:57:19+00:00,179.6,191.05,201.81,198.87,179.73,344.65,335.61,293.69,L7
2000-08-14 09:57:13+00:00,182.25,195.56,202.57,203.83,182.84,360.28,345.07,290.45,L7
2000-08-22 09:43:52+00:00,176.61,184.26,195.71,190.58,172.25,,,280.97,L5
2000-08-30 09:57:02+00:00,179.27,189.68,202.01,194.66,179.41,359.62,343.78,291.38,L7
2000-09-15 09:56:43+00:00,185.5,200.04,203.95,205.84,185.15,374.99,348.63,287.88,L7
2000-11-02 09:56:30+00:00,,,187.25,208.41,181.83,330.78,328.17,284.28,L7
2000-12-20 09:56:33+00:00,187.34,193.02,211.68,207.11,,363.85,346.21,,L7
2000-12-28 09:45:50+00:00,171.96,183.62,199.0,183.04,158.09,,,295.82,L5
2001-02-06 09:56:32+00:00,185.39,196.34,212.27,,,396.51,368.58,,L7
2001-03-10 09:56:28+00:00,353.56,,211.62,205.19,,396.14,368.02,,L7
2001-04-11 09:56:14+00:00,350.96,188.64,208.71,201.42,184.14,373.47,346.29,285.39,L7
2001-05-13 09:56:03+00:00,356.42,202.56,218.65,207.21,187.27,374.47,347.83,286.14,L7
2001-05-29 09:55:55+00:00,353.71,195.1,212.99,206.04,186.41,363.49,346.13,287.19,L7
2001-06-06 09:46:30+00:00,191.57,196.95,208.41,202.77,186.09,370.98,352.24,288.31,L5
2001-06-14 09:55:43+00:00,183.85,192.43,211.94,205.55,182.72,382.19,357.02,288.4,L7
2001-06-30 09:55:29+00:00,181.92,186.58,205.29,202.56,182.5,362.14,346.24,292.24,L7
