dates,satname,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0044,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049
1999-09-18 22:13:39+00:00,L7,315.38,335.61,342.31,340.13,335.16,328.06,322.09,328.44,328.42,330.59,328.59,320.74,324.00,323.51,321.03,324.53,330.11,327.54,325.60,321.17,321.22,326.56,335.44,340.06,338.08,339.86,346.19,351.29,341.29,325.37,315.18,317.12,317.99,320.43,317.95,311.69,308.67,301.80,297.11,297.86,302.03,305.15,306.83,314.28,322.13,321.17,314.90,306.60,305.71,308.93
1999-09-27 22:07:36+00:00,L7,346.73,350.25,354.55,349.25,351.60,342.36,335.04,333.29,335.00,343.88,336.27,329.19,334.54,334.30,335.72,337.50,337.59,337.01,331.16,329.62,336.16,339.77,342.01,348.24,348.97,357.59,357.91,360.27,358.33,349.99,334.39,329.25,326.16,325.11,329.96,332.17,321.59,310.10,301.94,315.12,313.02,313.59,316.67,327.35,330.33,326.92,323.04,318.08,320.51,321.48
1999-12-07 22:13:41+00:00,L7,337.83,347.36,350.57,352.65,358.68,353.41,345.22,350.85,351.60,357.81,355.14,335.70,338.78,341.08,341.53,347.30,348.66,343.54,346.40,349.98,351.17,329.00,342.50,353.28,355.16,356.50,362.38,357.36,353.48,346.56,344.90,341.69,330.29,325.99,328.94,334.37,332.15,324.92,317.63,319.74,324.82,322.91,331.79,332.04,325.62,332.98,339.19,335.16,329.84,336.66
2000-02-18 22:07:16+00:00,L7,345.57,310.17,350.53,351.26,349.02,349.24,342.12,346.62,345.17,343.41,342.32,345.32,347.28,335.42,339.67,343.21,344.25,339.02,343.73,347.87,345.35,348.44,352.07,351.19,354.91,351.23,362.64,359.85,354.33,350.11,339.79,336.44,335.85,334.86,335.99,332.81,326.30,319.77,318.55,321.03,318.68,319.90,324.16,332.50,336.04,331.48,325.93,323.28,323.56,328.65
2000-02-25 22:13:25+00:00,L7,311.51,321.66,330.45,338.50,326.79,324.20,328.67,332.34,338.01,341.22,349.72,360.18,344.87,366.63,338.99,326.11,,,,,,,,,,,,,345.93,346.84,332.24,326.08,315.74,324.84,321.29,316.48,313.12,300.67,298.28,301.24,288.53,283.53,283.12,300.28,,285.20,313.89,313.68,313.21,323.58
2000-04-13 22:13:06+00:00,L7,302.92,305.42,319.73,322.86,327.57,325.27,320.80,325.99,331.23,323.95,326.14,317.80,316.18,316.71,319.40,321.63,323.77,325.25,327.87,322.84,320.47,318.54,329.25,335.19,334.89,330.46,334.31,343.00,339.70,332.42,322.25,315.45,315.39,310.88,313.64,314.95,313.38,303.27,292.88,283.57,286.98,294.31,303.55,310.07,310.70,309.63,307.09,302.73,302.88,303.02
2000-05-08 22:06:44+00:00,L7,316.52,312.75,335.94,344.58,342.62,344.99,338.15,334.14,344.95,346.52,341.89,335.75,336.48,333.75,331.66,338.01,342.04,342.96,340.07,334.95,345.63,352.50,358.45,359.38,356.31,354.22,355.74,358.55,352.96,349.37,338.72,335.20,331.65,330.68,335.28,333.98,334.10,320.71,316.87,316.90,315.71,326.29,327.84,335.97,335.71,330.64,325.90,324.55,324.12,335.69
2000-05-15 22:12:54+00:00,L7,327.10,349.17,354.96,359.14,354.20,354.86,341.53,344.49,355.46,363.07,353.41,343.84,344.91,335.87,339.18,346.22,350.05,350.63,344.70,347.67,356.79,355.42,358.31,369.76,367.45,362.33,366.38,365.79,362.42,358.68,347.45,339.36,336.87,340.68,338.46,337.14,335.35,331.44,326.00,319.91,323.67,332.11,336.61,339.90,337.69,336.53,336.24,330.94,333.17,333.71
2000-05-31 22:12:42+00:00,L7,316.87,328.28,335.98,348.55,331.23,337.70,331.92,,336.71,349.09,337.14,320.27,322.75,331.77,330.41,330.92,333.77,330.22,325.76,340.22,340.17,347.96,352.11,349.87,350.44,352.18,345.68,355.37,349.90,347.36,326.76,325.17,329.01,324.69,333.30,320.58,321.27,316.63,313.49,316.30,314.30,326.78,323.03,326.09,324.08,322.60,317.07,314.20,308.52,317.82
2000-06-16 22:12:38+00:00,L7,323.21,334.10,344.74,362.40,350.27,352.74,350.60,343.80,343.16,344.18,338.56,332.55,343.97,339.56,342.16,343.50,348.83,349.20,348.59,341.49,340.71,338.02,351.36,355.62,356.71,356.06,359.37,357.28,352.23,340.71,338.44,330.51,325.34,322.84,328.54,327.19,329.98,312.30,304.09,301.59,304.20,315.40,324.34,332.34,325.44,328.16,314.32,317.62,326.33,319.50
