dates,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0044,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049,satname
1999-09-18 22:13:39+00:00,321.59,342.99,352.14,348.56,344.24,335.93,327.45,334.65,333.34,339.02,337.67,328.12,332.43,329.41,330.86,332.96,336.01,335.97,334.03,329.04,328.60,332.46,341.65,347.00,344.64,346.80,351.81,358.23,348.67,331.93,322.12,324.06,324.55,328.30,323.57,317.59,315.23,307.16,305.54,305.73,311.11,311.36,309.78,317.23,327.75,324.12,317.85,312.50,311.33,318.01,L7
1999-09-27 22:07:36+00:00,329.32,340.87,345.68,342.34,340.85,333.01,327.06,329.13,330.33,334.88,329.89,322.90,326.91,327.25,325.62,328.66,332.20,329.92,326.02,323.20,326.63,331.51,336.99,342.21,341.69,346.78,350.48,353.84,347.75,335.85,322.85,321.25,320.25,320.57,322.38,320.28,313.30,304.45,297.17,304.29,304.99,307.63,310.92,319.99,324.66,323.22,318.14,310.69,311.54,312.67,L7
1999-12-07 22:13:41+00:00,329.91,340.37,343.75,342.73,343.51,336.97,331.18,334.12,335.65,339.48,335.03,324.50,327.82,329.73,327.37,331.83,335.55,331.41,329.77,329.28,332.14,328.54,336.58,343.39,343.81,347.51,352.41,352.50,346.99,337.05,327.69,325.55,321.22,319.53,322.54,322.84,317.21,309.33,300.94,306.60,308.32,310.48,316.81,322.94,322.95,325.41,324.09,316.71,315.61,317.38,L7
2000-02-18 22:07:16+00:00,331.90,330.54,342.40,342.25,342.08,337.60,332.25,335.33,336.51,337.85,334.04,327.43,330.08,329.33,327.40,332.06,335.90,330.71,330.65,331.50,333.17,331.69,338.53,343.19,344.56,346.30,353.23,352.19,346.55,338.29,328.56,326.12,322.85,320.93,324.16,323.51,317.46,310.28,302.74,307.77,308.10,310.92,317.74,324.42,324.48,326.01,323.64,316.53,315.86,317.39,L7
2000-02-25 22:13:25+00:00,328.52,329.59,341.11,342.44,340.04,335.80,332.14,335.42,337.36,339.47,338.19,334.80,333.98,329.33,330.82,331.82,335.90,330.71,330.65,331.50,333.17,331.69,338.53,343.19,344.56,346.30,353.23,352.19,347.25,340.73,330.08,326.89,322.16,322.59,324.22,322.76,317.32,308.96,302.79,307.35,305.20,306.13,311.14,319.92,324.48,318.18,322.02,316.62,315.96,319.65,L7
2000-04-13 22:13:06+00:00,323.25,319.72,335.90,339.67,338.75,336.50,333.15,337.74,340.54,339.96,341.56,338.31,335.13,328.44,332.98,332.92,336.26,332.18,335.57,336.72,335.71,329.36,338.50,343.45,345.39,342.96,350.60,350.30,346.92,342.70,333.44,328.56,323.04,322.61,323.87,323.50,319.96,311.11,305.19,304.86,302.98,303.95,310.08,318.15,321.61,314.25,320.95,317.56,316.28,321.21,L7
2000-05-08 22:06:44+00:00,321.90,318.32,335.91,340.66,339.52,338.20,334.15,337.02,341.43,341.27,341.63,337.80,335.40,329.76,332.72,333.94,337.70,334.87,336.70,336.28,338.19,335.14,343.49,347.44,348.12,345.78,351.88,352.37,348.13,344.04,334.50,329.89,324.76,324.22,326.15,325.60,322.79,313.03,307.53,307.27,305.53,308.42,313.63,321.71,325.13,317.53,321.94,318.96,317.84,324.10,L7
2000-05-15 22:12:54+00:00,322.44,323.07,338.56,343.29,341.48,340.55,335.09,337.93,343.50,344.45,343.10,338.41,336.54,330.61,333.27,335.53,339.79,337.48,337.76,338.05,341.43,338.82,346.05,351.45,351.57,348.64,354.42,354.60,350.12,346.13,336.28,331.09,326.43,326.55,327.90,327.20,324.53,315.81,310.16,308.95,308.06,312.04,317.30,324.58,327.28,320.53,324.17,320.64,320.10,325.22,L7
2000-05-31 22:12:42+00:00,321.32,323.44,337.69,343.61,339.55,339.74,334.37,337.93,342.28,344.68,341.79,335.44,334.14,330.45,332.36,334.45,338.44,335.77,335.26,337.94,340.79,339.99,346.69,350.78,350.99,348.82,352.63,354.32,349.71,345.97,334.57,329.89,326.46,325.88,328.39,325.96,323.73,315.65,310.20,309.60,308.49,313.83,317.97,324.65,326.42,320.68,323.00,319.42,318.16,323.70,L7
2000-06-16 22:12:38+00:00,319.21,321.51,336.81,344.96,338.31,339.61,335.11,336.72,341.05,342.70,339.38,334.96,334.84,330.16,332.40,333.86,338.44,336.67,335.57,336.48,339.00,341.46,348.14,351.13,351.21,348.71,352.10,354.27,349.50,345.10,333.61,328.26,325.73,325.39,328.30,324.90,323.39,313.83,308.23,306.97,305.51,312.72,316.89,324.68,326.36,319.98,319.43,316.89,317.63,321.21,L7
