dates,nzd0514-0000,nzd0514-0001,nzd0514-0002,nzd0514-0003,nzd0514-0004,nzd0514-0005,nzd0514-0006,nzd0514-0007,nzd0514-0008,nzd0514-0009,nzd0514-0010,nzd0514-0011,nzd0514-0012,nzd0514-0013,nzd0514-0014,nzd0514-0015,nzd0514-0016,nzd0514-0017,nzd0514-0018,nzd0514-0019,nzd0514-0020,nzd0514-0021,nzd0514-0022,nzd0514-0023,nzd0514-0024,nzd0514-0025,nzd0514-0026,nzd0514-0027,nzd0514-0028,nzd0514-0029,nzd0514-0030,nzd0514-0031,nzd0514-0032,nzd0514-0033,nzd0514-0034,nzd0514-0035,nzd0514-0036,nzd0514-0037,nzd0514-0038,nzd0514-0039,nzd0514-0040,nzd0514-0041,nzd0514-0042,nzd0514-0043,nzd0514-0044,nzd0514-0045,nzd0514-0046,nzd0514-0047,nzd0514-0048,nzd0514-0049,satname
1999-09-18 22:13:39+00:00,321.59,342.99,352.14,348.56,344.24,335.93,327.45,334.65,333.34,339.02,337.67,328.12,332.43,329.41,330.86,332.96,336.01,335.97,334.03,329.04,328.60,332.46,341.65,347.00,344.64,346.80,351.81,358.23,348.67,331.93,322.12,324.06,324.55,328.30,323.57,317.59,315.23,307.16,305.54,305.73,311.11,311.36,309.78,317.23,327.75,324.12,317.85,312.50,311.33,318.01,L7
1999-09-27 22:07:36+00:00,337.05,338.75,339.22,336.11,337.45,330.09,326.68,323.61,327.33,330.74,322.12,317.69,321.40,325.10,320.39,324.36,328.39,323.87,318.02,317.35,324.66,330.57,332.33,337.42,338.75,346.77,349.15,349.45,346.83,339.77,323.57,318.43,315.94,312.84,321.20,322.97,311.37,301.74,288.80,302.85,298.87,303.91,312.07,322.75,321.57,322.32,318.44,308.88,311.75,307.33,L7
1999-12-07 22:13:41+00:00,331.09,339.36,339.90,343.51,348.83,344.88,339.40,344.11,346.27,348.67,345.29,327.70,329.64,334.68,330.86,338.16,342.26,334.40,337.26,341.45,343.17,322.60,335.76,345.75,348.05,348.97,356.28,349.83,345.48,339.45,337.37,334.16,323.18,317.46,322.84,327.97,325.04,319.10,308.49,311.21,314.97,316.17,328.59,328.84,319.52,329.78,335.99,328.76,323.74,326.81,L7
2000-02-18 22:07:16+00:00,337.89,301.05,338.36,340.83,337.79,339.51,335.48,338.94,339.09,332.98,331.09,336.19,336.85,328.12,327.50,332.78,336.95,328.59,333.30,338.14,336.23,341.14,344.39,342.60,346.80,342.64,355.69,351.26,345.20,342.00,331.20,327.85,327.74,325.13,329.04,325.51,318.19,313.13,308.12,311.30,307.45,312.22,320.51,328.85,329.09,327.83,322.28,315.98,316.61,317.42,L7
2000-02-25 22:13:25+00:00,314.98,325.79,335.95,343.21,331.87,328.60,331.67,335.81,340.76,345.93,354.80,364.31,349.58,,344.49,330.82,,,,,,,,,,,,,350.06,350.51,336.12,329.96,319.41,329.24,324.43,319.78,316.79,303.67,302.99,305.64,293.61,287.00,284.77,301.93,,286.85,315.54,316.98,316.35,328.66,L7
2000-04-13 22:13:06+00:00,309.03,312.67,329.40,331.15,336.49,333.00,326.07,332.10,336.06,332.24,335.06,325.05,324.47,322.51,329.07,329.92,329.57,333.54,336.16,330.57,327.72,324.34,335.36,342.01,341.33,337.28,339.83,349.82,346.95,338.86,329.07,322.27,321.83,318.61,319.16,320.75,319.82,308.54,301.17,291.30,295.90,300.42,306.45,312.97,316.22,312.53,309.99,308.53,308.40,311.94,L7
2000-05-08 22:06:44+00:00,316.52,312.75,335.94,344.58,342.62,344.99,338.15,334.14,344.95,346.52,341.89,335.75,336.48,333.75,331.66,338.01,342.04,342.96,340.07,334.95,345.63,352.50,358.45,359.38,356.31,354.22,355.74,358.55,352.96,349.37,338.72,335.20,331.65,330.68,335.28,333.98,334.10,320.71,316.87,316.90,315.71,326.29,327.84,335.97,335.71,330.64,325.90,324.55,324.12,335.69,L7
2000-05-15 22:12:54+00:00,325.10,346.80,351.79,356.43,351.28,352.33,339.80,342.49,353.88,360.36,350.49,341.46,342.20,333.97,336.01,343.51,348.15,347.92,341.99,345.14,354.42,353.52,356.31,367.52,365.34,360.09,364.57,363.55,360.05,356.57,345.21,337.12,334.76,338.15,336.65,335.24,333.24,329.71,323.29,317.38,320.75,330.11,335.66,338.95,335.88,335.58,335.29,329.04,331.36,330.79,L7
2000-05-31 22:12:42+00:00,314.66,325.65,332.48,345.55,328.00,334.90,330.01,,334.96,346.09,333.91,317.64,319.75,329.67,326.91,327.92,331.67,327.22,322.76,337.42,337.55,345.86,349.90,347.40,348.11,349.71,343.68,352.90,347.27,345.03,324.29,322.70,326.68,321.89,331.30,318.48,318.94,314.72,310.49,313.50,311.07,324.57,321.98,325.04,322.08,321.55,316.02,312.10,306.52,314.59,L7
2000-06-16 22:12:38+00:00,316.26,325.85,333.74,352.97,340.12,343.94,344.60,336.85,337.66,334.75,328.41,324.30,334.54,332.96,331.16,334.07,342.23,339.77,339.16,332.69,332.46,331.42,344.41,347.86,349.38,348.30,353.08,349.52,343.98,333.38,330.68,322.75,318.01,314.04,322.25,320.59,322.65,306.30,294.66,292.79,294.05,308.45,321.04,329.04,319.15,324.86,311.02,311.02,320.04,309.35,L7
