dates,satname,nzd0114-0000,nzd0114-0001,nzd0114-0002,nzd0114-0003,nzd0114-0004,nzd0114-0005,nzd0114-0006,nzd0114-0007,nzd0114-0008,nzd0114-0009,nzd0114-0010,nzd0114-0011,nzd0114-0012,nzd0114-0013,nzd0114-0014,nzd0114-0015,nzd0114-0016,nzd0114-0017,nzd0114-0018,nzd0114-0019,nzd0114-0020,nzd0114-0021,nzd0114-0022,nzd0114-0023,nzd0114-0024,nzd0114-0025,nzd0114-0026,nzd0114-0027,nzd0114-0028,nzd0114-0029,nzd0114-0030,nzd0114-0031,nzd0114-0032,nzd0114-0033,nzd0114-0034,nzd0114-0035,nzd0114-0036,nzd0114-0037
1999-09-20 21:58:32+00:00,L7,303.19,299.33,300.49,297.54,308.41,269.04,282.12,296.34,290.46,300.22,303.95,323.99,329.96,328.40,326.92,322.93,315.26,,,,,,,,,,,346.60,346.94,345.52,336.35,331.68,310.09,304.70,319.28,337.34,334.27,325.62
1999-10-06 21:58:40+00:00,L7,314.47,309.07,309.75,312.88,327.56,328.20,308.13,322.43,339.15,318.43,321.93,340.71,344.08,343.89,328.84,333.48,327.31,317.05,312.73,318.78,339.33,362.88,366.10,373.13,362.26,370.19,372.59,359.98,350.99,357.08,342.69,345.54,339.60,328.37,342.98,349.56,358.42,406.19
1999-10-22 21:58:28+00:00,L7,308.59,304.90,311.18,316.61,326.44,314.09,304.95,304.47,303.61,312.84,314.67,325.58,343.69,335.90,338.15,326.71,330.57,317.88,317.26,331.13,350.28,345.88,357.60,369.51,354.70,365.43,358.51,356.85,355.19,359.57,342.39,336.44,339.64,332.50,335.13,352.33,377.12,404.06
2001-03-01 21:55:57+00:00,L7,260.62,246.13,243.16,,,,,,,,,,,,,,,,268.91,275.66,284.70,296.43,311.61,326.58,320.33,310.47,298.80,295.70,290.57,302.10,317.95,306.27,299.75,292.64,286.44,299.71,297.30,303.66
2001-06-05 21:55:16+00:00,L7,274.50,264.15,259.41,264.40,273.10,271.51,266.83,257.35,266.20,265.83,270.75,272.33,287.74,288.78,298.34,305.74,302.78,281.08,287.76,294.02,308.11,317.61,336.25,339.77,309.54,315.08,319.15,311.78,310.99,313.50,310.89,305.88,304.26,301.35,314.61,313.58,309.37,265.95
2002-01-31 21:54:26+00:00,L7,246.12,241.35,240.97,248.75,254.35,239.72,239.44,239.83,241.13,247.79,247.51,255.35,274.70,279.83,274.12,262.01,255.44,252.97,264.57,278.25,288.43,299.36,320.62,327.21,327.12,319.17,315.81,307.53,296.70,296.91,283.51,288.59,293.33,294.27,289.64,279.42,270.56,
2002-04-05 21:54:25+00:00,L7,289.30,282.22,287.29,291.88,303.89,292.19,292.31,291.36,291.43,291.70,296.55,311.86,328.01,328.11,315.50,315.38,310.22,308.98,314.57,319.42,333.03,342.46,348.40,368.62,363.93,358.81,338.74,337.06,338.33,334.41,323.32,318.48,327.61,328.23,320.82,318.30,309.85,316.92
2002-05-23 21:54:18+00:00,L7,323.81,319.29,309.38,294.64,325.11,,,315.02,314.79,343.66,347.13,348.28,367.24,366.14,367.23,,,,,,,,,,,,,,,,,,,,,376.74,381.04,395.72
2002-08-27 21:53:36+00:00,L7,251.37,251.40,250.56,259.10,257.71,245.96,250.85,257.07,250.92,250.30,258.89,269.60,288.51,291.11,285.53,283.07,282.06,282.67,292.64,302.73,302.02,311.95,323.54,348.10,341.74,332.63,335.35,332.01,324.16,336.68,334.63,325.44,319.29,314.13,311.59,317.14,305.93,
2002-09-28 21:53:22+00:00,L7,261.28,258.38,255.55,279.40,293.72,269.29,275.24,268.21,266.54,264.47,281.08,297.15,304.75,297.50,289.81,279.91,283.29,273.82,289.59,303.60,307.95,322.06,339.32,354.59,347.45,343.53,344.87,337.63,338.08,341.63,340.94,332.49,,99.71,131.60,,,
2002-10-14 21:53:19+00:00,L7,293.94,288.42,291.24,290.71,296.67,292.35,294.06,290.36,282.43,293.39,300.70,319.88,335.88,351.21,342.71,341.41,335.65,328.54,339.23,338.69,348.19,356.08,369.26,383.26,380.57,374.32,373.11,364.14,360.10,363.57,367.94,357.04,346.51,344.24,333.67,329.93,332.86,368.13
2003-07-21 21:42:09+00:00,L5,287.14,275.68,277.05,289.27,294.63,294.75,291.49,281.84,285.97,289.74,302.53,318.81,343.50,332.73,332.56,326.56,334.58,337.61,330.74,333.21,339.52,341.90,344.38,370.97,364.76,361.77,349.15,341.01,331.01,332.88,,,,,,,,
