dates,nzd0114-0000,nzd0114-0001,nzd0114-0002,nzd0114-0003,nzd0114-0004,nzd0114-0005,nzd0114-0006,nzd0114-0007,nzd0114-0008,nzd0114-0009,nzd0114-0010,nzd0114-0011,nzd0114-0012,nzd0114-0013,nzd0114-0014,nzd0114-0015,nzd0114-0016,nzd0114-0017,nzd0114-0018,nzd0114-0019,nzd0114-0020,nzd0114-0021,nzd0114-0022,nzd0114-0023,nzd0114-0024,nzd0114-0025,nzd0114-0026,nzd0114-0027,nzd0114-0028,nzd0114-0029,nzd0114-0030,nzd0114-0031,nzd0114-0032,nzd0114-0033,nzd0114-0034,nzd0114-0035,nzd0114-0036,nzd0114-0037,satname
1999-09-20 21:58:32+00:00,290.75,286.89,288.05,286.34,297.21,,269.68,285.14,,289.02,295.33,311.55,317.52,317.20,315.72,311.73,302.82,,,,,,,,,,,337.98,338.32,335.34,329.35,317.68,296.09,276.70,291.28,300.01,296.94,,L7
1999-10-06 21:58:40+00:00,298.47,293.07,293.75,298.48,313.16,307.63,292.13,308.03,321.15,304.03,310.85,324.71,328.08,329.49,314.44,319.08,311.31,301.05,296.73,300.78,321.33,346.88,350.10,360.04,350.26,358.19,360.59,348.90,339.91,343.99,333.69,327.54,321.60,292.37,306.98,301.56,310.42,370.19,L7
1999-10-22 21:58:28+00:00,293.92,290.23,296.51,303.41,313.24,295.23,290.28,291.27,287.11,299.64,304.52,310.91,329.02,322.70,324.95,313.51,315.90,303.21,302.59,314.63,333.78,331.21,342.93,357.51,343.70,354.43,347.51,346.70,345.04,347.57,334.14,319.94,323.14,299.50,302.13,308.33,333.12,371.06,L7
2001-03-01 21:55:57+00:00,271.95,257.46,254.49,,,,,,,,,,,,,,,,280.24,288.41,297.45,307.76,322.94,335.85,328.83,318.97,307.30,303.55,298.42,311.37,324.32,319.02,312.50,318.14,311.94,333.71,331.30,,L7
2001-06-05 21:55:16+00:00,271.61,261.26,256.52,261.80,270.50,267.80,263.94,254.75,262.95,263.23,268.75,269.44,284.85,286.18,295.74,303.14,299.89,278.19,284.87,290.77,304.86,314.72,333.36,337.41,307.37,312.91,316.98,309.78,308.99,311.14,309.26,302.63,301.01,294.85,308.11,304.91,300.70,,L7
2002-01-31 21:54:26+00:00,272.56,267.79,267.41,272.55,278.15,273.72,265.88,263.63,270.88,271.59,265.82,281.79,301.14,303.63,297.92,285.81,281.88,279.41,291.01,308.00,318.18,325.80,347.06,348.85,346.95,339.00,335.64,325.84,315.01,318.55,298.38,318.34,323.08,,,,,,L7
2002-04-05 21:54:25+00:00,281.74,274.66,279.73,285.08,297.09,282.48,284.75,284.56,282.93,284.90,291.32,304.30,320.45,321.31,308.70,308.58,302.66,301.42,307.01,310.92,324.53,334.90,340.84,362.44,358.26,353.14,333.07,331.83,333.10,328.23,319.07,309.98,319.11,311.23,303.82,295.63,287.18,,L7
2002-05-23 21:54:18+00:00,304.70,300.18,290.27,277.44,307.91,,,297.82,293.29,,,329.17,348.13,348.94,,,,,,,,,,,,,,,,,,,,,,319.41,323.71,352.72,L7
2002-08-27 21:53:36+00:00,265.37,265.40,264.56,271.70,270.31,263.96,264.85,269.67,266.67,262.90,268.58,283.60,302.51,303.71,298.13,295.67,296.06,296.67,306.64,318.48,317.77,325.95,337.54,359.55,352.24,343.13,345.85,341.70,333.85,348.13,342.50,341.19,335.04,345.63,343.09,359.14,347.93,,L7
2002-09-28 21:53:22+00:00,267.72,264.82,261.99,285.20,299.52,277.58,281.68,274.01,273.79,270.27,285.54,303.59,311.19,303.30,295.61,285.71,289.73,280.26,296.03,310.85,315.20,328.50,345.76,359.86,352.28,348.36,349.70,342.09,342.54,346.90,344.56,339.74,,,,,,,L7
2002-10-14 21:53:19+00:00,285.05,279.53,282.35,282.71,288.67,280.92,285.17,282.36,272.43,285.39,294.55,310.99,326.99,343.21,334.71,333.41,326.76,319.65,330.34,328.69,338.19,347.19,360.37,375.99,373.90,367.65,366.44,357.99,353.95,356.30,362.94,347.04,336.51,324.24,313.67,303.26,306.19,348.13,L7
2003-07-21 21:42:09+00:00,280.70,269.24,270.61,283.47,288.83,286.46,285.05,276.04,278.72,283.94,298.07,312.37,337.06,326.93,326.76,320.76,328.14,331.17,324.30,325.96,332.27,335.46,337.94,365.70,359.93,356.94,344.32,336.55,326.55,327.61,,,,,,,,,L5
2003-08-06 21:42:27+00:00,270.28,253.99,259.20,265.51,270.49,271.18,255.59,269.35,274.19,285.49,293.93,306.03,327.85,330.72,303.48,311.44,318.84,299.93,296.10,295.42,303.42,316.88,332.09,354.20,346.50,334.70,331.97,321.49,318.93,310.70,312.79,303.79,289.14,265.03,274.29,277.27,290.29,322.70,L5
