dates,nzd0408-0000,nzd0408-0001,nzd0408-0002,nzd0408-0003,nzd0408-0004
1999-07-18 22:00:25+00:00,,,,,
1999-09-04 22:00:33+00:00,151.52984319272122,144.9003520984266,153.21612418889666,,146.61888252602003
1999-10-22 22:00:28+00:00,158.88359414417025,145.78356058286727,155.66829996655946,,149.45873416837193
1999-12-25 22:00:28+00:00,150.26621404717687,145.2217659073033,151.31249483779038,,155.23383259683928
2000-01-26 22:00:26+00:00,155.9219147443145,149.59682379403125,154.62210068378332,,154.0448800697088
2000-02-11 22:00:21+00:00,151.45777906819242,141.4085593463522,147.50098864386433,,147.25589165467014
2000-02-27 22:00:16+00:00,148.06720286953325,140.0593566462387,145.4241552944504,,147.92264270158026
2000-03-30 22:00:09+00:00,148.57647120539113,143.63826928305707,152.53022821887637,,152.94217915486846
2000-04-15 21:59:55+00:00,135.90803497079952,136.68705063383658,145.65487738933905,,146.38739870767066
2000-05-01 21:59:54+00:00,144.60613273995477,143.1530198389155,150.5650431496463,,148.59466787162123
2000-05-17 21:59:43+00:00,132.9571823402271,138.68707274466223,149.02318641394007,,148.8427030513511
2000-06-18 21:59:27+00:00,139.37796313201613,146.35679345039796,151.7956411353833,,152.81095222362305
2000-08-05 21:58:44+00:00,142.68475852155714,144.7746768225213,146.8488153071919,,154.0957946418794
2000-09-06 21:58:22+00:00,152.02273419962967,149.08731933524035,154.53557884033555,,154.48938087890312
2000-10-08 21:58:00+00:00,148.8780678773964,143.8635895946219,150.18187971881105,,150.9703754504535
2000-11-09 21:57:57+00:00,152.52527016242453,148.14708393464636,151.4707086652669,,149.0483624333662
2000-11-25 21:57:58+00:00,147.91398443855988,139.58258735295442,147.27141020415792,,148.60816826096803
2001-03-17 21:57:52+00:00,154.52067921464354,147.8550166522723,154.58800989773567,,157.65318540330588
2001-05-20 21:57:28+00:00,133.7409750485917,140.48896162188765,148.80231653157387,,148.60497615631417
2001-06-05 21:57:16+00:00,131.89203145121456,138.8860452387776,149.44196220939233,,147.7714748464615
