,dates,chi0310-0000,chi0310-0001,chi0310-0002,chi0310-0003,chi0310-0004,chi0310-0005,chi0310-0006,chi0310-0007,chi0310-0008,chi0310-0009,chi0310-0010,chi0310-0011,chi0310-0012,chi0310-0013,chi0310-0014,chi0310-0015,chi0310-0016,chi0310-0017,chi0310-0018,chi0310-0019,chi0310-0020,chi0310-0021,chi0310-0022,chi0310-0023
0,1985-01-25 14:04:03+00:00,198.86354302439494,201.97889995700288,,211.08997884128405,,,,243.36512796748733,244.62819974348892,237.96577290567436,234.39275320090033,253.1478450098854,233.57368352753858,238.00765139706067,253.32069083959047,249.79659296883509,219.17530885940073,232.12221236979906,241.24513236347119,237.95704389753948,214.14689539541513,215.29374432150397,233.99613240565304,229.62395141845502
1,1986-01-28 14:00:46+00:00,170.38992075595206,171.26018199249253,179.19624486016542,179.8525382689664,,207.39817211168605,212.64868932416292,220.6614314316305,215.153886045598,223.42266195199926,226.2398628411259,229.26216209369542,218.15648385435298,213.02112129723216,224.27311892164025,219.5486475720008,218.14470310454197,205.09245487417624,205.9276731211991,217.60492939467662,210.21134028166398,218.1966975694257,214.17163930627052,211.40539785916226
2,1986-02-04 14:06:47+00:00,182.74315626841715,199.79812069277142,192.92174791657487,208.121503181739,233.61113575880438,228.65026111826884,242.56383061539776,235.92493324977963,233.40669173153296,222.41291912663695,229.94150288361217,240.075845332263,234.64815812657685,235.4117968284388,229.4960925647567,232.9168387183479,228.69775467769162,221.6644281899996,206.93617543878347,218.2337254388157,213.33782699748073,219.06030182117343,225.55525987373605,221.25185955171798
3,1986-03-01 14:00:01+00:00,173.53402665413637,173.6145400359051,190.52514901708327,193.09152168594213,206.7513727420229,213.7344357966774,228.77584732896037,237.5109246445321,232.70019477982652,230.30470092300354,231.4150757941004,228.74778496306973,223.43657424564927,221.2847534585205,226.66527636383236,221.13912565090132,224.79118500791117,223.40508394860828,225.15922263797788,222.8679944159401,224.83043736188844,221.28191852789908,222.63900079716808,217.61508233623397
4,1986-04-02 13:59:23+00:00,183.52997092004793,187.46046436009817,204.61844777510623,208.77553905202547,227.78062548516505,228.1810195127041,226.6057612294522,242.1835585138124,229.9675234493084,212.88077068437167,239.6491129415035,237.80750368078688,233.85432373748276,229.56322396460072,234.03866875568286,212.52972730793928,231.24501401328484,226.591836909161,218.94231156301933,220.27410465564492,224.90276043060848,204.1174801601396,227.4899692773648,225.98737482565002
5,1986-05-04 13:58:38+00:00,149.56811674105663,144.74844514292357,139.6644262100969,144.0670335484932,159.09374646951872,,,,,,,,,179.44265156734673,173.42382334124213,179.80521427080834,177.11828854104738,181.97215577449546,187.90046046628675,181.53772267140883,189.27846934971328,183.45610532626335,,196.74141665065434
6,1986-06-05 13:57:43+00:00,162.70875506009736,154.68173475728807,173.694998336746,168.04934443467698,178.1835959061131,,184.49234871922906,188.33870025202688,180.98163023859428,190.6706596444535,201.96704642747304,194.83012117332026,209.64504558736087,206.6703108035888,198.07262316951534,196.20171225379173,205.28451163312724,215.32635339227323,195.20450467905783,182.47323080550214,183.6623525090629,179.86870452813642,,
7,1986-07-30 14:01:40+00:00,,,,,,207.5502871358114,193.8173822305363,185.86991644318437,205.579272009143,205.42627466428283,219.48362074958553,212.0468944026438,195.3917418078136,184.86132090202926,212.32558715083883,211.381421619041,208.0233192825725,220.41622044280905,194.98622076087142,191.41808177530126,196.0063349433475,176.43567324606298,,
8,1986-08-31 14:00:53+00:00,159.02092432317644,153.86638449400877,163.5905968840009,165.75970682308224,172.7447687166785,184.77766857686305,198.0072447260164,193.27019336468015,189.11295922481818,197.07432515102292,215.9784843062936,210.29211658836329,201.58540459011184,205.7797833065943,190.07813187290535,205.1326543804926,206.88869971400095,194.67893687866015,190.03805729788772,189.69205555795685,180.1580317190125,170.05952689156342,,183.87030538048975
9,1986-09-16 14:00:22+00:00,141.4556973813822,,,,163.45563807428596,197.2908209890992,186.22236285121645,194.964284497325,193.40249455785838,206.1098073939606,225.95828338497572,211.58306734502423,201.8615234828092,202.98637442817883,188.1429655753189,209.84769273986151,205.65602883798152,205.23573318221992,195.30464574696882,195.05486893208422,192.58175046595755,183.17421694867045,,192.67558983908256
10,1986-11-03 13:58:46+00:00,182.05235747025364,186.72616320579814,201.11259107419616,205.79323710230582,213.92084476002327,210.82186939693165,242.00502837008162,216.453688734024,212.5551048248994,234.10656740571676,249.89900835792614,231.8433114388953,241.3185636963232,218.17716358741643,236.40101357018477,235.2812087232568,220.81144247294725,224.909035542517,224.91550164608933,218.03750064184732,205.98792870044457,211.1952781837397,212.7497346926656,218.07274391129383
11,1986-11-28 13:51:58+00:00,,,,187.1856002324336,174.25111048233103,198.7596237367849,220.85459495121376,213.24274436420765,202.05943292279127,212.8442183395892,229.7485757508406,222.17237291017383,212.51993130075752,206.0635697374565,209.9342337432733,218.22271412251257,200.5341025712089,216.5556544094873,209.53311786390336,205.8011762230367,188.4434677624902,196.54005772573274,192.90276521595388,182.82998526098206
12,1986-12-14 13:52:25+00:00,174.89331776477965,183.31319632617937,200.9355611423976,197.9396130813795,212.52553268824923,209.7819066774558,228.21037703235012,220.20520291463492,212.79497650119927,226.45627773626637,248.98016502183853,228.50374273645548,226.8269793383725,233.5157191434415,219.47505210372742,,,,,,,,,
13,1986-12-30 13:52:55+00:00,174.4492712159895,182.7206549099302,191.91732402718156,190.9938979408684,208.2230480538534,215.00565517700238,228.2771705261361,219.62893385282678,229.49396487201108,236.43896135016317,240.6540644560327,235.95764280988143,227.1288342426361,220.4056498502848,232.53549500131666,221.41799597130122,219.88792785638344,210.50376176990332,212.43703346450692,199.89601423794946,202.59425846381393,199.70047485637684,192.00871493043815,203.8618649729562
14,1987-01-31 13:53:53+00:00,172.06498625592144,167.69433985011707,185.53101193048082,178.40378340055418,209.7217738110459,219.36868130623503,232.5620882331943,216.4033899732854,212.71068637869112,230.581249980371,231.39801591133323,233.2026540835873,222.89388037127225,218.62157605151566,224.42471750656054,231.78948888510493,214.95463014394358,215.87467556506897,211.3274522841166,202.95289223751945,189.22048288143947,213.05120900961444,218.23771113589197,216.2982176516029
15,1987-02-07 14:00:21+00:00,175.6725978586677,176.76701433875692,200.79795905898717,197.6835052247094,222.98188733385658,235.45451030199322,242.4959910443581,243.8555141428847,238.1489240524975,243.7339169140005,253.93053730798525,243.57566498448668,229.8482086532785,229.8966083915099,227.22380148366486,240.3102677987658,228.3829922137632,213.73142242776248,212.1636025717943,216.21290242208434,203.33721383722548,215.36137069317854,222.9430750077872,221.7325407627562
16,1987-03-27 14:02:09+00:00,189.99499696221415,192.48244335237558,207.12346797880403,220.59068001660054,237.04087266402112,245.4055493629315,247.47879298240966,248.50247548428865,252.07188566621105,257.2573957346143,254.8576095157135,253.15183357422495,250.31695953969705,240.82115601654485,241.15565513943062,242.23188680681199,235.28672253174966,232.2145822844219,230.84386483185165,230.17856559691614,221.13575468118478,226.07636278849844,234.91644537206227,228.79911090251423
17,1987-11-06 14:07:44+00:00,174.17099090225975,175.4587905176458,187.19027060458242,186.88303560469947,197.83236417683577,205.36539886999526,227.09141010551272,217.9791577305589,227.56264226032073,232.13161756761417,214.03040448531118,229.59840923160618,241.68743723614415,246.19680073429797,239.04921677437758,245.9119658371766,233.40947728473063,212.08664390764991,194.3960258821511,199.8659430946635,208.99851558117888,205.2073330124786,199.22817507804848,218.48451854557214
18,1987-12-08 14:08:17+00:00,170.86766345128456,177.42740415075517,189.82896632334624,185.72232177990756,205.62899885976688,209.42531943584697,228.11257157800938,231.2066342160439,221.21165839999614,235.68567610183493,232.76620495126062,218.01231977428432,233.87361020089457,245.16248758570785,243.4899909954642,244.58746842048228,234.11406963074037,221.0826896064852,212.81012464637604,205.1740638437776,187.7266677079148,207.17931590346907,204.71354030889054,207.50102108062217
