dates,nzd0072-0000,nzd0072-0001,nzd0072-0002,nzd0072-0003
1999-09-27 22:04:48+00:00,186.8470644197162,171.4573373670444,169.52171069362095,170.13619646556117
1999-11-14 22:04:42+00:00,180.07572507914915,175.8184956412014,162.63242033088292,167.03093513168352
2000-01-17 22:04:35+00:00,164.84487074860272,167.2272861649642,156.83280753458175,157.23215110589632
2000-05-24 22:03:46+00:00,174.05986263069735,171.4591284770365,166.5233834058431,168.00194411272108
2000-07-11 22:03:17+00:00,155.24866515591637,137.42542685928035,144.78607269835462,
2000-08-12 22:02:54+00:00,137.60813357762655,124.5031776557979,131.17468292974448,144.26023317938447
2000-09-13 22:02:26+00:00,177.87435766340113,152.471749346448,147.71354838903451,152.4942211300325
2000-10-15 22:01:56+00:00,180.42362399217663,164.07495223822502,162.6089995024914,173.76073142811038
2001-01-03 22:02:12+00:00,171.29850360116367,164.31967730815552,155.3969204814868,153.51367814825986
2001-05-11 22:01:45+00:00,,161.6071880710691,153.14806250011094,164.36325265494543
2001-06-12 22:01:24+00:00,158.2056620803429,142.95031006358684,140.45515401085737,151.05628096422382
2001-08-15 22:00:38+00:00,184.5158065100674,175.3656436620603,165.89375669666654,172.41083618823376
2001-11-03 22:00:10+00:00,,170.18289186900225,168.04398368665045,173.65453930083913
2001-12-05 22:00:18+00:00,159.1378984384651,170.5361202075533,161.69835094058857,165.82589582104134
2002-01-22 22:00:40+00:00,173.81023453622487,174.60888214323322,167.44851116588012,178.2623352645738
2002-02-23 22:00:43+00:00,180.79249445027082,173.84208185341618,166.58468438656652,175.32327936251212
2002-03-27 22:00:37+00:00,169.49648718048908,166.25216679356558,159.47575546746526,162.02522332107358
2002-04-28 22:00:38+00:00,173.2317285624594,166.62330763776248,165.30359656034713,166.96505204807835
2002-06-15 22:00:19+00:00,164.9484368371883,179.21466291493493,173.815535894308,182.76836314468255
2002-07-01 22:00:15+00:00,172.16286778731194,171.14498933293356,169.73745258586843,180.28369648086044
2002-07-17 22:00:08+00:00,180.5550728066099,173.49427393478112,164.9922372826299,174.57056995418696
2002-08-18 21:59:57+00:00,170.41293098901423,171.14097519635527,163.8806412786774,171.6390645031859
2002-12-08 22:00:03+00:00,179.13912624636697,166.17609501183153,164.5630448266149,165.55580736786968
2003-02-10 22:00:29+00:00,179.70160292753235,171.15161452061946,165.7180393977245,163.1776503734706
2003-07-28 21:48:28+00:00,156.890693930245,150.0478125379922,142.41861328861566,153.71791045453446
2003-08-05 22:00:11+00:00,176.0480680130313,169.67780613942375,155.29203465641027,158.3185823343088
2003-11-09 22:00:18+00:00,178.67032416588503,177.01818213704692,166.71198915144555,167.90325278482467
2003-12-19 21:50:27+00:00,,,,
2004-02-05 21:50:41+00:00,,,,173.296159797832
2004-05-03 22:00:59+00:00,167.11798327366162,171.27635961912816,167.76911342211156,178.19531113167406
2004-06-12 21:53:11+00:00,,,,
2004-06-20 22:00:50+00:00,160.97567192364588,162.60045169024673,157.04264513057822,165.02434925920318
2004-07-06 22:00:48+00:00,152.28870967110842,174.48983163021208,169.16987775008195,
2004-07-22 22:00:44+00:00,170.5519417786285,167.5117464554543,166.8841955184615,173.3503451480437
2004-07-30 21:54:28+00:00,,,,
2004-08-07 22:00:37+00:00,167.65987751282046,176.25042348452604,169.68270301823713,179.77101778530454
2004-09-16 21:55:41+00:00,,,,
2004-11-11 22:00:45+00:00,166.63437185082697,164.20178610143435,156.4293993356732,158.70196679852444
2004-11-19 21:56:55+00:00,,,,
2004-12-13 22:01:00+00:00,170.51138357512096,173.50915574649144,169.91033426058192,170.15452502706174
2005-01-14 22:01:13+00:00,182.1206604433625,176.00904419097424,165.69279396896027,170.13549132863403
2005-02-23 21:58:31+00:00,,,,
2005-03-03 22:01:30+00:00,179.9055169291962,175.95228763395554,168.19316235963234,173.4272966932822
2005-03-11 21:58:44+00:00,,,,
2005-03-19 22:01:30+00:00,,170.92176853699996,162.1102170453491,160.60859639104174
2005-04-12 21:58:55+00:00,,,,148.3287147844651
2005-04-20 22:01:20+00:00,171.08302872799598,171.4797478175457,166.32989405026453,171.75297870573942
2005-04-28 21:58:59+00:00,,,,
2005-05-06 22:01:25+00:00,,,,
2005-05-30 21:59:15+00:00,,,,
