dates,satname,nzd0072-0000,nzd0072-0001,nzd0072-0002,nzd0072-0003
1999-09-27 22:04:48+00:00,L7,370.15,360.58,358.19,358.76
1999-11-14 22:04:42+00:00,L7,372.61,369.77,357.03,361.93
2000-01-17 22:04:35+00:00,L7,376.36,371.84,362.35,363.68
2000-05-24 22:03:46+00:00,L7,369.82,368.47,363.51,365.22
2000-07-11 22:03:17+00:00,L7,364.89,342.52,349.72,
2000-08-12 22:02:54+00:00,L7,343.30,327.50,331.22,347.96
2000-09-13 22:02:26+00:00,L7,369.27,339.77,331.14,329.84
2000-10-15 22:01:56+00:00,L7,362.66,354.53,352.27,362.15
2001-01-03 22:02:12+00:00,L7,373.42,364.34,355.22,353.62
2001-05-11 22:01:45+00:00,L7,365.78,358.09,348.16,358.13
2001-06-12 22:01:24+00:00,L7,357.06,343.32,341.17,350.84
2001-08-15 22:00:38+00:00,L7,399.62,383.25,374.20,381.98
2001-11-03 22:00:10+00:00,L7,329.80,361.38,358.07,362.45
2001-12-05 22:00:18+00:00,L7,344.57,362.48,352.20,356.00
2002-01-22 22:00:40+00:00,L7,377.10,376.21,369.04,380.20
2002-02-23 22:00:43+00:00,L7,390.04,378.49,371.43,381.13
2002-03-27 22:00:37+00:00,L7,370.50,366.34,359.38,362.53
2002-04-28 22:00:38+00:00,L7,356.59,359.01,356.87,357.46
2002-06-15 22:00:19+00:00,L7,365.10,375.10,369.75,377.84
2002-07-01 22:00:15+00:00,L7,370.96,369.54,368.49,378.27
2002-07-17 22:00:08+00:00,L7,385.15,375.16,367.32,376.18
2002-08-18 21:59:57+00:00,L7,384.18,378.11,371.26,380.37
2002-12-08 22:00:03+00:00,L7,363.20,357.71,355.54,355.68
2003-02-10 22:00:29+00:00,L7,382.21,370.04,366.50,363.93
2003-07-28 21:48:04+00:00,L5,358.29,350.75,343.41,354.32
2003-08-05 22:00:11+00:00,L7,379.62,369.73,356.49,360.15
2003-11-09 22:00:18+00:00,L7,369.25,369.13,359.58,361.29
2003-12-19 21:50:27+00:00,L5,385.92,373.94,368.11,370.29
2004-02-05 21:50:41+00:00,L5,,,,366.18
2004-05-03 22:00:59+00:00,L7,376.02,373.80,370.90,381.61
2004-06-12 21:53:11+00:00,L5,376.39,370.78,365.32,373.43
2004-06-20 22:00:50+00:00,L7,338.50,352.23,346.45,354.76
2004-07-06 22:00:48+00:00,L7,339.51,366.15,361.06,367.81
2004-07-22 22:00:44+00:00,L7,360.50,360.65,361.11,366.13
2004-07-30 21:54:28+00:00,L5,384.61,372.85,369.81,375.01
2004-08-07 22:00:37+00:00,L7,368.74,376.12,369.63,379.76
2004-09-16 21:55:41+00:00,L5,367.05,369.84,365.60,367.92
2004-11-11 22:00:45+00:00,L7,367.89,363.79,355.72,358.63
2004-11-19 21:56:55+00:00,L5,372.98,362.06,360.31,362.52
2004-12-13 22:01:00+00:00,L7,353.86,363.38,359.04,358.50
2005-01-14 22:01:13+00:00,L7,364.86,366.71,355.98,359.24
2005-02-23 21:58:31+00:00,L5,365.89,362.05,353.49,359.79
2005-03-03 22:01:30+00:00,L7,375.06,373.00,365.90,365.68
2005-03-11 21:58:44+00:00,L5,361.02,355.50,358.43,359.00
2005-03-19 22:01:30+00:00,L7,355.13,374.32,365.78,364.60
2005-04-12 21:58:55+00:00,L5,,,,347.10
2005-04-20 22:01:20+00:00,L7,379.84,376.05,371.03,377.43
2005-04-28 21:58:59+00:00,L5,367.39,362.25,359.03,362.03
2005-05-06 22:01:25+00:00,L7,293.57,,,
2005-05-30 21:59:15+00:00,L5,378.04,368.10,366.97,376.66
2005-06-07 22:01:19+00:00,L7,363.50,367.99,359.92,365.14
2005-07-09 22:01:14+00:00,L7,356.77,366.96,359.88,364.95
2005-07-17 21:59:35+00:00,L5,399.85,365.67,361.73,358.54
2005-07-25 22:01:13+00:00,L7,368.45,365.30,361.46,363.23
2005-08-10 22:01:10+00:00,L7,373.25,372.90,361.79,362.80
2005-09-19 21:59:56+00:00,L5,367.18,365.90,350.82,351.01
2005-10-05 21:59:53+00:00,L5,371.61,373.13,362.24,364.72
2005-11-14 22:01:17+00:00,L7,380.02,374.94,,418.91
2006-02-18 22:01:53+00:00,L7,624.10,,,351.11
2006-03-14 22:02:55+00:00,L5,271.00,318.66,323.74,331.95
2006-04-15 22:03:30+00:00,L5,371.96,367.58,355.36,358.62
2006-05-17 22:03:57+00:00,L5,368.98,369.49,363.20,362.84
2006-06-10 22:01:49+00:00,L7,381.00,375.01,365.98,371.50
2006-06-26 22:01:44+00:00,L7,370.50,366.06,354.35,356.25
2006-08-13 22:01:29+00:00,L7,372.19,373.38,365.86,367.09
2006-09-14 22:01:21+00:00,L7,378.27,376.74,371.48,379.30
2006-11-25 22:06:19+00:00,L5,304.26,313.04,307.02,319.53
2006-12-03 22:01:31+00:00,L7,375.61,374.52,369.34,382.04
2006-12-11 22:06:28+00:00,L5,239.76,235.42,239.81,
2007-02-13 22:06:47+00:00,L5,376.52,362.73,357.16,363.02
