dates,satname,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021
1999-07-02 21:59:57+00:00,L7,,,,,,,,,,,,,,,,,,,,,,
1999-07-18 22:00:25+00:00,L7,581.53,,,,,,,,,,,,,,,,,,,,,
1999-08-03 22:00:08+00:00,L7,327.68,333.90,340.77,346.24,347.96,343.90,345.46,345.74,346.33,348.92,348.72,356.92,351.89,361.91,356.36,352.82,356.20,359.14,370.34,358.10,358.86,363.59
1999-09-04 22:00:09+00:00,L7,364.91,347.85,352.85,357.55,352.97,349.26,352.49,351.87,356.15,360.25,361.90,369.90,366.13,368.83,374.21,367.60,361.71,363.61,368.87,370.85,369.02,374.41
1999-10-22 22:00:28+00:00,L7,368.17,348.79,356.98,364.08,359.40,353.52,353.33,358.50,358.18,363.26,365.13,376.08,373.26,374.71,385.44,375.22,368.90,372.11,373.02,377.12,376.42,386.74
1999-12-09 22:00:33+00:00,L7,352.29,347.13,349.01,353.38,346.69,347.25,350.33,353.74,355.13,357.90,358.19,368.34,365.47,369.58,374.16,365.75,366.86,368.36,370.58,370.25,369.10,381.53
1999-12-25 22:00:28+00:00,L7,353.95,349.26,351.78,356.70,356.08,351.27,351.21,351.33,356.69,361.55,362.07,368.84,364.68,367.92,370.46,366.35,364.37,364.59,365.33,367.35,362.10,370.36
2000-01-26 22:00:26+00:00,L7,351.84,337.43,349.39,351.96,349.52,347.23,345.70,350.25,353.43,358.86,359.21,368.78,364.49,362.98,366.99,364.67,364.21,364.68,366.20,362.56,363.82,364.01
2000-02-11 22:00:21+00:00,L7,338.37,339.13,341.34,350.33,347.74,344.11,345.18,347.76,350.75,354.13,357.27,365.50,361.93,361.63,365.54,361.37,365.78,365.38,362.32,360.43,363.72,366.48
2000-02-27 22:00:16+00:00,L7,353.20,342.57,349.93,352.59,349.78,348.82,347.51,349.79,355.25,355.52,359.52,365.16,362.06,364.04,366.66,364.96,362.43,364.05,362.33,366.48,358.78,375.49
2000-03-30 22:00:09+00:00,L7,364.44,352.46,354.91,361.73,362.20,356.63,356.71,357.02,359.66,363.86,362.99,374.18,373.71,369.88,382.30,373.63,368.80,369.62,371.48,370.32,368.44,374.27
2000-04-15 21:59:55+00:00,L7,366.79,353.39,355.42,360.24,354.37,355.47,353.32,354.32,357.07,366.22,365.78,376.18,372.22,372.32,386.08,375.59,371.59,374.57,375.22,379.37,374.27,385.39
2000-05-01 21:59:54+00:00,L7,368.98,360.35,359.56,361.70,361.26,355.97,358.22,362.06,360.88,368.93,368.00,377.86,380.22,378.55,391.46,378.99,374.68,379.33,378.87,386.48,379.18,393.18
2000-06-18 21:59:27+00:00,L7,368.71,348.94,356.90,364.47,362.76,360.08,363.91,361.18,371.35,369.48,367.98,379.94,374.77,377.20,377.99,374.10,371.29,374.16,382.46,381.11,377.64,383.55
2000-07-04 21:59:14+00:00,L7,345.56,348.09,342.56,349.30,351.55,356.82,351.60,362.31,352.22,365.54,370.33,386.82,372.35,371.35,380.83,374.70,373.74,371.70,368.10,362.41,363.05,363.58
2000-08-05 21:58:44+00:00,L7,355.34,346.70,354.13,358.50,359.60,357.50,355.58,355.19,365.34,365.74,364.37,371.40,365.55,366.38,366.94,371.38,371.65,365.28,369.53,373.41,366.49,363.54
2000-09-06 21:58:22+00:00,L7,359.01,351.85,353.75,356.90,354.76,353.27,351.66,352.07,357.06,358.84,361.46,369.84,366.10,364.38,371.64,370.38,362.69,366.95,366.64,366.45,364.47,367.53
2000-10-08 21:58:00+00:00,L7,352.22,348.29,353.86,361.03,354.74,351.09,351.24,356.65,359.41,363.13,362.48,372.78,366.29,365.27,372.89,365.47,364.98,370.94,372.69,373.25,370.02,378.79
2000-11-25 21:57:34+00:00,L7,351.65,338.34,345.75,349.30,344.36,343.80,343.19,349.07,353.87,359.58,359.68,368.34,363.84,367.50,377.08,371.30,369.35,368.98,371.45,375.99,371.50,383.48
2000-12-11 21:58:00+00:00,L7,337.48,343.41,354.80,352.44,356.72,348.24,351.13,348.78,356.90,364.02,361.46,371.09,369.75,365.28,372.49,369.08,369.00,366.97,370.18,367.06,364.84,378.40
2001-02-13 21:57:39+00:00,L7,338.38,332.99,341.50,349.76,348.49,342.88,343.19,349.36,352.39,362.32,360.89,370.47,365.88,364.34,365.64,363.09,359.56,362.40,364.77,359.55,360.46,364.61
2001-03-17 21:57:28+00:00,L7,366.79,345.24,352.32,351.26,349.30,347.35,347.35,354.00,356.27,359.84,359.94,370.93,366.70,365.13,374.65,370.01,363.95,367.63,368.47,375.40,365.90,374.40
2001-05-20 21:57:04+00:00,L7,371.12,359.11,361.30,372.48,366.43,361.32,360.70,369.37,368.61,373.30,370.81,386.40,378.87,385.70,393.09,389.80,382.96,384.13,385.74,386.84,377.56,383.62
2001-06-05 21:57:16+00:00,L7,368.88,355.75,358.17,369.44,367.42,360.24,359.86,363.46,368.82,370.88,369.50,383.30,381.94,383.34,395.19,381.25,373.66,384.08,380.87,385.40,379.71,389.14
2001-07-07 21:56:36+00:00,L7,368.02,357.97,363.76,369.39,367.30,359.03,361.68,364.99,370.95,371.32,368.92,385.67,378.90,377.04,386.93,380.60,374.16,373.73,379.09,383.24,379.28,383.73
2001-08-24 21:56:00+00:00,L7,338.03,337.28,344.88,351.35,347.39,342.61,341.26,343.45,350.34,354.77,359.34,369.23,363.98,365.77,362.32,359.57,356.79,355.88,360.08,355.83,352.42,356.92
2001-09-25 21:55:40+00:00,L7,351.60,349.19,355.10,357.09,352.35,350.24,349.36,351.34,356.49,356.19,359.02,370.09,366.27,366.47,370.65,367.23,362.23,365.44,370.84,371.72,367.84,377.18
2001-12-30 21:56:13+00:00,L7,363.29,348.65,353.84,358.03,353.97,352.37,351.30,353.35,358.74,364.15,363.03,374.19,368.89,372.55,379.31,372.68,366.68,370.35,372.74,375.01,371.95,381.49
2002-02-16 21:56:30+00:00,L7,352.35,346.95,350.29,354.83,352.28,347.89,344.34,347.97,355.30,356.79,357.30,365.77,361.28,363.40,367.47,364.57,361.18,362.31,365.79,361.43,360.55,365.99
2002-03-04 21:56:09+00:00,L7,352.96,346.50,350.03,357.04,356.08,353.10,352.81,351.20,356.42,363.06,361.37,371.14,366.54,364.37,366.68,362.28,360.97,361.18,367.03,365.55,357.72,358.61
2002-03-20 21:56:00+00:00,L7,347.99,341.07,337.07,345.25,345.71,342.27,343.09,347.15,347.59,352.49,357.63,365.36,359.63,360.26,364.83,359.55,353.68,355.20,359.03,363.65,353.46,364.62
2002-05-07 21:56:27+00:00,L7,367.90,355.58,357.43,362.00,363.40,360.53,357.00,359.08,363.61,366.20,365.66,375.77,372.57,374.13,377.38,373.66,364.84,372.71,375.45,375.64,372.70,381.36
2002-09-12 21:55:07+00:00,L7,340.60,338.41,350.77,354.23,351.20,351.10,351.69,350.65,355.13,360.47,360.39,369.05,363.40,363.41,366.88,364.68,355.48,357.58,362.09,366.43,356.04,359.64
2002-10-14 21:54:55+00:00,L7,362.49,349.02,357.62,363.65,360.51,357.21,356.00,356.73,359.85,364.10,364.00,374.09,370.92,369.98,375.37,367.36,366.46,369.03,370.73,374.07,371.02,375.94
2002-10-30 21:55:25+00:00,L7,352.29,336.16,343.25,353.08,345.17,346.48,345.14,346.66,350.63,357.95,358.90,365.16,362.62,363.32,367.66,362.53,362.19,360.83,364.73,366.82,365.17,362.48
2003-01-18 21:56:06+00:00,L7,349.57,333.80,335.78,344.23,346.02,346.78,346.17,347.98,352.32,351.36,351.00,360.34,357.84,365.59,369.33,362.80,358.47,364.07,364.97,370.02,373.41,387.71
2003-03-23 21:56:16+00:00,L7,347.28,337.75,349.24,351.43,354.37,349.83,349.24,354.07,360.05,359.96,359.34,365.44,360.71,363.17,363.26,362.57,359.96,359.21,359.50,365.22,365.13,364.81
2003-04-08 21:55:59+00:00,L7,336.53,338.72,349.74,359.17,355.63,351.59,349.78,350.64,354.21,360.39,354.69,363.66,359.86,361.34,367.95,360.48,361.33,362.19,361.06,357.31,358.19,357.72
2003-05-10 21:56:22+00:00,L7,370.55,366.05,369.47,371.18,366.58,364.81,363.90,369.18,371.50,370.76,369.96,379.82,377.23,373.55,377.75,380.62,372.95,374.55,372.33,379.43,373.29,373.81
2003-07-21 21:44:09+00:00,L5,357.83,343.23,352.73,365.29,362.75,352.10,354.08,359.62,361.62,368.72,365.90,371.06,369.22,367.85,373.89,367.85,359.10,365.47,369.40,375.62,371.02,374.93
2003-07-29 21:55:41+00:00,L7,363.79,349.75,352.75,363.87,361.48,358.48,358.95,361.53,368.30,364.99,366.71,376.31,377.35,381.08,384.87,374.02,369.96,375.36,376.09,379.74,375.61,383.71
2003-08-30 21:55:58+00:00,L7,350.00,350.22,350.83,355.31,353.31,349.12,351.34,352.89,357.10,362.31,361.91,365.36,362.46,363.99,371.50,366.38,359.92,358.63,364.48,368.27,363.53,370.85
2003-10-17 21:55:51+00:00,L7,352.35,352.00,352.80,354.21,351.44,348.90,348.33,353.51,355.56,359.12,359.51,367.58,362.26,363.08,366.46,364.79,357.52,359.36,363.90,368.84,372.58,376.52
