dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
1999-08-03 22:00:08+00:00,335.35,337.35,344.22,349.69,351.41,347.35,348.91,351.05,349.78,352.37,352.78,361.10,355.83,366.09,366.22,358.57,360.03,363.74,376.34,364.67,368.06,377.39,L7
1999-09-04 22:00:09+00:00,351.80,343.35,349.29,354.37,352.94,349.06,351.45,352.62,353.71,357.06,358.22,366.41,361.83,368.37,372.36,364.34,361.70,364.68,373.91,369.19,370.54,378.90,L7
1999-10-22 22:00:28+00:00,355.14,344.21,350.90,356.66,354.14,349.59,351.13,353.12,354.25,358.18,359.41,368.48,364.56,369.33,374.01,366.38,363.05,365.89,371.96,370.02,369.97,377.71,L7
1999-12-09 22:00:33+00:00,354.15,344.82,350.30,355.71,352.16,348.88,350.80,353.08,354.35,357.98,358.95,368.30,364.64,369.24,373.69,366.01,363.86,366.34,371.40,369.84,369.42,378.17,L7
1999-12-25 22:00:28+00:00,354.93,346.08,350.97,356.28,353.31,349.73,351.25,353.30,355.19,359.07,360.01,368.85,365.07,369.43,374.10,366.70,364.37,366.48,370.83,370.05,368.94,378.09,L7
2000-01-26 22:00:26+00:00,355.88,345.29,351.36,356.22,353.34,349.97,350.99,353.81,355.55,359.69,360.65,369.64,365.73,369.15,374.80,367.46,365.08,367.06,371.20,370.05,369.84,378.37,L7
2000-02-11 22:00:21+00:00,357.68,346.17,351.47,356.91,353.31,350.02,350.95,354.15,356.30,360.57,362.09,371.08,367.41,369.11,376.35,368.89,366.69,368.11,369.88,370.46,370.67,378.89,L7
2000-02-27 22:00:16+00:00,357.57,345.89,351.48,356.53,353.04,350.08,350.69,353.89,356.38,360.08,362.00,370.52,366.92,368.67,375.64,368.73,366.34,367.85,369.21,370.34,369.60,379.35,L7
2000-03-30 22:00:09+00:00,356.74,346.21,351.43,356.78,354.02,350.79,350.95,354.10,356.54,360.25,361.75,370.71,367.61,368.41,375.81,369.02,366.97,368.25,368.99,369.61,368.61,377.95,L7
2000-04-15 21:59:55+00:00,357.10,346.71,351.53,356.81,353.66,350.98,350.85,353.51,356.21,360.60,361.79,370.91,367.73,368.41,375.95,369.17,367.10,368.50,369.07,370.07,368.25,377.28,L7
2000-05-01 21:59:54+00:00,357.14,348.12,351.82,356.48,353.86,351.25,351.43,353.91,356.51,361.28,362.11,371.10,368.56,368.85,376.62,369.59,367.79,369.37,369.75,371.18,368.51,377.96,L7
2000-06-18 21:59:27+00:00,359.06,348.29,352.75,357.81,355.81,352.80,353.07,354.75,358.48,362.67,363.26,372.48,369.66,369.74,376.94,370.54,368.28,370.01,371.13,372.43,369.43,377.99,L7
2000-07-04 21:59:14+00:00,357.75,348.03,351.48,356.77,355.13,353.37,353.00,355.94,357.81,363.05,364.16,374.58,370.48,370.02,377.89,371.39,369.32,370.75,371.27,371.59,369.23,376.67,L7
2000-08-05 21:58:44+00:00,358.11,349.15,352.04,357.55,356.35,354.62,354.20,356.50,359.26,363.87,364.76,374.86,370.57,370.40,377.78,372.16,370.21,370.77,371.63,372.87,369.46,376.46,L7
2000-09-06 21:58:22+00:00,360.72,351.44,353.65,358.73,357.83,356.29,355.61,357.36,360.27,365.27,365.56,376.31,371.85,371.14,378.91,373.71,370.36,371.33,372.76,373.76,369.86,374.89,L7
2000-10-08 21:58:00+00:00,359.12,350.91,353.56,358.70,356.83,355.56,354.90,357.41,360.30,365.23,365.56,376.18,370.87,370.56,377.75,372.65,369.89,371.61,373.05,374.30,370.26,375.79,L7
2000-11-25 21:57:34+00:00,356.19,347.38,351.51,356.93,354.98,354.11,353.21,356.62,360.22,364.07,364.80,375.28,368.55,369.10,375.56,371.81,369.34,370.13,372.42,372.77,369.80,374.81,L7
2000-12-11 21:58:00+00:00,352.47,346.35,351.51,355.82,354.76,352.80,352.44,354.77,359.28,363.59,363.76,374.11,368.18,367.98,373.78,370.63,368.77,369.05,371.28,371.05,367.83,373.44,L7
2001-02-13 21:57:39+00:00,347.39,342.82,349.77,353.73,351.65,347.70,347.92,350.94,355.77,361.42,361.01,370.31,366.19,365.16,371.49,367.60,364.94,367.03,368.87,368.15,365.83,373.92,L7
2001-03-17 21:57:28+00:00,348.66,341.36,349.36,352.47,350.43,346.38,346.93,351.12,355.48,361.49,360.55,370.37,366.16,365.15,371.72,367.31,365.04,367.00,369.01,369.70,365.77,374.78,L7
2001-05-20 21:57:04+00:00,351.33,343.03,350.34,354.26,352.27,347.93,348.32,352.90,356.82,363.02,361.63,372.49,368.11,368.63,374.33,371.34,368.08,368.97,370.75,371.46,365.94,373.74,L7
2001-06-05 21:57:16+00:00,354.60,346.43,352.75,358.21,356.80,351.14,351.58,355.65,359.73,365.20,363.50,375.38,371.63,371.70,377.73,373.20,368.86,371.88,372.49,373.19,367.37,374.55,L7
2001-07-07 21:56:36+00:00,361.86,349.86,355.06,362.12,359.44,353.81,354.21,359.70,363.06,367.18,365.60,378.93,374.06,374.69,382.10,376.37,370.47,373.93,375.18,377.42,371.65,377.70,L7
2001-08-24 21:56:00+00:00,361.79,350.72,355.74,362.43,359.22,353.76,353.82,358.51,362.65,365.67,365.29,378.68,373.68,374.97,381.44,375.66,369.91,372.62,374.24,376.68,370.04,376.16,L7
2001-09-25 21:55:40+00:00,359.02,351.63,356.41,363.72,359.95,354.46,354.34,358.17,362.81,365.06,365.25,378.66,373.73,375.38,380.98,375.31,369.70,372.35,374.92,376.17,370.75,377.20,L7
2001-12-30 21:56:13+00:00,356.54,348.86,354.98,359.55,355.84,351.65,351.49,354.19,359.72,362.20,363.27,375.51,370.18,371.17,376.48,371.00,365.62,367.13,371.71,372.57,369.44,377.18,L7
2002-02-16 21:56:30+00:00,354.24,346.83,352.34,356.64,352.81,349.59,347.88,351.05,356.53,359.29,361.22,371.41,366.60,368.64,373.69,368.20,363.18,365.25,369.65,368.50,366.69,375.65,L7
2002-03-04 21:56:09+00:00,357.91,349.11,353.60,358.03,354.96,352.19,350.74,352.94,358.02,361.33,361.70,371.86,367.22,368.26,374.71,368.84,364.19,366.54,371.34,370.88,367.95,375.97,L7
2002-03-20 21:56:00+00:00,356.99,347.98,350.78,355.96,353.59,350.68,349.69,352.52,356.42,360.05,361.45,371.14,366.25,367.24,374.10,367.78,362.63,364.91,369.71,370.35,366.33,375.62,L7
2002-05-07 21:56:27+00:00,358.70,348.56,350.54,356.24,355.10,352.04,350.52,352.99,357.14,361.35,361.95,371.43,366.71,367.93,373.45,367.90,362.37,365.43,369.42,369.80,365.44,373.65,L7
