dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,satname
2000-08-12 22:04:05+00:00,374.82,369.32,362.39,357.79,345.63,346.09,349.22,350.51,344.07,335.50,325.12,337.31,349.28,350.78,355.40,356.26,353.74,358.43,358.91,358.24,359.99,365.95,356.78,361.80,355.48,352.45,352.83,351.35,354.02,352.79,354.92,352.52,359.22,359.13,367.37,361.98,359.14,353.39,353.81,356.66,356.94,343.69,341.96,345.86,355.78,353.42,358.06,L7
2000-09-13 22:03:38+00:00,384.94,372.97,360.27,350.30,343.22,337.73,348.14,349.03,351.43,341.49,330.69,346.34,350.86,355.90,357.80,357.61,359.60,368.34,357.51,360.29,361.19,370.23,364.75,363.75,361.74,362.96,356.45,347.25,346.98,349.58,355.66,362.07,368.13,362.20,362.47,362.54,362.65,362.56,367.65,365.00,361.77,346.40,349.33,357.13,359.70,356.85,360.54,L7
2000-10-31 22:03:22+00:00,367.62,357.56,352.43,347.62,340.43,344.06,348.50,348.96,349.29,342.96,337.62,349.27,355.50,357.83,365.28,356.37,359.79,359.03,352.42,356.44,366.63,378.44,372.98,371.94,358.24,355.20,348.44,348.23,354.47,354.24,349.25,356.54,361.15,357.90,355.20,354.84,352.83,347.03,353.29,348.87,343.31,326.20,341.93,347.03,346.44,345.51,351.22,L7
2000-12-18 22:03:25+00:00,344.61,331.05,325.81,323.52,331.62,339.58,349.09,349.06,349.65,342.15,335.41,349.30,337.03,336.72,342.92,334.62,347.75,344.11,340.08,346.42,354.66,367.46,368.58,374.93,372.25,361.22,368.30,366.50,358.56,356.59,376.60,360.90,353.26,349.92,353.09,347.65,334.91,335.22,348.65,336.96,334.04,334.47,345.35,341.44,337.69,344.32,353.05,L7
2001-01-03 22:03:24+00:00,366.27,351.02,349.46,351.39,352.16,359.57,373.09,380.72,380.97,370.66,364.88,386.27,378.62,,,390.70,385.90,390.23,380.20,378.08,378.85,383.17,390.54,393.24,402.14,384.39,383.69,400.39,381.79,375.22,376.31,385.53,,414.17,398.36,397.04,371.70,379.13,388.14,389.04,382.33,354.52,382.71,,381.96,389.77,389.73,L7
2001-01-19 22:03:31+00:00,352.97,344.92,344.02,338.52,344.03,352.61,362.94,362.97,360.40,354.99,353.63,362.91,363.77,355.10,358.61,353.87,356.96,357.37,352.41,356.66,367.48,375.43,376.08,382.32,376.26,369.76,368.46,365.00,365.36,362.02,357.75,359.16,376.39,378.94,371.39,360.15,363.39,360.56,363.68,362.59,355.17,351.54,356.18,346.54,345.37,350.17,354.16,L7
2001-02-20 22:03:24+00:00,358.88,361.87,360.39,355.44,361.39,370.85,383.66,375.94,367.53,365.15,360.11,368.85,373.86,364.88,370.86,369.62,374.43,374.40,367.42,367.58,373.81,380.97,389.58,389.93,384.75,383.87,377.97,374.06,373.86,371.66,371.96,371.58,381.92,377.32,373.92,374.28,377.12,378.25,378.92,385.27,377.64,374.09,369.22,366.22,364.07,364.22,366.72,L7
2001-07-14 22:02:21+00:00,364.44,357.32,363.30,360.23,355.26,346.90,352.53,350.99,351.53,353.32,343.20,360.69,364.11,365.52,384.05,367.67,368.56,367.42,366.20,,362.11,377.65,374.88,385.94,376.99,376.84,379.90,377.63,374.32,376.51,382.14,383.22,389.98,,,371.42,374.92,365.66,379.41,392.06,383.03,367.56,363.50,,,,,L7
2001-08-31 22:01:41+00:00,364.75,351.94,343.63,347.27,344.63,348.27,349.14,350.35,348.98,339.04,335.69,345.21,354.07,356.15,357.16,354.74,357.62,361.46,352.40,350.99,360.16,367.01,362.47,369.61,361.46,363.33,363.20,358.52,349.23,358.03,368.01,361.61,375.93,367.65,364.38,360.86,362.03,360.09,366.06,363.01,362.81,352.65,350.16,358.82,356.36,362.95,360.24,L7
2001-10-02 22:01:16+00:00,369.74,367.65,360.73,349.44,353.17,360.56,369.07,376.87,371.88,360.98,357.16,363.02,377.52,378.02,378.32,376.71,374.11,382.66,372.08,375.20,379.18,394.62,387.82,383.81,375.62,376.91,371.20,368.61,365.08,370.06,375.40,373.03,382.11,377.14,371.23,365.44,367.27,365.35,373.07,375.56,381.82,361.65,361.46,367.26,364.53,369.05,366.49,L7
